word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
good,52,0,3,0,0,0,5,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,21,0
grand,4,0,0,0,0,0,0,0,0,0,0,0
court,0,0,0,0,0,0,3,0,0,0,0,0
palace,0,0,0,0,0,0,40,0,0,0,0,0
surround,0,0,0,0,0,0,0,0,0,0,5,0
maid,0,0,0,0,0,0,9,0,0,0,0,0
honor,0,0,0,0,0,0,5,0,0,0,0,0
beautiful,27,0,0,0,0,0,0,0,0,0,0,0
girl,0,0,0,0,0,0,80,0,0,0,0,0
build,0,0,0,0,0,0,0,0,0,0,6,0
rare,4,0,0,0,0,0,0,0,0,0,0,0
marble,0,0,0,0,0,0,21,0,0,0,0,0
exquisitely,0,0,3,0,0,0,0,0,0,0,0,0
polish,0,0,0,0,0,0,0,0,0,0,3,0
fountain,0,0,0,0,0,0,2,0,0,0,0,0
tinkle,0,0,0,0,0,0,0,0,0,0,1,0
musically,0,0,1,0,0,0,0,0,0,0,0,0
vast,1,0,0,0,0,0,0,0,0,0,0,0
colonnade,0,0,0,0,0,0,1,0,0,0,0,0
open,4,0,1,0,0,0,0,0,0,0,27,0
south,0,0,1,0,0,0,2,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,0,13,0
maiden,0,0,0,0,0,0,8,0,0,0,0,0
raise,0,0,0,0,0,0,0,0,0,0,34,0
head,0,0,0,0,0,0,54,0,0,0,3,0
embroidery,0,0,0,0,0,0,2,0,0,0,0,0
gaze,0,0,0,0,0,0,1,0,0,0,6,0
vista,0,0,0,0,0,0,1,0,0,0,0,0
rose,0,0,0,0,0,0,2,0,0,0,0,0
hued,1,0,0,0,0,0,0,0,0,0,0,0
field,0,0,0,0,0,0,7,0,0,0,0,0
grove,0,0,0,0,0,0,2,0,0,0,0,0
tree,0,0,0,0,0,0,24,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,0,7,0
fruit,0,0,0,0,0,0,3,0,0,0,0,0
laden,1,0,0,0,0,0,0,0,0,0,0,0
sweet,5,0,0,0,0,0,0,0,0,0,0,0
scent,0,0,0,0,0,0,0,0,0,0,1,0
flower,0,0,0,0,0,0,5,0,0,0,0,0
time,0,0,0,0,0,0,61,0,0,0,0,0
start,0,0,0,0,0,0,1,0,0,0,16,0
song,0,0,0,0,0,0,4,0,0,0,0,0
join,0,0,0,0,0,0,0,0,0,0,14,0
chorus,0,0,0,0,0,0,2,0,0,0,0,0
rise,0,0,0,0,0,0,0,0,0,0,23,0
dance,0,0,0,0,0,0,0,0,0,0,3,0
gracefully,0,0,6,0,0,0,0,0,0,0,0,0
sway,0,0,0,0,0,0,0,0,0,0,5,0
music,0,0,0,0,0,0,3,0,0,0,0,0
harp,0,0,0,0,0,0,1,0,0,0,0,0
play,0,0,0,0,0,0,1,0,0,0,3,0
companion,0,0,0,0,0,0,16,0,0,0,0,0
smile,0,0,0,0,0,0,10,0,0,0,14,0
glad,12,0,0,0,0,0,0,0,0,0,0,0
mix,0,0,0,0,0,0,0,0,0,0,3,0
work,0,0,0,0,0,0,14,0,0,0,20,0
presently,0,0,5,0,0,0,0,0,0,0,0,0
object,0,0,0,0,0,0,7,0,0,0,3,0
see,0,0,0,0,0,0,0,0,0,0,42,0
move,0,0,0,0,0,0,0,0,0,0,20,0
thread,0,0,0,0,0,0,3,0,0,0,2,0
broad,8,0,0,0,0,0,0,0,0,0,0,0
path,0,0,0,0,0,0,16,0,0,0,0,0
lead,0,0,0,0,0,0,1,0,0,0,28,0
castle,0,0,0,0,0,0,6,0,0,0,0,0
gate,0,0,0,0,0,0,5,0,0,0,0,0
look,0,0,0,0,0,0,6,0,0,0,74,0
enviously,0,0,1,0,0,0,0,0,0,0,0,0
sorceress,0,0,0,0,0,0,5,0,0,0,0,0
merely,0,0,5,0,0,0,0,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,26,0
glance,0,0,0,0,0,0,3,0,0,0,0,0
nod,0,0,0,0,0,0,0,0,0,0,2,0
stately,5,0,0,0,0,0,0,0,0,0,0,0
pleased,3,0,0,0,0,0,0,0,0,0,0,0
mean,1,0,0,0,0,0,13,0,0,0,12,0
coming,0,0,0,0,0,0,4,0,0,0,0,0
friend,0,0,0,0,0,0,50,0,0,0,0,0
mistress,0,0,0,0,0,0,5,0,0,0,0,0
land,0,0,0,0,0,0,6,0,0,0,0,0
bow,0,0,0,0,0,0,7,0,0,0,12,0
trot,0,0,0,0,0,0,0,0,0,0,1,0
wooden,9,0,0,0,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,0,5,0,0,0,0,0
attach,0,0,0,0,0,0,0,0,0,0,2,0
red,12,0,0,0,0,0,2,0,0,0,0,0
wagon,0,0,0,0,0,0,5,0,0,0,0,0
quaint,1,0,0,0,0,0,0,0,0,0,0,0
steed,0,0,0,0,0,0,1,0,0,0,0,0
halt,0,0,0,0,0,0,0,0,0,0,11,0
descend,0,0,0,0,0,0,0,0,0,0,5,0
young,27,0,0,0,0,0,0,0,0,0,0,0
dress,0,0,0,0,0,0,1,0,0,0,14,0
simple,4,0,0,0,0,0,0,0,0,0,0,0
white,19,0,0,0,0,0,0,0,0,0,0,0
muslin,0,0,0,0,0,0,1,0,0,0,0,0
gown,0,0,0,0,0,0,4,0,0,0,0,0
run,0,0,0,0,0,0,0,0,0,0,23,0
step,0,0,0,0,0,0,12,0,0,0,7,0
laugh,0,0,0,0,0,0,5,0,0,0,10,0
chat,0,0,0,0,0,0,0,0,0,0,1,0
gaily,0,0,1,0,0,0,0,0,0,0,0,0
important,9,0,0,0,0,0,0,0,0,0,0,0
person,0,0,0,0,0,0,9,0,0,0,0,0
world,0,0,0,0,0,0,8,0,0,0,0,0
lovely,16,0,0,0,0,0,0,0,0,0,0,0
fairyland,0,0,0,0,0,0,11,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,33,0
bowed,1,0,0,0,0,0,0,0,0,0,0,0
greet,0,0,0,0,0,0,0,0,0,0,2,0
royal,4,0,0,0,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,106,0
forward,0,0,2,0,0,0,0,0,0,0,0,0
outstretched,3,0,0,0,0,0,0,0,0,0,0,0
arm,0,0,0,0,0,0,13,0,0,0,7,0
guest,0,0,0,0,0,0,3,0,0,0,0,0
visit,0,0,0,0,0,0,3,0,0,0,12,0
know,0,0,0,0,0,0,0,0,0,0,148,0
say,0,0,0,0,0,0,0,0,0,0,219,0
wonder,0,0,0,0,0,0,1,0,0,0,11,0
pass,0,0,0,0,0,0,1,0,0,0,17,0
day,0,0,0,0,0,0,21,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,23,0
think,0,0,0,0,0,0,0,0,0,0,60,0
week,0,0,0,0,0,0,1,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,43,0
ride,0,0,0,0,0,0,0,0,0,0,4,0
straight,1,0,6,0,0,0,0,0,0,0,0,0
fast,2,0,8,0,0,0,0,0,0,0,0,0
add,0,0,0,0,0,0,0,0,0,0,20,0
hair,0,0,0,0,0,0,18,0,0,0,0,0
blow,0,0,0,0,0,0,2,0,0,0,1,0
fuzzy,2,0,0,0,0,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,22,0
wind,0,0,0,0,0,0,1,0,0,0,4,0
usually,0,0,7,0,0,0,0,0,0,0,0,0
journey,0,0,0,0,0,0,15,0,0,0,0,0
hour,0,0,0,0,0,0,10,0,0,0,0,0
way,0,0,0,0,0,0,77,0,0,0,0,0
welcome,4,0,0,0,0,0,1,0,0,0,2,0
magnificent,3,0,0,0,0,0,0,0,0,0,0,0
reception,0,0,0,0,0,0,4,0,0,0,0,0
hall,0,0,0,0,0,0,4,0,0,0,0,0
hostess,0,0,0,0,0,0,4,0,0,0,0,0
lag,0,0,0,0,0,0,0,0,0,0,1,0
kiss,0,0,0,0,0,0,0,0,0,0,1,0
well,8,0,11,0,0,0,0,0,0,0,0,0
talk,0,0,0,0,0,0,1,0,0,0,14,0
feel,0,0,0,0,0,0,0,0,0,0,7,0
find,0,0,0,0,0,0,0,0,0,0,68,0
earnestly,0,0,8,0,0,0,0,0,0,0,0,0
condition,0,0,0,0,0,0,3,0,0,0,0,0
people,0,0,0,0,0,0,98,0,0,0,0,0
happy,12,0,0,0,0,0,0,0,0,0,0,0
contented,4,0,0,0,0,0,0,0,0,0,0,0
folk,0,0,0,0,0,0,7,0,0,0,0,0
interest,0,0,0,0,0,0,1,0,0,0,5,0
course,0,0,12,0,0,0,12,0,0,0,0,0
little,58,0,1,0,0,0,0,0,0,0,0,0
big,26,0,0,0,0,0,0,0,0,0,0,0
table,0,0,0,0,0,0,15,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,0,8,0
great,49,0,0,0,0,0,0,0,0,0,0,0
treasure,0,0,0,0,0,0,2,0,0,0,0,0
prize,0,0,0,0,0,0,0,0,0,0,1,0
highly,0,0,3,0,0,0,0,0,0,0,0,0
magical,7,0,0,0,0,0,0,0,0,0,0,0
possession,0,0,0,0,0,0,2,0,0,0,0,0
reason,0,0,0,0,0,0,17,0,0,0,0,0
firmly,0,0,3,0,0,0,0,0,0,0,0,0
golden,12,0,0,0,0,0,0,0,0,0,0,0
chain,0,0,0,0,0,0,3,0,0,0,0,0
leave,0,0,0,0,0,0,1,0,0,0,41,0
home,0,0,5,0,0,0,18,0,0,0,0,0
lock,0,0,0,0,0,0,0,0,0,0,2,0
jeweled,3,0,0,0,0,0,0,0,0,0,0,0
padlock,0,0,0,0,0,0,1,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,20,0
key,0,0,0,0,0,0,1,0,0,0,0,0
safely,0,0,1,0,0,0,0,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,0,0,11,0
bosom,0,0,0,0,0,0,7,0,0,0,0,0
suppose,0,0,0,0,0,0,0,0,0,0,10,0
thing,0,0,0,0,0,0,42,0,0,0,0,0
compare,0,0,0,0,0,0,0,0,0,0,1,0
page,0,0,0,0,0,0,2,0,0,0,0,0
constantly,0,0,6,0,0,0,0,0,0,0,0,0
print,0,0,0,0,0,0,0,0,0,0,2,0
record,0,0,0,0,0,0,7,0,0,0,2,0
event,0,0,0,0,0,0,6,0,0,0,0,0
exactly,0,0,10,0,0,0,0,0,0,0,0,0
moment,0,0,0,0,0,0,14,0,0,0,0,0
truthful,2,0,0,0,0,0,0,0,0,0,0,0
detail,0,0,0,0,0,0,2,0,0,0,0,0
wish,0,0,0,0,0,0,1,0,0,0,22,0
lot,0,0,0,0,0,0,11,0,0,0,0,0
brief,3,0,0,0,0,0,0,0,0,0,0,0
hold,0,0,0,0,0,0,1,0,0,0,22,0
love,0,0,0,0,0,0,1,0,0,0,14,0
peaceful,3,0,0,0,0,0,0,0,0,0,0,0
uneventful,1,0,0,0,0,0,0,0,0,0,0,0
today,0,0,0,0,0,0,1,0,0,0,0,0
letter,0,0,0,0,0,0,1,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,0,21,0
funny,3,0,0,0,0,0,0,0,0,0,0,0
exclaim,0,0,0,0,0,0,0,0,0,0,19,0
call,0,0,0,0,0,0,1,0,0,0,25,0
yes,0,0,2,0,0,19,0,0,0,0,0,0
reply,0,0,0,0,0,0,13,0,0,0,46,0
place,0,0,0,0,0,0,28,0,0,0,8,0
mark,0,0,0,0,0,0,2,0,0,0,4,0
like,3,31,0,0,0,0,0,0,0,0,25,0
hear,0,0,0,0,0,0,0,0,0,0,34,0
upper,4,0,0,0,0,0,0,0,0,0,0,0
edge,0,0,0,0,0,0,11,0,0,0,0,0
sandy,3,0,0,0,0,0,0,0,0,0,0,0
impassable,1,0,0,0,0,0,0,0,0,0,0,0
desert,0,0,0,0,0,0,3,0,0,0,0,0
mountain,0,0,0,0,0,0,49,0,0,0,0,0
guess,0,0,0,0,0,0,0,0,0,0,10,0
remark,0,0,0,0,0,0,3,0,0,0,15,0
declare,0,0,0,0,0,0,0,0,0,0,22,0
war,0,0,0,0,0,0,17,0,0,0,0,0
likely,9,0,0,0,0,0,0,0,0,0,0,0
fighting,0,0,0,0,0,0,2,0,0,0,0,0
trouble,0,0,0,0,0,0,12,0,0,0,0,0
result,0,0,0,0,0,0,5,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,61,0
word,0,0,0,0,0,0,44,0,0,0,0,0
surprised,4,0,0,0,0,0,0,0,0,0,0,0
perplex,0,0,0,0,0,0,0,0,0,0,1,0
tell,0,0,0,0,0,0,0,0,0,0,66,0
majesty,0,0,0,0,0,0,10,0,0,0,0,0
confess,0,0,0,0,0,0,0,0,0,0,3,0
mention,0,0,0,0,0,0,1,0,0,0,4,0
faraway,4,0,0,0,0,0,0,0,0,0,0,0
corner,0,0,0,0,0,0,6,0,0,0,0,0
curious,6,0,0,0,0,0,0,0,0,0,0,0
tribe,0,0,0,0,0,0,2,0,0,0,0,0
country,0,0,0,0,0,0,19,0,0,0,0,0
favored,1,0,0,0,0,0,0,0,0,0,0,0
naturally,0,0,3,0,0,0,0,0,0,0,0,0
unknown,8,0,0,0,0,0,0,0,0,0,0,0
desire,0,0,0,0,0,0,0,0,0,0,3,0
learn,0,0,0,0,0,0,0,0,0,0,13,0
art,0,0,0,0,0,0,21,0,0,0,0,0
sorcery,0,0,0,0,0,0,20,0,0,0,0,0
answer,0,0,0,0,0,0,6,0,0,0,27,0
seriously,0,0,2,0,0,0,0,0,0,0,0,0
subject,1,0,0,0,0,0,14,0,0,0,1,0
rule,0,0,0,0,0,0,3,0,0,0,22,0
possibly,0,0,3,0,0,0,0,0,0,0,0,0
help,0,0,0,0,0,0,4,0,0,0,19,0
try,0,0,0,0,0,0,0,0,0,0,39,0
information,0,0,0,0,0,0,6,0,0,0,0,0
guide,0,0,0,0,0,0,1,0,0,0,1,0
excuse,0,0,0,0,0,0,0,0,0,0,1,0
