word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
find,0,0,0,0,0,0,0,0,0,0,111,0
squint,0,0,0,0,0,0,1,0,0,0,1,0
orange,3,0,0,0,0,0,2,0,0,0,0,0
sun,0,0,0,0,0,0,7,0,0,0,0,0
eye,0,0,0,0,0,0,29,0,0,0,1,0
raise,0,0,0,0,0,0,0,0,0,0,7,0
hand,0,0,0,0,0,0,53,0,0,0,17,0
push,0,0,0,0,0,0,0,0,0,0,10,0
hat,0,0,0,0,0,0,3,0,0,0,0,0
forward,2,0,10,0,0,0,0,0,0,0,0,0
lower,0,0,0,0,0,0,0,0,0,0,3,0
control,0,0,0,0,0,0,12,0,0,0,5,0
alter,0,0,0,0,0,0,0,0,0,0,2,0
pulse,0,0,0,0,0,0,1,0,0,0,1,0
rate,0,0,0,0,0,0,3,0,0,0,1,0
contragravity,1,0,0,0,0,0,15,0,0,0,0,0
field,0,0,0,0,0,0,12,0,0,0,0,0
generator,0,0,0,0,0,0,4,0,0,0,0,0
lift,0,0,0,0,0,0,0,0,0,0,17,0
manipulator,0,0,0,0,0,0,12,0,0,0,0,0
foot,0,0,0,0,0,0,53,0,0,0,0,0
moment,0,0,0,0,0,0,46,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,86,0
puff,0,0,0,0,0,0,3,0,0,0,4,0
short,15,0,3,0,0,0,1,0,0,0,0,0
pipe,0,0,0,0,0,0,19,0,0,0,0,0
yellow,2,0,0,0,0,0,0,0,0,0,1,0
corner,0,0,0,0,0,0,10,0,0,0,0,0
white,18,0,0,0,0,0,0,0,0,0,0,0
mustache,0,0,0,0,0,0,7,0,0,0,0,0
look,0,0,0,0,0,0,8,0,0,0,186,0
red,19,0,0,0,0,0,6,0,0,0,0,0
rag,0,0,0,0,0,0,3,0,0,0,0,0
tie,0,0,0,0,0,0,0,0,0,0,6,0
bush,0,0,0,0,0,0,5,0,0,0,0,0
rock,0,0,0,0,0,0,9,0,0,0,1,0
face,0,0,0,0,0,0,44,0,0,0,7,0
gorge,0,0,0,0,0,0,3,0,0,0,0,0
yard,0,0,0,0,0,0,4,0,0,0,0,0
away,0,9,50,0,0,0,0,0,0,0,0,0
smile,0,0,0,0,0,0,10,0,0,0,5,0
anticipation,0,0,0,0,0,0,1,0,0,0,0,0
good,73,0,1,0,0,5,1,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,85,0
aloud,0,0,1,0,0,0,0,0,0,0,0,0
manner,0,0,0,0,0,0,7,0,0,0,0,0
man,0,0,0,0,0,0,102,0,0,0,0,0
long,11,0,31,0,0,0,0,0,0,0,0,0
company,6,0,0,0,0,0,9,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,0,128,0
remember,0,0,0,0,0,0,0,0,0,0,18,0
thousand,0,0,0,0,0,0,1,18,0,0,0,0
blast,0,0,0,0,0,0,1,0,0,0,5,0
shot,0,0,0,0,0,0,11,0,0,0,0,0
fire,0,0,0,0,0,0,17,0,0,0,8,0
year,0,0,0,0,0,0,50,0,0,0,0,0
planet,0,0,0,0,0,0,47,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,0,11,0
thermonuclear,0,0,0,0,0,0,1,0,0,0,0,0
different,15,0,0,0,0,0,0,0,0,0,0,0
watch,0,0,0,0,0,0,5,0,0,0,32,0
little,145,0,2,0,0,0,0,0,0,0,0,0
like,0,122,0,0,0,0,0,0,0,0,47,0
flip,0,0,0,0,0,0,0,0,0,0,1,0
switch,0,0,0,0,0,0,3,0,0,0,4,0
thumb,0,0,0,0,0,0,7,0,0,0,2,0
discharger,0,0,0,0,0,0,2,0,0,0,0,0
button,0,0,0,0,0,0,5,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,29,0
radio,0,0,0,0,0,0,6,0,0,0,0,0
impulse,0,0,0,0,0,0,2,0,0,0,0,0
vanish,0,0,0,0,0,0,0,0,0,0,9,0
upsurge,0,0,0,0,0,0,1,0,0,0,0,0
smoke,0,0,0,0,0,0,5,0,0,0,9,0
dust,0,0,0,0,0,0,1,0,0,0,0,0
mount,0,0,0,0,0,0,0,0,0,0,2,0
turn,0,0,0,0,0,0,1,0,0,0,57,0
copper,0,0,0,0,0,0,1,0,0,0,0,0
sunlight,0,0,0,0,0,0,2,0,0,0,0,0
touch,0,0,0,0,0,0,1,0,0,0,11,0
big,61,0,0,0,0,0,0,0,0,0,0,0
weightless,1,0,0,0,0,0,0,0,0,0,0,0
gently,0,0,7,0,0,0,0,0,0,0,0,0
fall,0,0,0,0,0,0,0,0,0,0,7,0
debris,0,0,0,0,0,0,1,0,0,0,0,0
pelt,0,0,0,0,0,0,1,0,0,0,2,0
tree,0,0,0,0,0,0,8,0,0,0,0,0
splash,0,0,0,0,0,0,0,0,0,0,1,0
stream,0,0,0,0,0,0,12,0,0,0,0,0
wait,0,0,0,0,0,0,0,0,0,0,24,0
till,0,0,0,0,0,0,0,0,0,28,0,0
machine,0,0,0,0,0,0,8,0,0,0,0,0
stabilize,0,0,0,0,0,0,0,0,0,0,1,0
glide,0,0,0,0,0,0,0,0,0,0,1,0
rip,0,0,0,0,0,0,0,0,0,0,1,0
gash,0,0,0,0,0,0,1,0,0,0,0,0
cliff,0,0,0,0,0,0,2,0,0,0,0,0
charge,0,0,0,0,0,0,26,0,0,0,9,0
cataclysmite,3,0,0,0,0,0,0,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,72,0
lot,0,0,0,0,0,0,31,0,0,0,0,0
sandstone,0,0,0,0,0,0,4,0,0,0,0,0
crack,0,0,0,0,0,0,0,0,0,0,8,0
vein,0,0,0,0,0,0,3,0,0,0,0,0
flint,0,0,0,0,0,0,16,0,0,0,0,0
throw,0,0,0,0,0,0,0,0,0,0,18,0
slab,0,0,0,0,0,0,1,0,0,0,0,0
loose,11,0,0,0,0,0,0,0,0,0,0,0
extend,0,0,0,0,0,0,0,0,0,0,2,0
claw,0,0,0,0,0,0,1,0,0,0,0,0
arm,0,0,0,0,0,0,22,0,0,0,2,0
pull,0,0,0,0,0,0,0,0,0,0,27,0
tug,0,0,0,0,0,0,0,0,0,0,2,0
underside,0,0,0,0,0,0,1,0,0,0,0,0
grapple,0,0,0,0,0,0,2,0,0,0,0,0
pick,0,0,0,0,0,0,4,0,0,0,62,0
chunk,0,0,0,0,0,0,6,0,0,0,0,0
drop,0,0,0,0,0,0,1,0,0,0,32,0
flat,4,0,0,0,0,0,1,0,0,0,0,0
ground,0,0,0,0,0,0,19,0,0,0,5,0
break,0,0,0,0,0,0,0,0,0,0,26,0
work,0,0,0,0,0,0,19,0,0,0,48,0
rest,0,0,0,0,0,0,14,0,0,0,0,0
day,0,0,0,0,0,0,34,0,0,0,0,0
set,0,0,0,0,0,0,1,0,0,0,26,0
get,0,0,0,0,0,0,0,0,0,0,179,0
toolbox,0,0,0,0,0,0,2,0,0,0,0,0
handled,1,0,0,0,0,0,0,0,0,0,0,0
lifter,0,0,0,0,0,0,3,0,0,0,0,0
climb,0,0,0,0,0,0,0,0,0,0,20,0
open,14,3,1,0,0,0,0,0,0,0,27,0
box,0,0,0,0,0,0,14,0,0,0,0,0
glove,0,0,0,0,0,0,4,0,0,0,0,0
eyescreen,0,0,0,0,0,0,1,0,0,0,0,0
microray,0,0,0,0,0,0,1,0,0,0,0,0
scanner,0,0,0,0,0,0,5,0,0,0,0,0
vibrohammer,0,0,0,0,0,0,3,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,61,0
uninterrupted,1,0,0,0,0,0,0,0,0,0,0,0
pattern,0,0,0,0,0,0,8,0,0,0,0,0
homogenous,1,0,0,0,0,0,0,0,0,0,0,0
structure,0,0,0,0,0,0,1,0,0,0,0,0
swing,0,0,0,0,0,0,0,0,0,0,2,0
fifteenth,1,0,0,0,0,0,1,0,0,0,0,0
interruption,0,0,0,0,0,0,2,0,0,0,0,0
sunstone,0,0,0,0,0,0,20,0,0,0,0,0
probably,0,0,13,0,0,0,0,0,0,0,0,0
inside,0,9,15,0,0,0,3,0,0,0,0,0
million,0,0,0,0,0,0,0,7,0,0,0,0
ago,0,0,11,0,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,1,0,0,0,50,0
young,12,0,0,0,0,0,0,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,0,0,5,0
marine,1,0,0,0,0,0,0,0,0,0,0,0
life,0,0,1,0,0,0,13,0,0,0,0,0
form,0,0,0,0,0,0,9,0,0,0,10,0
jellyfish,0,0,0,0,0,0,7,0,0,0,0,0
die,0,0,0,0,0,0,0,0,0,0,4,0
