word,ADJ,ADP,ADV,DET,NOUN,NUM,VERB,X
introduction,0,0,0,0,1,0,0,0
important,7,0,0,0,0,0,0,0
branch,0,0,0,0,5,0,0,0
mathematic,0,0,0,0,10,0,0,0
algebra,0,0,0,0,58,0,0,0
study,0,0,0,0,5,0,3,0
high,4,0,0,0,0,0,0,0
school,0,0,0,0,7,0,0,0
college,0,0,0,0,1,0,0,0
low,1,0,0,0,0,0,0,0
grade,0,0,0,0,1,0,0,0
dread,0,0,0,0,0,0,1,0
student,0,0,0,0,5,0,0,0
enjoyable,1,0,0,0,0,0,0,0
subject,0,0,0,0,1,0,0,0
practical,1,0,0,0,0,0,0,0
useful,6,0,0,0,0,0,0,0
career,0,0,0,0,2,0,0,0
engineering,0,0,0,0,1,0,0,0
science,0,0,0,0,4,0,0,0
knowledge,0,0,0,0,5,0,0,0
indispensable,1,0,0,0,0,0,0,0
read,0,0,0,0,0,0,2,0
chapter,0,0,0,0,8,0,0,0
long,0,0,2,0,0,0,0,0
intimidating,1,0,0,0,0,0,0,0
fact,0,0,0,0,2,0,0,0
surprised,1,0,0,0,0,0,0,0
use,0,0,0,0,3,0,7,0
daily,1,0,0,0,0,0,0,0
basis,0,0,0,0,1,0,0,0
easy,2,0,0,0,0,0,0,0
hung,1,0,0,0,0,0,0,0
symbol,0,0,0,0,3,0,0,0
complicated,2,0,0,0,0,0,0,0
story,0,0,0,0,1,0,0,0
problem,0,0,0,0,13,0,0,0
famous,6,0,0,0,0,0,0,0
mathematical,8,0,0,0,0,0,0,0
concept,0,0,0,0,10,0,0,0
mysterious,2,0,0,0,0,0,0,0
regular,1,0,0,0,0,0,0,0
conversation,0,0,0,0,1,0,0,0
trick,0,0,0,0,1,0,0,0
learn,0,0,0,0,0,0,6,0
translate,0,0,0,0,0,0,1,0
math,0,0,0,0,1,0,0,0
example,0,0,0,0,34,0,0,0
suppose,0,0,0,0,0,0,6,0
year,0,0,0,0,8,0,0,0
old,5,0,0,0,0,0,0,0
boy,0,0,0,0,9,0,0,0
ask,0,0,0,0,0,0,3,0
father,0,0,0,0,11,0,0,0
instead,0,0,4,0,0,0,0,0
answer,0,0,0,0,1,0,2,0
directly,0,0,1,0,0,0,0,0
attempt,0,0,0,0,0,0,1,0
experiment,0,0,0,0,1,0,0,0
reply,0,0,0,0,0,0,1,0
son,0,0,0,0,3,0,0,0
interested,2,0,0,0,0,0,0,0
solve,0,0,0,0,0,0,8,0
quickly,0,0,1,0,0,0,0,0
perform,0,0,0,0,0,0,1,0
addition,0,0,0,0,19,0,0,0
find,0,0,0,0,0,0,19,0
age,0,0,0,0,4,0,0,0
mother,0,0,0,0,4,0,0,0
point,0,0,0,0,8,0,0,0
present,0,0,0,0,0,0,1,0
challenging,1,0,0,0,0,0,0,0
add,0,0,0,0,0,0,10,0
result,0,0,0,0,16,0,2,0
equal,2,0,0,0,0,0,0,0
excellent,1,0,0,0,0,0,0,0
opportunity,0,0,0,0,1,0,0,0
help,0,0,0,0,0,0,2,0
understand,0,0,0,0,0,0,2,0
algebraic,9,0,0,0,0,0,0,0
equation,0,0,0,0,55,0,0,0
difficult,2,0,0,0,0,0,0,0
people,0,0,0,0,1,0,0,0
think,0,0,0,0,0,0,1,0
write,0,0,0,0,0,0,19,0
slip,0,0,0,0,5,0,0,0
paper,0,0,0,0,2,0,0,0
turn,0,0,0,0,0,0,3,0
numeral,0,0,0,0,21,0,0,0
lay,0,0,0,0,0,0,1,0
blank,1,0,0,0,2,0,0,0
tablet,0,0,0,0,1,0,0,0
take,0,0,0,0,0,0,2,0
moment,0,0,0,0,1,0,0,0
guess,0,0,0,0,0,0,1,0
correct,1,0,0,0,0,0,0,0
lesson,0,0,0,0,2,0,0,0
essentially,0,0,1,0,0,0,0,0
letter,0,0,0,0,6,0,0,0
stand,0,0,0,0,0,0,2,0
number,0,0,0,0,183,0,0,0
tell,0,0,0,0,0,0,19,0
rule,0,0,0,0,3,0,0,0
change,0,0,0,0,13,0,1,0
sign,0,0,0,0,4,0,0,0
evolve,0,0,0,0,0,0,1,0
