word,ADJ,ADP,ADV,INTJ,NOUN,NUM,PRON,VERB
spring,0,0,0,0,3,0,0,0
arrive,0,0,0,0,0,0,0,4
prison,0,0,0,0,14,0,0,0
stay,0,0,0,0,0,0,0,7
cold,18,0,0,0,0,0,0,0
woman,0,0,0,0,15,0,0,0
dirty,10,0,0,0,0,0,0,0
hungry,15,0,0,0,0,0,0,0
bed,0,0,0,0,1,0,0,0
chair,0,0,0,0,1,0,0,0
sleep,0,0,0,0,0,0,0,1
floor,0,0,0,0,15,0,0,0
window,0,0,0,0,3,0,0,0
dark,8,0,0,0,1,0,0,0
want,0,0,0,0,0,0,0,52
home,0,0,9,0,4,0,0,0
guard,0,0,0,0,27,0,0,0
open,4,0,0,0,0,0,0,6
big,16,0,0,0,0,0,0,0
old,30,0,0,0,0,0,0,0
door,0,0,0,0,20,0,0,0
bread,0,0,0,0,12,0,0,0
water,0,0,0,0,1,0,0,0
close,0,0,0,0,0,0,0,4
day,0,0,0,0,25,0,0,0
sit,0,0,0,0,0,0,0,22
wait,0,0,0,0,0,0,0,7
feel,0,0,0,0,0,0,0,10
warm,9,0,0,0,0,0,0,0
sky,0,0,0,0,4,0,0,0
beautiful,6,0,0,0,0,0,0,0
hill,0,0,0,0,11,0,0,0
near,2,16,0,0,0,0,0,0
happen,0,0,0,0,0,0,0,2
call,0,0,0,0,0,0,0,20
come,0,0,0,0,0,0,0,27
witch,0,0,0,0,40,0,0,0
somebody,0,0,0,0,0,0,3,0
slowly,0,0,12,0,0,0,0,0
walk,0,0,0,0,0,0,0,12
room,0,0,0,0,22,0,0,0
go,0,0,0,0,0,0,0,33
quick,1,0,0,0,0,0,0,0
stand,0,0,0,0,0,0,0,13
say,0,0,0,0,0,0,0,68
quietly,0,0,11,0,0,0,0,0
tall,3,0,0,0,0,0,0,0
man,0,0,0,0,35,0,0,0
brown,6,0,0,0,0,0,0,0
hair,0,0,0,0,10,0,0,0
tired,5,0,0,0,0,0,0,0
blue,3,0,0,0,0,0,0,0
eye,0,0,0,0,13,0,0,0
church,0,0,0,0,5,0,0,0
leg,0,0,0,0,1,0,0,0
stop,0,0,0,0,0,0,0,8
move,0,0,0,0,0,0,0,2
suddenly,0,0,9,0,0,0,0,0
angrily,0,0,6,0,0,0,0,0
begin,0,0,0,0,0,0,0,31
minute,0,0,0,0,8,0,0,0
eat,0,0,0,0,0,0,0,10
little,6,0,0,0,0,0,0,0
table,0,0,0,0,7,0,0,0
give,0,0,0,0,0,0,0,6
meat,0,0,0,0,1,0,0,0
hungrily,0,0,2,0,0,0,0,0
thank,0,0,0,0,0,0,0,1
ask,0,0,0,0,0,0,0,10
smile,0,0,0,0,0,0,0,4
yesterday,0,0,0,0,1,0,0,0
true,4,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,12
week,0,0,0,0,4,0,0,0
bring,0,0,0,0,0,0,0,12
father,0,0,0,0,15,0,0,0
boy,0,0,0,0,2,0,0,0
story,0,0,0,0,7,0,0,0
people,0,0,0,0,15,0,0,0
believe,0,0,0,0,0,0,0,4
tomorrow,0,0,0,0,1,0,0,0
judge,0,0,0,0,13,0,0,0
question,0,0,0,0,1,0,0,3
time,0,0,0,0,4,0,0,0
forget,0,0,0,0,0,0,0,3
happy,9,0,0,0,0,0,0,0
yes,0,0,0,6,0,0,0,0
run,0,0,0,0,0,0,0,20
cry,0,0,0,0,0,0,0,21
quickly,0,0,6,0,0,0,0,0
shirt,0,0,0,0,5,0,0,0
lose,0,0,0,0,0,0,0,2
well,1,0,0,0,0,0,0,0
year,0,0,0,0,17,0,0,0
tell,0,0,0,0,0,0,0,37
lie,0,0,0,0,8,0,0,0
see,0,0,0,0,0,0,0,11
meeting,0,0,0,0,1,0,0,0
house,0,0,0,0,10,0,0,0
truth,0,0,0,0,15,0,0,0
rich,10,0,0,0,0,0,0,0
angry,16,0,0,0,0,0,0,0
villager,0,0,0,0,10,0,0,0
child,0,0,0,0,27,0,0,0
bear,0,0,0,0,0,0,0,2
family,0,0,0,0,17,0,0,0
poor,4,0,0,0,0,0,0,0
die,0,0,0,0,0,0,0,16
winter,0,0,0,0,1,0,0,0
ill,9,0,0,0,0,0,0,0
summer,0,0,0,0,3,0,0,0
live,0,0,0,0,0,0,0,4
mile,0,0,0,0,4,0,0,0
village,0,0,0,0,14,0,0,0
rain,0,0,0,0,3,0,0,1
west,0,0,0,0,1,0,0,0
love,0,0,0,0,1,0,0,2
watch,0,0,0,0,0,0,0,7
eighteenth,3,0,0,0,0,0,0,0
life,0,0,0,0,5,0,0,0
change,0,0,0,0,0,0,0,3
mother,0,0,0,0,51,0,0,0
grandmother,0,0,0,0,12,0,0,0
dog,0,0,0,0,30,0,0,0
fire,0,0,0,0,10,0,0,0
sister,0,0,0,0,8,0,0,0
look,0,0,0,0,0,0,0,32
brother,0,0,0,0,9,0,0,0
mouth,0,0,0,0,5,0,0,0
thing,0,0,0,0,3,0,0,0
follow,0,0,0,0,0,0,0,11
east,0,0,0,0,1,0,0,0
past,0,1,0,0,0,0,0,0
tree,0,0,0,0,3,0,0,0
fast,0,0,1,0,0,0,0,0
eighteen,0,0,0,0,0,1,0,0
long,3,0,0,0,0,0,0,0
white,3,0,0,0,0,0,0,0
face,0,0,0,0,19,0,0,0
wear,0,0,0,0,0,0,0,3
coat,0,0,0,0,5,0,0,0
shoe,0,0,0,0,4,0,0,0
good,8,0,0,0,0,0,0,0
hand,0,0,0,0,4,0,0,0
head,0,0,0,0,5,0,0,0
like,0,0,0,0,0,0,0,9
tooth,0,0,0,0,4,0,0,0
river,0,0,0,0,3,0,0,0
