word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
curiously,0,0,4,0,0,0,0,0,0,0,0,0
event,0,0,0,0,0,0,2,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,43,0
place,0,0,0,0,0,0,57,0,0,0,21,0
year,0,0,0,0,0,0,13,0,0,0,0,0
great,64,0,0,0,0,0,0,0,0,0,0,0
outside,3,3,0,0,0,0,2,0,0,0,0,0
world,0,0,0,0,0,0,23,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,75,0
incident,0,0,0,0,0,0,1,0,0,0,0,0
marvelous,4,0,0,0,0,0,0,0,0,0,0,0
inspiring,1,0,0,0,0,0,0,0,0,0,0,0
hope,0,0,0,0,0,0,1,0,0,0,15,0
equal,3,0,0,0,0,0,0,0,0,0,2,0
story,0,0,0,0,0,0,10,0,0,0,0,0
magic,31,0,0,0,0,0,55,0,0,0,0,0
strange,19,0,0,0,0,0,0,0,0,0,0,0
unusual,6,0,0,0,0,0,0,0,0,0,0,0
read,0,0,0,0,0,0,0,0,0,0,3,0
hear,0,0,0,0,0,0,0,0,0,0,41,0
shut,0,0,0,0,0,0,0,0,0,0,2,0
past,1,1,0,0,0,0,0,0,0,0,0,0
exciting,2,0,0,0,0,0,0,0,0,0,0,0
appeal,0,0,0,0,0,0,0,0,0,0,3,0
love,0,0,0,0,0,0,3,0,0,0,11,0
novelty,0,0,0,0,0,0,1,0,0,0,0,0
long,29,0,32,0,0,0,0,0,0,0,0,0
confining,1,0,0,0,0,0,0,0,0,0,0,0
illness,0,0,0,0,0,0,1,0,0,0,0,0
prevent,0,0,0,0,0,0,0,0,0,0,3,0
answer,0,0,0,0,0,0,2,0,0,0,40,0
good,72,0,1,0,0,3,3,0,0,0,0,0
letter,0,0,0,0,0,0,3,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,11,0
stamp,0,0,0,0,0,0,1,0,0,0,0,0
enclose,0,0,0,0,0,0,0,0,0,0,1,0
able,18,0,0,0,0,0,0,0,0,0,0,0
prompt,1,0,0,0,0,0,0,0,0,0,0,0
attention,0,0,0,0,0,0,6,0,0,0,0,0
reader,0,0,0,0,0,0,2,0,0,0,0,0
favor,0,0,0,0,0,0,2,0,0,0,2,0
assure,0,0,0,0,0,0,0,0,0,0,3,0
falter,0,0,0,0,0,0,0,0,0,0,1,0
