word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,0,0,1,0,0,0,0
modern,10,0,0,0,0,2,0,0,0,0
period,0,0,0,0,0,15,0,0,0,0
history,0,0,0,0,0,26,0,0,0,0
consider,0,0,0,0,0,0,0,0,5,0
begin,0,0,0,0,0,0,0,0,25,0
rare,1,0,0,0,0,0,0,0,0,0
genius,0,0,0,0,0,4,0,0,0,0
world,0,0,0,0,0,9,0,0,0,0
immediately,0,0,3,0,0,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,4,0
know,0,0,0,0,0,0,0,0,18,0
late,14,0,0,0,0,0,0,0,0,0
early,20,0,3,0,0,0,0,0,0,0
century,0,0,0,0,0,95,0,0,0,0
reach,0,0,0,0,0,0,0,0,4,0
height,0,0,0,0,0,1,0,0,0,0
spread,0,0,0,0,0,2,0,0,4,0
rest,0,0,0,0,0,2,0,0,0,0
caption,0,0,0,0,0,16,0,0,0,15
fresco,0,0,0,0,0,2,0,0,0,0
painter,0,0,0,0,0,3,0,0,0,0
depict,0,0,0,0,0,0,0,0,5,0
imaginary,2,0,0,0,0,0,0,0,0,0
meeting,0,0,0,0,0,3,0,0,0,0
frame,0,0,0,0,0,0,0,0,1,0
small,5,0,0,0,0,0,0,0,0,0
arch,0,0,0,0,0,2,0,0,0,0
centre,0,0,0,0,0,11,0,0,4,0
philosopher,0,0,0,0,0,10,0,0,0,0
word,0,0,0,0,0,2,0,0,0,0
renaissance,2,0,0,0,0,6,0,0,0,0
mean,0,0,0,0,0,1,0,0,4,0
rebirth,0,0,0,0,0,2,0,0,0,0
refer,0,0,0,0,0,0,0,0,4,0
rediscovery,0,0,0,0,0,2,0,0,0,0
scholar,0,0,0,0,0,14,0,0,0,0
primarily,0,0,3,0,0,0,0,0,0,0
group,0,0,0,0,0,6,0,0,1,0
heading,0,0,0,0,0,1,0,0,0,0
humanist,16,0,0,0,0,38,0,0,0,0
cultural,6,0,0,0,0,0,0,0,0,0
heritage,0,0,0,0,0,3,0,0,0,0
ancient,20,0,0,0,0,4,0,0,0,0
fact,0,0,0,0,0,9,0,0,0,0
discovery,0,0,0,0,0,6,0,0,0,0
field,0,0,0,0,0,9,0,0,0,0
new,46,0,0,0,0,0,0,0,0,0
scientific,8,0,0,0,0,0,0,0,0,0
law,0,0,0,0,0,12,0,0,0,0
form,0,0,0,0,0,16,0,0,4,0
art,0,0,0,0,0,9,0,0,0,0
literature,0,0,0,0,0,20,0,0,0,0
religious,16,0,0,0,0,0,0,0,0,0
political,23,0,0,0,0,0,0,0,0,0
idea,0,0,0,0,0,12,0,0,0,0
land,0,0,0,0,0,8,0,0,1,0
include,0,0,0,0,0,0,0,0,19,0
term,0,0,0,0,0,7,0,0,0,0
coin,0,0,0,0,0,0,0,0,3,0
designate,0,0,0,0,0,0,0,0,1,0
interval,0,0,0,0,0,2,0,0,0,0
downfall,0,0,0,0,0,1,0,0,0,0
classical,36,0,0,0,0,0,0,0,0,0
beginning,0,0,0,0,0,5,0,0,0,0
revival,0,0,0,0,0,10,0,0,0,0
feel,0,0,0,0,0,0,0,0,2,0
participate,0,0,0,0,0,0,0,0,1,0
notion,0,0,0,0,0,4,0,0,0,0
long,6,0,4,0,0,0,0,0,0,0
darkness,0,0,0,0,0,1,0,0,0,0
express,0,0,0,0,0,0,0,0,4,0
event,0,0,0,0,0,5,0,0,0,0
end,0,0,0,0,0,11,0,0,5,0
particularly,0,0,7,0,0,0,0,0,0,0
set,0,0,0,0,0,1,0,0,1,0
motion,0,0,0,0,0,4,0,0,0,0
series,0,0,0,0,0,7,0,0,0,0
social,3,0,0,0,0,0,0,0,0,0
intellectual,9,0,0,0,0,0,0,0,0,0
transformation,0,0,0,0,0,4,0,0,0,0
culminate,0,0,0,0,0,0,0,0,1,0
increase,0,0,0,0,0,0,0,0,5,0
failure,0,0,0,0,0,1,0,0,0,0
provide,0,0,0,0,0,0,0,0,13,0
stable,1,0,0,0,0,0,0,0,0,0
unifying,1,0,0,0,0,0,0,0,0,0
framework,0,0,0,0,0,2,0,0,0,0
organization,0,0,0,0,0,1,0,0,0,0
spiritual,7,0,0,0,0,0,0,0,0,0
material,1,0,0,0,0,1,0,0,0,0
life,0,0,0,0,0,27,0,0,0,0
rise,0,0,0,0,0,5,0,0,1,0
importance,0,0,0,0,0,2,0,0,0,0
city,0,0,0,0,0,41,0,0,0,0
state,0,0,0,0,0,29,0,0,1,0
national,7,0,0,0,0,0,0,0,0,0
monarchy,0,0,0,0,0,4,0,0,0,0
development,0,0,0,0,0,14,0,0,0,0
language,0,0,0,0,0,17,0,0,0,0
breakup,0,0,0,0,0,1,0,0,0,0
old,10,0,0,0,0,0,0,0,0,0
feudal,11,0,0,0,0,0,0,0,0,0
structure,0,0,0,0,0,1,0,0,0,0
spirit,0,0,0,0,0,5,0,0,0,0
ultimately,0,0,2,0,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,11,0
movement,0,0,0,0,0,4,0,0,0,0
call,0,0,0,0,0,0,0,0,16,0
humanism,0,0,0,0,0,17,0,0,0,0
initiate,0,0,0,0,0,0,0,0,2,0
secular,5,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,21,0,0,0,0
letter,0,0,0,0,0,6,0,0,0,0
cleric,0,0,0,0,0,1,0,0,0,0
dominate,0,0,0,0,0,0,0,0,6,0
