word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,1,0,0,0,0
geothermal,72,0,0,0,0,0,0,0
energy,0,0,0,51,0,0,0,0
heat,0,0,0,45,0,0,18,0
come,0,0,0,0,0,0,2,0
inside,0,6,0,0,0,0,0,0
cooking,0,0,0,4,0,0,0,0
bathing,0,0,0,4,0,0,0,0
heating,0,0,0,22,0,0,0,0
convert,0,0,0,0,0,0,3,0
electricity,0,0,0,11,0,0,0,0
natural,7,0,0,0,0,0,0,0
pool,0,0,0,5,0,0,0,0
hot,31,0,0,0,0,0,0,0
spring,0,0,0,27,0,0,0,0
history,0,0,0,1,0,0,0,0
include,0,0,0,0,0,0,7,0
ancient,2,0,0,0,0,0,0,0
generate,0,0,0,0,0,0,7,0
supply,0,0,0,4,0,0,4,0
water,0,0,0,48,0,0,0,0
available,3,0,0,0,0,0,0,0
surface,0,0,0,28,0,0,0,0
place,0,0,0,6,0,0,2,0
close,1,0,3,0,0,0,1,0
easily,0,0,2,0,0,0,0,0
source,0,0,0,16,0,0,0,0
home,0,0,0,1,0,0,0,0
tap,0,0,0,0,0,0,2,0
volcanic,14,0,0,0,0,0,0,0
greenhouse,0,0,0,6,0,0,0,0
way,0,0,0,5,0,0,0,0
provide,0,0,0,0,0,0,4,0
fresh,1,0,0,0,0,0,0,0
vegetable,0,0,0,2,0,0,0,0
fruit,0,0,0,2,0,0,0,0
subarctic,1,0,0,0,0,0,0,0
island,0,0,0,1,0,0,0,0
hole,0,0,0,3,0,0,0,0
drill,0,0,0,1,0,0,3,0
rock,0,0,0,15,0,0,0,0
reach,0,0,0,0,0,0,3,0
usable,2,0,0,0,0,0,0,0
vary,0,0,0,0,0,0,4,0
considerably,0,0,1,0,0,0,0,0
well,0,0,1,3,0,0,0,0
find,0,0,0,0,0,0,6,0
area,0,0,0,11,0,0,0,0
high,12,0,1,0,0,0,0,0
thermal,6,0,0,0,0,0,0,0
gradient,0,0,0,2,0,0,0,0
occur,0,0,0,0,0,0,6,0
region,0,0,0,6,0,0,0,0
affect,0,0,0,0,0,0,1,0
recent,2,0,0,0,0,0,0,0
activity,0,0,0,11,0,0,0,0
locate,0,0,0,0,0,0,7,0
plate,0,0,0,11,0,0,0,0
boundary,0,0,0,3,0,0,0,0
mark,0,0,0,0,0,0,1,0
thin,2,0,0,0,0,0,0,0
crust,0,0,0,8,0,0,0,0
spot,0,0,0,2,0,0,0,0
near,0,3,2,0,0,0,0,0
feature,0,0,0,2,0,0,0,0
bring,0,0,0,0,0,0,5,0
deep,3,0,3,0,0,0,0,0
right,0,0,2,0,0,0,0,0
lava,0,0,0,3,0,0,0,0
flow,0,0,0,7,0,0,1,0
geyser,0,0,0,13,0,0,0,0
extraction,0,0,0,7,0,0,0,0
challenging,2,0,0,0,0,0,0,0
successful,1,0,0,0,0,0,0,0
reservoir,0,0,0,6,0,0,0,0
adequate,1,0,0,0,0,0,0,0
permeability,0,0,0,3,0,0,0,0
fault,0,0,0,1,0,0,0,0
allow,0,0,0,0,0,0,1,0
fluid,0,0,0,18,0,0,0,0
rise,0,0,0,1,0,0,7,0
impermeable,1,0,0,0,0,0,0,0
caprock,0,0,0,1,0,0,0,0
prevent,0,0,0,0,0,0,1,0
escape,0,0,0,1,0,0,0,0
addition,0,0,0,4,0,0,0,0
economically,0,0,3,0,0,0,0,0
accessible,2,0,0,0,0,0,0,0
range,0,0,0,1,0,0,1,0
map,0,0,0,2,0,0,1,0
show,0,0,0,0,0,0,5,0
