word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
morning,0,0,0,0,0,6,0,0,0,0,0
church,0,0,0,0,0,17,0,0,0,0,0
bell,0,0,0,0,0,17,0,0,0,0,0
clang,0,0,0,0,0,0,0,0,0,1,0
awaken,0,0,0,0,0,0,0,0,0,1,0
citizen,0,0,0,0,0,1,0,0,0,0,0
joyous,2,0,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,26,0,0,0,0,0
religious,1,0,0,0,0,0,0,0,0,0,0
holiday,0,0,0,0,0,1,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,41,0
celebration,0,0,0,0,0,1,0,0,0,0,0
people,0,0,0,0,0,15,0,0,0,0,0
celebrate,0,0,0,0,0,0,0,0,0,3,0
firework,0,0,0,0,0,2,0,0,0,0,0
bonfire,0,0,0,0,0,3,0,0,0,0,0
planting,0,0,0,0,0,1,0,0,0,0,0
favorite,1,0,0,0,0,0,0,0,0,0,0
event,0,0,0,0,0,2,0,0,0,0,0
elect,0,0,0,0,0,0,0,0,0,3,0
gather,0,0,0,0,0,0,0,0,0,4,0
early,0,0,5,0,0,0,0,0,0,0,0
outside,0,4,4,0,0,1,0,0,0,0,0
mystery,0,0,0,0,0,1,0,0,0,0,0
play,0,0,0,0,0,13,0,0,0,3,0
perform,0,0,0,0,0,0,0,0,0,6,0
noon,0,0,0,0,0,2,0,0,0,0,0
want,0,0,0,0,0,0,0,0,0,30,0
sit,0,0,0,0,0,0,0,0,0,17,0
close,4,0,11,0,0,0,0,0,0,4,0
important,3,0,0,0,0,0,0,0,0,0,0
guest,0,0,0,0,0,3,0,0,0,0,0
expect,0,0,0,0,0,0,0,0,0,1,0
arrive,0,0,0,0,0,0,0,0,0,5,0
crowd,0,0,0,0,0,28,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,9,0
tired,2,0,0,0,0,0,0,0,0,0,0
waiting,0,0,0,0,0,1,0,0,0,0,0
