word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,VERB,X
forest,1,0,0,0,127,0,0,0
sight,0,0,0,0,1,0,0,0
fire,0,0,0,0,274,0,0,0
sweep,0,0,0,0,0,0,1,0
furiously,0,0,1,0,0,0,0,0
frightening,1,0,0,0,0,0,0,0
spectacular,1,0,0,0,0,0,0,0
call,0,0,0,0,0,0,11,0
wildfire,0,0,0,0,1,0,0,0
devastating,4,0,0,0,0,0,0,0
event,0,0,0,0,4,0,0,0
intense,8,0,0,0,0,0,0,0
heat,0,0,0,0,28,0,2,0
burn,0,0,0,0,2,0,61,0
leave,0,0,0,0,8,0,10,0
branch,0,0,0,0,8,0,0,0
crisp,1,0,0,0,0,0,0,0
make,0,0,0,0,0,0,6,0
explode,0,0,0,0,0,0,1,0
roar,0,0,0,0,0,0,1,0
crackle,0,0,0,0,0,0,1,0
flame,0,0,0,0,40,0,1,0
giant,5,0,0,0,0,0,0,0
leap,0,0,0,0,0,0,3,0
hundred,0,0,0,0,5,0,0,0
foot,0,0,0,0,4,0,0,0
air,0,0,0,0,12,0,0,0
column,0,0,0,0,2,0,0,0
thick,6,0,0,0,0,0,0,0
black,1,0,0,0,0,0,0,0
smoke,0,0,0,0,22,0,2,0
big,2,0,0,0,0,0,0,0
spin,0,0,0,0,0,0,1,0
tornado,0,0,0,0,2,0,0,0
create,0,0,0,0,0,0,2,0
rapidly,0,0,5,0,0,0,0,0
rise,0,0,0,0,0,0,5,0
fiery,1,0,0,0,0,0,0,0
path,0,0,0,0,2,0,0,0
start,0,0,0,0,0,0,28,0
tiny,2,0,0,0,0,0,0,0
spark,0,0,0,0,3,0,0,0
vegetation,0,0,0,0,21,0,0,0
dry,18,0,0,0,0,0,5,0
quickly,0,0,10,0,0,0,0,0
grow,0,0,0,0,0,0,15,0
inferno,0,0,0,0,1,0,0,0
spread,0,0,0,0,1,0,27,0
direction,0,0,0,0,5,0,0,0
damage,0,0,0,0,5,0,7,0
kill,0,0,0,0,0,0,12,0
tree,0,0,0,0,47,0,0,0
incinerate,0,0,0,0,0,0,1,0
plant,0,0,0,0,23,0,2,0
floor,0,0,0,0,11,0,0,0
root,0,0,0,0,8,0,0,0
underground,1,0,2,0,0,0,0,0
building,0,0,0,0,5,0,0,0
way,0,0,0,0,6,0,0,0
unfortunate,1,0,0,0,0,0,0,0
people,0,0,0,0,20,0,0,0
animal,0,0,0,0,13,0,0,0
trap,0,0,0,0,0,0,2,0
fast,0,0,3,0,0,0,0,0
move,0,0,0,0,0,0,6,0
go,0,0,0,0,0,0,3,0
charred,2,0,0,0,0,0,0,0
wasteland,0,0,0,0,1,0,0,0
firefighter,0,0,0,0,26,0,0,0
attempt,0,0,0,0,0,0,1,0
instead,0,0,1,0,0,0,0,0
try,0,0,0,0,0,0,12,0
stop,0,0,0,0,0,0,10,0
allow,0,0,0,0,0,0,7,0
rage,0,0,0,0,0,0,3,0
coniferous,2,0,0,0,0,0,0,0
happen,0,0,0,0,0,0,8,0
place,0,0,0,0,5,0,0,0
hot,13,0,0,0,0,0,0,0
summer,0,0,0,0,11,0,0,0
weather,0,0,0,0,7,0,0,0
dense,2,0,0,0,0,0,0,0
drought,0,0,0,0,7,0,0,0
catch,0,0,0,0,0,0,2,0
easily,0,0,4,0,0,0,0,0
affect,0,0,0,0,0,0,9,0
deciduous,3,0,0,0,0,0,0,0
grassland,0,0,0,0,3,0,0,0
scrub,0,0,0,0,1,0,0,0
brush,0,0,0,0,2,0,0,0
accidentally,0,0,7,0,0,0,0,0
naturally,0,0,2,0,0,0,0,0
lightning,0,0,0,0,9,0,0,0
scientist,0,0,0,0,1,0,0,0
cut,0,0,0,0,0,0,4,0
slice,0,0,0,0,1,0,0,0
sequoia,0,0,0,0,2,0,0,0
ring,0,0,0,0,2,0,0,0
tell,0,0,0,0,0,0,3,0
past,0,0,0,0,1,0,0,0
natural,6,0,0,0,0,0,0,0
cycle,0,0,0,0,2,0,0,0
history,0,0,0,0,2,0,0,0
layer,0,0,0,0,7,0,0,0
charcoal,0,0,0,0,1,0,0,0
rock,0,0,0,0,2,0,0,0
million,0,0,0,0,4,0,0,0
year,0,0,0,0,10,0,0,0
ago,0,0,2,0,0,0,0,0
blacken,0,0,0,0,0,0,2,0
old,5,0,0,0,0,0,0,0
regular,3,0,0,0,0,0,0,0
damaging,1,0,0,0,0,0,0,0
bad,2,0,0,0,0,0,0,0
news,0,0,0,0,1,0,0,0
clear,0,0,0,0,0,0,7,0
new,4,0,0,0,0,0,0,0
one,0,0,0,0,1,0,0,0
regrowth,0,0,0,0,1,0,0,0
fact,0,0,0,0,1,0,0,0
specie,0,0,0,0,3,0,0,0
survive,0,0,0,0,0,0,7,0
investigate,0,0,0,0,0,0,1,0
combat,0,0,0,0,0,0,1,0
need,0,0,0,0,0,0,4,0
understand,0,0,0,0,0,0,1,0
exactly,0,0,1,0,0,0,0,0
glow,0,0,0,0,0,0,3,0
red,3,0,0,0,1,0,0,0
material,0,0,0,0,10,0,0,0
normally,0,0,5,0,0,0,0,0
produce,0,0,0,0,0,0,3,0
burning,0,0,0,0,2,0,0,0
