word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
caption,0,0,0,0,0,0,0,22,0,0,0,0,0,7
publish,0,0,0,0,0,0,0,0,0,0,0,0,22,0
principle,1,0,0,0,0,0,0,53,0,0,0,0,0,0
compilation,0,0,0,0,0,0,0,1,0,0,0,0,0,0
physics,0,0,0,0,0,0,0,18,0,0,0,0,0,0
metaphysics,0,0,0,0,0,0,0,24,0,0,0,0,0,0
century,0,0,0,0,0,0,0,128,0,0,0,0,0,0
european,13,0,0,0,0,0,0,0,0,0,0,0,0,0
society,0,0,0,0,0,0,0,86,0,0,0,0,0,0
suffer,0,0,0,0,0,0,0,0,0,0,0,0,2,0
unprecedented,2,0,0,0,0,0,0,0,0,0,0,0,0,0
series,0,0,0,0,0,0,0,9,0,0,0,0,0,0
natural,69,0,0,0,0,0,0,0,0,0,0,0,0,0
human,160,0,0,0,0,0,0,19,0,0,0,0,0,0
disaster,0,0,0,0,0,0,0,3,0,0,0,0,0,0
include,0,0,0,0,0,0,0,0,0,0,0,0,38,0
famine,0,0,0,0,0,0,0,1,0,0,0,0,0,0
numerous,2,0,0,0,0,0,0,0,0,0,0,0,0,0
devastating,3,0,0,0,0,0,0,0,0,0,0,0,0,0
expensive,1,0,0,0,0,0,0,0,0,0,0,0,0,0
war,0,0,0,0,0,0,0,24,0,0,0,0,0,0
end,0,0,0,0,0,0,0,29,0,0,0,0,2,0
continent,0,0,0,0,0,0,0,4,0,0,0,0,0,0
great,52,0,0,0,0,0,0,0,0,0,0,0,0,0
deal,0,0,0,0,0,0,0,4,0,0,0,0,11,0
poor,10,0,0,0,0,0,0,0,0,0,0,0,0,0
populous,1,0,0,0,0,0,0,0,0,0,0,0,0,0
accord,0,0,0,0,0,0,0,0,0,0,0,0,55,0
historian,0,0,0,0,0,0,0,8,0,0,0,0,0,0
calamity,0,0,0,0,0,0,0,1,0,0,0,0,0,0
death,0,0,0,0,0,0,0,23,0,0,0,0,0,0
knell,0,0,0,0,0,0,0,1,0,0,0,0,0,0
drastic,1,0,0,0,0,0,0,0,0,0,0,0,0,0
change,0,0,0,0,0,0,0,9,0,0,0,0,9,0
bring,0,0,0,0,0,0,0,0,0,0,0,0,14,0
hasten,0,0,0,0,0,0,0,0,0,0,0,0,1,0
disappearance,0,0,0,0,0,0,0,1,0,0,0,0,0,0
characteristically,0,0,2,0,0,0,0,0,0,0,0,0,0,0
medieval,14,0,0,0,0,0,0,0,0,0,0,0,0,0
form,0,0,0,0,0,0,0,46,0,0,0,0,14,0
