word,ADJ,ADP,ADV,INTJ,NOUN,PRON,VERB
brave,2,0,0,0,0,0,0
good,6,0,0,0,0,0,0
man,0,0,0,0,24,0,0
people,0,0,0,0,7,0,0
love,0,0,0,0,0,0,4
go,0,0,0,0,0,0,1
away,0,1,3,0,0,0,0
brother,0,0,0,0,1,0,0
work,0,0,0,0,1,0,2
pay,0,0,0,0,0,0,2
taxis,0,0,0,0,1,0,0
house,0,0,0,0,3,0,0
animal,0,0,0,0,1,0,0
live,0,0,0,0,0,0,4
near,0,3,0,0,0,0,0
town,0,0,0,0,1,0,0
big,2,0,0,0,0,0,0
thief,0,0,0,0,3,0,0
help,0,0,0,0,0,0,4
home,0,0,1,0,1,0,0
money,0,0,0,0,4,0,0
afraid,2,0,0,0,0,0,0
traitor,0,0,0,0,1,0,0
find,0,0,0,0,0,0,1
bring,0,0,0,0,0,0,2
die,0,0,0,0,0,0,1
get,0,0,0,0,0,0,5
marry,0,0,0,0,0,0,6
today,0,0,0,0,1,0,0
castle,0,0,0,0,2,0,0
tell,0,0,0,0,0,0,3
want,0,0,0,0,0,0,9
kill,0,0,0,0,0,0,3
hide,0,0,0,0,0,0,3
outlaw,0,0,0,0,3,0,0
bad,3,0,0,0,0,0,0
hungry,2,0,0,0,0,0,0
rich,1,0,0,0,0,0,0
forest,0,0,0,0,7,0,0
stop,0,0,0,0,0,0,2
day,0,0,0,0,7,0,0
walk,0,0,0,0,0,0,2
wait,0,0,0,0,0,0,2
come,0,0,0,0,0,0,2
fight,0,0,0,0,0,0,5
crack,0,0,0,0,1,0,0
hit,0,0,0,0,0,0,3
time,0,0,0,0,2,0,0
laugh,0,0,0,0,0,0,1
hand,0,0,0,0,1,0,0
water,0,0,0,0,1,0,0
splash,0,0,0,0,2,0,0
look,0,0,0,0,0,0,4
sorry,2,0,0,0,0,0,0
think,0,0,0,0,0,0,2
change,0,0,0,0,0,0,1
summer,0,0,0,0,1,0,0
friend,0,0,0,0,5,0,0
river,0,0,0,0,3,0,0
carry,0,0,0,0,0,0,4
fat,2,0,0,0,0,0,0
anybody,0,0,0,0,0,1,0
wake,0,0,0,0,0,0,1
everybody,0,0,0,0,0,1,0
like,0,0,0,0,0,0,3
young,2,0,0,0,0,0,0
boy,0,0,0,0,4,0,0
hunt,0,0,0,0,0,0,1
deer,0,0,0,0,2,0,0
watch,0,0,0,0,0,0,1
hang,0,0,0,0,0,0,2
tomorrow,0,0,0,0,2,0,0
family,0,0,0,0,1,0,0
food,0,0,0,0,1,0,0
son,0,0,0,0,1,0,0
early,0,0,1,0,0,0,0
morning,0,0,0,0,1,0,0
window,0,0,0,0,1,0,0
suddenly,0,0,2,0,0,0,0
run,0,0,0,0,0,0,1
win,0,0,0,0,0,0,4
yes,0,0,0,3,0,0,0
idea,0,0,0,0,1,0,0
later,0,0,3,0,0,0,0
shooting,0,0,0,0,2,0,0
contest,0,0,0,0,6,0,0
winner,0,0,0,0,1,0,0
silver,2,0,0,0,0,0,0
arrow,0,0,0,0,5,0,0
interesting,1,0,0,0,0,0,0
catch,0,0,0,0,0,0,2
know,0,0,0,0,0,0,4
bow,0,0,0,0,1,0,0
shoot,0,0,0,0,0,0,2
target,0,0,0,0,1,0,0
centre,0,0,0,0,2,0,0
old,2,0,0,0,0,0,0
beard,0,0,0,0,1,0,0
badly,0,0,1,0,0,0,0
slow,1,0,0,0,0,0,0
visit,0,0,0,0,0,0,1
listen,0,0,0,0,0,0,1
daughter,0,0,0,0,3,0,0
understand,0,0,0,0,0,0,1
thing,0,0,0,0,1,0,0
see,0,0,0,0,0,0,1
sit,0,0,0,0,0,0,1
tree,0,0,0,0,1,0,0
true,2,0,0,0,0,0,0
sword,0,0,0,0,1,0,0
child,0,0,0,0,2,0,0
clang,0,0,0,1,0,0,0
year,0,0,0,0,1,0,0
stay,0,0,0,0,0,0,1
week,0,0,0,0,1,0,0
right,1,0,0,0,0,0,0
