word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
rise,0,0,0,0,0,0,0,0,0,0,60,0
contrary,1,0,0,0,0,0,10,0,0,0,0,0
descend,0,0,0,0,0,0,0,0,0,0,19,0
bad,13,0,0,0,0,0,0,0,0,0,0,0
captain,0,0,0,0,0,0,52,0,0,0,0,0
fall,0,0,0,0,0,0,14,0,0,0,38,0
sake,0,0,0,0,0,0,1,0,0,0,0,0
heave,0,0,0,0,0,0,0,0,0,0,4,0
ballast,0,0,0,0,0,0,3,0,0,0,0,0
sack,0,0,0,0,0,0,2,0,0,0,0,0
balloon,0,0,0,0,0,0,60,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,35,0
noise,0,0,0,0,0,0,10,0,0,0,0,0
like,1,60,0,0,0,0,0,0,0,0,8,0
dash,0,0,0,0,0,0,0,0,0,0,11,0
wave,0,0,0,0,0,0,30,0,0,0,1,0
sea,0,0,0,0,0,0,118,0,0,0,0,0
car,0,0,0,0,0,0,24,0,0,0,0,0
foot,0,0,0,0,0,0,129,0,0,0,0,0
overboard,0,0,3,0,0,0,0,0,0,0,0,0
weight,0,0,0,0,0,0,7,0,0,0,0,0
loud,9,0,0,0,0,0,0,0,0,0,0,0
startling,1,0,0,0,0,0,0,0,0,0,0,0
word,0,0,0,0,0,0,36,0,0,0,0,0
resound,0,0,0,0,0,0,0,0,0,0,5,0
air,0,0,0,0,0,0,37,0,0,0,0,0
vast,17,0,0,0,0,0,0,0,0,0,0,0
watery,3,0,0,0,0,0,0,0,0,0,0,0
desert,0,0,0,0,0,0,11,0,0,0,1,0
evening,0,0,0,0,0,0,33,0,0,0,0,0
possibly,0,0,7,0,0,0,0,0,0,0,0,0
forget,0,0,0,0,0,0,0,0,0,0,13,0
terrible,16,0,0,0,0,0,0,0,0,0,0,0
storm,0,0,0,0,0,0,25,0,0,0,0,0
northeast,4,0,0,0,0,0,9,0,0,0,0,0
middle,0,0,0,0,0,0,8,0,0,0,0,0
equinox,0,0,0,0,0,0,2,0,0,0,0,0
year,0,0,0,0,0,0,20,0,0,0,0,0
tempest,0,0,0,0,0,0,14,0,0,0,0,0
rage,0,0,0,0,0,0,1,0,0,0,3,0
intermission,0,0,0,0,0,0,2,0,0,0,0,0
ravage,0,0,0,0,0,0,2,0,0,0,1,0
cover,0,0,0,0,0,0,0,0,0,0,37,0
distance,0,0,0,0,0,0,51,0,0,0,0,0
eighteen,0,0,0,0,0,0,0,2,0,0,0,0
mile,0,0,0,0,0,0,78,0,0,0,0,0
extend,0,0,0,0,0,0,0,0,0,0,23,0
obliquely,0,0,5,0,0,0,0,0,0,0,0,0
equator,0,0,0,0,0,0,1,0,0,0,0,0
thirty,0,0,0,0,0,0,0,25,0,0,0,0
fifth,5,0,0,0,0,0,3,0,0,0,0,0
north,1,0,0,0,0,0,32,0,0,0,0,0
parallel,1,0,1,0,0,0,8,0,0,0,0,0
fortieth,5,0,0,0,0,0,0,0,0,0,0,0
south,4,0,0,0,0,0,22,0,0,0,0,0
town,0,0,0,0,0,0,11,0,0,0,0,0
overthrow,0,0,0,0,0,0,0,0,0,0,3,0
forest,0,0,0,0,0,0,45,0,0,0,0,0
uproot,0,0,0,0,0,0,0,0,0,0,1,0
coast,0,0,0,0,0,0,59,0,0,0,0,0
devastate,0,0,0,0,0,0,0,0,0,0,1,0
mountain,0,0,0,0,0,0,35,0,0,0,0,0
water,0,0,0,0,0,0,136,0,0,0,0,0
precipitate,0,0,0,0,0,0,0,0,0,0,2,0
vessel,0,0,0,0,0,0,8,0,0,0,0,0
cast,0,0,0,0,0,0,0,0,0,0,12,0
shore,0,0,0,0,0,0,90,0,0,0,0,0
publish,0,0,0,0,0,0,0,0,0,0,2,0
account,0,0,0,0,0,0,11,0,0,0,2,0
number,0,0,0,0,0,0,12,0,0,0,1,0
hundred,0,0,0,0,0,0,7,0,0,0,0,0
district,0,0,0,0,0,0,1,0,0,0,0,0
level,3,0,1,0,0,0,24,0,0,0,2,0
waterspout,0,0,0,0,0,0,3,0,0,0,0,0
destroy,0,0,0,0,0,0,0,0,0,0,8,0
pass,0,0,0,0,0,0,0,0,0,0,62,0
thousand,0,0,0,0,0,0,5,25,0,0,0,0
people,0,0,0,0,0,0,5,0,0,0,0,0
crush,0,0,0,0,0,0,0,0,0,0,2,0
land,0,0,0,0,0,0,58,0,0,0,11,0
drown,0,0,0,0,0,0,0,0,0,0,5,0
trace,0,0,0,0,0,0,17,0,0,0,4,0
fury,0,0,0,0,0,0,8,0,0,0,0,0
leave,0,0,0,0,0,0,10,0,0,0,56,0
devastating,1,0,0,0,0,0,0,0,0,0,0,0
surpass,0,0,0,0,0,0,0,0,0,0,1,0
disaster,0,0,0,0,0,0,1,0,0,0,0,0
frightfully,0,0,1,0,0,0,0,0,0,0,0,0
catastrophe,0,0,0,0,0,0,7,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,73,0
place,0,0,0,0,0,0,83,0,0,0,31,0
drama,0,0,0,0,0,0,1,0,0,0,0,0
exciting,2,0,0,0,0,0,0,0,0,0,0,0
enact,0,0,0,0,0,0,0,0,0,0,1,0
agitated,2,0,0,0,0,0,0,0,0,0,0,0
fact,0,0,0,0,0,0,33,0,0,0,0,0
ball,0,0,0,0,0,0,3,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,33,0
summit,0,0,0,0,0,0,26,0,0,0,0,0
circle,0,0,0,0,0,0,4,0,0,0,1,0
movement,0,0,0,0,0,0,9,0,0,0,0,0
column,0,0,0,0,0,0,3,0,0,0,0,0
