word,ADJ,ADP,ADV,NOUN,NUM,VERB,X
fast,1,0,4,0,0,0,0
growing,0,0,0,4,0,0,0
year,0,0,0,17,0,0,0
life,0,0,0,13,0,0,0
puberty,0,0,0,67,0,0,0
notice,0,0,0,0,0,6,0
physical,6,0,0,0,0,0,0
change,0,0,0,21,0,13,0
brain,0,0,0,7,0,0,0
get,0,0,0,0,0,16,0
ready,2,0,0,0,0,0,0
begin,0,0,0,0,0,37,0
early,6,0,2,0,0,0,0
age,0,0,0,16,0,0,0
girl,0,0,0,53,0,0,0
later,0,0,4,0,0,0,0
average,7,0,0,1,0,0,0
boy,0,0,0,45,0,0,0
send,0,0,0,0,0,2,0
signal,0,0,0,2,0,0,0
hormonal,2,0,0,0,0,0,0
stimulate,0,0,0,0,0,4,0
period,0,0,0,23,0,0,0
sexual,9,0,0,0,0,0,0
development,0,0,0,3,0,0,0
body,0,0,0,65,0,0,0
mature,1,0,0,0,0,4,0
adult,0,0,0,7,0,0,0
sign,0,0,0,6,0,0,0
occur,0,0,0,0,0,5,0
menstruation,0,0,0,1,0,0,0
follow,0,0,0,0,0,1,0
generally,0,0,4,0,0,0,0
start,0,0,0,2,0,41,0
case,0,0,0,6,0,0,0
hormone,0,0,0,31,0,0,0
chemical,0,0,0,3,0,0,0
gland,0,0,0,18,0,0,0
carry,0,0,0,0,0,6,0
bloodstream,0,0,0,2,0,0,0
act,0,0,0,0,0,2,0
different,8,0,0,0,0,0,0
part,0,0,0,2,0,0,0
work,0,0,0,0,0,14,0
trigger,0,0,0,1,0,3,0
target,0,0,0,1,0,0,0
cell,0,0,0,2,0,0,0
special,1,0,0,0,0,0,0
receptor,0,0,0,1,0,0,0
example,0,0,0,11,0,0,0
pituitary,1,0,0,0,0,0,0
make,0,0,0,0,0,18,0
growth,0,0,0,12,0,0,0
bone,0,0,0,4,0,0,0
foot,0,0,0,5,0,0,0
arm,0,0,0,5,0,0,0
leg,0,0,0,9,0,0,0
grow,0,0,0,0,0,39,0
long,3,0,3,0,0,0,0
happen,0,0,0,0,0,19,0
asleep,2,0,0,0,0,0,0
know,0,0,0,0,0,7,0
form,0,0,0,7,0,1,0
spurt,0,0,0,7,0,0,0
suddenly,0,0,1,0,0,0,0
big,6,0,1,0,0,0,0
tall,3,0,0,0,0,0,0
young,17,0,0,0,0,0,0
person,0,0,0,6,0,0,0
height,0,0,0,7,0,0,0
increase,0,0,0,2,0,8,0
inch,0,0,0,5,0,0,0
find,0,0,0,0,0,20,0
look,0,0,0,0,0,18,0
feel,0,0,0,1,0,72,0
bit,0,0,0,6,0,0,0
gangly,1,0,0,0,0,0,0
clumsy,1,0,0,0,0,0,0
rest,0,0,0,1,0,0,0
catch,0,0,0,0,0,1,0
quickly,0,0,2,0,0,0,0
outgrow,0,0,0,0,0,1,0
clothe,0,0,0,8,0,0,0
shoe,0,0,0,3,0,0,0
tired,4,0,0,0,0,0,0
need,0,0,0,0,0,9,0
sleep,0,0,0,4,0,4,0
use,0,0,0,1,0,9,0
energy,0,0,0,5,0,0,0
old,5,0,0,0,0,0,0
continue,0,0,0,0,0,3,0
prepare,0,0,0,0,0,2,0
sex,0,0,0,25,0,0,0
reproduction,0,0,0,1,0,0,0
produce,0,0,0,0,0,23,0
mix,0,0,0,1,0,1,0
male,7,0,0,1,0,0,0
female,7,0,0,3,0,0,0
mainly,0,0,2,0,0,0,0
bring,0,0,0,0,0,4,0
way,0,0,0,21,0,0,0
illusion,0,0,0,1,0,0,0
control,0,0,0,9,0,6,0
reality,0,0,0,1,0,0,0
usually,0,0,6,0,0,0,0
biology,0,0,0,1,0,0,0
particularly,0,0,3,0,0,0,0
obvious,1,0,0,0,0,0,0
great,3,0,0,0,0,0,0
rollercoaster,0,0,0,1,0,0,0
ride,0,0,0,1,0,0,0
british,1,0,0,0,0,0,0
medical,1,0,0,0,0,0,0
doctor,0,0,0,18,0,0,0
scientist,0,0,0,2,0,0,0
television,0,0,0,1,0,0,0
personality,0,0,0,1,0,0,0
politician,0,0,0,1,0,0,0
hair,0,0,0,27,0,0,0
word,0,0,0,3,0,0,0
mean,0,0,0,0,0,14,0
cover,0,0,0,0,0,3,0
fine,5,0,0,0,0,0,0
come,0,0,0,0,0,4,0
latin,1,0,0,0,0,0,0
pubescere,0,0,0,0,0,0,1
hairy,2,0,0,0,0,0,0
peer,1,0,0,5,0,0,0
group,0,0,0,5,0,0,0
bond,0,0,0,0,0,1,0
closely,0,0,1,0,0,0,0
people,0,0,0,27,0,0,0
share,0,0,0,0,0,1,0
pleasure,0,0,0,2,0,0,0
pitfall,0,0,0,1,0,0,0
go,0,0,0,0,0,6,0
ovary,0,0,0,4,0,0,0
adrenal,3,0,0,0,0,0,0
call,0,0,0,0,0,4,0
estrogen,0,0,0,7,0,0,0
progesterone,0,0,0,1,0,0,0
warning,0,0,0,3,0,0,0
normal,23,0,0,0,0,0,0
healthy,12,0,0,0,0,0,0
weight,0,0,0,27,0,0,0
page,0,0,0,12,0,0,0
diet,0,0,0,6,0,4,0
lose,0,0,0,0,0,4,0
advisable,1,0,0,0,0,0,0
diagnose,0,0,0,0,0,1,0
overweight,4,0,0,0,0,0,0
obese,4,0,0,0,0,0,0
health,0,0,0,8,0,0,0
risk,0,0,0,6,0,0,0
associate,0,0,0,0,0,1,0
eat,0,0,0,0,0,11,0
balanced,3,0,0,0,0,0,0
lack,0,0,0,4,0,0,0
vitamin,0,0,0,2,0,0,0
mineral,0,0,0,2,0,0,0
fruit,0,0,0,3,0,0,0
vegetable,0,0,0,3,0,0,0
cause,0,0,0,2,0,17,0
problem,0,0,0,13,0,0,0
depression,0,0,0,4,0,0,0
irritability,0,0,0,1,0,0,0
anemia,0,0,0,1,0,0,0
tiredness,0,0,0,1,0,0,0
difficulty,0,0,0,1,0,0,0
ache,0,0,0,1,0,1,0
joint,0,0,0,1,0,0,0
muscle,0,0,0,4,0,0,0
weakness,0,0,0,1,0,0,0
tooth,0,0,0,1,0,0,0
decay,0,0,0,1,0,0,0
skin,0,0,0,34,0,0,0
nausea,0,0,0,2,0,0,0
vomiting,0,0,0,1,0,0,0
headache,0,0,0,3,0,0,0
time,0,0,0,29,0,0,0
major,1,0,0,0,0,0,0
shape,0,0,0,7,0,0,0
curvi,1,0,0,0,0,0,0
hip,0,0,0,1,0,0,0
middle,0,0,0,1,0,0,0
breast,0,0,0,14,0,0,0
show,0,0,0,0,0,5,0
small,12,0,0,0,0,0,0
swelling,0,0,0,2,0,0,0
bud,0,0,0,1,0,0,0
nipple,0,0,0,6,0,0,0
vulva,0,0,0,2,0,0,0
outside,0,1,0,0,0,0,0
vagina,0,0,0,9,0,0,0
develop,0,0,0,0,0,10,0
labia,0,0,0,3,0,0,0
lip,0,0,0,4,0,0,0
sticky,1,0,0,0,0,0,0
clear,1,0,0,0,0,0,0
white,1,0,0,0,0,0,0
discharge,0,0,0,2,0,0,0
soon,0,0,3,0,0,0,0
pubic,2,0,0,0,0,0,0
area,0,0,0,9,0,0,0
normally,0,0,4,0,0,0,0
thick,3,0,0,0,0,0,0
dark,4,0,0,0,0,0,0
color,0,0,0,2,0,0,0
head,0,0,0,2,0,0,0
light,2,0,0,0,0,0,0
coarse,2,0,0,0,0,0,0
want,0,0,0,0,0,15,0
shave,0,0,0,0,0,5,0
wax,0,0,0,0,0,3,0
sweat,0,0,0,17,0,3,0
choose,0,0,0,0,0,6,0
underarm,2,0,0,4,0,0,0
deodorant,0,0,0,6,0,0,0
antiperspirant,0,0,0,6,0,0,0
