word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
sensible,7,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,114,0,0,0,0
good,34,0,0,0,0,0,0,0,0,0,0
character,0,0,0,0,0,0,2,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,17
father,0,0,0,0,0,0,6,0,0,0,0
shepherd,0,0,0,0,0,0,30,0,0,0,0
manage,0,0,0,0,0,0,0,0,0,0,12
save,0,0,0,0,0,0,0,0,0,0,11
money,0,0,0,0,0,0,22,0,0,0,0
rent,0,0,0,0,0,0,0,0,0,0,4
farm,0,0,0,0,0,0,66,0,0,0,1
tall,2,0,0,0,0,0,0,0,0,0,0
build,0,0,0,0,0,0,0,0,0,0,2
think,0,0,0,0,0,0,0,0,0,0,108
appearance,0,0,0,0,0,0,3,0,0,0,0
important,7,0,0,0,0,0,0,0,0,0,0
winter,0,0,0,0,0,0,4,0,0,0,0
morning,0,0,0,0,0,0,30,0,0,0,0
field,0,0,0,0,0,0,32,0,0,0,0
look,0,0,0,0,0,0,1,0,0,0,86
gate,0,0,0,0,0,0,15,0,0,0,0
yellow,4,0,0,0,0,0,0,0,0,0,0
cart,0,0,0,0,0,0,22,0,0,0,0
load,0,0,0,0,0,0,0,0,0,0,1
furniture,0,0,0,0,0,0,3,0,0,0,0
plant,0,0,0,0,0,0,8,0,0,0,2
come,0,0,0,0,0,0,0,0,0,0,93
road,0,0,0,0,0,0,14,0,0,0,0
right,13,0,9,0,0,0,1,0,0,0,0
pile,0,0,0,0,0,0,2,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,19
handsome,11,0,0,0,0,0,0,0,0,0,0
young,52,0,0,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,0,83,0,0,0,0
watch,0,0,0,0,0,0,8,0,0,0,20
stop,0,0,0,0,0,0,0,0,0,0,21
hill,0,0,0,0,0,0,15,0,0,0,0
driver,0,0,0,0,0,0,6,0,0,0,0
climb,0,0,0,0,0,0,0,0,0,0,12
fetch,0,0,0,0,0,0,0,0,0,0,2
fall,0,0,0,0,0,0,0,0,0,0,22
girl,0,0,0,0,0,0,25,0,0,0,0
quietly,0,0,13,0,0,0,0,0,0,0,0
sunshine,0,0,0,0,0,0,2,0,0,0,0
minute,0,0,0,0,0,0,10,0,0,0,0
pick,0,0,0,0,0,0,0,0,0,0,6
parcel,0,0,0,0,0,0,3,0,0,0,0
lie,0,0,0,0,0,0,1,0,0,0,12
round,2,6,3,0,0,0,0,0,0,0,0
sign,0,0,0,0,0,0,3,0,0,0,1
unwrap,0,0,0,0,0,0,0,0,0,0,1
take,0,0,0,0,0,0,0,0,0,0,22
mirror,0,0,0,0,0,0,5,0,0,0,0
contain,0,0,0,0,0,0,0,0,0,0,3
sun,0,0,0,0,0,0,5,0,0,0,0
shine,0,0,0,0,0,0,0,0,0,0,7
lovely,9,0,0,0,0,0,0,0,0,0,0
face,0,0,0,0,0,0,41,0,0,0,0
hair,0,0,0,0,0,0,21,0,0,0,0
summery,1,0,0,0,0,0,0,0,0,0,0
bright,7,0,0,0,0,0,0,0,0,0,0
red,13,0,0,0,0,0,1,0,0,0,0
jacket,0,0,0,0,0,0,4,0,0,0,0
fresh,2,0,0,0,0,0,0,0,0,0,0
green,2,0,0,0,0,0,0,0,0,0,0
smile,0,0,0,0,0,0,3,0,0,0,8
bird,0,0,0,0,0,0,1,0,0,0,0
vain,6,0,0,0,0,0,0,0,0,0,0
need,0,0,0,0,0,0,1,0,0,0,10
blush,0,0,0,0,0,0,2,0,0,0,14
dream,0,0,0,0,0,0,3,0,0,0,4
heart,0,0,0,0,0,0,15,0,0,0,0
win,0,0,0,0,0,0,0,0,0,0,3
lose,0,0,0,0,0,0,0,0,0,0,13
hear,0,0,0,0,0,0,0,0,0,0,30
footstep,0,0,0,0,0,0,5,0,0,0,0
pack,0,0,0,0,0,0,0,0,0,0,1
away,0,0,54,0,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0,0,0,12
downhill,0,0,1,0,0,0,0,0,0,0,0
