word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
dark,4,0,0,0,0,0,5,0,0,0,0,0
spruce,0,0,0,0,0,0,10,0,0,0,0,0
forest,0,0,0,0,0,0,19,0,0,0,0,0
frown,0,0,0,0,0,0,0,0,0,0,1,0
frozen,11,0,0,0,0,0,0,0,0,0,0,0
waterway,0,0,0,0,0,0,3,0,0,0,0,0
tree,0,0,0,0,0,0,43,0,0,0,0,0
strip,0,0,0,0,0,0,1,0,0,0,1,0
recent,2,0,0,0,0,0,0,0,0,0,0,0
wind,0,0,0,0,0,0,5,0,0,0,0,0
white,36,0,0,0,0,0,6,0,0,0,0,0
covering,0,0,0,0,0,0,2,0,0,0,0,0
frost,0,0,0,0,0,0,8,0,0,0,0,0
lean,12,0,0,0,0,0,0,0,0,0,6,0
black,4,0,0,0,0,0,0,0,0,0,0,0
ominous,6,0,0,0,0,0,0,0,0,0,0,0
fade,0,0,0,0,0,0,0,0,0,0,8,0
light,3,0,0,0,0,0,45,0,0,0,3,0
vast,4,0,0,0,0,0,0,0,0,0,0,0
silence,0,0,0,0,0,0,21,0,0,0,2,0
reign,0,0,0,0,0,0,1,0,0,0,1,0
land,0,0,0,0,0,0,17,0,0,0,6,0
desolation,0,0,0,0,0,0,2,0,0,0,0,0
lifeless,1,0,0,0,0,0,0,0,0,0,0,0
movement,0,0,0,0,0,0,50,0,0,0,0,0
lone,5,0,0,0,0,0,0,0,0,0,0,0
cold,9,0,0,0,0,0,2,0,0,0,0,0
spirit,0,0,0,0,0,0,18,0,0,0,0,0
sadness,0,0,0,0,0,0,2,0,0,0,0,0
hint,0,0,0,0,0,0,7,0,0,0,0,0
laughter,0,0,0,0,0,0,16,0,0,0,0,0
terrible,31,0,0,0,0,0,0,0,0,0,0,0
mirthless,1,0,0,0,0,0,0,0,0,0,0,0
smile,0,0,0,0,0,0,1,0,0,0,6,0
sphinx,0,0,0,0,0,0,1,0,0,0,0,0
partaking,1,0,0,0,0,0,0,0,0,0,0,0
grimness,0,0,0,0,0,0,1,0,0,0,0,0
infallibility,0,0,0,0,0,0,1,0,0,0,0,0
masterful,2,0,0,0,0,0,0,0,0,0,0,0
incommunicable,3,0,0,0,0,0,0,0,0,0,0,0
wisdom,0,0,0,0,0,0,8,0,0,0,0,0
eternity,0,0,0,0,0,0,1,0,0,0,0,0
laugh,0,0,0,0,0,0,1,0,0,0,32,0
futility,0,0,0,0,0,0,2,0,0,0,0,0
life,0,0,0,0,0,0,141,0,0,0,0,0
effort,0,0,0,0,0,0,22,0,0,0,0,0
savage,15,0,0,0,0,0,1,0,0,0,0,0
hearted,1,0,0,0,0,0,0,0,0,0,0,0
abroad,0,0,1,0,0,0,0,0,0,0,0,0
defiant,3,0,0,0,0,0,0,0,0,0,0,0
toil,0,0,0,0,0,0,4,0,0,0,9,0
string,0,0,0,0,0,0,5,0,0,0,1,0
wolfish,4,0,0,0,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,0,416,0,0,0,1,0
bristly,1,0,0,0,0,0,0,0,0,0,0,0
fur,0,0,0,0,0,0,15,0,0,0,0,0
rime,0,0,0,0,0,0,0,0,0,0,1,0
breath,0,0,0,0,0,0,12,0,0,0,0,0
freeze,0,0,0,0,0,0,0,0,0,0,7,0
air,0,0,0,0,0,0,52,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,53,0
mouth,0,0,0,0,0,0,39,0,0,0,0,0
spout,0,0,0,0,0,0,0,0,0,0,2,0
forth,0,1,13,0,0,0,0,0,0,0,0,0
spume,0,0,0,0,0,0,1,0,0,0,0,0
vapour,0,0,0,0,0,0,2,0,0,0,0,0
settle,0,0,0,0,0,0,0,0,0,0,8,0
hair,0,0,0,0,0,0,34,0,0,0,0,0
body,0,0,0,0,0,0,76,0,0,0,0,0
form,0,0,0,0,0,0,12,0,0,0,9,0
crystal,0,0,0,0,0,0,3,0,0,0,0,0
leather,0,0,0,0,0,0,11,0,0,0,0,0
harness,0,0,0,0,0,0,10,0,0,0,3,0
trace,0,0,0,0,0,0,7,0,0,0,0,0
attach,0,0,0,0,0,0,0,0,0,0,3,0
sled,0,0,0,0,0,0,66,0,0,0,0,0
drag,0,0,0,0,0,0,0,0,0,0,24,0
runner,0,0,0,0,0,0,4,0,0,0,0,0
stout,7,0,0,0,0,0,0,0,0,0,0,0
birch,0,0,0,0,0,0,3,0,0,0,0,0
bark,0,0,0,0,0,0,4,0,0,0,7,0
surface,0,0,0,0,0,0,12,0,0,0,0,0
rest,0,0,0,0,0,0,11,0,0,0,13,0
snow,0,0,0,0,0,0,73,0,0,0,0,0
end,0,0,0,0,0,0,61,0,0,0,3,0
turn,0,0,0,0,0,0,8,0,0,0,81,0
like,11,81,0,0,0,0,1,0,1,0,15,2
scroll,0,0,0,0,0,0,1,0,0,0,0,0
order,0,0,0,0,0,0,19,0,0,0,3,0
force,0,0,0,0,0,0,5,0,0,0,5,0
bore,0,0,0,0,0,0,1,0,0,0,0,0
soft,26,0,0,0,0,0,0,0,0,0,0,0
surge,0,0,0,0,0,0,3,0,0,0,13,0
wave,0,0,0,0,0,0,4,0,0,0,4,0
securely,0,0,4,0,0,0,0,0,0,0,0,0
lash,0,0,0,0,0,0,6,0,0,0,5,0
long,62,0,49,0,0,0,0,0,0,0,0,0
narrow,10,0,0,0,0,0,0,0,0,0,1,0
oblong,4,0,0,0,0,0,0,0,0,0,0,0
box,0,0,0,0,0,0,9,0,0,0,0,0
thing,0,0,0,0,0,0,138,0,0,0,0,0
blanket,0,0,0,0,0,0,14,0,0,0,0,0
axe,0,0,0,0,0,0,5,0,0,0,0,0
coffee,0,0,0,0,0,0,8,0,0,0,0,0
pot,0,0,0,0,0,0,6,0,0,0,0,0
frying,0,0,0,0,0,0,1,0,0,0,0,0
pan,0,0,0,0,0,0,3,0,0,0,0,0
prominent,1,0,0,0,0,0,0,0,0,0,0,0
occupy,0,0,0,0,0,0,0,0,0,0,6,0
space,0,0,0,0,0,0,17,0,0,0,0,0
advance,0,0,0,0,0,0,7,0,0,0,1,0
wide,14,0,7,0,0,0,0,0,0,0,0,0
snowshoe,0,0,0,0,0,0,5,0,0,0,0,0
man,0,0,0,0,0,0,274,0,0,0,0,0
rear,4,0,1,0,0,0,7,0,0,0,4,0
second,19,0,1,0,0,0,4,0,0,0,1,1
lie,0,0,0,0,0,0,3,0,0,0,74,0
conquer,0,0,0,0,0,0,0,0,0,0,1,0
beat,0,0,0,0,0,0,1,0,0,0,15,0
struggle,0,0,0,0,0,0,9,0,0,0,19,0
way,0,0,0,0,0,0,135,0,0,0,0,0
offence,0,0,0,0,0,0,2,0,0,0,0,0
aim,0,0,0,0,0,0,1,0,0,0,2,0
destroy,0,0,0,0,0,0,0,0,0,0,11,0
water,0,0,0,0,0,0,16,0,0,0,0,0
prevent,0,0,0,0,0,0,0,0,0,0,9,0
run,0,0,0,0,0,0,5,0,0,0,124,0
sea,0,0,0,0,0,0,2,0,0,0,0,0
drive,0,0,0,0,0,0,3,0,0,0,44,0
sap,0,0,0,0,0,0,2,0,0,0,0,0
till,0,0,0,0,0,0,0,0,0,14,0,0
mighty,3,0,0,0,0,0,0,0,0,0,0,0
heart,0,0,0,0,0,0,12,0,0,0,0,0
ferociously,0,0,4,0,0,0,0,0,0,0,0,0
terribly,0,0,8,0,0,0,0,0,0,0,0,0
harry,0,0,0,0,0,0,0,0,0,0,1,0
crush,0,0,0,0,0,0,0,0,0,0,7,0
submission,0,0,0,0,0,0,6,0,0,0,0,0
restless,6,0,0,0,0,0,0,0,0,0,0,0
revolt,0,0,0,0,0,0,3,0,0,0,2,0
dictum,0,0,0,0,0,0,1,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,271,0
cessation,0,0,0,0,0,0,2,0,0,0,0,0
unawed,1,0,0,0,0,0,0,0,0,0,0,0
indomitable,6,0,0,0,0,0,0,0,0,0,0,0
dead,29,0,0,0,0,0,0,0,0,0,0,0
cover,0,0,0,0,0,0,0,0,0,0,12,0
tanned,2,0,0,0,0,0,0,0,0,0,0,0
eyelash,0,0,0,0,0,0,1,0,0,0,0,0
cheek,0,0,0,0,0,0,2,0,0,0,0,0
lip,0,0,0,0,0,0,24,0,0,0,0,0
coated,2,0,0,0,0,0,0,0,0,0,0,0
face,0,0,0,0,0,0,51,0,0,0,19,0
discernible,1,0,0,0,0,0,0,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,73,0
ghostly,1,0,0,0,0,0,0,0,0,0,0,0
masque,0,0,0,0,0,0,1,0,0,0,0,0
undertaker,0,0,0,0,0,0,1,0,0,0,0,0
spectral,1,0,0,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,56,0,0,0,0,0
funeral,0,0,0,0,0,0,3,0,0,0,0,0
ghost,0,0,0,0,0,0,4,0,0,0,0,0
penetrate,0,0,0,0,0,0,0,0,0,0,1,0
mockery,0,0,0,0,0,0,1,0,0,0,0,0
puny,2,0,0,0,0,0,0,0,0,0,0,0
adventurer,0,0,0,0,0,0,2,0,0,0,0,0
bend,0,0,0,0,0,0,2,0,0,0,15,0
colossal,6,0,0,0,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,0,11,0,0,0,1,0
pit,0,0,0,0,0,0,0,0,0,0,2,1
remote,11,0,0,0,0,0,0,0,0,0,0,0
alien,2,0,0,0,0,0,0,0,0,0,0,0
pulseless,1,0,0,0,0,0,0,0,0,0,0,0
abyss,0,0,0,0,0,0,2,0,0,0,0,0
travel,0,0,0,0,0,0,0,0,0,0,13,0
speech,0,0,0,0,0,0,10,0,0,0,0,0
save,0,0,0,0,0,0,0,0,0,8,10,0
work,0,0,0,0,0,0,13,0,0,0,33,0
press,0,0,0,0,0,0,0,0,0,0,15,0
tangible,2,0,0,0,0,0,0,0,0,0,0,0
presence,0,0,0,0,0,0,10,0,0,0,0,0
affect,0,0,0,0,0,0,0,0,0,0,7,0
mind,0,0,0,0,0,0,20,0,0,0,6,0
atmosphere,0,0,0,0,0,0,4,0,0,0,0,0
deep,3,0,9,0,0,0,5,0,0,0,0,0
diver,0,0,0,0,0,0,1,0,0,0,0,0
