word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,PUNCT,VERB
world,0,0,0,0,5,0,0,0
fill,0,0,0,0,0,0,0,3
live,0,0,0,0,0,0,0,87
nonliving,6,0,0,0,0,0,0,0
thing,0,0,0,0,45,0,0,0
case,0,0,0,0,6,0,0,0
figure,0,0,0,0,0,0,0,1
alive,8,0,0,0,0,0,0,0
easy,1,0,0,0,0,0,0,0
instance,0,0,0,0,2,0,0,0
obvious,2,0,0,0,0,0,0,0
fuzzy,1,0,0,0,0,0,0,0
woodland,0,0,0,0,1,0,0,0
creature,0,0,0,0,5,0,0,0
scamper,0,0,0,0,0,0,0,1
field,0,0,0,0,3,0,0,0
rock,0,0,0,0,7,0,0,0
plunk,0,0,0,0,0,0,0,1
middle,0,0,0,0,1,0,0,0
science,0,0,0,0,1,0,0,0
leave,0,0,0,0,7,0,0,6
casual,1,0,0,0,0,0,0,0
observation,0,0,0,0,1,0,0,0
order,0,0,0,0,3,0,0,0
organism,0,0,0,0,100,0,0,0
pass,0,0,0,0,0,0,0,2
series,0,0,0,0,2,0,0,0
seven,0,0,0,0,0,3,0,0
test,0,0,0,0,5,0,0,0
concern,0,0,0,0,0,0,0,2
movement,0,0,0,0,7,0,0,0
able,8,0,0,0,0,0,0,0
location,0,0,0,0,1,0,0,0
example,0,0,0,0,21,0,0,0
second,2,0,0,0,0,0,0,0
type,0,0,0,0,16,0,0,0
consider,0,0,0,0,0,0,0,4
tree,0,0,0,0,12,0,0,0
place,0,0,0,0,9,0,0,0
ability,0,0,0,0,7,0,0,0
water,0,0,0,0,26,0,0,0
nutrient,0,0,0,0,17,0,0,0
material,0,0,0,0,12,0,0,0
internally,0,0,1,0,0,0,0,0
motion,0,0,0,0,3,0,0,0
occur,0,0,0,0,0,0,0,5
power,0,0,0,0,2,0,0,0
push,0,0,0,0,0,0,0,2
pull,0,0,0,0,0,0,0,2
force,0,0,0,0,0,0,0,1
count,0,0,0,0,0,0,0,1
sensitivity,0,0,0,0,1,0,0,0
respond,0,0,0,0,0,0,0,3
condition,0,0,0,0,12,0,0,0
environment,0,0,0,0,20,0,0,0
sense,0,0,0,0,2,0,0,0
plant,0,0,0,0,66,0,0,0
stretch,0,0,0,0,0,0,0,2
grow,0,0,0,0,0,0,0,19
sunlight,0,0,0,0,6,0,0,0
animal,0,0,0,0,55,0,0,0
people,0,0,0,0,3,0,0,0
flinch,0,0,0,0,0,0,0,1
hear,0,0,0,0,0,0,0,2
loud,1,0,0,0,0,0,0,0
sound,0,0,0,0,1,0,0,0
feel,0,0,0,0,0,0,0,3
sharp,1,0,0,0,0,0,0,0
touch,0,0,0,0,1,0,0,3
gather,0,0,0,0,0,0,0,1
source,0,0,0,0,8,0,0,0
energy,0,0,0,0,40,0,0,0
food,0,0,0,0,60,0,0,0
prove,0,0,0,0,0,0,0,2
eat,0,0,0,0,0,0,0,6
include,0,0,0,0,0,0,0,17
human,8,0,0,0,8,0,0,0
obtain,0,0,0,0,0,0,0,9
chemical,13,0,0,0,3,0,0,0
process,0,0,0,0,28,0,0,2
know,0,0,0,0,0,0,0,18
photosynthesis,0,0,0,0,11,0,0,0
right,0,0,1,0,0,0,0,0
away,0,0,4,0,0,0,0,0
store,0,0,0,0,0,0,0,9
later,1,0,2,0,0,0,0,0
use,0,0,0,0,4,0,0,16
create,0,0,0,0,0,0,0,8
essential,4,0,0,0,0,0,0,0
characteristic,0,0,0,0,3,0,0,0
call,0,0,0,0,0,0,0,54
respiration,0,0,0,0,8,0,0,0
involve,0,0,0,0,0,0,0,2
exchange,0,0,0,0,3,0,0,2
oxygen,0,0,0,0,28,0,0,0
carbon,0,0,0,0,25,0,0,0
dioxide,0,0,0,0,18,0,0,0
release,0,0,0,0,0,0,0,6
land,0,0,0,0,6,0,0,0
inhale,0,0,0,0,0,0,0,1
exhale,0,0,0,0,0,0,0,2
air,0,0,0,0,3,0,0,0
lung,0,0,0,0,5,0,0,0
fish,0,0,0,0,6,0,0,0
aquatic,3,0,0,0,0,0,0,0
absorb,0,0,0,0,0,0,0,6
expel,0,0,0,0,0,0,0,1
structure,0,0,0,0,16,0,0,0
gill,0,0,0,0,2,0,0,0
gas,0,0,0,0,5,0,0,0
stomata,0,0,0,0,3,0,0,0
pore,0,0,0,0,1,0,0,0
mean,0,0,0,0,2,0,0,7
new,19,0,0,0,0,0,0,0
