word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB,X
long,35,0,42,0,0,0,0,0,0,2,0
boat,0,0,0,0,0,0,5,0,0,0,0
float,0,0,0,0,0,0,0,0,0,1,0
broad,11,0,0,0,0,0,0,0,0,0,0
ebb,1,0,0,0,0,0,0,0,0,0,0
tide,0,0,0,0,0,0,1,0,0,0,0
current,0,0,0,0,0,0,1,0,0,0,0
crew,0,0,0,0,0,0,3,0,0,0,0
lazily,0,0,3,0,0,0,0,0,0,0,0
enjoy,0,0,0,0,0,0,0,0,0,7,0
respite,0,0,0,0,0,0,1,0,0,0,0
arduous,2,0,0,0,0,0,0,0,0,0,0
labor,0,0,0,0,0,0,2,0,0,0,0
row,0,0,0,0,0,0,0,0,0,1,0
stream,0,0,0,0,0,0,3,0,0,0,0
mile,0,0,0,0,0,0,7,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,58,0
ready,13,0,0,0,0,0,0,0,0,0,0
sail,0,0,0,0,0,0,0,0,0,3,0
soon,0,0,10,0,0,0,0,0,0,0,0
clamber,0,0,0,0,0,0,0,0,0,4,0
aboard,0,5,6,0,0,0,0,0,0,0,0
swing,0,0,0,0,0,0,1,0,0,20,0
davit,0,0,0,0,0,0,1,0,0,0,0
presently,0,0,19,0,0,0,0,0,0,0,0
attention,0,0,0,0,0,0,22,0,0,0,0
man,0,0,0,0,0,0,202,0,0,1,0
draw,0,0,0,0,0,0,0,0,0,14,0
dreaming,0,0,0,0,0,0,1,0,0,0,0
gossiping,0,0,0,0,0,0,1,0,0,0,0
northern,3,0,0,0,0,0,0,0,0,0,0
bank,0,0,0,0,0,0,6,0,0,0,0
river,0,0,0,0,0,0,6,0,0,0,0
scream,0,0,0,0,0,0,5,0,0,17,0
cracked,1,0,0,0,0,0,0,0,0,0,0
falsetto,0,0,0,0,0,0,1,0,0,0,0
skinny,1,0,0,0,0,0,0,0,0,0,0
arm,0,0,0,0,0,0,36,0,0,2,0
outstretche,0,0,0,0,0,0,0,0,0,1,0
stand,0,0,0,0,0,0,1,0,0,52,0
strange,33,0,0,0,0,0,0,0,0,0,0
apparition,0,0,0,0,0,0,4,0,0,0,0
wot,0,0,0,0,0,0,0,0,0,1,0
ell,0,0,0,0,0,0,1,0,0,0,0
ejaculate,0,0,0,0,0,0,0,0,0,1,0
white,75,0,0,0,0,0,3,0,0,0,0
mutter,0,0,0,0,0,0,0,0,0,4,0
mate,0,0,0,0,0,0,13,0,0,0,0
oar,0,0,0,0,0,0,1,0,0,0,0
boy,0,0,0,0,0,0,199,0,0,0,0
pull,0,0,0,0,0,0,0,0,0,6,0
want,0,0,0,0,0,0,1,0,0,21,0
come,0,0,0,0,0,0,0,0,0,177,0
close,9,0,48,0,0,0,1,0,0,20,0
shore,0,0,0,0,0,0,4,0,0,0,0
see,0,0,0,0,0,0,0,0,0,95,0
emaciated,1,0,0,0,0,0,0,0,0,0,0
creature,0,0,0,0,0,0,37,0,0,0,0
scant,1,0,0,0,0,0,0,0,0,0,0
lock,0,0,0,0,0,0,5,0,0,5,0
tangle,0,0,0,0,0,0,1,0,0,2,0
mat,0,0,0,0,0,0,1,0,0,1,0
thin,5,0,0,0,0,0,0,0,0,0,0
bent,2,0,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,0,60,0,0,0,0
naked,21,0,0,0,0,0,0,0,0,0,0
loin,0,0,0,0,0,0,3,0,0,0,0
cloth,0,0,0,0,0,0,5,0,0,0,0
tear,0,0,0,0,0,0,2,0,0,13,0
roll,0,0,0,0,0,0,5,0,0,13,0
sunken,1,0,0,0,0,0,0,0,0,0,0
pock,0,0,0,0,0,0,5,0,0,0,0
marked,2,0,0,0,0,0,0,0,0,0,0
cheek,0,0,0,0,0,0,8,0,0,0,0
jabber,0,0,0,0,0,0,0,0,0,8,0
tongue,0,0,0,0,0,0,9,0,0,0,0
hazard,0,0,0,0,0,0,0,0,0,1,0
savvy,1,0,0,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,21,0
brokenly,0,0,1,0,0,0,0,0,0,0,0
haltingly,0,0,1,0,0,0,0,0,0,0,0
year,0,0,0,0,0,0,37,0,0,0,0
beg,0,0,0,0,0,0,0,0,0,5,0
away,0,7,59,0,0,0,0,0,0,0,0
awful,3,0,0,0,0,0,0,0,0,0,0
country,0,0,0,0,0,0,3,0,0,0,0
board,0,0,0,0,0,0,3,0,0,1,0
stranger,0,0,0,0,0,0,19,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,39,0
rescuer,0,0,0,0,0,0,1,0,0,0,0
pitiful,3,0,0,0,0,0,0,0,0,0,0
tale,0,0,0,0,0,0,4,0,0,0,0
privation,0,0,0,0,0,0,3,0,0,0,0
hardship,0,0,0,0,0,0,1,0,0,0,0
torture,0,0,0,0,0,0,7,0,0,1,0
extend,0,0,0,0,0,0,0,0,0,2,0
period,0,0,0,0,0,0,4,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,8,0
leave,0,0,0,0,0,0,3,0,0,44,0
assume,0,0,0,0,0,0,0,0,0,2,0
forget,0,0,0,0,0,0,0,0,0,11,0
incident,0,0,0,0,0,0,1,0,0,0,0
life,0,0,0,0,0,0,54,0,0,0,0
prior,0,0,1,0,0,0,0,0,0,0,0
frightful,3,0,0,0,0,0,0,0,0,0,0
ordeal,0,0,0,0,0,0,1,0,0,0,0
wreck,0,0,0,0,0,0,2,0,0,2,0
mentally,0,0,3,0,0,0,0,0,0,0,0
physically,0,0,2,0,0,0,0,0,0,0,0
true,11,0,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,98,0
resemblance,0,0,0,0,0,0,2,0,0,0,0
sorry,3,0,0,0,0,0,0,0,0,0,0
virile,1,0,0,0,0,0,0,0,0,0,0
unprincipled,1,0,0,0,0,0,0,0,0,0,0
old,75,0,0,0,0,0,0,0,0,0,0
escape,0,0,0,0,0,0,7,0,0,13,0
fate,0,0,0,0,0,0,11,0,0,1,0
friend,0,0,0,0,0,0,42,0,0,0,0
arch,0,0,0,0,0,0,1,0,0,0,0
fiend,0,0,0,0,0,0,3,0,0,0,0
time,0,0,0,0,0,0,89,0,0,0,0
curse,0,0,0,0,0,0,0,0,0,4,0
give,0,0,0,0,0,0,0,0,0,36,0
death,0,0,0,0,0,0,19,0,0,0,0
immunity,0,0,0,0,0,0,3,0,0,0,0
suffering,0,0,0,0,0,0,5,0,0,0,0
mete,0,0,0,0,0,0,0,0,0,1,0
hideous,19,0,0,0,0,0,0,0,0,0,0
terror,0,0,0,0,0,0,30,0,0,0,0
existence,0,0,0,0,0,0,6,0,0,0,0
infinitely,0,0,5,0,0,0,0,0,0,0,0
bad,4,0,0,0,0,0,0,0,0,0,0
persistently,0,0,1,0,0,0,0,0,0,0,0
refuse,0,0,0,0,0,0,0,0,0,6,0
claim,0,0,0,0,0,0,0,0,0,7,0
take,0,0,0,0,0,0,0,0,0,34,0
jungle,0,0,0,0,0,0,122,0,0,0,0
beast,0,0,0,0,0,0,75,0,0,0,0
savage,47,0,0,0,0,0,10,0,0,0,0
lord,0,0,0,0,0,0,8,0,0,0,0
swarm,0,0,0,0,0,0,1,0,0,3,0
deck,0,0,0,0,0,0,1,0,0,1,0
lest,0,1,0,0,0,0,0,0,0,0,0
pursue,0,0,0,0,0,0,0,0,0,7,0
capture,0,0,0,0,0,0,2,0,0,3,0
stumble,0,0,0,0,0,0,0,0,0,3,0
