word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
night,0,0,0,0,0,0,0,33,0,0,0,0,0
father,0,0,0,0,0,0,0,197,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,0,64,0
evening,0,0,0,0,0,0,0,22,0,0,0,0,0
school,0,0,0,0,0,0,0,73,0,0,0,0,0
schoolhouse,0,0,0,0,0,0,0,9,0,0,0,0,0
light,6,0,0,0,0,0,0,11,0,0,0,7,0
workingman,0,0,0,0,0,0,0,16,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,0,56,0
enter,0,0,0,0,0,0,0,0,0,0,0,43,0
arrival,0,0,0,0,0,0,0,2,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,0,61,0
head,0,0,0,0,0,0,0,104,0,0,0,1,0
master,0,0,0,0,0,0,0,99,0,0,0,0,0
great,70,0,3,0,0,0,0,0,0,0,0,0,0
rage,0,0,0,0,0,0,0,2,0,0,0,2,0
little,195,0,5,0,0,0,0,0,0,0,0,0,0
glass,0,0,0,0,0,0,0,10,0,0,0,0,0
window,0,0,0,0,0,0,0,37,0,0,0,0,0
break,0,0,0,0,0,0,0,0,0,0,0,20,0
stone,0,0,0,0,0,0,0,6,0,0,0,0,0
beadle,0,0,0,0,0,0,0,2,0,0,0,0,0
dart,0,0,0,0,0,0,0,1,0,0,0,2,0
forth,0,0,12,0,0,0,0,0,0,0,0,0,0
seize,0,0,0,0,0,0,0,0,0,0,0,18,0
boy,0,0,0,0,0,0,0,197,0,0,0,0,0
hair,0,0,0,0,0,0,0,21,0,0,0,0,0
pass,0,0,0,0,0,0,0,0,0,0,0,78,0
live,0,0,0,0,0,0,0,0,0,0,0,30,0
house,0,0,0,0,0,0,0,47,0,0,0,0,0
opposite,3,0,2,0,0,0,0,0,0,0,0,0,0
present,6,0,0,0,0,0,0,1,0,0,0,16,0
right,6,0,2,0,0,0,0,9,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,0,90,0
eye,0,0,0,0,0,0,0,74,0,0,0,0,0
throw,0,0,0,0,0,0,0,0,0,0,0,15,0
say,0,0,0,0,0,0,0,0,0,0,0,212,0
woe,0,0,0,0,0,0,0,0,0,0,0,1,0
tell,0,0,0,0,0,0,0,0,0,0,0,45,0
afraid,6,0,0,0,0,0,0,0,0,0,0,0,0
declare,0,0,0,0,0,0,0,0,0,0,0,4,0
expel,0,0,0,0,0,0,0,0,0,0,0,2,0
good,113,0,0,0,0,0,3,3,0,0,0,0,0
meantime,0,0,0,0,0,0,0,9,0,0,0,0,0
watch,0,0,0,0,0,0,0,1,0,0,0,11,0
two,0,0,0,0,0,0,0,1,0,0,0,0,0
three,0,0,0,0,0,0,0,1,0,0,0,0,0
fine,25,0,1,0,0,0,0,0,0,0,0,0,0
upwards,0,0,1,0,0,0,0,0,0,0,0,0,0
bearded,3,0,0,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,0,112,0,0,0,0,0
way,0,0,0,0,0,0,0,51,0,0,0,0,0
work,0,0,0,0,0,0,0,30,0,0,0,21,0
carry,0,0,0,0,0,0,0,0,0,0,0,34,0
book,0,0,0,0,0,0,0,37,0,0,0,0,0
copy,0,0,0,0,0,0,0,18,0,0,0,6,0
carpenter,0,0,0,0,0,0,0,2,0,0,0,0,0
engineer,0,0,0,0,0,0,0,13,0,0,0,0,0
black,30,0,0,0,0,0,0,5,0,0,0,0,0
face,0,0,0,0,0,0,0,90,0,0,0,1,0
mason,0,0,0,0,0,0,0,28,0,0,0,0,0
hand,0,0,0,0,0,0,0,168,0,0,0,9,0
white,37,0,0,0,0,0,0,2,0,0,0,0,0
plaster,0,0,0,0,0,0,0,3,0,0,0,0,0
baker,0,0,0,0,0,0,0,2,0,0,0,0,0
flour,0,0,0,0,0,0,0,1,0,0,0,0,0
perceptible,4,0,0,0,0,0,0,0,0,0,0,0,0
odor,0,0,0,0,0,0,0,4,0,0,0,0,0
varnish,0,0,0,0,0,0,0,1,0,0,0,0,0
hide,0,0,0,0,0,0,0,1,0,0,0,3,0
fish,0,0,0,0,0,0,0,2,0,0,0,0,0
trade,0,0,0,0,0,0,0,3,0,0,0,0,0
squad,0,0,0,0,0,0,0,1,0,0,0,0,0
artillery,0,0,0,0,0,0,0,9,0,0,0,0,0
workman,0,0,0,0,0,0,0,8,0,0,0,0,0
dress,0,0,0,0,0,0,0,3,0,0,0,33,0
like,1,102,0,0,0,0,0,0,0,0,0,7,0
soldier,0,0,0,0,0,0,0,23,0,0,0,0,0
corporal,0,0,0,0,0,0,0,8,0,0,0,0,0
file,0,0,0,0,0,0,0,3,0,0,0,6,0
briskly,0,0,3,0,0,0,0,0,0,0,0,0,0
bench,0,0,0,0,0,0,0,19,0,0,0,0,0
remove,0,0,0,0,0,0,0,0,0,0,0,7,0
board,0,0,0,0,0,0,0,10,0,0,0,0,0
underneath,0,0,1,0,0,0,0,0,0,0,0,0,0
foot,0,0,0,0,0,0,0,32,0,0,0,0,0
immediately,0,0,5,0,0,0,0,0,0,0,0,0,0
bend,0,0,0,0,0,0,0,0,0,0,0,14,0
step,0,0,0,0,0,0,0,5,0,0,0,5,0
teacher,0,0,0,0,0,0,0,63,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,0,39,0
explanation,0,0,0,0,0,0,0,3,0,0,0,0,0
open,21,0,0,0,0,0,0,0,0,0,0,32,0
catch,0,0,0,0,0,0,0,0,0,0,0,16,0
sight,0,0,0,0,0,0,0,26,0,0,0,0,0
young,25,0,0,0,0,0,0,0,0,0,0,0,0
lawyer,0,0,0,0,0,0,0,2,0,0,0,0,0
cluster,0,0,0,0,0,0,0,1,0,0,0,1,0
round,1,20,9,0,0,0,0,4,0,0,0,0,0
table,0,0,0,0,0,0,0,26,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,0,30,0
correction,0,0,0,0,0,0,0,2,0,0,0,0,0
pen,0,0,0,0,0,0,0,8,0,0,0,0,0
lame,1,0,0,0,0,0,0,0,0,0,0,0,0
laugh,0,0,0,0,0,0,0,5,0,0,0,32,0
dyer,0,0,0,0,0,0,0,1,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,0,16,0
adorn,0,0,0,0,0,0,0,0,0,0,0,2,0
red,47,0,0,0,0,0,0,1,0,0,0,0,0
blue,16,0,0,0,0,0,0,1,0,0,0,0,0
dye,0,0,0,0,0,0,0,1,0,0,0,0,0
recover,0,0,0,0,0,0,0,0,0,0,0,13,0
return,0,0,0,0,0,0,0,3,0,0,0,30,0
morrow,0,0,0,0,0,0,0,19,0,0,0,0,0
door,0,0,0,0,0,0,0,40,0,0,0,0,0
schoolroom,0,0,0,0,0,0,0,7,0,0,0,0,0
amazed,5,0,0,0,0,0,0,0,0,0,0,0,0
lesson,0,0,0,0,0,0,0,11,0,0,0,0,0
attentive,4,0,0,0,0,0,0,0,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,0,0,0,19,0
fix,0,0,0,0,0,0,0,0,0,0,0,6,0
fear,0,0,0,0,0,0,0,9,0,0,0,9,0
late,4,0,2,0,0,0,0,0,0,0,0,0,0
home,0,0,14,0,0,0,0,12,0,0,0,0,0
eat,0,0,0,0,0,0,0,0,0,0,0,17,0
mouthful,0,0,0,0,0,0,0,2,0,0,0,0,0
supper,0,0,0,0,0,0,0,1,0,0,0,0,0
hungry,1,0,0,0,0,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,0,10,0,0,0,0,0
half,5,0,5,0,0,11,0,3,0,0,0,0,0
hour,0,0,0,0,0,0,0,34,0,0,0,0,0
fall,0,0,0,0,0,0,0,2,0,0,0,37,0
sleep,0,0,0,0,0,0,0,14,0,0,0,13,0
go,0,0,0,0,0,0,0,0,0,0,0,90,0
fast,0,0,5,0,0,0,0,0,0,0,0,0,0
asleep,8,0,2,0,0,0,0,0,0,0,0,0,0
wake,0,0,0,0,0,0,0,0,0,0,0,7,0
poke,0,0,0,0,0,0,0,0,0,0,0,1,0
ear,0,0,0,0,0,0,0,16,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,0,45,0
sort,0,0,0,0,0,0,0,10,0,0,0,0,0
awake,3,0,0,0,0,0,0,0,0,0,0,6,0
listen,0,0,0,0,0,0,0,0,0,0,0,12,0
mouth,0,0,0,0,0,0,0,18,0,0,0,0,0
wide,2,0,10,0,0,0,0,0,0,0,0,0,0
wink,0,0,0,0,0,0,0,0,0,0,0,1,0
deep,8,0,0,0,0,0,0,0,0,0,0,0,0
impression,0,0,0,0,0,0,0,2,0,0,0,0,0
ascend,0,0,0,0,0,0,0,0,0,0,0,6,0
story,0,0,0,0,0,0,0,18,0,0,0,0,0
floor,0,0,0,0,0,0,0,13,0,0,0,0,0
run,0,0,0,0,0,0,0,4,0,0,0,54,0
seat,0,0,0,0,0,0,0,11,0,0,0,18,0
big,20,0,0,0,0,0,0,0,0,0,0,0,0
mustache,0,0,0,0,0,0,0,5,0,0,0,0,0
bandage,0,0,0,0,0,0,0,1,0,0,0,2,0
injure,0,0,0,0,0,0,0,0,0,0,0,2,0
machine,0,0,0,0,0,0,0,1,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,0,13,0
write,0,0,0,0,0,0,0,0,0,0,0,22,0
slowly,0,0,16,0,0,0,0,0,0,0,0,0,0
please,0,0,0,0,0,0,0,0,0,0,0,4,0
behold,0,0,0,0,0,0,0,0,0,0,0,33,0
corner,0,0,0,0,0,0,0,16,0,0,0,0,0
huge,11,0,0,0,0,0,0,0,0,0,0,0,0
giant,0,0,0,0,0,0,0,4,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,0,0,14,0
coil,0,0,0,0,0,0,0,1,0,0,0,1,0
narrow,4,0,0,0,0,0,0,0,0,0,0,0,0
space,0,0,0,0,0,0,0,7,0,0,0,0,0
chin,0,0,0,0,0,0,0,6,0,0,0,0,0
fist,0,0,0,0,0,0,0,9,0,0,0,0,0
absorbed,2,0,0,0,0,0,0,0,0,0,0,0,0
hardly,0,0,16,0,0,0,0,0,0,0,0,0,0
breathe,0,0,0,0,0,0,0,0,0,0,0,6,0
chance,0,0,0,0,0,0,0,1,0,0,0,1,0
come,0,0,0,0,0,0,0,0,0,0,0,146,0
favor,0,0,0,0,0,0,0,4,0,0,0,0,0
place,0,0,0,0,0,0,0,24,0,0,0,24,0
hare,0,0,0,0,0,0,0,6,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,0,19,0
son,0,0,0,0,0,0,0,83,0,0,0,0,0
end,0,0,0,0,0,0,0,33,0,0,0,2,0
street,0,0,0,0,0,0,0,55,0,0,0,0,0
