word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB
american,4,0,0,0,0,0,0,0,0
businessman,0,0,0,0,0,1,0,0,0
buy,0,0,0,0,0,0,0,0,5
house,0,0,0,0,0,29,0,0,0
call,0,0,0,0,0,0,0,0,2
people,0,0,0,0,0,9,0,0,0
tell,0,0,0,0,0,0,0,0,12
dangerous,1,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,9,0,0,0
everybody,0,0,0,0,0,0,0,6,0
know,0,0,0,0,0,0,0,0,10
ghost,0,0,0,0,0,79,0,0,0
like,0,9,0,0,0,0,0,0,4
live,0,0,0,0,0,0,0,0,4
say,0,0,0,0,0,0,0,0,50
family,0,0,0,0,0,28,0,0,0
see,0,0,0,0,0,0,0,0,14
wife,0,0,0,0,0,6,0,0,0
grandmother,0,0,0,0,0,1,0,0,0
night,0,0,0,0,0,24,0,0,0
dress,0,0,0,0,0,2,0,0,1
dinner,0,0,0,0,0,4,0,0,0
skeleton,0,0,0,0,0,9,0,0,0
hand,0,0,0,0,0,10,0,0,0
shoulder,0,0,0,0,0,2,0,0,0
ill,5,0,0,0,0,0,0,0,0
year,0,0,0,0,0,8,0,0,0
get,0,0,0,0,0,0,0,0,15
sleep,0,0,0,0,0,4,0,0,7
noise,0,0,0,0,0,6,0,0,0
answer,0,0,0,0,0,1,0,0,6
come,0,0,0,0,0,0,0,0,24
modern,4,0,0,0,0,0,0,0,0
country,0,0,0,0,0,5,0,0,0
nearly,0,0,4,0,0,0,0,0,0
send,0,0,0,0,0,0,0,0,4
home,0,0,3,0,0,0,0,0,0
pay,0,0,0,0,0,1,0,0,7
afraid,5,0,0,0,0,0,0,0,0
smile,0,0,0,0,0,5,0,0,4
appear,0,0,0,0,0,0,0,0,8
death,0,0,0,0,0,7,0,0,0
doctor,0,0,0,0,0,1,0,0,0
sir,0,0,0,0,0,2,0,0,0
famous,9,0,0,0,0,0,0,0,0
old,12,0,0,0,0,0,0,0,0
british,1,0,0,0,0,0,0,0,0
happy,9,0,0,0,0,0,0,0,0
right,1,0,1,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,4
week,0,0,0,0,0,5,0,0,0
