word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
probably,0,0,51,0,0,0,0,0,0,0
familiar,2,0,0,0,0,0,0,0,0,0
dramatic,7,0,0,0,0,0,0,0,0,0
age,0,0,0,0,0,89,0,0,0,0
dinosaur,0,0,0,0,0,7,0,0,0,0
dominate,0,0,0,0,0,0,0,0,33,0
follow,0,0,0,0,0,0,0,0,56,0
contain,0,0,0,0,0,0,0,0,66,0
intense,8,0,0,0,0,0,0,0,0,0
increase,0,0,0,0,0,21,0,0,28,0
biodiversity,0,0,0,0,0,2,0,0,0,0
history,0,0,0,0,0,24,0,0,0,0
cambrian,191,0,0,0,0,0,0,0,0,0
explosion,0,0,0,0,0,13,0,0,0,0
subsequent,10,0,0,0,0,0,0,0,0,0
ordovician,203,0,0,0,0,0,0,0,0,0
radiation,0,0,0,0,0,21,0,0,0,0
large,143,0,0,0,0,0,0,0,0,0
extinction,0,0,0,0,0,95,0,0,0,0
event,0,0,0,0,0,74,0,0,0,0
world,0,0,0,0,0,46,0,0,0,0
know,0,0,0,0,0,0,0,0,164,0
permian,134,0,0,0,0,0,0,0,0,0
wipe,0,0,0,0,0,0,0,0,1,0
percent,0,0,0,0,0,31,0,0,0,0
marine,229,0,0,0,0,1,0,0,0,0
specie,0,0,0,0,0,123,0,0,0,0
roughly,0,0,17,0,0,0,0,0,0,0
land,0,0,0,0,0,69,0,0,0,0
time,0,0,0,0,0,255,0,0,1,0
great,46,0,1,0,0,0,0,0,0,0
geological,5,0,0,0,0,0,0,0,0,0
change,0,0,0,0,0,48,0,0,13,0
landmass,0,0,0,0,0,38,0,0,0,0
migrate,0,0,0,0,0,0,0,0,4,0
collide,0,0,0,0,0,0,0,0,7,0
eventually,0,0,10,0,0,0,0,0,0,0
create,0,0,0,0,0,0,0,0,11,0
supercontinent,0,0,0,0,0,25,0,0,0,0
call,0,0,0,0,0,0,0,0,52,0
sea,0,0,0,0,0,166,0,0,0,0
level,1,0,0,0,0,114,0,0,0,0
rise,0,0,0,0,0,28,0,0,14,0
drown,0,0,0,0,0,0,0,0,2,0
continent,0,0,0,0,0,116,0,0,0,0
fall,0,0,0,0,0,8,0,0,8,0
old,51,0,0,0,0,0,0,0,0,0
mountain,0,0,0,0,0,31,0,0,0,0
range,0,0,0,0,0,28,0,0,11,0
form,0,0,0,0,0,150,0,0,134,0
life,0,0,0,0,0,68,0,0,0,0
move,0,0,0,0,0,0,0,0,16,0
ocean,0,0,0,0,0,67,0,0,0,0
dry,10,0,0,0,0,0,0,0,2,0
insect,0,0,0,0,0,20,0,0,0,0
take,0,0,0,0,0,0,0,0,36,0
wing,0,0,0,0,0,5,0,0,0,0
evolutionary,20,0,0,0,0,0,0,0,0,0
advance,0,0,0,0,0,10,0,0,2,0
place,0,0,0,0,0,29,0,0,17,0
set,0,0,0,0,0,2,0,0,10,0
stage,0,0,0,0,0,133,0,0,0,0
today,0,0,0,0,0,35,0,0,0,0
include,0,0,0,0,0,0,0,0,157,0
development,0,0,0,0,0,39,0,0,0,0
plant,0,0,0,0,0,132,0,0,0,0
seed,0,0,0,0,0,31,0,0,0,0
shell,0,0,0,0,0,197,0,0,2,0
egg,0,0,0,0,0,14,0,0,0,0
organism,0,0,0,0,0,68,0,0,0,0
capable,6,0,0,0,0,0,0,0,0,0
breathe,0,0,0,0,0,0,0,0,4,0
air,0,0,0,0,0,8,0,0,0,0
geologic,40,0,0,0,0,0,0,0,0,0
pretty,0,0,1,0,0,0,0,0,0,0
page,0,0,0,0,0,1,0,0,0,0
clue,0,0,0,0,0,2,0,0,0,0
scientist,0,0,0,0,0,17,0,0,0,0
decipher,0,0,0,0,0,0,0,0,1,0
explore,0,0,0,0,0,0,0,0,1,0
span,0,0,0,0,0,4,0,0,16,0
nearly,0,0,17,0,0,0,0,0,0,0
million,0,0,0,0,0,2,404,0,0,0
year,0,0,0,0,0,305,0,0,0,0
ago,0,0,238,0,0,0,0,0,0,0
cover,0,0,0,0,0,4,0,0,37,0
half,0,0,0,0,1,9,3,0,0,0
phanerozoic,2,0,0,0,0,0,0,0,0,0
human,0,0,0,0,0,1,0,0,0,0
live,1,0,0,0,0,0,0,0,75,0
divide,0,0,0,0,0,0,0,0,36,0
number,0,0,0,0,0,24,0,0,2,0
small,144,0,0,0,0,0,0,0,0,0
period,0,0,0,0,0,195,0,0,0,0
begin,0,0,0,0,0,0,0,0,46,0
approximately,0,0,24,0,0,0,0,0,0,0
silurian,157,0,0,0,0,0,0,0,0,0
devonian,226,0,0,0,0,0,0,0,0,0
carboniferous,122,0,0,0,0,0,0,0,0,0
name,0,0,0,0,0,8,0,0,26,0
derive,0,0,0,0,0,0,0,0,46,0
location,0,0,0,0,0,19,0,0,0,0
rock,0,0,0,0,0,462,0,0,0,0
fossil,21,0,0,0,0,366,0,0,0,0
discover,0,0,0,0,0,0,0,0,13,0
study,0,0,0,0,0,16,0,0,24,0
exception,0,0,0,0,0,6,0,0,0,0
coal,0,0,0,0,0,58,0,0,0,0
bed,0,0,0,0,0,56,0,0,0,0
provide,0,0,0,0,0,0,0,0,26,0
significant,33,0,0,0,0,0,0,0,0,0
portion,0,0,0,0,0,49,0,0,0,0
energy,0,0,0,0,0,6,0,0,0,0
need,0,0,0,0,0,1,0,0,2,0
transition,0,0,0,0,0,19,0,0,0,0
environment,0,0,0,0,0,84,0,0,0,0
global,62,0,0,0,0,0,0,0,0,0
temperature,0,0,0,0,0,41,0,0,0,0
cool,18,0,0,0,0,0,0,0,2,0
suddenly,0,0,3,0,0,0,0,0,0,0
warm,40,0,0,0,0,0,0,0,5,0
average,8,0,0,0,0,0,0,0,2,0
polar,16,0,0,0,0,0,0,0,0,0
