word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,SCONJ,VERB,X
century,0,0,0,0,0,42,0,0,0,0
half,3,0,0,3,0,4,0,0,0,0
remarkable,7,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,40,0,0,0,0
world,0,0,0,0,0,23,0,0,0,0
history,0,0,0,0,0,2,0,0,0,0
continent,0,0,0,0,0,12,0,0,0,0
great,55,0,0,0,0,0,0,0,0,0
civilization,0,0,0,0,0,2,0,0,0,0
develop,0,0,0,0,0,0,0,0,7,0
highly,0,0,1,0,0,0,0,0,0,0
sophisticated,2,0,0,0,0,0,0,0,0,0
culture,0,0,0,0,0,2,0,0,0,0
dynasty,0,0,0,0,0,2,0,0,0,0
series,0,0,0,0,0,14,0,0,0,0
small,18,0,0,0,0,0,0,0,0,0
polity,0,0,0,0,0,1,0,0,0,0
eventually,0,0,6,0,0,0,0,0,0,0
mughal,1,0,0,0,0,0,0,0,0,0
empire,0,0,0,0,0,13,0,0,0,0
early,38,0,15,0,0,0,0,0,0,0
land,0,0,0,0,0,64,0,0,10,0
especially,0,0,13,0,0,0,0,0,0,0
external,1,0,0,0,0,0,0,0,0,0
focus,0,0,0,0,0,4,0,0,1,0
prevent,0,0,0,0,0,0,0,0,6,0
incursion,0,0,0,0,0,1,0,0,0,0
dominate,0,0,0,0,0,0,0,0,2,0
previous,4,0,0,0,0,0,0,0,0,0
enduring,1,0,0,0,0,0,0,0,0,0
legacy,0,0,0,0,0,2,0,0,0,0
remain,0,0,0,0,0,3,0,0,30,0
section,0,0,0,0,0,1,0,0,0,0
testament,0,0,0,0,0,2,0,0,0,0
enormous,4,0,0,0,0,0,0,0,0,0
resource,0,0,0,0,0,2,0,0,0,0
expend,0,0,0,0,0,0,0,0,1,0
maintain,0,0,0,0,0,0,0,0,6,0
expand,0,0,0,0,0,0,0,0,3,0
barrier,0,0,0,0,0,3,0,0,0,0
symbolic,1,0,0,0,0,0,0,0,0,0
effort,0,0,0,0,0,12,0,0,0,0
outsider,0,0,0,0,0,1,0,0,0,0
bay,0,0,0,0,0,4,0,0,0,0
nation,0,0,0,0,0,7,0,0,0,0
centre,0,0,1,0,0,8,0,0,1,0
monarchy,0,0,0,0,0,3,0,0,0,0
begin,0,0,0,0,0,0,0,0,28,0
emerge,0,0,0,0,0,0,0,0,5,0
manor,0,0,0,0,0,2,0,0,0,0
base,0,0,0,0,0,9,0,0,5,0
decentralized,1,0,0,0,0,0,0,0,0,0
feudal,2,0,0,0,0,0,0,0,0,0
society,0,0,0,0,0,1,0,0,0,0
place,0,0,0,0,0,11,0,0,6,0
process,0,0,0,0,0,4,0,0,0,0
progress,0,0,0,0,0,2,0,0,3,0
degree,0,0,0,0,0,5,0,0,0,0
beginning,0,0,0,0,0,9,0,0,0,0
centralized,2,0,0,0,0,0,0,0,0,0
authority,0,0,0,0,0,10,0,0,0,0
