word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
use,0,0,0,0,0,0,9,0,0,0,4,0
child,0,0,0,0,0,0,37,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,43,0
stop,0,0,0,0,0,0,3,0,0,0,21,0
tell,0,0,0,0,0,0,0,0,0,0,56,0
tale,0,0,0,0,0,0,2,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,80,0
lot,0,0,0,0,0,0,11,0,0,0,0,0
story,0,0,0,0,0,0,14,0,0,0,0,0
hope,0,0,0,0,0,0,1,0,0,0,10,0
time,0,0,0,0,0,0,112,0,0,0,0,0
loving,2,0,0,0,0,0,0,0,0,0,0,0
tyrant,0,0,0,0,0,0,1,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,0,9,0
cry,0,0,0,0,0,0,3,0,0,0,42,0
obey,0,0,0,0,0,0,0,0,0,0,3,0
command,0,0,0,0,0,0,2,0,0,0,4,0
flood,0,0,0,0,0,0,0,0,0,0,3,0
thousand,0,0,0,0,0,0,1,3,0,0,0,0
suggestion,0,0,0,0,0,0,5,0,0,0,0,0
regard,0,0,0,0,0,0,1,0,0,0,1,0
honestly,0,0,1,0,0,0,0,0,0,0,0,0
try,0,0,0,0,0,0,0,0,0,0,31,0
adopt,0,0,0,0,0,0,0,0,0,0,1,0
fit,1,0,0,0,0,0,1,0,0,0,4,0
wonderful,12,0,0,0,0,0,0,0,0,0,0,0
success,0,0,0,0,0,0,5,0,0,0,0,0
evident,2,0,0,0,0,0,0,0,0,0,0,0
firm,5,0,0,0,0,0,0,0,0,0,0,0
fixture,0,0,0,0,0,0,1,0,0,0,0,0
little,143,0,3,0,0,0,0,0,0,0,0,0
one,0,0,0,0,0,0,3,0,0,0,0,0
love,0,0,0,0,0,0,2,0,0,0,16,0
small,26,0,0,0,0,0,0,0,0,0,0,0
friend,0,0,0,0,0,0,65,0,0,0,0,0
aptly,0,0,1,0,0,0,0,0,0,0,0,0
state,0,0,0,0,0,0,3,0,0,0,2,0
real,22,0,0,0,0,0,0,0,0,0,0,0
sweet,9,0,0,0,0,0,0,0,0,0,0,0
gentle,5,0,0,0,0,0,0,0,0,0,0,0
innocent,8,0,0,0,0,0,0,0,0,0,0,0
heroine,0,0,0,0,0,0,1,0,0,0,0,0
strange,27,0,0,0,0,0,0,0,0,0,0,0
adventure,0,0,0,0,0,0,12,0,0,0,0,0
request,0,0,0,0,0,0,1,0,0,0,2,0
correspondent,0,0,0,0,0,0,2,0,0,0,0,0
jolly,1,0,0,0,0,0,0,0,0,0,0,0
old,40,0,0,0,0,0,0,0,0,0,0,0
fellow,1,0,0,0,0,0,2,0,0,0,0,0
host,0,0,0,0,0,0,1,0,0,0,0,0
book,0,0,0,0,0,0,7,0,0,0,0,0
spite,0,0,0,0,0,0,5,0,0,0,0,0
fact,0,0,0,0,0,0,13,0,0,0,0,0
frankly,0,0,1,0,0,0,0,0,0,0,0,0
acknowledge,0,0,0,0,0,0,0,0,0,0,6,0
humbug,0,0,0,0,0,0,15,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,34,0
mount,0,0,0,0,0,0,0,0,0,0,8,0
sky,0,0,0,0,0,0,10,0,0,0,0,0
balloon,0,0,0,0,0,0,20,0,0,0,0,0
wait,0,0,0,0,0,0,0,0,0,0,12,0
come,0,0,0,0,0,0,0,0,0,0,133,0
happen,0,0,0,0,0,0,0,0,0,0,28,0
afterward,0,0,9,0,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,63,0
page,0,0,0,0,0,0,1,0,0,0,0,0
thing,0,0,0,0,0,0,56,0,0,0,0,0
demand,0,0,0,0,0,0,1,0,0,0,7,0
impossible,3,0,0,0,0,0,0,0,0,0,0,0
present,5,0,0,0,0,0,0,0,0,0,0,0
bade,0,0,0,0,0,0,0,0,0,0,3,0
introduce,0,0,0,0,0,0,0,0,0,0,4,0
black,8,0,0,0,0,0,1,0,0,0,0,0
dog,0,0,0,0,0,0,2,0,0,0,0,0
reader,0,0,0,0,0,0,3,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,46,0
read,0,0,0,0,0,0,0,0,0,0,5,0
start,0,0,0,0,0,0,8,0,0,0,15,0
kitten,0,0,0,0,0,0,101,0,0,0,0,0
instead,0,0,8,0,0,0,0,0,0,0,0,0
permit,0,0,0,0,0,0,0,0,0,0,5,0
write,0,0,0,0,0,0,0,0,0,0,2,0
intend,0,0,0,0,0,0,0,0,0,0,8,0
good,78,0,2,0,0,1,3,0,0,0,0,0
deal,0,0,0,0,0,0,7,0,0,0,0,0
history,0,0,0,0,0,0,4,0,0,0,0,0
acquaint,0,0,0,0,0,0,0,0,0,0,2,0
tiny,24,0,0,0,0,0,0,0,0,0,0,0
sorry,8,0,0,0,0,0,0,0,0,0,0,0
behave,0,0,0,0,0,0,0,0,0,0,3,0
ought,0,0,0,13,0,0,0,0,0,0,1,0
bring,0,0,0,0,0,0,0,0,0,0,27,0
properly,0,0,3,0,0,0,0,0,0,0,0,0
parent,0,0,0,0,0,0,1,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,0,11,0
dear,2,0,0,0,0,1,22,0,0,0,2,0
proud,5,0,0,0,0,0,0,0,0,0,0,0
teller,0,0,0,0,0,0,2,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,35,0
tear,0,0,0,0,0,0,4,0,0,0,3,0
pride,0,0,0,0,0,0,2,0,0,0,0,0
joy,0,0,0,0,0,0,3,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,45,0
eye,0,0,0,0,0,0,60,0,0,0,2,0
tender,3,0,0,0,0,0,0,0,0,0,0,0
appealing,1,0,0,0,0,0,0,0,0,0,0,0
letter,0,0,0,0,0,0,3,0,0,0,0,0
mail,0,0,0,0,0,0,1,0,0,0,0,0
please,0,0,0,0,0,0,0,0,0,0,7,0
interest,0,0,0,0,0,0,4,0,0,0,1,0
win,0,0,0,0,0,0,0,0,0,0,6,0
friendship,0,0,0,0,0,0,1,0,0,0,0,0
mind,0,0,0,0,0,0,12,0,0,0,16,0
great,71,0,0,0,0,0,0,0,0,0,0,0
achievement,0,0,0,0,0,0,1,0,0,0,0,0
condition,0,0,0,0,0,0,3,0,0,0,0,0
help,0,0,0,0,0,0,3,0,0,0,17,0
fulfill,0,0,0,0,0,0,0,0,0,0,1,0
life,0,0,0,0,0,0,18,0,0,0,0,0
ambition,0,0,0,0,0,0,1,0,0,0,0,0
grateful,3,0,0,0,0,0,0,0,0,0,0,0
express,0,0,0,0,0,0,0,0,0,0,2,0
word,0,0,0,0,0,0,15,0,0,0,0,0
answer,0,0,0,0,0,0,5,0,0,0,60,0
young,12,0,0,0,0,0,0,0,0,0,0,0
pass,0,0,0,0,0,0,2,0,0,0,19,0
patient,3,0,0,0,0,0,0,0,0,0,0,0
surely,0,0,6,0,0,0,0,0,0,0,0,0
repay,0,0,0,0,0,0,0,0,0,0,1,0
pleasant,6,0,0,0,0,0,0,0,0,0,0,0
task,0,0,0,0,0,0,3,0,0,0,0,0
prepare,0,0,0,0,0,0,0,0,0,0,4,0
partly,0,0,1,0,0,0,0,0,0,0,0,0
guide,0,0,0,0,0,0,0,0,0,0,1,0
sure,46,0,3,0,0,0,0,0,0,0,0,0
half,1,0,6,0,8,0,7,0,0,0,0,0
clever,5,0,0,0,0,0,0,0,0,0,0,0
thoughtful,5,0,0,0,0,0,0,0,0,0,0,0
assistance,0,0,0,0,0,0,1,0,0,0,0,0
train,0,0,0,0,0,0,7,0,0,0,1,0
late,2,0,0,0,0,0,0,0,0,0,0,0
arrive,0,0,0,0,0,0,0,0,0,0,10,0
midnight,0,0,0,0,0,0,1,0,0,0,0,0
gray,3,0,0,0,0,0,0,0,0,0,0,0
dawn,0,0,0,0,0,0,1,0,0,0,0,0
break,0,0,0,0,0,0,1,0,0,0,11,0
east,0,0,0,0,0,0,1,0,0,0,0,0
slowly,0,0,32,0,0,0,0,0,0,0,0,0
rumble,0,0,0,0,0,0,0,0,0,0,1,0
open,7,1,0,0,0,0,0,0,0,0,14,0
shed,0,0,0,0,0,0,2,0,0,0,0,0
serve,0,0,0,0,0,0,0,0,0,0,8,0
station,0,0,0,0,0,0,3,0,0,0,0,0
house,0,0,0,0,0,0,23,0,0,0,0,0
conductor,0,0,0,0,0,0,3,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,32,0
loud,6,0,0,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,60,0,0,0,0,0
girl,0,0,0,0,0,0,88,0,0,0,0,0
rise,0,0,0,0,0,0,0,0,0,0,7,0
seat,0,0,0,0,0,0,20,0,0,0,5,0
walk,0,0,0,0,0,0,3,0,0,0,35,0
door,0,0,0,0,0,0,17,0,0,0,0,0
car,0,0,0,0,0,0,5,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,18,0
wicker,0,0,0,0,0,0,2,0,0,0,0,0
suit,0,0,0,0,0,0,5,0,0,0,1,0
case,0,0,0,0,0,0,14,0,0,0,0,0
hand,0,0,0,0,0,0,26,0,0,0,1,0
round,8,1,0,0,0,0,0,0,0,0,0,0
bird,0,0,0,0,0,0,13,0,0,0,0,0
cage,0,0,0,0,0,0,8,0,0,0,0,0
cover,0,0,0,0,0,0,0,0,0,0,12,0
newspaper,0,0,0,0,0,0,1,0,0,0,0,0
parasol,0,0,0,0,0,0,4,0,0,0,0,0
tuck,0,0,0,0,0,0,0,0,0,0,3,0
arm,0,0,0,0,0,0,22,0,0,0,0,0
engineer,0,0,0,0,0,0,2,0,0,0,0,0
puff,0,0,0,0,0,0,0,0,0,0,1,0
groan,0,0,0,0,0,0,2,0,0,0,3,0
move,0,0,0,0,0,0,0,0,0,0,18,0
away,0,2,59,0,0,0,0,0,0,0,0,0
track,0,0,0,0,0,0,2,0,0,0,0,0
reason,0,0,0,0,0,0,5,0,0,0,2,0
night,0,0,0,0,0,0,9,0,0,0,0,0
solid,7,0,0,0,0,0,0,0,0,0,0,0
earth,0,0,0,0,0,0,48,0,0,0,0,0
shake,0,0,0,0,0,0,0,0,0,0,14,0
tremble,0,0,0,0,0,0,0,0,0,0,8,0
afraid,16,0,0,0,0,0,0,0,0,0,0,0
moment,0,0,0,0,0,0,20,0,0,0,0,0
rail,0,0,0,0,0,0,3,0,0,0,0,0
spread,0,0,0,0,0,0,0,0,0,0,7,0
apart,0,0,9,0,0,0,0,0,0,0,0,0
accident,0,0,0,0,0,0,7,0,0,0,0,0
passenger,0,0,0,0,0,0,2,0,0,0,0,0
caution,0,0,0,0,0,0,1,0,0,0,2,0
watch,0,0,0,0,0,0,1,0,0,0,14,0
disappear,0,0,0,0,0,0,0,0,0,0,12,0
curve,0,0,0,0,0,0,1,0,0,0,2,0
turn,0,0,0,0,0,0,5,0,0,0,33,0
siding,0,0,0,0,0,0,1,0,0,0,0,0
bare,2,0,0,0,0,0,0,0,0,0,2,0
save,0,0,0,0,0,0,0,0,0,1,18,0
wooden,52,0,0,0,0,0,0,0,0,0,0,0
bench,0,0,0,0,0,0,5,0,0,0,0,0
look,0,0,0,0,0,0,5,0,0,0,80,0
inviting,1,0,0,0,0,0,0,0,0,0,0,0
peer,0,0,0,0,0,0,0,0,0,0,3,0
soft,15,0,0,0,0,0,0,0,0,0,0,0
light,3,0,0,0,0,0,29,0,0,0,9,0
sort,0,0,0,0,0,0,6,0,0,0,0,0
visible,7,0,0,0,0,0,0,0,0,0,0,0
near,5,12,16,0,0,0,0,0,0,0,1,0
person,0,0,0,0,0,0,12,0,0,0,0,0
sight,0,0,0,0,0,0,13,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,13,0
horse,0,0,0,0,0,0,127,0,0,0,0,0
buggy,0,0,0,0,0,0,86,0,0,0,0,0
group,0,0,0,0,0,0,9,0,0,0,0,0
tree,0,0,0,0,0,0,12,0,0,0,0,0
short,13,0,0,0,0,0,0,0,0,0,0,0
distance,0,0,0,0,0,0,13,0,0,0,0,0
tie,0,0,0,0,0,0,0,0,0,0,9,0
motionless,4,0,0,0,0,0,0,0,0,0,0,0
head,0,0,0,0,0,0,54,0,0,0,3,0
hang,0,0,0,0,0,0,0,0,0,0,5,0
