word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
plan,0,0,0,0,0,0,0,0,1,0
outdoor,1,0,0,0,0,0,0,0,0,0
event,1,0,0,0,0,3,0,0,0,0
dress,0,0,0,0,0,0,0,0,1,0
layer,0,0,0,0,0,3,0,0,0,0
accommodate,0,0,0,0,0,0,0,0,1,0
seasonal,4,0,0,0,0,0,0,0,0,0
temperature,0,0,0,0,0,36,0,0,0,0
change,0,0,0,0,0,19,0,0,5,0
wonder,0,0,0,0,0,0,0,0,1,0
grab,0,0,0,0,0,0,0,0,1,0
umbrella,0,0,0,0,0,1,0,0,0,0
way,0,0,0,0,0,6,0,0,0,0
door,0,0,0,0,0,1,0,0,0,0
know,0,0,0,0,0,0,0,0,26,0
weather,0,0,0,0,0,52,0,0,0,0
unpredictable,1,0,0,0,0,0,0,0,0,0
history,0,0,0,0,0,2,0,0,0,0
scientific,26,0,0,0,0,0,0,0,0,0
mind,0,0,0,0,0,2,0,0,0,0
rise,0,0,0,0,0,4,0,0,7,0
challenge,0,0,0,0,0,1,0,0,1,0
understand,0,0,0,0,0,0,0,0,4,0
explain,0,0,0,0,0,0,0,0,4,0
natural,8,0,0,0,0,0,0,0,0,0
phenomenon,0,0,0,0,0,9,0,0,0,0
storm,0,0,0,0,0,5,0,0,0,0
front,0,0,0,0,0,5,0,0,0,0
climatic,5,0,0,0,0,0,0,0,0,0
pioneer,0,0,0,0,0,7,0,0,9,0
individual,0,0,0,0,0,2,0,0,0,0
book,0,0,0,0,0,13,0,0,0,0
celebrate,0,0,0,0,0,0,0,0,1,0
early,11,0,3,0,0,0,0,0,0,0
relate,0,0,0,0,0,0,0,0,5,0
discovery,0,0,0,0,0,8,0,0,0,0
come,0,0,0,0,0,0,0,0,5,0
result,0,0,0,0,0,8,0,0,5,0
exploration,0,0,0,0,0,6,0,0,0,0
matter,0,0,0,0,0,2,0,0,0,0
ancient,2,0,0,0,0,0,0,0,0,0
greek,3,0,0,0,0,0,0,0,0,0
philosopher,0,0,0,0,0,8,0,0,0,0
write,0,0,0,0,0,0,0,0,12,0
famous,9,0,0,0,0,0,0,0,0,0
essay,0,0,0,0,0,2,0,0,0,0
meteorology,0,0,0,0,0,26,0,0,0,0
study,0,0,0,0,0,31,0,0,20,0
world,0,0,0,0,0,20,0,0,0,0
ponder,0,0,0,0,0,0,0,0,1,0
universe,0,0,0,0,0,2,0,0,0,0
work,0,0,0,0,0,36,0,0,15,0
astronomy,0,0,0,0,0,4,0,0,0,0
invent,0,0,0,0,0,0,0,0,9,0
thermometer,0,0,0,0,0,10,0,0,0,0
teach,0,0,0,0,0,0,0,0,10,0
physics,0,0,0,0,0,11,0,0,0,0
main,1,0,0,0,0,0,0,0,0,0
goal,0,0,0,0,0,3,0,0,0,0
scale,0,0,0,0,0,19,0,0,0,0
devise,0,0,0,0,0,0,0,0,5,0
name,0,0,0,0,0,0,0,0,11,0
renaissance,0,0,0,0,0,1,0,0,0,0
man,0,0,0,0,0,7,0,0,0,0
accomplish,0,0,0,0,0,0,0,0,1,0
field,0,0,0,0,0,12,0,0,0,0
area,0,0,0,0,0,5,0,0,0,0
mark,0,0,0,0,0,3,0,0,1,0
contribution,0,0,0,0,0,5,0,0,0,0
atmospheric,29,0,0,0,0,0,0,0,0,0
science,0,0,0,0,0,18,0,0,0,0
document,0,0,0,0,0,0,0,0,1,0
especially,0,0,3,0,0,0,0,0,0,0
experiment,0,0,0,0,0,15,0,0,2,0
kite,0,0,0,0,0,5,0,0,0,0
fly,0,0,0,0,0,0,0,0,2,0
thunderstorm,0,0,0,0,0,8,0,0,0,0
test,0,0,0,0,0,0,0,0,3,0
electrical,4,0,0,0,0,0,0,0,0,0
property,0,0,0,0,0,5,0,0,0,0
lightning,0,0,0,0,0,7,0,0,0,0
feature,0,0,0,0,0,0,0,0,1,0
dedicate,0,0,0,0,0,0,0,0,1,0
professional,2,0,0,0,0,0,0,0,0,0
life,0,0,0,0,0,9,0,0,0,0
specifically,0,0,3,0,0,0,0,0,0,0
climate,0,0,0,0,0,19,0,0,0,0
people,0,0,0,0,0,1,0,0,0,0
conduct,0,0,0,0,0,0,0,0,7,0
research,0,0,0,0,0,21,0,0,2,0
create,0,0,0,0,0,0,0,0,4,0
tool,0,0,0,0,0,4,0,0,0,0
advance,0,0,0,0,0,4,0,0,2,0
climatology,0,0,0,0,0,8,0,0,0,0
number,0,0,0,0,0,5,0,0,0,0
charting,0,0,0,0,0,1,0,0,0,0
lead,0,0,0,0,0,0,0,0,14,0
divide,0,0,0,0,0,0,0,0,5,0
region,0,0,0,0,0,5,0,0,0,0
landmark,0,0,0,0,0,1,0,0,0,0
say,0,0,0,0,0,0,0,0,2,0
head,0,0,0,0,0,4,0,0,0,0
cloud,0,0,0,0,0,17,0,0,0,0
good,2,0,0,0,0,0,0,0,0,0
possible,2,0,0,0,0,0,0,0,0,0
sense,0,0,0,0,0,1,0,0,0,0
swedish,8,0,0,0,0,0,0,0,0,0
meteorologist,0,0,0,0,0,34,0,0,0,0
question,0,0,0,0,0,1,0,0,0,0
precipitation,0,0,0,0,0,4,0,0,0,0
occur,0,0,0,0,0,0,0,0,2,0
merely,0,0,1,0,0,0,0,0,0,0
content,1,0,0,0,0,0,0,0,0,0
instead,0,0,3,0,0,0,0,0,0,0
seek,0,0,0,0,0,0,0,0,3,0
control,0,0,0,0,0,3,0,0,1,0
output,0,0,0,0,0,1,0,0,0,0
successful,2,0,0,0,0,0,0,0,0,0
seeding,0,0,0,0,0,2,0,0,0,0
involve,0,0,0,0,0,0,0,0,1,0
treat,0,0,0,0,0,0,0,0,1,0
chemical,3,0,0,0,0,2,0,0,0,0
produce,0,0,0,0,0,0,0,0,8,0
snow,0,0,0,0,0,2,0,0,0,0
rain,0,0,0,0,0,2,0,0,0,0
humankind,0,0,0,0,0,1,0,0,0,0
influence,0,0,0,0,0,5,0,0,3,0
end,0,0,0,0,0,1,0,0,1,0
middle,2,0,0,0,0,1,0,0,0,0
century,0,0,0,0,0,5,0,0,0,0
scientist,0,0,0,0,0,26,0,0,0,0
begin,0,0,0,0,0,0,0,0,15,0
link,0,0,0,0,0,1,0,0,4,0
human,3,0,0,0,0,0,0,0,0,0
activity,0,0,0,0,0,3,0,0,0,0
burning,0,0,0,0,0,4,0,0,0,0
fossil,5,0,0,0,0,0,0,0,0,0
fuel,0,0,0,0,0,5,0,0,0,0
climatologist,0,0,0,0,0,4,0,0,0,0
measure,0,0,0,0,0,2,0,0,9,0
carbon,0,0,0,0,0,12,0,0,0,0
dioxide,0,0,0,0,0,9,0,0,0,0
level,0,0,0,0,0,7,0,0,0,0
near,0,8,0,0,0,0,0,0,0,0
inactive,1,0,0,0,0,0,0,0,0,0
hawaiian,1,0,0,0,0,0,0,0,0,0
