word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PUNCT,SCONJ,VERB,X
caption,0,0,0,0,0,0,0,18,0,0,0,0,0,0,9
poetry,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0
write,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0
speak,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
language,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
celebrate,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
word,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
gnarled,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barnacle,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
age,0,0,0,0,0,0,0,54,0,0,0,0,0,1,0
recently,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
mingle,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
experience,0,0,0,0,0,0,0,27,0,0,0,0,0,5,0
evoke,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
sound,2,0,0,0,0,0,0,56,0,0,0,0,0,7,0
din,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cicada,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
smell,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
air,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
heavy,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rain,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
painful,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
feeling,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
recognize,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
wondrous,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
certainty,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
cave,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
dweller,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
millennium,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ago,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
convey,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
information,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
clan,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
draw,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
animal,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0
wall,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
portray,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
sensitivity,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
sense,0,0,0,0,0,0,0,69,0,0,0,0,0,1,0
awe,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
describe,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
noble,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0
lip,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
smackin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tasty,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
course,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
human,76,0,0,0,0,0,0,12,0,0,0,0,0,0,0
history,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0
early,127,0,12,0,0,0,0,0,0,0,0,0,0,0,0
hunter,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
gatherer,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
relate,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
adventure,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
woman,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0
turn,0,0,0,0,0,0,0,9,0,0,0,0,0,25,0
plant,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
produce,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
year,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0
seed,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
maybe,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
century,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0
theorize,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
certain,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sapiens,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
migrate,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
spread,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0
populate,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
develop,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
population,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
people,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
opposite,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
end,1,0,0,0,0,0,0,60,0,0,0,0,0,29,0
territory,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
slightly,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
differently,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
item,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
idea,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
evolve,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
primacy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
means,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
conceptualize,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
store,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
transmit,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
evident,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0
story,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0
particular,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
way,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
specific,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
social,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
function,0,0,0,0,0,0,0,27,0,0,0,0,0,4,0
perform,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
place,0,0,0,0,0,0,0,36,0,0,0,0,0,11,0
purpose,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0
ritual,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0
storytelling,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
pass,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0
legend,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
good,42,0,0,0,0,0,0,10,0,0,0,0,0,0,0
keep,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
track,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
marry,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
past,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0
generation,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
person,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
group,0,0,0,0,0,0,0,25,0,0,0,0,0,2,0
come,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
tradition,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0
persist,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
present,13,0,0,0,0,0,0,5,0,0,0,0,0,25,0
well,9,0,28,0,0,0,0,0,0,0,0,0,0,0,0
contemporary,26,0,0,0,0,0,0,4,0,0,0,0,0,0,0
