word,ADJ,ADP,ADV,DET,NOUN,NUM,PUNCT,SCONJ,VERB,X
monkey,0,0,0,0,415,0,0,0,0,0
trial,0,0,0,0,2,0,0,0,0,0
support,0,0,0,0,4,0,0,0,24,0
state,0,0,0,0,9,0,0,0,0,0
ban,0,0,0,0,1,0,0,0,0,0
teaching,0,0,0,0,1,0,0,0,0,0
evolution,0,0,0,0,53,0,0,0,0,0
lawyer,0,0,0,0,1,0,0,0,0,0
famously,0,0,1,0,0,0,0,0,0,0
decry,0,0,0,0,0,0,0,0,1,0
claim,0,0,0,0,3,0,0,0,5,0
human,144,0,0,0,213,0,0,0,0,0
being,0,0,0,0,17,0,0,0,0,0
descend,0,0,0,0,0,0,0,0,14,0
american,19,0,0,0,0,0,0,0,0,0
course,0,0,1,0,5,0,0,0,0,0
evolutionary,60,0,0,0,0,0,0,0,0,0
theory,0,0,0,0,10,0,0,0,0,0
suggest,0,0,0,0,0,0,0,0,48,0
live,1,0,0,0,0,0,0,0,216,0
specie,0,0,0,0,285,0,0,0,0,0
million,0,0,0,0,1,168,0,0,0,0
year,0,0,0,0,292,0,0,0,0,0
ago,0,0,164,0,0,0,0,0,0,0
share,0,0,0,0,1,0,0,0,36,0
common,41,0,0,0,1,0,0,0,0,0
ancestor,0,0,0,0,67,0,0,0,0,0
political,3,0,0,0,0,0,0,0,0,0
battle,0,0,0,0,2,0,0,0,0,0
teach,0,0,0,0,0,0,0,0,4,0
continue,0,0,0,0,0,0,0,0,20,0
question,0,0,0,0,14,0,0,0,3,0
ape,0,0,0,0,169,0,0,0,0,0
wide,12,0,1,0,0,0,0,0,0,0
variety,0,0,0,0,18,0,0,0,0,0
fall,0,0,0,0,0,0,0,0,10,0
taxonomically,0,0,3,0,0,0,0,0,0,0
order,0,0,0,0,44,0,0,0,0,0
book,0,0,0,0,6,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,4,0
member,0,0,0,0,50,0,0,0,0,0
explore,0,0,0,0,0,0,0,0,4,0
unique,20,0,0,0,0,0,0,0,0,0
development,0,0,0,0,31,0,0,0,0,0
branch,0,0,0,0,40,0,0,0,0,0
family,0,0,0,0,95,0,0,0,0,0
tree,0,0,0,0,95,0,0,0,0,0
distinct,14,0,0,0,0,0,0,0,0,0
primate,56,0,0,0,249,0,0,0,0,0
fact,0,0,0,0,20,0,0,0,0,0
diverse,6,0,0,0,0,0,0,0,0,0
mammal,0,0,0,0,45,0,0,0,0,0
encompass,0,0,0,0,0,0,0,0,3,0
creature,0,0,0,0,7,0,0,0,0,0
lemur,0,0,0,0,104,0,0,0,0,0
lorise,0,0,0,0,33,0,0,0,0,0
tarsier,0,0,0,0,45,0,0,0,0,1
familiar,3,0,0,0,1,0,0,0,0,0
make,0,0,0,0,0,0,0,0,23,0
different,62,0,0,0,0,0,0,0,0,0
animal,0,0,0,0,95,0,0,0,0,0
relate,0,0,0,0,0,0,0,0,37,0
trait,0,0,0,0,24,0,0,0,0,0
flat,19,0,0,0,1,0,0,0,0,0
nail,0,0,0,0,8,0,0,0,0,0
finger,0,0,0,0,24,0,0,0,0,0
toe,0,0,0,0,30,0,0,0,0,0
claw,0,0,0,0,11,0,0,0,2,0
hoof,0,0,0,0,2,0,0,0,0,0
possess,0,0,0,0,0,0,0,0,30,0
specialized,15,0,0,0,0,0,0,0,0,0
nerve,0,0,0,0,6,0,0,0,0,0
ending,0,0,0,0,2,0,0,0,0,0
hand,0,0,0,0,98,0,0,0,0,0
foot,0,0,0,0,75,0,0,0,0,0
increase,0,0,0,0,11,0,0,0,28,0
tactile,9,0,0,0,0,0,0,0,0,0
sensitivity,0,0,0,0,9,0,0,0,0,0
big,18,0,0,0,0,0,0,0,0,0
separate,33,0,0,0,0,0,0,0,18,0
suitable,4,0,0,0,0,0,0,0,0,0
grasp,0,0,0,0,0,0,0,0,17,0
opposable,14,0,0,0,0,0,0,0,0,0
thumb,0,0,0,0,22,0,0,0,0,0
compare,0,0,0,0,0,0,0,0,12,0
