word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,1,0,0,0,0
brilliant,2,0,0,0,0,0,0,0
medieval,1,0,0,0,0,0,0,0
civilization,0,0,0,3,0,0,0,0
divide,0,0,0,0,0,0,5,0
part,0,0,0,8,0,0,0,0
western,8,0,0,0,0,0,0,0
half,0,0,0,4,0,0,0,0
rule,0,0,0,4,0,0,9,0
fall,0,0,0,0,0,0,4,0
tribal,1,0,0,0,0,0,0,0
germanic,1,0,0,0,0,0,0,0
people,0,0,0,8,0,0,0,0
know,0,0,0,0,0,0,16,0
barbarian,3,0,0,4,0,0,0,0
fifth,5,0,0,0,0,0,0,0
century,0,0,0,31,0,0,0,0
eastern,14,0,0,0,0,0,0,0
last,0,0,0,0,0,0,4,0
thousand,0,0,0,2,6,0,0,0
year,0,0,0,15,0,0,0,0
fact,0,0,0,3,0,0,0,0
maintain,0,0,0,0,0,0,1,0
position,0,0,0,3,0,0,0,0
lead,0,0,0,0,0,0,12,0
world,0,0,0,8,0,0,0,0
decline,0,0,0,2,0,0,0,0
begin,0,0,0,0,0,0,4,0
mid,1,0,0,0,0,0,0,0
eleventh,4,0,0,0,0,0,0,0
christian,7,0,0,0,0,0,0,0
emperor,0,0,0,20,0,0,0,0
sole,2,0,0,0,0,0,0,0
ruler,0,0,0,3,0,0,0,0
set,0,0,0,0,0,0,3,0
headquarters,0,0,0,1,0,0,0,0
ancient,4,0,0,0,0,0,0,0
greek,6,0,0,0,0,0,0,0
colony,0,0,0,1,0,0,0,0
city,0,0,0,21,0,0,0,0
rename,0,0,0,0,0,0,2,0
honor,0,0,0,1,0,0,0,0
new,13,0,0,0,0,0,0,0
formally,0,0,2,0,0,0,0,0
later,2,0,4,0,0,0,0,0
capital,0,0,0,2,0,0,0,0
locate,0,0,0,0,0,0,1,0
shore,0,0,0,1,0,0,0,0
midway,0,0,1,0,0,0,0,0
sea,0,0,0,1,0,0,0,0
bring,0,0,0,0,0,0,3,0
land,0,0,0,9,0,0,0,0
conquer,0,0,0,0,0,0,4,0
change,0,0,0,3,0,0,3,0
colossal,1,0,0,0,0,0,0,0
marble,0,0,0,4,0,0,0,0
head,0,0,0,3,0,0,1,0
foot,0,0,0,3,0,0,0,0
meter,0,0,0,3,0,0,0,0
high,1,0,0,0,0,0,0,0
originally,0,0,1,0,0,0,0,0
giant,1,0,0,0,0,0,0,0
statue,0,0,0,1,0,0,0,0
time,0,0,0,13,0,0,0,0
citizen,0,0,0,3,0,0,0,0
romaioi,0,0,0,0,0,0,0,1
eye,0,0,0,2,0,0,0,0
remain,0,0,0,0,0,0,6,0
firmly,0,0,1,0,0,0,0,0
despite,0,0,0,0,0,2,0,0
early,8,0,1,0,0,0,0,0
eighth,2,0,0,0,0,0,0,0
state,0,0,0,9,0,0,0,0
society,0,0,0,5,0,0,0,0
differ,0,0,0,0,0,0,2,0
significantly,0,0,1,0,0,0,0,0
roman,13,0,0,0,0,0,0,0
form,0,0,0,5,0,0,1,0
byzantine,30,0,0,1,0,0,0,0
distinct,2,0,0,0,0,0,0,0
key,1,0,0,0,0,0,0,0
way,0,0,0,3,0,0,0,0
speak,0,0,0,0,0,0,1,0
primarily,0,0,1,0,0,0,0,0
instead,0,0,1,0,0,0,0,0
practice,0,0,0,4,0,0,1,0
effort,0,0,0,2,0,0,0,0
recognize,0,0,0,0,0,0,1,0
distinction,0,0,0,1,0,0,0,0
seventeenth,1,0,0,0,0,0,0,0
scholar,0,0,0,4,0,0,0,0
empire,0,0,0,29,0,0,0,0
boundary,0,0,0,4,0,0,0,0
continually,0,0,1,0,0,0,0,0
arabic,1,0,0,0,0,0,0,0
