word,ADJ,ADP,ADV,INTJ,NOUN,PRON,VERB
live,0,0,0,0,0,0,2
small,6,0,0,0,0,0,0
house,0,0,0,0,38,0,0
little,22,0,0,0,0,0,0
black,8,0,0,0,0,0,0
dog,0,0,0,0,6,0,0
call,0,0,0,0,0,0,9
tree,0,0,0,0,18,0,0
hill,0,0,0,0,5,0,0
windy,1,0,0,0,0,0,0
wind,0,0,0,0,5,0,0
come,0,0,0,0,0,0,34
fast,0,0,1,0,0,0,0
suddenly,0,0,6,0,0,0,0
cyclone,0,0,0,0,6,0,0
blow,0,0,0,0,0,0,5
people,0,0,0,0,12,0,0
building,0,0,0,0,1,0,0
away,0,0,11,0,0,0,0
cellar,0,0,0,0,12,0,0
go,0,0,0,0,0,0,43
stay,0,0,0,0,0,0,2
day,0,0,0,0,7,0,0
look,0,0,0,0,0,0,25
sky,0,0,0,0,7,0,0
run,0,0,0,0,0,0,15
quickly,0,0,6,0,0,0,0
door,0,0,0,0,14,0,0
afraid,20,0,0,0,0,0,0
bed,0,0,0,0,1,0,0
quick,0,0,1,0,0,0,0
shout,0,0,0,0,3,0,10
leave,0,0,0,0,0,0,5
pick,0,0,0,0,0,0,13
get,0,0,0,0,0,0,6
hit,0,0,0,0,0,0,5
strange,2,0,0,0,0,0,0
thing,0,0,0,0,8,0,0
happen,0,0,0,0,0,0,3
move,0,0,0,0,0,0,3
slowly,0,0,3,0,0,0,0
ground,0,0,0,0,2,0,0
open,2,1,0,0,0,0,14
see,0,0,0,0,0,0,18
long,14,0,0,0,0,0,0
way,0,0,0,0,8,0,0
close,0,0,0,0,0,0,5
hour,0,0,0,0,5,0,0
say,0,0,0,0,0,0,140
let,0,0,0,0,0,0,2
wait,0,0,0,0,0,0,9
sleep,0,0,0,0,0,0,4
eye,0,0,0,0,8,0,0
quiet,3,0,0,0,0,0,0
tall,8,0,0,0,0,0,0
beautiful,7,0,0,0,0,0,0
flower,0,0,0,0,2,0,0
blue,3,0,0,0,0,0,0
give,0,0,0,0,0,0,7
cry,0,0,0,0,1,0,12
short,2,0,0,0,0,0,0
man,0,0,0,0,29,0,0
hat,0,0,0,0,10,0,0
coat,0,0,0,0,1,0,0
trouser,0,0,0,0,1,0,0
old,13,0,0,0,0,0,0
woman,0,0,0,0,17,0,0
white,2,0,0,0,0,0,0
dress,0,0,0,0,3,0,0
walk,0,0,0,0,0,0,11
thank,0,0,0,0,1,0,17
free,2,0,0,0,0,0,0
ask,0,0,0,0,0,0,27
kill,0,0,0,0,0,0,16
bad,12,0,0,0,0,0,0
witch,0,0,0,0,11,0,0
dead,7,0,0,0,0,0,0
want,0,0,0,0,0,0,33
smile,0,0,0,0,0,0,3
happily,0,0,3,0,0,0,0
understand,0,0,0,0,0,0,5
anybody,0,0,0,0,0,4,0
fall,0,0,0,0,0,0,7
laugh,0,0,0,0,0,0,3
foot,0,0,0,0,4,0,0
red,12,0,0,0,0,0,0
shoe,0,0,0,0,21,0,0
disappear,0,0,0,0,0,0,4
hot,1,0,0,0,0,0,0
sun,0,0,0,0,1,0,0
second,1,0,0,0,3,0,0
later,0,0,4,0,0,0,0
good,18,0,0,0,0,0,0
wear,0,0,0,0,0,0,6
wonderful,4,0,0,0,0,0,0
friend,0,0,0,0,21,0,0
yes,0,0,0,7,0,0,0
country,0,0,0,0,6,0,0
famous,3,0,0,0,0,0,0
wizard,0,0,0,0,9,0,0
remember,0,0,0,0,0,0,3
home,0,0,11,0,5,0,0
know,0,0,0,0,0,0,14
tell,0,0,0,0,0,0,11
begin,0,0,0,0,0,0,11
dear,0,0,0,0,3,0,0
help,0,0,0,0,6,0,18
kiss,0,0,0,0,5,0,3
like,0,2,0,0,0,0,6
face,0,0,0,0,6,0,0
hurt,0,0,0,0,0,0,11
road,0,0,0,0,15,0,0
yellow,7,0,0,0,0,0,0
brick,0,0,0,0,5,0,0
lose,0,0,0,0,0,0,1
goodbye,0,0,0,2,3,0,0
munchkin,0,0,0,0,1,0,0
find,0,0,0,0,0,0,8
bread,0,0,0,0,4,0,0
apple,0,0,0,0,2,0,0
bag,0,0,0,0,3,0,0
nice,1,0,0,0,0,0,0
food,0,0,0,0,1,0,0
time,0,0,0,0,8,0,0
tired,3,0,0,0,0,0,0
stop,0,0,0,0,0,0,4
field,0,0,0,0,4,0,0
far,0,0,3,0,0,0,0
scarecrow,0,0,0,0,3,0,0
speak,0,0,0,0,0,0,6
course,0,0,2,0,2,0,0
pole,0,0,0,0,2,0,0
carefully,0,0,4,0,0,0,0
take,0,0,0,0,0,0,15
arm,0,0,0,0,7,0,0
leg,0,0,0,0,5,0,0
straw,0,0,0,0,6,0,0
brain,0,0,0,0,17,0,0
head,0,0,0,0,12,0,0
