word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,SCONJ,VERB,X
european,10,0,0,0,0,0,0,0,0
era,0,0,0,0,6,0,0,0,0
new,66,0,0,0,0,0,0,0,0
ideal,7,0,0,0,11,0,0,0,0
end,0,0,0,0,26,0,0,5,0
struggle,0,0,0,0,4,0,0,1,0
survive,0,0,0,0,0,0,0,36,0
plague,0,0,0,0,9,0,0,0,0
war,0,0,0,0,1,0,0,0,0
famine,0,0,0,0,1,0,0,0,0
weaken,0,0,0,0,0,0,0,1,0
region,0,0,0,0,12,0,0,0,0
century,0,0,0,0,146,0,0,0,0
late,88,0,5,0,0,0,0,0,0
recover,0,0,0,0,0,0,0,2,0
sufficiently,0,0,1,0,0,0,0,0,0
position,0,0,0,0,14,0,0,0,0
forward,0,0,5,0,0,0,0,0,0
artistically,0,0,2,0,0,0,0,0,0
change,0,0,0,0,6,0,0,11,0
political,6,0,0,0,0,0,0,0,0
religious,39,0,0,0,0,0,0,0,0
social,6,0,0,0,0,0,0,0,0
thought,0,0,0,0,7,0,0,0,0
reflect,0,0,0,0,0,0,0,19,0
artwork,0,0,0,0,2,0,0,0,0
borrow,0,0,0,0,0,0,0,5,0
heavily,0,0,2,0,0,0,0,0,0
ancient,13,0,0,0,0,0,0,0,0
western,7,0,0,0,0,0,0,0,0
civilization,0,0,0,0,2,0,0,0,0
art,0,0,0,0,162,0,0,0,0
unique,6,0,0,0,0,0,0,0,0
realism,0,0,0,0,10,0,0,0,0
use,0,0,0,0,40,0,0,4,0
technique,0,0,0,0,38,0,0,0,0
endure,0,0,0,0,0,0,0,6,0
beauty,0,0,0,0,21,0,0,0,0
major,25,0,0,0,0,0,0,0,0
artist,0,0,0,0,197,0,0,0,0
time,0,0,0,0,101,0,0,0,0
consider,0,0,0,0,0,0,0,19,0
master,0,0,0,0,56,0,0,0,0
work,0,0,0,0,343,0,0,56,0
continue,0,0,0,0,0,0,0,38,0
admire,0,0,0,0,0,0,0,5,0
revere,0,0,0,0,0,0,0,1,0
study,0,0,0,0,32,0,0,28,0
copy,0,0,0,0,8,0,0,5,0
day,0,0,0,0,17,0,0,0,0
painter,0,0,0,0,219,0,0,0,0
explore,0,0,0,0,0,0,0,2,0
progress,0,0,0,0,2,0,0,0,0
world,0,0,0,0,33,0,0,0,0
move,0,0,0,0,0,0,0,16,0
craft,0,0,0,0,2,0,0,0,0
intent,0,0,0,0,2,0,0,0,0
purpose,0,0,0,0,3,0,0,0,0
period,0,0,0,0,80,0,0,0,0
artistic,42,0,0,0,0,0,0,0,0
rebirth,0,0,0,0,4,0,0,0,0
scholar,0,0,0,0,15,0,0,0,0
name,0,0,0,0,0,0,0,4,0
begin,0,0,0,0,0,0,0,61,0
spread,0,0,0,0,0,0,0,12,0
continent,0,0,0,0,1,0,0,0,0
painting,0,0,0,0,433,0,0,0,0
decidedly,0,0,1,0,0,0,0,0,0
humanistic,4,0,0,0,0,0,0,0,0
bent,0,0,0,0,2,0,0,0,0
portrait,0,0,0,0,122,0,0,0,0
common,9,0,0,0,0,0,0,0,0
versus,0,1,0,0,0,0,0,0,0
noble,1,0,0,0,0,0,0,0,0
individual,9,0,0,0,3,0,0,0,0
town,0,0,0,0,10,0,0,0,0
village,0,0,0,0,4,0,0,0,0
reside,0,0,0,0,0,0,0,6,0
focus,0,0,0,0,7,0,0,4,0
long,12,0,11,0,0,0,0,0,0
mere,3,0,0,0,0,0,0,0,0
craftsman,0,0,0,0,3,0,0,0,0
intellectual,8,0,0,0,2,0,0,0,0
creative,2,0,0,0,0,0,0,0,0
technician,0,0,0,0,1,0,0,0,0
know,0,0,0,0,0,0,0,88,0
define,0,0,0,0,0,0,0,10,0
boundary,0,0,0,0,2,0,0,0,0
vary,0,0,0,0,0,0,0,2,0
divide,0,0,0,0,0,0,0,9,0
early,169,0,19,0,0,0,0,0,0
high,31,0,2,0,0,0,0,0,0
classic,5,0,0,0,0,0,0,0,0
mannerist,19,0,0,0,0,0,0,0,0
centre,0,0,0,0,24,0,0,2,0
chiefly,0,0,8,0,0,0,0,0,0
unify,0,0,0,0,0,0,0,2,0
humanist,8,0,0,0,11,0,0,0,0
approach,0,0,0,0,10,0,0,2,0
employ,0,0,0,0,1,0,0,11,0
variety,0,0,0,0,9,0,0,0,0
style,0,0,0,0,156,0,0,0,0
subject,7,0,0,0,47,0,0,0,0
matter,0,0,0,0,18,0,0,0,0
ground,1,0,0,0,5,0,0,1,0
earthly,9,0,0,0,0,0,0,0,0
term,0,0,0,0,15,0,0,1,0
highlight,0,0,0,0,1,0,0,3,0
humanity,0,0,0,0,10,0,0,0,0
figure,0,0,0,0,193,0,0,0,0
sacred,6,0,0,0,0,0,0,0,0
scene,0,0,0,0,65,0,0,0,0
present,5,0,0,0,1,0,0,25,0
static,2,0,0,0,0,0,0,0,0
remote,1,0,0,0,0,0,0,0,0
object,0,0,0,0,14,0,0,1,0
worship,0,0,0,0,3,0,0,1,0
dominican,5,0,0,0,0,0,0,0,0
friar,0,0,0,0,7,0,0,0,0
credit,0,0,0,0,1,0,0,4,0
initiate,0,0,0,0,1,0,0,3,0
genre,0,0,0,0,7,0,0,0,0
sacra,0,0,0,0,0,0,0,0,6
conversazione,0,0,0,0,4,0,0,0,2
saint,0,0,0,0,37,0,0,0,0
donor,0,0,0,0,10,0,0,0,0
surround,0,0,0,0,0,0,0,12,0
depict,0,0,0,0,0,0,0,50,0
single,13,0,0,0,0,0,0,0,0
panel,0,0,0,0,65,0,0,0,0
altarpiece,0,0,0,0,75,0,0,0,0
conversation,0,0,0,0,2,0,0,0,0
serve,0,0,0,0,0,0,0,10,0
example,0,0,0,0,36,0,0,0,0
touch,0,0,0,0,3,0,0,0,0
pervade,0,0,0,0,0,0,0,2,0
devotional,12,0,0,0,0,0,0,0,0
thank,0,0,0,0,2,0,0,0,0
largely,0,0,12,0,0,0,0,0,0
writing,0,0,0,0,5,0,0,0,0
italian,58,0,0,0,0,0,0,0,0
architect,0,0,0,0,14,0,0,0,0
perspective,0,0,0,0,57,0,0,0,0
incorporate,0,0,0,0,0,0,0,5,0
linear,13,0,0,0,0,0,0,0,0
convergence,0,0,0,0,1,0,0,0,0
provide,0,0,0,0,0,0,0,17,0
illusion,0,0,0,0,11,0,0,0,0
depth,0,0,0,0,12,0,0,0,0
distance,0,0,0,0,8,0,0,0,0
spatial,10,0,0,0,0,0,0,0,0
relationship,0,0,0,0,6,0,0,0,0
rise,0,0,0,0,4,0,0,3,0
manipulate,0,0,0,0,0,0,0,2,0
light,3,0,0,0,63,0,0,1,0
shadow,0,0,0,0,8,0,0,0,0
geometric,6,0,0,0,0,0,0,0,0
line,0,0,0,0,21,0,0,0,0
set,1,0,0,0,7,0,0,17,0
proportion,0,0,0,0,9,0,0,0,0
draw,0,0,0,0,0,0,0,16,0
