word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
gentle,3,0,0,0,0,0,0,0,0,0,0,0
breeze,0,0,0,0,0,0,2,0,0,0,0,0
blow,0,0,0,0,0,0,0,0,0,0,9,0
hair,0,0,0,0,0,0,2,0,0,0,0,0
golden,1,0,0,0,0,0,0,0,0,0,0,0
red,6,0,0,0,0,0,0,0,0,0,0,0
sun,0,0,0,0,0,0,11,0,0,0,0,0
set,0,0,0,0,0,0,0,0,0,0,5,0
beach,0,0,0,0,0,0,1,0,0,0,0,0
look,0,0,0,0,0,0,6,0,0,0,39,0
fiery,1,0,0,0,0,0,0,0,0,0,0,0
ball,0,0,0,0,0,0,1,0,0,0,0,0
amazed,2,0,0,0,0,0,0,0,0,0,0,0
color,0,0,0,0,0,0,3,0,0,0,0,0
deep,5,0,1,0,0,0,0,0,0,0,0,0
middle,1,0,0,0,0,0,3,0,0,0,0,0
softly,0,0,1,0,0,0,0,0,0,0,0,0
fade,0,0,0,0,0,0,0,0,0,0,4,0
yellow,1,0,0,0,0,0,1,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,12,0
wave,0,0,0,0,0,0,2,0,0,0,2,0
seagull,0,0,0,0,0,0,1,0,0,0,0,0
fly,0,0,0,0,0,0,0,0,0,0,4,0
sky,0,0,0,0,0,0,8,0,0,0,0,0
atmosphere,0,0,0,0,0,0,2,0,0,0,0,0
relax,0,0,0,0,0,0,0,0,0,0,2,0
need,0,0,0,0,0,0,4,0,0,0,5,0
get,0,0,0,0,0,0,0,0,0,0,19,0
late,2,0,0,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,37,0
home,0,0,13,0,0,0,11,0,0,0,0,0
parent,0,0,0,0,0,0,7,0,0,0,0,0
wonder,0,0,0,0,0,0,2,0,0,0,10,0
react,0,0,0,0,0,0,0,0,0,0,1,0
day,0,0,0,0,0,0,57,0,0,0,0,0
miss,0,0,0,0,0,0,0,0,0,0,4,0
keep,0,0,0,0,0,0,0,0,0,0,11,0
walk,0,0,0,0,0,0,2,0,0,0,6,0
direct,0,0,0,0,0,0,0,0,0,0,1,0
bungalow,0,0,0,0,0,0,1,0,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,0,9,0
summer,0,0,0,0,0,0,6,0,0,0,0,0
holiday,0,0,0,0,0,0,1,0,0,0,0,0
road,0,0,0,0,0,0,6,0,0,0,0,0
deserted,3,0,0,0,0,0,0,0,0,0,0,0
slowly,0,0,5,0,0,0,0,0,0,0,0,0
silently,0,0,1,0,0,0,0,0,0,0,0,0
meter,0,0,0,0,0,0,1,0,0,0,0,0
safe,1,0,0,0,0,0,0,0,0,0,0,0
house,0,0,0,0,0,0,15,0,0,0,0,0
dark,5,0,0,0,0,0,2,0,0,0,0,0
minute,0,0,0,0,0,0,7,0,0,0,0,0
cold,8,0,0,0,0,0,0,0,0,0,0,0
wish,0,0,0,0,0,0,2,0,0,0,5,0
favorite,2,0,0,0,0,0,0,0,0,0,0,0
jumper,0,0,0,0,0,0,1,0,0,0,0,0
warm,7,0,0,0,0,0,0,0,0,0,0,0
imagine,0,0,0,0,0,0,0,0,0,0,5,0
have,0,0,0,0,0,0,0,0,0,0,6,0
thought,0,0,0,0,0,0,4,0,0,0,0,0
dissipate,0,0,0,0,0,0,0,0,0,0,1,0
finally,0,0,4,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,18,0
door,0,0,0,0,0,0,4,0,0,0,0,0
different,2,0,0,0,0,0,0,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,16,0
care,0,0,0,0,0,0,6,0,0,0,6,0
outside,1,4,4,0,0,0,0,0,0,0,0,0
garden,0,0,0,0,0,0,8,0,0,0,0,0
shock,0,0,0,0,0,0,0,0,0,0,1,0
father,0,0,0,0,0,0,5,0,0,0,0,0
usually,0,0,1,0,0,0,0,0,0,0,0,0
strict,1,0,0,0,0,0,0,0,0,0,0,0
clean,1,0,0,0,0,0,0,0,0,0,0,0
tidy,2,0,0,0,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,0,0,0,5,0
go,0,0,0,0,0,0,0,0,0,0,37,0
enter,0,0,0,0,0,0,0,0,0,0,3,0
kitchen,0,0,0,0,0,0,6,0,0,0,0,0
note,0,0,0,0,0,0,1,0,0,0,1,0
write,0,0,0,0,0,0,0,0,0,0,8,0
say,0,0,0,0,0,0,0,0,0,0,67,0
dear,4,0,0,0,0,0,1,0,0,0,0,0
coffee,0,0,0,0,0,0,11,0,0,0,0,0
ready,2,0,0,0,0,0,0,0,0,0,0,0
mother,0,0,0,0,0,0,10,0,0,0,0,0
right,11,0,5,0,0,0,0,0,0,0,0,0
hallway,0,0,0,0,0,0,1,0,0,0,0,0
room,0,0,0,0,0,0,19,0,0,0,0,0
lie,0,0,0,0,0,0,2,0,0,0,4,0
bed,0,0,0,0,0,0,12,0,0,0,0,0
sleep,0,0,0,0,0,0,5,0,0,0,14,0
face,0,0,0,0,0,0,18,0,0,0,2,0
tired,5,0,0,0,0,0,0,0,0,0,0,0
pale,2,0,0,0,0,0,0,0,0,0,0,0
want,0,0,0,0,0,0,1,0,0,0,29,0
wake,0,0,0,0,0,0,0,0,0,0,2,0
force,0,0,0,0,0,0,0,0,0,0,1,0
fall,0,0,0,0,0,0,2,0,0,0,4,0
asleep,0,0,1,0,0,0,0,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,0,5,0
old,32,0,0,0,0,0,0,0,0,0,0,0
clothe,0,0,0,0,0,0,6,0,0,0,2,0
run,0,0,0,0,0,0,0,0,0,0,7,0
away,0,3,19,0,0,0,0,0,0,0,0,0
cozy,1,0,0,0,0,0,0,0,0,0,0,0
pajama,0,0,0,0,0,0,1,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,17,0
good,30,0,0,0,0,1,1,0,0,0,0,0
suddenly,0,0,7,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,9,0,0,0,0,0
well,5,0,1,0,0,0,0,0,0,0,1,0
know,0,0,0,0,0,0,0,0,0,0,42,0
scared,2,0,0,0,0,0,0,0,0,0,0,0
young,27,0,0,0,0,0,0,0,0,0,0,0
flower,0,0,0,0,0,0,7,0,0,0,0,0
desert,0,0,0,0,0,0,4,0,0,0,1,0
dry,2,0,0,0,0,0,0,0,0,0,0,0
sad,4,0,0,0,0,0,0,0,0,0,0,0
looking,2,0,0,0,0,0,0,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,14,0
enjoy,0,0,0,0,0,0,0,0,0,0,3,0
shall,0,0,0,15,0,0,0,0,0,0,0,0
patient,1,0,0,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,0,61,0,0,0,0,0
touch,0,0,0,0,0,0,0,0,0,0,7,0
little,35,0,0,0,0,0,0,0,0,0,0,0
pleased,1,0,0,0,0,0,0,0,0,0,0,0
chance,0,0,0,0,0,0,9,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,14,0
beauty,0,0,0,0,0,0,7,0,0,0,0,0
corner,0,0,0,0,0,0,8,0,0,0,0,0
sand,0,0,0,0,0,0,2,0,0,0,0,0
bit,0,0,0,0,0,0,7,0,0,0,0,0
world,0,0,0,0,0,0,26,0,0,0,0,0
hunter,0,0,0,0,0,0,1,0,0,0,0,0
come,0,0,0,0,0,0,1,0,0,0,54,0
step,0,0,0,0,0,0,2,0,0,0,1,0
die,0,0,0,0,0,0,0,0,0,0,7,0
listen,0,0,0,0,0,0,0,0,0,0,2,0
live,0,0,0,0,0,0,0,0,0,0,24,0
reach,0,0,0,0,0,0,1,0,0,0,9,0
give,0,0,0,0,0,0,0,0,0,0,19,0
life,0,0,0,0,0,0,38,0,0,0,0,0
beautiful,6,0,0,0,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,0,33,0,0,0,0,0
farth,11,0,0,0,0,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,10,0
worthwhile,1,0,0,0,0,0,0,0,0,0,0,0
cost,0,0,0,0,0,0,0,0,0,0,4,0
pleasant,7,0,0,0,0,0,0,0,0,0,0,0
smile,0,0,0,0,0,0,9,0,0,0,12,0
bubble,0,0,0,0,0,0,0,0,0,0,1,0
heart,0,0,0,0,0,0,22,0,0,0,0,0
love,0,0,0,0,0,0,37,0,0,0,27,0
fellow,1,0,0,0,0,0,2,0,0,0,0,0
man,0,0,0,0,0,0,69,0,0,0,0,0
drive,0,0,0,0,0,0,1,0,0,0,8,0
cloud,0,0,0,0,0,0,2,0,0,0,0,0
gloom,0,0,0,0,0,0,1,0,0,0,0,0
coax,0,0,0,0,0,0,0,0,0,0,3,0
worth,4,0,0,0,0,0,2,0,0,0,0,0
goodness,0,0,0,0,0,0,1,0,0,0,0,0
manly,1,0,0,0,0,0,0,0,0,0,0,0
kindness,0,0,0,0,0,0,2,0,0,0,0,0
blent,1,0,0,0,0,0,0,0,0,0,0,0
million,0,0,0,0,0,0,0,4,0,0,0,0
dollar,0,0,0,0,0,0,7,0,0,0,0,0
cent,0,0,0,0,0,0,3,0,0,0,0,0
sadness,0,0,0,0,0,0,2,0,0,0,0,0
cheery,2,0,0,0,0,0,0,0,0,0,0,0
style,0,0,0,0,0,0,2,0,0,0,0,0
nerve,0,0,0,0,0,0,0,0,0,0,1,0
try,0,0,0,0,0,0,1,0,0,0,13,0
failure,0,0,0,0,0,0,2,0,0,0,0,0
blue,4,0,0,0,0,0,0,0,0,0,0,0
dimple,0,0,0,0,0,0,1,0,0,0,0,0
encouragement,0,0,0,0,0,0,1,0,0,0,0,0
pay,0,0,0,0,0,0,0,0,0,0,6,0
high,6,0,2,0,0,0,0,0,0,0,0,0
interest,0,0,0,0,0,0,2,0,0,0,0,0
merely,0,0,4,0,0,0,0,0,0,0,0,0
lend,0,0,0,0,0,0,0,0,0,0,1,0
easy,4,0,1,0,0,0,0,0,0,0,0,0
wrinkle,0,0,0,0,0,0,0,0,0,0,3,0
cheer,0,0,0,0,0,0,3,0,0,0,0,0
squeeze,0,0,0,0,0,0,1,0,0,0,1,0
salty,7,0,0,0,0,0,0,0,0,0,0,0
tear,0,0,0,0,0,0,10,0,0,0,0,0
ripple,0,0,0,0,0,0,1,0,0,0,1,0
heartstring,0,0,0,0,0,0,1,0,0,0,0,0
tug,0,0,0,0,0,0,0,0,0,0,2,0
leave,0,0,0,0,0,0,2,0,0,0,16,0
echo,0,0,0,0,0,0,1,0,0,0,0,0
like,0,36,0,0,0,0,0,0,0,0,18,0
hug,0,0,0,0,0,0,1,0,0,0,1,0
folk,0,0,0,0,0,0,1,0,0,0,0,0
mean,3,0,0,0,0,0,1,0,0,0,10,0
winter,0,0,0,0,0,0,4,0,0,0,0,0
couple,0,0,0,0,0,0,4,0,0,0,0,0
luxury,0,0,0,0,0,0,4,0,0,0,0,0
villa,0,0,0,0,0,0,1,0,0,0,0,0
bankruptcy,0,0,0,0,0,0,1,0,0,0,0,0
husband,0,0,0,0,0,0,18,0,0,0,0,0
work,0,0,0,0,0,0,7,0,0,0,8,0
night,0,0,0,0,0,0,16,0,0,0,0,0
support,0,0,0,0,0,0,0,0,0,0,2,0
family,0,0,0,0,0,0,11,0,0,0,0,0
