word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,VERB,X
chemical,21,0,0,0,8,0,0,0,0
element,0,0,0,0,199,0,0,0,0
periodic,49,0,0,0,0,0,0,0,0
table,0,0,0,0,87,0,0,0,0
useful,3,0,0,0,0,0,0,0,0
invention,0,0,0,0,6,0,0,0,0
chemist,0,0,0,0,45,0,0,0,0
scientist,0,0,0,0,32,0,0,0,0
study,0,0,0,0,0,0,0,2,0
substance,0,0,0,0,20,0,0,0,0
chart,0,0,0,0,1,0,0,0,0
contain,0,0,0,0,0,0,0,25,0
know,0,0,0,0,0,0,0,23,0
space,0,0,0,0,4,0,0,0,0
discover,0,0,0,0,0,0,0,50,0
understand,0,0,0,0,0,0,0,8,0
invent,0,0,0,0,0,0,0,6,0
need,0,0,0,0,0,0,0,11,0
important,7,0,0,0,0,0,0,0,0
atom,0,0,0,0,88,0,0,0,0
book,0,0,0,0,6,0,0,0,0
bird,0,0,0,0,1,0,0,0,0
building,0,0,0,0,1,0,0,0,0
thing,0,0,0,0,6,0,0,0,0
tiny,3,0,0,0,0,0,0,0,0
call,0,0,0,0,0,0,0,27,0
small,6,0,0,0,0,0,0,0,0
million,0,0,0,0,0,1,0,0,0
big,4,0,0,0,0,0,0,0,0
one,0,0,0,0,4,0,0,0,0
pile,0,0,0,0,1,0,0,0,0
half,0,0,0,3,0,0,0,0,0
millimeter,0,0,0,0,1,0,0,0,0
high,7,0,0,0,0,0,0,0,0
microscope,0,0,0,0,1,0,0,0,0
difficult,9,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,4,0
invisible,1,0,0,0,0,0,0,0,0
exist,0,0,0,0,0,0,0,3,0
year,0,0,0,0,17,0,0,0,0
ago,0,0,2,0,0,0,0,0,0
result,0,0,0,0,5,0,0,0,0
experiment,0,0,0,0,15,0,0,1,0
real,1,0,0,0,0,0,0,0,0
subatomic,4,0,0,0,0,0,0,0,0
particle,0,0,0,0,12,0,0,0,0
inside,0,4,2,0,0,0,0,0,0
main,2,0,0,0,0,0,0,0,0
type,0,0,0,0,5,0,0,0,0
proton,0,0,0,0,11,0,0,0,0
neutron,0,0,0,0,3,0,0,0,0
heavy,12,0,0,0,0,0,0,0,0
join,0,0,0,0,1,0,0,13,0
cluster,0,0,0,0,1,0,0,0,0
middle,1,0,0,0,1,0,0,0,0
nucleus,0,0,0,0,11,0,0,0,0
electron,0,0,0,0,4,0,0,0,0
light,5,0,0,0,4,0,0,2,0
cloud,0,0,0,0,1,0,0,0,0
surround,0,0,0,0,0,0,0,2,0
diagram,0,0,0,0,3,0,0,0,0
lithium,0,0,0,0,4,0,0,0,0
fact,0,0,0,0,22,0,0,0,0
time,0,0,0,0,22,0,0,0,0
come,0,0,0,0,0,0,0,16,0
greek,9,0,0,0,0,0,0,0,0
word,0,0,0,0,14,0,0,0,0
atomos,0,0,0,0,0,0,0,0,1
mean,0,0,0,0,0,0,0,10,0
split,0,0,0,0,0,0,0,1,0
gold,0,0,0,0,7,0,0,0,0
iron,0,0,0,0,6,0,0,0,0
thousand,0,0,0,0,2,0,0,0,0
recently,0,0,1,0,0,0,0,0,0
helium,0,0,0,0,8,0,0,0,0
balloon,0,0,0,0,1,0,0,0,0
americium,0,0,0,0,3,0,0,0,0
smoke,0,0,0,0,1,0,0,0,0
alarm,0,0,0,0,1,0,0,0,0
continue,0,0,0,0,0,0,0,4,0
new,29,0,0,0,0,0,0,0,0
today,0,0,0,0,7,0,0,0,0
atomic,62,0,0,0,0,0,0,0,0
number,0,0,0,0,36,0,0,0,0
hydrogen,0,0,0,0,21,0,0,0,0
carbon,0,0,0,0,11,0,0,0,0
different,21,0,0,0,0,0,0,0,0
help,0,0,0,0,0,0,0,5,0
close,4,0,0,0,0,0,0,0,0
look,0,0,0,0,2,0,0,6,0
confusing,2,0,0,0,0,0,0,0,0
let,0,0,0,0,0,0,0,1,0
feature,0,0,0,0,3,0,0,0,0
box,0,0,0,0,3,0,0,0,0
information,0,0,0,0,4,0,0,0,0
single,3,0,0,0,0,0,0,0,0
oxygen,0,0,0,0,21,0,0,0,0
find,0,0,0,0,0,0,0,28,0
water,0,0,0,0,16,0,0,0,0
compound,0,0,0,0,5,0,0,0,0
chemically,0,0,1,0,0,0,0,0,0
example,0,0,0,0,13,0,0,0,0
symbol,0,0,0,0,21,0,0,0,0
letter,0,0,0,0,9,0,0,0,0
capital,0,0,0,0,1,0,0,0,0
low,3,0,0,0,0,0,0,0,0
case,0,0,0,0,2,0,0,0,0
easy,1,0,0,0,0,0,0,0,0
copper,0,0,0,0,10,0,0,0,0
obvious,1,0,0,0,0,0,0,0,0
ancient,4,0,0,0,0,0,0,0,0
mine,0,0,0,0,1,0,0,0,0
island,0,0,0,0,1,0,0,0,0
metal,0,0,0,0,15,0,0,0,0
aes,0,0,0,0,0,0,0,0,1
shorten,0,0,0,0,0,0,0,1,0
cuprum,0,0,0,0,1,0,0,0,0
cobalt,0,0,0,0,2,0,0,0,0
make,0,0,0,0,0,0,0,6,0
little,2,0,0,0,0,0,0,0,0
sense,0,0,0,0,3,0,0,0,0
use,0,0,0,0,1,0,0,5,0
actual,2,0,0,0,0,0,0,0,0
masse,0,0,0,0,16,0,0,0,0
gram,0,0,0,0,1,0,0,0,0
instead,0,0,10,0,0,0,0,0,0
relative,39,0,0,0,0,0,0,0,0
mass,0,0,0,0,31,0,0,0,0
compare,0,0,0,0,0,0,0,2,0
weigh,0,0,0,0,0,0,0,2,0
left,3,0,2,0,2,0,0,0,0
right,7,0,2,0,6,0,0,0,0
period,0,0,0,0,4,0,0,0,0
horizontal,3,0,0,0,0,0,0,0,0
row,0,0,0,0,12,0,0,0,0
arrange,0,0,0,0,0,0,0,13,0
order,0,0,0,0,19,0,0,2,0
increase,0,0,0,0,0,0,0,16,0
group,0,0,0,0,19,0,0,1,0
vertical,4,0,0,0,0,0,0,0,0
column,0,0,0,0,9,0,0,0,0
similar,10,0,0,0,0,0,0,0,0
property,0,0,0,0,18,0,0,0,0
reactive,5,0,0,0,0,0,0,0,0
unreactive,7,0,0,0,0,0,0,0,0
nonmetal,0,0,0,0,4,0,0,0,0
go,0,0,0,0,0,0,0,10,0
like,0,16,0,0,0,0,0,0,0
glow,0,0,0,0,2,0,0,0,0
dark,1,0,0,0,1,0,0,0,0
complex,2,0,0,0,0,0,0,0,0
day,0,0,0,0,7,0,0,0,0
philosopher,0,0,0,0,3,0,0,0,0
think,0,0,0,0,0,0,0,20,0
carefully,0,0,2,0,0,0,0,0,0
world,0,0,0,0,10,0,0,0,0
idea,0,0,0,0,13,0,0,0,0
explain,0,0,0,0,0,0,0,9,0
see,0,0,0,0,0,0,0,3,0
bear,0,0,0,0,0,0,0,1,0
air,0,0,0,0,20,0,0,0,0
earth,0,0,0,0,1,0,0,0,0
fire,0,0,0,0,4,0,0,1,0
prove,0,0,0,0,0,0,0,3,0
people,0,0,0,0,5,0,0,0,0
highly,0,0,1,0,0,0,0,0,0
influence,0,0,0,0,0,0,0,1,0
science,0,0,0,0,3,0,0,0,0
