word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,PRON,VERB
begin,0,0,0,0,0,0,0,0,19
story,0,0,0,0,0,3,0,0,0
like,0,5,0,0,0,0,0,0,6
tell,0,0,0,0,0,0,0,0,5
little,15,0,0,0,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,2
year,0,0,0,0,0,26,0,0,0
city,0,0,0,0,0,1,0,0,0
north,0,0,0,0,0,3,0,0,0
father,0,0,0,0,0,6,0,0,0
german,1,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,35
live,0,0,0,0,0,0,0,0,9
work,0,0,0,0,0,10,0,0,9
soon,0,0,9,0,0,0,0,0,0
marry,0,0,0,0,0,0,0,0,2
mother,0,0,0,0,0,3,0,0,0
english,3,0,0,0,0,0,0,0,0
family,0,0,0,0,0,3,0,0,0
call,0,0,0,0,0,0,0,0,9
business,0,0,0,0,0,3,0,0,0
go,0,0,0,0,0,0,0,0,44
good,13,0,0,0,0,0,0,0,0
school,0,0,0,0,0,1,0,0,0
want,0,0,0,0,0,0,0,0,35
job,0,0,0,0,0,2,0,0,0
quiet,5,0,0,0,0,0,0,0,0
comfortable,2,0,0,0,0,0,0,0,0
life,0,0,0,0,0,14,0,0,0
adventure,0,0,0,0,0,5,0,0,0
exciting,1,0,0,0,0,0,0,0,0
sailor,0,0,0,0,0,6,0,0,0
sea,0,0,0,0,0,36,0,0,0
unhappy,7,0,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,29
happy,12,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,8
difficult,3,0,0,0,0,0,0,0,0
dangerous,4,0,0,0,0,0,0,0,0
love,0,0,0,0,0,0,0,0,1
try,0,0,0,0,0,0,0,0,11
forget,0,0,0,0,0,0,0,0,6
later,0,0,14,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,20
friend,0,0,0,0,0,26,0,0,0
town,0,0,0,0,0,1,0,0,0
ship,0,0,0,0,0,52,0,0,0
sail,0,0,0,0,0,3,0,0,12
tomorrow,0,0,0,0,0,2,0,0,0
day,0,0,0,0,0,39,0,0,0
strong,9,0,0,0,0,0,0,0,0
wind,0,0,0,0,0,6,0,0,0
rough,2,0,0,0,0,0,0,0,0
ill,5,0,0,0,0,0,0,0,0
afraid,21,0,0,0,0,0,0,0,0
die,0,0,0,0,0,0,0,0,5
cry,0,0,0,0,0,0,0,0,9
home,0,0,15,0,0,6,0,0,0
drop,0,0,0,0,0,0,0,0,2
beautiful,1,0,0,0,0,0,0,0,0
laugh,0,0,0,0,0,0,0,0,4
feel,0,0,0,0,0,0,0,0,8
bad,5,0,0,0,0,0,0,0,0
terrible,9,0,0,0,0,0,0,0,0
storm,0,0,0,0,0,7,0,0,0
answer,0,0,0,0,0,0,0,0,5
drink,0,0,0,0,0,5,0,0,2
well,3,0,1,0,0,0,0,0,0
danger,0,0,0,0,0,4,0,0,0
decide,0,0,0,0,0,0,0,0,12
stay,0,0,0,0,0,0,0,0,7
time,0,0,0,0,0,24,0,0,0
captain,0,0,0,0,0,21,0,0,0
ask,0,0,0,0,0,0,0,0,5
agree,0,0,0,0,0,0,0,0,7
second,9,0,0,0,0,0,0,0,0
near,0,8,2,0,0,0,0,0,0
turkish,4,0,0,0,0,0,0,0,0
pirate,0,0,0,0,0,2,0,0,0
famous,1,0,0,0,0,0,0,0,0
thief,0,0,0,0,0,1,0,0,0
long,17,0,2,0,0,0,0,0,0
hard,11,0,6,0,0,0,0,0,0
fight,0,0,0,0,0,4,0,0,6
finish,0,0,0,0,0,0,0,0,2
prisoner,0,0,0,0,0,16,0,0,0
man,0,0,0,0,0,48,0,0,0
take,0,0,0,0,0,0,0,0,14
sell,0,0,0,0,0,0,0,0,3
slave,0,0,0,0,0,4,0,0,0
market,0,0,0,0,0,1,0,0,0
end,0,0,0,0,0,9,0,0,0
sudden,2,0,0,0,0,0,0,0,0
change,0,0,0,0,0,1,0,0,1
master,0,0,0,0,0,9,0,0,0
house,0,0,0,0,0,13,0,0,0
garden,0,0,0,0,0,1,0,0,0
plan,0,0,0,0,0,2,0,0,1
escape,0,0,0,0,0,2,0,0,6
possible,2,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,12
night,0,0,0,0,0,13,0,0,0
fishing,0,0,0,0,0,3,0,0,0
boat,0,0,0,0,0,33,0,0,0
young,6,0,0,0,0,0,0,0,0
boy,0,0,0,0,0,3,0,0,0
ready,7,0,0,0,0,0,0,0,0
lot,0,0,0,0,0,12,0,0,0
food,0,0,0,0,0,21,0,0,0
morning,0,0,0,0,0,9,0,0,0
wait,0,0,0,0,0,0,0,0,5
arrive,0,0,0,0,0,0,0,0,2
today,0,0,0,0,0,1,0,0,0
catch,0,0,0,0,0,0,0,0,3
fish,0,0,0,0,0,1,0,0,1
supper,0,0,0,0,0,1,0,0,0
tonight,0,0,0,0,0,1,0,0,0
yes,0,0,0,0,4,0,0,0,0
quietly,0,0,3,0,0,0,0,0,0
inside,0,0,1,0,0,0,0,0,0
excited,3,0,0,0,0,0,0,0,0
move,0,0,0,0,0,0,0,0,3
carefully,0,0,5,0,0,0,0,0,0
knock,0,0,0,0,0,0,0,0,1
water,0,0,0,0,0,16,0,0,0
swim,0,0,0,0,0,0,0,0,7
shore,0,0,0,0,0,22,0,0,0
shoot,0,0,0,0,0,0,0,0,9
seabird,0,0,0,0,0,1,0,0,0
gun,0,0,0,0,0,25,0,0,0
quickly,0,0,8,0,0,0,0,0,0
shout,0,0,0,0,0,0,0,0,6
far,0,0,5,0,0,0,0,0,0
hurt,0,0,0,0,0,0,0,0,1
head,0,0,0,0,0,4,0,0,0
turn,0,0,0,0,0,0,0,0,6
help,0,0,0,0,0,4,0,0,16
push,0,0,0,0,0,0,0,0,4
world,0,0,0,0,0,3,0,0,0
small,5,0,0,0,0,0,0,0,0
south,0,0,2,0,0,0,0,0,0
country,0,0,0,0,0,8,0,0,0
wild,28,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,13,0,0,0
meal,0,0,0,0,0,2,0,0,0
coast,0,0,0,0,0,5,0,0,0
people,0,0,0,0,0,14,0,0,0
strange,5,0,0,0,0,0,0,0,0
look,0,0,0,0,0,0,0,0,24
friendly,2,0,0,0,0,0,0,0,0
need,0,0,0,0,0,0,0,0,8
white,2,0,0,0,0,0,0,0,0
visit,0,0,0,0,0,1,0,0,2
speak,0,0,0,0,0,0,0,0,4
language,0,0,0,0,0,1,0,0,0
course,0,0,1,0,0,3,0,0,0
hand,0,0,0,0,0,1,0,0,0
face,0,0,0,0,0,2,0,0,0
hungry,2,0,0,0,0,0,0,0,0
away,0,0,6,0,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,4
watch,0,0,0,0,0,0,0,0,9
thank,0,0,0,0,0,0,0,0,3
big,7,0,0,0,0,0,0,0,0
cat,0,0,0,0,0,4,0,0,0
