word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
wide,13,0,0,0,0,0,0,0,0,0,0,0
eye,0,0,0,0,0,0,102,0,0,0,5,0
fix,0,0,0,0,0,0,0,0,0,0,6,0
like,6,27,1,0,0,0,0,0,0,0,7,0
trap,0,0,0,0,0,0,3,0,0,0,2,0
creature,0,0,0,0,0,0,23,0,0,0,0,0
horrify,0,0,0,0,0,0,0,0,0,0,3,0
beneath,0,41,3,0,0,0,0,0,0,0,0,0
mesmeric,1,0,0,0,0,0,0,0,0,0,0,0
gaze,0,0,0,0,0,0,3,0,0,0,7,0
great,99,0,0,0,0,0,0,0,0,0,0,0
serpent,0,0,0,0,0,0,1,0,0,0,0,0
girl,0,0,0,0,0,0,190,0,0,0,0,0
watch,0,0,0,0,0,0,1,0,0,0,24,0
approach,0,0,0,0,0,0,2,0,0,0,32,0
man,0,0,0,0,0,0,279,0,0,0,1,0
hand,0,0,0,0,0,0,59,0,0,0,4,0
free,12,0,1,0,0,0,0,0,0,0,11,0
have,0,0,0,0,0,0,0,0,0,0,13,0
secure,0,0,0,0,0,0,0,0,0,0,3,0
length,0,0,0,0,0,0,6,0,0,0,0,0
ancient,2,0,0,0,0,0,0,0,0,0,0,0
slave,0,0,0,0,0,0,4,0,0,0,0,0
chain,0,0,0,0,0,0,2,0,0,0,0,0
fasten,0,0,0,0,0,0,0,0,0,0,2,0
end,0,0,0,0,0,0,16,0,0,0,0,0
iron,0,0,0,0,0,0,1,0,0,0,0,0
collar,0,0,0,0,0,0,2,0,0,0,0,0
padlock,0,0,0,0,0,0,0,0,0,0,1,0
neck,0,0,0,0,0,0,16,0,0,0,0,0
long,35,0,32,0,0,0,0,0,0,0,0,0
stake,0,0,0,0,0,0,9,0,0,0,1,0
drive,0,0,0,0,0,0,1,0,0,0,15,0
deep,6,0,9,0,0,0,0,0,0,0,0,0
ground,0,0,0,0,0,0,33,0,0,0,1,0
slowly,0,0,35,0,0,0,0,0,0,0,0,0
shrink,0,0,0,0,0,0,0,0,0,0,6,0
inch,0,0,0,0,0,0,3,0,0,0,0,0
opposite,18,2,0,0,0,0,0,0,0,0,0,0
tent,0,0,0,0,0,0,65,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,0,0,49,0
extend,0,0,0,0,0,0,0,0,0,0,2,0
finger,0,0,0,0,0,0,18,0,0,0,1,0
half,11,0,13,0,10,0,1,0,0,0,0,0
open,12,0,0,0,0,0,0,0,0,0,4,0
claw,0,0,0,0,0,0,1,0,0,0,0,0
seize,0,0,0,0,0,0,0,0,0,0,20,0
lip,0,0,0,0,0,0,21,0,0,0,0,0
part,0,0,0,0,0,0,1,0,0,0,5,0
breath,0,0,0,0,0,0,3,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,219,0
quickly,0,0,22,0,0,0,0,0,0,0,0,0
pantingly,0,0,1,0,0,0,0,0,0,0,0,0
recall,0,0,0,0,0,0,0,0,0,0,14,0
instruction,0,0,0,0,0,0,12,0,0,0,0,0
molest,0,0,0,0,0,0,0,0,0,0,3,0
go,0,0,0,0,0,0,0,0,0,0,59,0
jungle,0,0,0,0,0,0,127,0,0,0,0,0
hunt,0,0,0,0,0,0,4,0,0,0,14,0
choose,0,0,0,0,0,0,0,0,0,0,2,0
time,0,0,0,0,0,0,90,0,0,0,0,0
scream,0,0,0,0,0,0,6,0,0,0,8,0
loud,2,0,1,0,0,0,0,0,0,0,0,0
shrill,1,0,1,0,0,0,0,0,0,0,0,0
twice,0,0,7,0,0,0,0,0,0,0,0,0
leap,0,0,0,0,0,0,0,0,0,0,41,0
throttle,0,0,0,0,0,0,0,0,0,0,1,0
alarming,1,0,0,0,0,0,0,0,0,0,0,0
cry,0,0,0,0,0,0,11,0,0,0,29,0
brute,1,0,0,0,0,0,6,0,0,0,0,0
fight,0,0,0,0,0,0,0,0,0,0,16,0
tooth,0,0,0,0,0,0,6,0,0,0,0,0
nail,0,0,0,0,0,0,2,0,0,0,0,0
find,0,0,0,0,0,0,1,0,0,0,90,0
easy,9,0,0,0,0,0,0,0,0,0,0,0
prey,0,0,0,0,0,0,14,0,0,0,1,0
slender,2,0,0,0,0,0,0,0,0,0,0,0
young,47,0,1,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,0,24,0,0,0,0,0
rounded,3,0,0,0,0,0,0,0,0,0,0,0
curve,0,0,0,0,0,0,1,0,0,0,0,0
fine,7,0,0,0,0,0,0,0,0,0,0,0
soft,5,0,0,0,0,0,0,0,0,0,0,0
skin,0,0,0,0,0,0,11,0,0,0,0,0
lie,0,0,0,0,0,0,0,0,0,0,61,0
muscle,0,0,0,0,0,0,6,0,0,0,0,0
lioness,0,0,0,0,0,0,3,0,0,0,0,0
weakling,0,0,0,0,0,0,2,0,0,0,0,0
character,0,0,0,0,0,0,3,0,0,0,0,0
appearance,0,0,0,0,0,0,4,0,0,0,0,0
brutal,3,0,0,0,0,0,0,0,0,0,0,0
belie,0,0,0,0,0,0,0,0,0,0,1,0
brawn,0,0,0,0,0,0,1,0,0,0,0,0
giant,10,0,0,0,0,0,4,0,0,0,0,0
stature,0,0,0,0,0,0,2,0,0,0,0,0
strength,0,0,0,0,0,0,6,0,0,0,0,0
force,0,0,0,0,0,0,3,0,0,0,14,0
strike,0,0,0,0,0,0,0,0,0,0,16,0
face,0,0,0,0,0,0,48,0,0,0,8,0
hurt,0,0,0,0,0,0,0,0,0,0,4,0
badly,0,0,2,0,0,0,0,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,0,0,10,0
weak,4,0,0,0,0,0,0,0,0,0,0,0
choke,0,0,0,0,0,0,0,0,0,0,3,0
throat,0,0,0,0,0,0,7,0,0,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,43,0
buck,0,0,0,0,0,0,2,0,0,0,0,0
hunting,0,0,0,0,0,0,12,0,0,0,0,0
carry,0,0,0,0,0,0,0,0,0,0,24,0
far,3,0,31,0,0,0,0,0,0,0,0,0
afield,0,0,1,0,0,0,0,0,0,0,0,0
prone,1,0,0,0,0,0,0,0,0,0,0,0
permit,0,0,0,0,0,0,0,0,0,0,18,0
suspicious,3,0,0,0,0,0,0,0,0,0,0,0
fact,0,0,0,0,0,0,17,0,0,0,0,0
companion,0,0,0,0,0,0,12,0,0,0,0,0
refuse,0,0,0,0,0,0,0,0,0,0,8,0
accompany,0,0,0,0,0,0,0,0,0,0,11,0
elect,0,0,0,0,0,0,0,0,0,0,1,0
instead,0,0,10,0,0,0,0,0,0,0,0,0
direction,0,0,0,0,0,0,31,0,0,0,0,0
ordinary,3,0,0,0,0,0,0,0,0,0,0,0
circumstance,0,0,0,0,0,0,4,0,0,0,0,0
fraught,1,0,0,0,0,0,0,0,0,0,0,0
sinister,2,0,0,0,0,0,0,0,0,0,0,0
suggestion,0,0,0,0,0,0,9,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,140,0
meat,0,0,0,0,0,0,6,0,0,0,0,0
turn,0,0,0,0,0,0,2,0,0,0,81,0
immediately,0,0,11,0,0,0,0,0,0,0,0,0
camp,0,0,0,0,0,0,69,0,0,0,2,0
boy,0,0,0,0,0,0,39,0,0,0,0,0
kill,0,0,0,0,0,0,2,0,0,0,32,0
cover,0,0,0,0,0,0,0,0,0,0,13,0
return,0,0,0,0,0,0,14,0,0,0,40,0
