word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,SCONJ,VERB,X
telephone,0,0,0,0,0,284,0,0,0,0
prove,0,0,0,0,0,0,0,0,5,0
fast,5,0,0,0,0,0,0,0,0,0
personal,17,0,0,0,0,0,0,0,0,0
way,0,0,0,0,0,42,0,0,0,0
people,0,0,0,0,0,5,0,0,0,0
connect,0,0,0,0,0,0,0,0,41,0
separate,9,0,0,0,0,0,0,0,11,0
distance,0,0,0,0,0,50,0,0,0,0
information,0,0,0,0,0,75,0,0,0,0
take,0,0,0,0,0,0,0,0,18,0
week,0,0,0,0,0,2,0,0,0,0
convey,0,0,0,0,0,0,0,0,6,0
second,16,0,1,0,0,52,0,0,0,1
advance,0,0,0,0,0,6,0,0,1,0
technology,0,0,0,0,0,40,0,0,0,0
open,1,0,0,0,0,0,0,0,6,0
avenue,0,0,0,0,0,1,0,0,0,0
electronic,19,0,0,0,0,2,0,0,0,0
communication,0,0,0,0,0,76,0,0,0,0
breakthrough,0,0,0,0,0,3,0,0,0,0
explain,0,0,0,0,0,0,0,0,2,0
detail,0,0,0,0,0,1,0,0,0,0
composition,0,0,0,0,0,1,0,0,0,0
intricate,1,0,0,0,0,0,0,0,0,0
operation,0,0,0,0,0,11,0,0,0,0
instrument,0,0,0,0,0,47,0,0,0,0
illustrate,0,0,0,0,0,0,0,0,5,0
phone,0,0,0,0,0,55,0,0,0,0
change,0,0,0,0,0,4,0,0,12,0
time,0,0,0,0,0,75,0,0,1,0
text,0,0,0,0,0,18,0,0,0,0
reader,0,0,0,0,0,1,0,0,0,0
history,0,0,0,0,0,4,0,0,0,0
point,0,0,0,0,0,25,0,0,1,0
possible,29,0,0,0,0,0,0,0,0,0
future,1,0,0,0,0,0,0,0,0,0
application,0,0,0,0,0,15,0,0,0,0
comprehensive,1,0,0,0,0,0,0,0,0,0
study,0,0,0,0,0,5,0,0,2,0
begin,0,0,0,0,0,0,0,0,35,0
understanding,0,0,0,0,0,2,0,0,0,0
work,0,0,0,0,0,11,0,0,20,0
device,0,0,0,0,0,42,0,0,0,0
direct,10,0,0,0,0,0,0,0,1,0
current,8,0,0,0,0,40,0,0,0,0
power,0,0,0,0,0,19,0,0,5,0
source,0,0,0,0,0,28,0,0,0,0
supply,0,0,0,0,0,0,0,0,4,0
local,38,0,0,0,0,0,0,0,0,0
company,0,0,0,0,0,25,0,0,0,0
switch,0,0,0,0,0,54,0,0,29,0
office,0,0,0,0,0,52,0,0,0,0
circuit,0,0,0,0,0,101,0,0,1,0
call,0,0,0,0,0,19,0,0,54,0
loop,0,0,0,0,0,24,0,0,1,0
cordless,8,0,0,0,0,0,0,0,0,0
exception,0,0,0,0,0,1,0,0,0,0
draw,0,0,0,0,0,0,0,0,3,0
internal,3,0,0,0,0,0,0,0,0,0
battery,0,0,0,0,0,8,0,0,0,0
hook,0,0,0,0,0,14,0,0,0,0
disconnect,0,0,0,0,0,0,0,0,3,0
dialer,0,0,0,0,0,5,0,0,0,0
transmit,0,0,0,0,0,0,0,0,133,0
pulse,0,0,0,0,0,20,0,0,0,0
dual,6,0,0,0,0,0,0,0,0,0
tone,0,0,0,0,0,29,0,0,0,0
signal,0,0,0,0,0,256,0,0,13,0
indicate,0,0,0,0,0,0,0,0,10,0
number,0,0,0,0,0,85,0,0,0,0
ringer,0,0,0,0,0,17,0,0,0,0
ready,3,0,0,0,0,0,0,0,0,0
announce,0,0,0,0,0,0,0,0,4,0
incoming,5,0,0,0,0,0,0,0,0,0
transmitter,0,0,0,0,0,55,0,0,0,0
convert,0,0,0,0,0,0,0,0,19,0
sound,0,0,0,0,0,45,0,0,2,0
vibration,0,0,0,0,0,9,0,0,0,0
electric,29,0,0,0,0,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,33,0
end,0,0,0,0,0,22,0,0,0,0
line,0,0,0,0,0,84,0,0,0,0
receiver,0,0,0,0,0,53,0,0,0,0
opposite,3,0,0,0,0,0,0,0,0,0
translate,0,0,0,0,0,0,0,0,8,0
audible,5,0,0,0,0,0,0,0,0,0
mimic,0,0,0,0,0,0,0,0,1,0
speech,0,0,0,0,0,34,0,0,0,0
anti,5,0,0,0,0,0,0,0,0,0
sidetone,4,0,0,0,0,2,0,0,0,0
prevent,0,0,0,0,0,0,0,0,9,0
user,0,0,0,0,0,75,0,0,0,0
voice,0,0,0,0,0,92,0,0,0,0
go,0,0,0,0,0,0,0,0,9,0
experimental,3,0,0,0,0,0,0,0,0,0
iteration,0,0,0,0,0,1,0,0,0,0
operate,0,0,0,0,0,0,0,0,32,0
come,0,0,0,0,0,0,0,0,13,0
fruition,0,0,0,0,0,1,0,0,0,0
century,0,0,0,0,0,10,0,0,0,0
inventor,0,0,0,0,0,11,0,0,0,0
search,0,0,0,0,0,0,0,0,2,0
long,49,0,3,0,0,0,0,0,0,0
create,0,0,0,0,0,0,0,0,11,0
conceive,0,0,0,0,0,0,0,0,4,0
similar,16,0,0,0,0,0,0,0,0,0
electrical,15,0,0,0,0,0,0,0,0,0
metal,0,0,0,0,0,16,0,0,0,0
diaphragm,0,0,0,0,0,12,0,0,0,0
reproduce,0,0,0,0,0,0,0,0,9,0
build,0,0,0,0,0,0,0,0,7,0
model,0,0,0,0,0,4,0,0,0,0
day,0,0,0,0,0,9,0,0,0,0
patent,0,0,0,0,0,22,0,0,2,0
win,0,0,0,0,0,0,0,0,2,0
caveat,0,0,0,0,0,5,0,0,0,0
sort,0,0,0,0,0,1,0,0,0,0
prelude,0,0,0,0,0,1,0,0,0,0
official,1,0,0,0,0,1,0,0,0,0
duplicate,0,0,0,0,0,0,0,0,1,0
human,9,0,0,0,0,0,0,0,0,0
hurdle,0,0,0,0,0,1,0,0,0,0
overcome,0,0,0,0,0,0,0,0,5,0
design,0,0,0,0,0,21,0,0,23,0
successful,7,0,0,0,0,0,0,0,0,0
pair,0,0,0,0,0,20,0,0,1,0
rod,0,0,0,0,0,5,0,0,0,0
acidic,2,0,0,0,0,0,0,0,0,0
solution,0,0,0,0,0,4,0,0,0,0
move,0,0,0,0,0,0,0,0,8,0
relation,0,0,0,0,0,1,0,0,0,0
activate,0,0,0,0,0,0,0,0,11,0
