word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
dead,34,0,0,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,0,186,0,0,0,0,0
stamp,0,0,0,0,0,0,0,1,0,0,0,5,0
die,0,0,0,0,0,0,0,0,0,0,0,35,0
hard,6,0,2,0,0,0,0,0,0,0,0,0,0
advocate,0,0,0,0,0,0,0,1,0,0,0,0,0
extraordinary,4,0,0,0,0,0,0,0,0,0,0,0,0
king,0,0,0,0,0,0,0,158,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,0,292,0
poor,64,0,0,0,0,0,0,0,0,0,0,0,0
error,0,0,0,0,0,0,0,1,0,0,0,0,0
jest,0,0,0,0,0,0,0,1,0,0,0,0,0
archdeacon,0,0,0,0,0,0,0,68,0,0,0,0,0
repeat,0,0,0,0,0,0,0,0,0,0,0,24,0
condemn,0,0,0,0,0,0,0,0,0,0,0,27,0
girl,0,0,0,0,0,0,0,92,0,0,0,0,0
fact,0,0,0,0,0,0,0,27,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,89,0
believe,0,0,0,0,0,0,0,0,0,0,0,24,0
count,0,0,0,0,0,0,0,0,0,0,0,2,0
doubt,0,0,9,0,0,0,0,4,0,0,0,5,0
devoutly,0,0,4,0,0,0,0,0,0,0,0,0,0
hope,0,0,0,0,0,0,0,13,0,0,0,4,0
favorable,1,0,0,0,0,0,0,0,0,0,0,0,0
news,0,0,0,0,0,0,0,4,0,0,0,0,0
rival,0,0,0,0,0,0,0,1,0,0,0,0,0
woman,0,0,0,0,0,0,0,61,0,0,0,0,0
love,0,0,0,0,0,0,0,24,0,0,0,42,0
place,0,0,0,0,0,0,0,49,0,0,0,19,0
wound,0,0,0,0,0,0,0,2,0,0,0,1,0
physician,0,0,0,0,0,0,0,7,0,0,0,0,0
soldier,0,0,0,0,0,0,0,32,0,0,0,0,0
watch,0,0,0,0,0,0,0,21,0,0,0,14,0
carry,0,0,0,0,0,0,0,0,0,0,0,15,0
moment,0,0,0,0,0,0,0,121,0,0,0,0,0
fear,0,0,0,0,0,0,0,12,0,0,0,4,0
life,0,0,0,0,0,0,0,41,0,0,0,0,0
space,0,0,0,0,0,0,0,7,0,0,0,0,0
week,0,0,0,0,0,0,0,4,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,0,39,0
youth,0,0,0,0,0,0,0,4,0,0,0,0,0
gain,0,0,0,0,0,0,0,0,0,0,0,4,0
upper,5,0,0,0,0,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,0,133,0,0,0,1,0
frequently,0,0,1,0,0,0,0,0,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,0,4,0
spite,0,0,0,0,0,0,0,6,0,0,0,0,0
prognostication,0,0,0,0,0,0,0,1,0,0,0,0,0
diagnosis,0,0,0,0,0,0,0,1,0,0,0,0,0
nature,0,0,0,0,0,0,0,9,0,0,0,0,0
amuse,0,0,0,0,0,0,0,0,0,0,0,5,0
save,0,0,0,0,0,0,0,0,0,0,4,41,0
sick,1,0,0,0,0,0,0,0,0,0,0,0,0
nose,0,0,0,0,0,0,0,12,0,0,0,0,0
lie,0,0,0,0,0,0,0,1,0,0,0,26,0
leech,0,0,0,0,0,0,0,6,0,0,0,0,0
pallet,0,0,0,0,0,0,0,2,0,0,0,0,0
submit,0,0,0,0,0,0,0,0,0,0,0,1,0
interrogation,0,0,0,0,0,0,0,1,0,0,0,0,0
