word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,VERB
bear,0,0,0,0,0,0,16,0,0,5
city,0,0,0,0,0,0,1,0,0,0
son,0,0,0,0,0,0,4,0,0,0
family,0,0,0,0,0,0,3,0,0,0
great,21,0,0,0,0,0,0,0,0,0
hope,0,0,0,0,0,0,2,0,0,12
inheritance,0,0,0,0,0,0,1,0,0,0
father,0,0,0,0,0,0,17,0,0,0
plan,0,0,0,0,0,0,8,0,0,7
study,0,0,0,0,0,0,0,0,0,2
law,0,0,0,0,0,0,2,0,0,0
want,0,0,0,0,0,0,0,0,0,12
sea,0,0,0,0,0,0,44,0,0,0
foolish,2,0,0,0,0,0,0,0,0,0
scold,0,0,0,0,0,0,0,0,0,1
bring,0,0,0,0,0,0,0,0,0,22
subject,0,0,0,0,0,0,2,0,0,0
wealthy,3,0,0,0,0,0,0,0,0,0
poor,4,0,0,0,0,0,0,0,0,0
need,0,0,0,0,0,0,4,0,0,14
find,0,0,0,0,0,0,0,0,0,64
fortune,0,0,0,0,0,0,4,0,0,0
seek,0,0,0,0,0,0,0,0,0,2
fame,0,0,0,0,0,0,1,0,0,0
life,0,0,0,0,0,0,16,0,0,0
comfortable,4,0,0,0,0,0,0,0,0,0
steady,2,0,0,0,0,0,0,0,0,0
like,0,10,0,0,0,0,0,0,0,2
gloomy,1,0,0,0,0,0,0,0,0,0
dull,2,0,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,7
happiness,0,0,0,0,0,0,1,0,0,0
adventure,0,0,0,0,0,0,6,0,0,0
suggest,0,0,0,0,0,0,0,0,0,4
eye,0,0,0,0,0,0,3,0,0,0
fill,0,0,0,0,0,0,0,0,0,8
tear,0,0,0,0,0,0,3,0,0,1
remember,0,0,0,0,0,0,0,0,0,1
brother,0,0,0,0,0,0,2,0,0,0
crave,0,0,0,0,0,0,0,0,0,1
go,0,0,0,0,0,0,0,0,0,14
