word,ADJ,ADP,ADV,DET,INTJ,NOUN,PRON,VERB
innocent,4,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,2
year,0,0,0,0,0,2,0,0
stay,0,0,0,0,0,0,0,2
prison,0,0,0,0,0,7,0,0
read,0,0,0,0,0,0,0,1
life,0,0,0,0,0,2,0,0
suddenly,0,0,2,0,0,0,0,0
door,0,0,0,0,0,1,0,0
open,0,0,0,0,0,0,0,2
today,0,0,0,0,0,1,0,0
like,0,3,0,0,0,0,0,2
book,0,0,0,0,0,3,0,0
beautiful,4,0,0,0,0,0,0,0
day,0,0,0,0,0,5,0,0
forget,0,0,0,0,0,0,0,1
hate,0,0,0,0,0,0,0,2
know,0,0,0,0,0,0,0,3
thing,0,0,0,0,0,2,0,0
thief,0,0,0,0,0,5,0,0
everybody,0,0,0,0,0,0,1,0
man,0,0,0,0,0,1,0,0
answer,0,0,0,0,0,0,0,1
eat,0,0,0,0,0,0,0,2
quiet,1,0,0,0,0,0,0,0
hungry,3,0,0,0,0,0,0,0
angry,1,0,0,0,0,0,0,0
guard,0,0,0,0,0,7,0,0
right,1,0,1,0,0,0,0,0
escape,0,0,0,0,0,0,0,4
want,0,0,0,0,0,0,0,4
bird,0,0,0,0,0,4,0,0
free,4,0,0,0,0,0,0,0
wait,0,0,0,0,0,0,0,4
minute,0,0,0,0,0,4,0,0
get,0,0,0,0,0,0,0,5
idea,0,0,0,0,0,2,0,0
photograph,0,0,0,0,0,1,0,0
show,0,0,0,0,0,0,0,1
country,0,0,0,0,0,1,0,0
near,0,1,0,0,0,0,0,0
yes,0,0,0,0,4,0,0,0
tomorrow,0,0,0,0,0,1,0,0
leave,0,0,0,0,0,0,0,1
good,2,0,0,0,0,0,0,0
morning,0,0,0,0,0,1,0,0
eye,0,0,0,0,0,3,0,0
quick,1,0,2,0,0,0,0,0
sound,0,0,0,0,0,0,0,1
alarm,0,0,0,0,0,1,0,0
look,0,0,0,0,0,0,0,5
catch,0,0,0,0,0,0,0,2
find,0,0,0,0,0,0,0,3
bring,0,0,0,0,0,0,0,1
hear,0,0,0,0,0,0,0,4
sir,0,0,0,0,0,3,0,0
away,0,0,2,0,0,0,0,0
cell,0,0,0,0,0,1,0,0
tonight,0,0,0,0,0,1,0,0
understand,0,0,0,0,0,0,0,1
happy,2,0,0,0,0,0,0,0
trouble,0,0,0,0,0,2,0,0
go,0,0,0,0,0,0,0,4
kill,0,0,0,0,0,0,0,1
careful,2,0,0,0,0,0,0,0
fall,0,0,0,0,0,0,0,1
nearly,0,0,1,0,0,0,0,0
easy,1,0,0,0,0,0,0,0
afraid,1,0,0,0,0,0,0,0
high,1,0,1,0,0,0,0,0
run,0,0,0,0,0,0,0,4
jump,0,0,0,0,0,0,0,1
stop,0,0,0,0,0,0,0,5
fast,0,0,1,0,0,0,0,0
long,2,0,0,0,0,0,0,0
way,0,0,0,0,0,4,0,0
help,0,0,0,0,0,0,0,1
ouch,0,0,0,0,1,0,0,0
hurt,0,0,0,0,0,0,0,4
ditch,0,0,0,0,0,1,0,0
turn,0,0,0,0,0,0,0,1
light,0,0,0,0,0,1,0,0
safe,4,0,0,0,0,0,0,0
animal,0,0,0,0,0,1,0,0
think,0,0,0,0,0,0,0,3
foot,0,0,0,0,0,2,0,0
water,0,0,0,0,0,1,0,0
shoe,0,0,0,0,0,1,0,0
tired,2,0,0,0,0,0,0,0
wood,0,0,0,0,0,1,0,0
far,0,0,1,0,0,0,0,0
anymore,0,0,1,0,0,0,0,0
dog,0,0,0,0,0,5,0,0
hide,0,0,0,0,0,0,0,1
later,0,0,2,0,0,0,0,0
come,0,0,0,0,0,0,0,4
sleep,0,0,0,0,0,0,0,5
dark,1,0,0,0,0,0,0,0
soon,0,0,1,0,0,0,0,0
nice,1,0,0,0,0,0,0,0
need,0,0,0,0,0,0,0,7
bicycle,0,0,0,0,0,3,0,0
sorry,0,0,0,0,1,0,0,0
bye,0,0,0,0,1,0,0,0
cycle,0,0,0,0,0,0,0,1
hour,0,0,0,0,0,3,0,0
watch,0,0,0,0,0,0,0,1
work,0,0,0,0,0,0,0,1
shush,0,0,0,0,0,0,0,1
snore,0,0,0,0,0,0,0,2
shut,0,0,0,0,0,0,0,1
noise,0,0,0,0,0,2,0,0
farmer,0,0,0,0,0,2,0,0
clothe,0,0,0,0,0,3,0,0
different,1,0,0,0,0,0,0,0
hey,0,0,0,0,1,0,0,0
wife,0,0,0,0,0,1,0,0
close,1,0,0,0,0,0,0,0
plane,0,0,0,0,0,4,0,0
land,0,0,0,0,0,1,0,1
airport,0,0,0,0,0,2,0,0
arrive,0,0,0,0,0,0,0,1
fence,0,0,0,0,0,3,0,0
climb,0,0,0,0,0,0,0,3
electric,1,0,0,0,0,0,0,0
tree,0,0,0,0,0,1,0,0
big,2,0,0,0,0,0,0,0
lot,0,0,0,0,0,3,0,0
room,0,0,0,0,0,1,0,0
pizza,0,0,0,0,0,2,0,0
milk,0,0,0,0,0,1,0,0
course,0,0,1,0,0,0,0,0
half,0,0,0,1,0,0,0,0
stomach,0,0,0,0,0,1,0,0
box,0,0,0,0,0,1,0,0
time,0,0,0,0,0,2,0,0
lie,0,0,0,0,0,0,0,1
cold,1,0,0,0,0,0,0,0
floor,0,0,0,0,0,1,0,0
wrong,1,0,0,0,0,0,0,0
bad,2,0,0,0,0,0,0,0
alive,1,0,0,0,0,0,0,0
sun,0,0,0,0,0,1,0,0
shine,0,0,0,0,0,0,0,1
sing,0,0,0,0,0,0,0,1
people,0,0,0,0,0,1,0,0
window,0,0,0,0,0,1,0,0
see,0,0,0,0,0,0,0,1
mole,0,0,0,0,0,2,0,0
make,0,0,0,0,0,0,0,1
tunnel,0,0,0,0,0,1,0,0
