word,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
surprise,0,0,0,0,0,0,0,3,0,0,0,1,0
conduct,0,0,0,0,0,0,0,7,0,0,0,8,0
come,0,0,0,0,0,0,0,0,0,0,0,112,0
conclusion,0,0,0,0,0,0,0,8,0,0,0,0,0
favourably,0,0,3,0,0,0,0,0,0,0,0,0,0
view,0,0,0,0,0,0,0,16,0,0,0,10,0
nation,0,0,0,0,0,0,0,34,0,0,0,0,0
world,6,0,0,0,0,0,0,100,0,0,0,0,0
title,0,0,0,0,0,0,0,32,0,0,0,0,0
country,0,0,0,0,0,0,0,165,0,0,0,0,0
able,46,0,0,0,0,0,0,0,0,0,0,0,0
retain,0,0,0,0,0,0,0,0,0,0,0,20,0
subsequent,16,0,0,0,0,0,0,0,0,0,0,0,0
year,0,0,0,0,0,0,0,212,0,0,0,0,0
history,0,0,0,0,0,0,0,44,0,0,0,0,0
half,3,0,4,0,0,10,0,37,0,0,0,0,0
century,0,0,0,0,0,0,0,239,0,0,0,0,0
cast,0,0,0,0,0,0,0,0,0,0,0,9,0
long,52,0,70,0,0,0,0,0,0,0,0,1,0
shadow,0,0,0,0,0,0,0,2,0,0,0,2,0
thing,0,0,0,0,0,0,0,7,0,0,0,0,0
people,0,0,0,0,0,0,0,124,0,0,0,0,0
connect,0,0,0,0,0,0,0,0,0,0,0,3,0
understandable,2,0,0,0,0,0,0,0,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,0,33,0
extraordinary,7,0,0,0,0,0,0,0,0,0,0,0,0
severity,0,0,0,0,0,0,0,2,0,0,0,0,0
historic,9,0,0,0,0,0,0,0,0,0,0,0,0
event,0,0,0,0,0,0,0,38,0,0,0,0,0
abroad,0,0,13,0,0,0,0,0,0,0,0,0,0
uncommon,2,0,0,0,0,0,0,0,0,0,0,0,0
experience,0,0,0,0,0,0,0,13,0,0,0,13,0
meet,0,0,0,0,0,0,0,0,0,0,0,35,0
resentment,0,0,0,0,0,0,0,17,0,0,0,0,0
outright,4,0,0,0,0,0,0,0,0,0,0,0,0
hostility,0,0,0,0,0,0,0,17,0,0,0,0,0
bear,0,0,0,0,0,0,0,1,0,0,0,31,0
accept,0,0,0,0,0,0,0,0,0,0,0,47,0
special,16,0,0,0,0,0,0,0,0,0,0,0,0
responsibility,0,0,0,0,0,0,0,13,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,0,0,42,0
similar,15,0,0,0,0,0,0,0,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,0,7,0
convey,0,0,0,0,0,0,0,0,0,0,0,2,0
thoroughly,0,0,3,0,0,0,0,0,0,0,0,0,0
german,804,0,0,0,0,0,0,0,0,0,0,0,0
school,0,0,0,0,0,0,0,39,0,0,0,0,0
possible,24,0,0,0,0,0,0,0,0,0,0,0,0
simply,0,0,6,0,0,0,0,0,0,0,0,0,0
result,0,0,0,0,0,0,0,60,0,0,0,32,0
poll,0,0,0,0,0,0,0,2,0,0,0,0,0
outside,2,21,1,0,0,0,0,1,0,0,0,0,0
perception,0,0,0,0,0,0,0,2,0,0,0,0,0
reduce,0,0,0,0,0,0,0,0,0,0,0,39,0
dark,4,0,0,0,0,0,0,0,0,0,0,0,0
hour,0,0,0,0,0,0,0,9,0,0,0,0,0
globe,0,0,0,0,0,0,0,1,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,0,0,30,0
play,0,0,0,0,0,0,0,9,0,0,0,34,0
positive,3,0,0,0,0,0,0,0,0,0,0,0,0
role,0,0,0,0,0,0,0,50,0,0,0,0,0
today,0,0,0,0,0,0,0,8,0,0,0,0,0
book,0,0,0,0,0,0,0,7,0,0,0,0,0
reader,0,0,0,0,0,0,0,3,0,0,0,0,0
find,0,0,0,0,0,0,0,1,0,0,0,49,0
information,0,0,0,0,0,0,0,4,0,0,0,0,0
geography,0,0,0,0,0,0,0,2,0,0,0,0,0
society,0,0,0,0,0,0,0,54,0,0,0,0,0
culture,0,0,0,0,0,0,0,35,0,0,0,0,0
especially,0,0,67,0,0,0,0,0,0,0,0,0,0
rich,20,0,0,0,0,0,0,0,0,0,0,0,0
span,0,0,0,0,0,0,0,1,0,0,0,3,0
millennium,0,0,0,0,0,0,0,3,0,0,0,0,0
contact,0,0,0,0,0,0,0,16,0,0,0,0,0
germanic,74,0,0,0,0,0,0,0,0,0,0,0,0
tribe,0,0,0,0,0,0,0,32,0,0,0,0,0
position,0,0,0,0,0,0,0,45,0,0,0,1,0
big,11,0,0,0,0,0,0,0,0,0,0,0,0
economy,0,0,0,0,0,0,0,77,0,0,0,0,0
drive,0,0,0,0,0,0,0,5,0,0,0,14,0
force,0,0,0,0,0,0,0,107,0,0,0,66,0
course,0,0,1,0,0,0,0,33,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,0,90,0
time,0,0,0,0,0,0,0,138,0,0,0,0,0
reach,0,0,0,0,0,0,0,2,0,0,0,40,0
current,8,0,0,0,0,0,0,1,0,0,0,0,0
form,0,0,0,0,0,0,0,46,0,0,0,81,0
encounter,0,0,0,0,0,0,0,2,0,0,0,5,0
single,26,0,1,0,0,0,0,0,0,0,0,1,0
