word,ADJ,ADP,ADV,AUX,CCONJ,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
day,0,0,0,0,0,0,46,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,71,0
gate,0,0,0,0,0,0,6,0,0,0,0,0
factory,0,0,0,0,0,0,33,0,0,0,0,0
load,0,0,0,0,0,0,3,0,0,0,0,0
guide,0,0,0,0,0,0,1,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,33,0
roughly,0,0,2,0,0,0,0,0,0,0,0,0
order,0,0,0,0,0,0,18,0,0,0,2,0
pail,0,0,0,0,0,0,1,0,0,0,0,0
ground,0,0,0,0,0,0,9,0,0,0,0,0
careful,2,0,0,0,0,0,0,0,0,0,0,0
examination,0,0,0,0,0,0,2,0,0,0,0,0
eatable,0,0,0,0,0,0,1,0,0,0,0,0
cold,14,0,0,0,0,0,1,0,0,0,0,0
observe,0,0,0,0,0,0,0,0,0,0,5,0
calmly,0,0,7,0,0,0,0,0,0,0,0,0
feel,0,0,0,0,0,0,0,0,0,0,54,0
dress,0,0,0,0,0,0,1,0,0,0,7,0
shut,0,0,1,0,0,0,0,0,0,0,3,0
say,0,0,0,0,0,0,0,0,0,0,243,0
guard,0,0,0,0,0,0,2,0,0,0,3,0
sullenly,0,0,1,0,0,0,0,0,0,0,0,0
tap,0,0,0,0,0,0,0,0,0,0,4,0
lightly,0,0,2,0,0,0,0,0,0,0,0,0
shoulder,0,0,0,0,0,0,22,0,0,0,0,0
assurance,0,0,0,0,0,0,4,0,0,0,0,0
book,0,0,0,0,0,0,45,0,0,0,0,0
throw,0,0,0,0,0,0,0,0,0,0,10,0
fence,0,0,0,0,0,0,7,0,0,0,1,0
old,19,0,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,105,0,0,0,0,0
look,0,0,0,0,0,0,9,0,0,0,117,0
undertone,0,0,0,0,0,0,6,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,50,0
mother,0,0,0,0,0,0,260,0,0,0,0,0
pamphlet,0,0,0,0,0,0,3,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,0,8,0
scatter,0,0,0,0,0,0,0,0,0,0,4,0
like,1,76,0,0,0,0,0,0,0,0,10,0
