word,ADJ,ADP,ADV,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
middle,11,0,0,0,0,4,0,0,0,0,0
school,0,0,0,0,0,18,0,0,0,0,0
band,0,0,0,0,0,17,0,0,0,0,0
teacher,0,0,0,0,0,7,0,0,0,0,0
life,0,0,0,0,0,58,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,85,0
way,0,0,0,0,0,38,0,0,0,0,0
expect,0,0,0,0,0,0,0,0,0,4,0
true,2,0,0,0,0,0,0,0,0,0,0
passion,0,0,0,0,0,4,0,0,0,0,0
play,0,0,0,0,0,0,0,0,0,48,0
jazz,0,0,0,0,0,31,0,0,0,3,0
good,35,0,0,0,0,2,0,0,0,0,0
year,0,0,0,0,0,11,0,0,0,0,0
old,23,0,0,0,0,0,0,0,0,0,0
feel,0,0,0,0,0,2,0,0,0,48,0
opportunity,0,0,0,0,0,1,0,0,0,0,0
land,0,0,0,0,0,0,0,0,0,8,0
high,1,0,1,0,0,0,0,0,0,0,0
profile,0,0,0,0,0,1,0,0,0,0,0
gig,0,0,0,0,0,19,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,68,0
day,0,0,0,0,0,14,0,0,0,0,0
short,2,0,0,0,0,0,0,0,0,0,0
precocious,1,0,0,0,0,0,0,0,0,0,0
soul,0,0,0,0,0,101,0,0,0,0,0
possess,0,0,0,0,0,0,0,0,0,1,0
moodiness,0,0,0,0,0,1,0,0,0,0,0
sarcasm,0,0,0,0,0,1,0,0,0,0,0
typical,1,0,0,0,0,0,0,0,0,0,0
pre,0,0,0,0,0,1,0,0,0,0,0
teen,0,0,0,0,0,2,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,0,10,0
know,0,0,0,0,0,0,0,0,0,71,0
terrible,1,0,0,0,0,0,0,0,0,0,0
therapy,0,0,0,0,0,3,0,0,0,0,0
cat,0,0,0,0,0,44,0,0,0,0,0
spend,0,0,0,0,0,0,0,0,0,1,0
long,14,0,7,0,0,0,0,0,0,0,0
stretch,0,0,0,0,0,2,0,0,0,6,0
time,0,0,0,0,0,53,0,0,0,0,0
nap,0,0,0,0,0,0,0,0,0,1,0
nuzzle,0,0,0,0,0,0,0,0,0,1,0
comfort,0,0,0,0,0,0,0,0,0,1,0
patient,0,0,0,0,0,3,0,0,0,0,0
hospital,0,0,0,0,0,12,0,0,0,0,0
room,0,0,0,0,0,15,0,0,0,0,0
unfortunately,0,0,2,0,0,0,0,0,0,0,0
visit,0,0,0,0,0,1,0,0,0,0,0
place,0,0,0,0,0,13,0,0,0,6,0
wrong,10,0,1,0,0,0,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,15,0
amazing,7,0,0,0,0,0,0,0,0,0,0
people,0,0,0,0,0,11,0,0,0,0,0
sit,0,0,0,0,0,0,0,0,0,26,0
notice,0,0,0,0,0,1,0,0,0,4,0
tall,5,0,0,0,0,0,0,0,0,0,0
mild,1,0,0,0,0,0,0,0,0,0,0
mannered,1,0,0,0,0,0,0,0,0,0,0
thin,4,0,0,0,0,0,0,0,0,0,0
mustache,0,0,0,0,0,3,0,0,0,0,0
timid,1,0,0,0,0,0,0,0,0,0,0
smile,0,0,0,0,0,3,0,0,0,16,0
wear,0,0,0,0,0,0,0,0,0,4,0
glass,0,0,0,0,0,5,0,0,0,0,0
heavy,1,0,0,0,0,0,0,0,0,0,0
black,15,0,0,0,0,0,0,0,0,0,0
frame,0,0,0,0,0,1,0,0,0,1,0
hair,0,0,0,0,0,16,0,0,0,0,0
start,0,0,0,0,0,0,0,0,0,21,0
turn,0,0,0,0,0,1,0,0,0,41,0
gray,1,0,0,0,0,0,0,0,0,0,0
care,0,0,0,0,0,1,0,0,0,7,0
clothe,0,0,0,0,0,2,0,0,0,0,0
wardrobe,0,0,0,0,0,1,0,0,0,0,0
consist,0,0,0,0,0,0,0,0,0,1,0
slack,1,0,0,0,0,1,0,0,0,0,0
turtleneck,0,0,0,0,0,1,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,10,0
guess,0,0,0,0,0,0,0,0,0,4,0
chest,0,0,0,0,0,4,0,0,0,0,0
heart,0,0,0,0,0,10,0,0,0,0,0
beat,0,0,0,0,0,2,0,0,0,3,0
white,10,0,0,0,0,0,0,0,0,0,0
hot,4,0,0,0,0,0,0,0,0,0,0
fire,0,0,0,0,0,3,0,0,0,4,0
burn,0,0,0,0,0,0,0,0,0,2,0
