word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
queer,17,0,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,67,0,0,0,0,0
remark,0,0,0,0,0,0,3,0,0,0,17,0
boy,0,0,0,0,0,0,52,0,0,0,0,0
party,0,0,0,0,0,0,7,0,0,0,0,0
resume,0,0,0,0,0,0,0,0,0,0,7,0
journey,0,0,0,0,0,0,16,0,0,0,1,0
nice,4,0,0,0,0,0,0,0,0,0,0,0
polite,4,0,0,0,0,0,0,0,0,0,0,0
add,0,0,0,0,0,0,0,0,0,0,11,0
bob,0,0,0,0,0,0,0,0,0,0,1,0
head,0,0,0,0,0,0,40,0,0,0,3,0
think,0,0,0,0,0,0,0,0,0,0,59,0
handsome,9,0,0,0,0,0,0,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,33,0
come,0,0,0,0,0,0,0,0,0,0,79,0
life,0,0,0,0,0,0,22,0,0,0,0,0
quote,0,0,0,0,0,0,0,0,0,0,1,0
admit,0,0,0,0,0,0,0,0,0,0,8,0
live,3,0,0,0,0,0,0,0,0,0,29,0
scarecrow,0,0,0,0,0,0,3,0,0,0,0,0
chief,2,0,0,0,0,0,0,0,0,0,0,0
merit,0,0,0,0,0,0,1,0,0,0,1,0
friend,0,0,0,0,0,0,26,0,0,0,0,0
great,38,0,0,0,0,0,0,0,0,0,0,0
thinker,0,0,0,0,0,0,1,0,0,0,0,0
consider,0,0,0,0,0,0,0,0,0,0,6,0
good,59,0,1,0,0,2,2,0,0,0,0,0
policy,0,0,0,0,0,0,1,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,0,0,14,0
advice,0,0,0,0,0,0,5,0,0,0,0,0
notice,0,0,0,0,0,0,1,0,0,0,14,0
brain,0,0,0,0,0,0,10,0,0,0,0,0
observe,0,0,0,0,0,0,0,0,0,0,6,0
work,0,0,0,0,0,0,6,0,0,0,13,0
right,9,0,15,0,0,0,7,0,0,0,1,0
declare,0,0,0,0,0,0,0,0,0,0,25,0
confidence,0,0,0,0,0,0,1,0,0,0,0,0
humbug,0,0,0,0,0,0,3,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,21,0
soon,0,0,27,0,0,0,0,0,0,0,0,0
convince,0,0,0,0,0,0,0,0,0,0,1,0
wise,7,0,0,0,0,0,0,0,0,0,0,0
wisdom,0,0,0,0,0,0,3,0,0,0,0,0
unaccountable,1,0,0,0,0,0,0,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,97,0
reform,0,0,0,0,0,0,0,0,0,0,1,0
assist,0,0,0,0,0,0,0,0,0,0,4,0
license,0,0,0,0,0,0,0,0,0,0,1,0
practice,0,0,0,0,0,0,0,0,0,0,4,0
magic,14,0,0,0,0,0,10,0,0,0,0,0
sorcery,0,0,0,0,0,0,3,0,0,0,0,0
teach,0,0,0,0,0,0,0,0,0,0,1,0
old,17,0,0,0,0,0,0,0,0,0,0,0
clever,2,0,0,0,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,0,57,0,0,0,0,0
long,22,0,12,0,0,0,0,0,0,0,1,0
walk,0,0,0,0,0,0,2,0,0,0,22,0
little,81,0,1,0,0,0,0,0,0,0,0,0
silence,0,0,0,0,0,0,2,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,224,0
forbid,0,0,0,0,0,0,0,0,0,0,4,0
restore,0,0,0,0,0,0,0,0,0,0,8,0
shall,0,0,0,11,0,0,0,0,0,0,0,0
shake,0,0,0,0,0,0,0,0,0,0,13,0
case,0,0,0,0,0,0,5,0,0,0,0,0
discourage,0,0,0,0,0,0,0,0,0,0,2,0
tell,0,0,0,0,0,0,0,0,0,0,48,0
trouble,0,0,0,0,0,0,14,0,0,0,1,0
let,0,0,0,0,0,0,0,0,0,0,29,0
talk,0,0,0,0,0,0,1,0,0,0,17,0
kind,8,0,0,0,0,0,4,0,0,0,0,0
heart,0,0,0,0,0,0,19,0,0,0,0,0
world,0,0,0,0,0,0,7,0,0,0,0,0
sure,19,0,0,0,0,0,0,0,0,0,0,0
sympathize,0,0,0,0,0,0,0,0,0,0,1,0
girl,0,0,0,0,0,0,56,0,0,0,0,0
yes,0,0,0,0,0,23,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,82,0
bring,0,0,0,0,0,0,0,0,0,0,19,0
utter,0,0,0,0,0,0,0,0,0,0,4,0
sigh,0,0,0,0,0,0,5,0,0,0,2,0
continue,0,0,0,0,0,0,0,0,0,0,14,0
country,0,0,0,0,0,0,24,0,0,0,0,0
like,1,22,0,0,0,0,0,0,0,0,18,0
instance,0,0,0,0,0,0,2,0,0,0,0,0
beautiful,17,0,0,0,0,0,0,0,0,0,0,0
inquire,0,0,0,0,0,0,0,0,0,0,13,0
gorgeous,2,0,0,0,0,0,0,0,0,0,0,0
variegated,1,0,0,0,0,0,0,0,0,0,0,0
beauty,0,0,0,0,0,0,3,0,0,0,0,0
confess,0,0,0,0,0,0,0,0,0,0,3,0
stuff,0,0,0,0,0,0,0,0,0,0,7,0
cotton,0,0,0,0,0,0,5,0,0,0,0,0
alive,10,0,0,0,0,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,0,0,12,0
patchwork,0,0,0,0,0,0,3,0,0,0,0,0
quilt,0,0,0,0,0,0,6,0,0,0,0,0
exclaim,0,0,0,0,0,0,0,0,0,0,14,0
surprise,0,0,0,0,0,0,3,0,0,0,5,0
creature,0,0,0,0,0,0,15,0,0,0,0,0
point,0,0,0,0,0,0,4,0,0,0,3,0
view,0,0,0,0,0,0,2,0,0,0,0,0
reply,0,0,0,0,0,0,5,0,0,0,49,0
smile,0,0,0,0,0,0,4,0,0,0,8,0
scrap,0,0,0,0,0,0,22,0,0,0,0,0
imagine,0,0,0,0,0,0,0,0,0,0,3,0
draw,0,0,0,0,0,0,0,0,0,0,5,0
near,0,5,4,0,0,0,0,0,0,0,0,0
traveler,0,0,0,0,0,0,12,0,0,0,0,0
fill,0,0,0,0,0,0,0,0,0,0,9,0
admiration,0,0,0,0,0,0,3,0,0,0,0,0
splendid,9,0,0,0,0,0,0,0,0,0,0,0
scenery,0,0,0,0,0,0,1,0,0,0,0,0
behold,0,0,0,0,0,0,0,0,0,0,3,0
house,0,0,0,0,0,0,44,0,0,0,0,0
stand,0,0,0,0,0,0,0,0,0,0,37,0
side,0,0,0,0,0,0,5,0,0,0,0,0
road,0,0,0,0,0,0,12,0,0,0,0,0
green,14,0,0,0,0,0,2,0,0,0,0,0
lawn,0,0,0,0,0,0,1,0,0,0,0,0
pretty,12,0,9,0,0,0,0,0,0,0,0,0
flower,0,0,0,0,0,0,10,0,0,0,0,0
garden,0,0,0,0,0,0,5,0,0,0,0,0
hour,0,0,0,0,0,0,3,0,0,0,0,0
sight,0,0,0,0,0,0,8,0,0,0,0,0
wall,0,0,0,0,0,0,25,0,0,0,0,0
ahead,0,0,9,0,0,0,0,0,0,0,0,0
lag,0,0,0,0,0,0,0,0,0,0,1,0
spite,0,0,0,0,0,0,2,0,0,0,0,0
warning,0,0,0,0,0,0,1,0,0,0,0,0
receive,0,0,0,0,0,0,0,0,0,0,5,0
eye,0,0,0,0,0,0,28,0,0,0,2,0
fasten,0,0,0,0,0,0,0,0,0,0,3,0
clover,0,0,0,0,0,0,27,0,0,0,0,0
border,0,0,0,0,0,0,0,0,0,0,1,0
yellow,18,0,0,0,0,0,1,0,0,0,0,0
brick,0,0,0,0,0,0,1,0,0,0,0,0
eager,1,0,0,0,0,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,7,0
leaved,15,0,0,0,0,0,1,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,0,0,1,0
suddenly,0,0,9,0,0,0,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,10,0
short,6,0,1,0,0,0,0,0,0,0,0,0
bend,0,0,0,0,0,0,4,0,0,0,5,0
examine,0,0,0,0,0,0,0,0,0,0,7,0
ground,0,0,0,0,0,0,10,0,0,0,1,0
closely,0,0,4,0,0,0,0,0,0,0,0,0
spread,0,0,0,0,0,0,0,0,0,0,2,0
leave,0,0,0,0,0,0,1,0,0,0,17,0
count,0,0,0,0,0,0,1,0,0,0,1,0
carefully,0,0,8,0,0,0,0,0,0,0,0,0
instant,0,0,0,0,0,0,3,0,0,0,0,0
leap,0,0,0,0,0,0,0,0,0,0,2,0
joy,0,0,0,0,0,0,4,0,0,0,0,0
important,9,0,0,0,0,0,0,0,0,0,0,0
dear,11,0,0,0,0,0,2,0,0,0,3,0
glance,0,0,0,0,0,0,1,0,0,0,2,0
companion,0,0,0,0,0,0,6,0,0,0,0,0
look,0,0,0,0,0,0,2,0,0,0,52,0
people,0,0,0,0,0,0,55,0,0,0,0,0
midway,0,0,0,0,0,0,1,0,0,0,0,0
temptation,0,0,0,0,0,0,1,0,0,0,0,0
strong,11,0,0,0,0,0,0,0,0,0,0,0
resist,0,0,0,0,0,0,0,0,0,0,2,0
search,0,0,0,0,0,0,2,0,0,0,5,0
week,0,0,0,0,0,0,2,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,69,0
quickly,0,0,4,0,0,0,0,0,0,0,0,0
pluck,0,0,0,0,0,0,0,0,0,0,3,0
stem,0,0,0,0,0,0,1,0,0,0,0,0
plant,0,0,0,0,0,0,5,0,0,0,0,0
place,0,0,0,0,0,0,23,0,0,0,4,0
prize,0,0,0,0,0,0,0,0,0,0,1,0
basket,0,0,0,0,0,0,10,0,0,0,0,0
cover,0,0,0,0,0,0,0,0,0,0,6,0
carry,0,0,0,0,0,0,0,0,0,0,10,0
try,0,0,0,0,0,0,0,0,0,0,16,0
happen,0,0,0,0,0,0,0,0,0,0,9,0
hurry,0,0,0,0,0,0,0,0,0,0,8,0
forward,0,0,12,0,0,0,0,0,0,0,0,0
overtake,0,0,0,0,0,0,0,0,0,0,2,0
comrade,0,0,0,0,0,0,1,0,0,0,0,0
city,0,0,0,0,0,0,19,0,0,0,0,0
fairyland,0,0,0,0,0,0,4,0,0,0,0,0
surround,0,0,0,0,0,0,0,0,0,0,5,0
high,16,0,3,0,0,0,0,0,0,0,0,0
thick,2,0,0,0,0,0,0,0,0,0,0,0
marble,0,0,0,0,0,0,15,0,0,0,0,0
polish,0,0,0,0,0,0,0,0,0,0,1,0
smooth,5,0,1,0,0,0,0,0,0,0,0,0
set,0,0,0,0,0,0,0,0,0,0,14,0
glistening,1,0,0,0,0,0,0,0,0,0,0,0
emerald,0,0,0,0,0,0,7,0,0,0,0,0
gate,0,0,0,0,0,0,14,0,0,0,0,0
face,0,0,0,0,0,0,16,0,0,0,10,0
lie,0,0,0,0,0,0,0,0,0,0,11,0
directly,0,0,3,0,0,0,0,0,0,0,0,0
center,0,0,0,0,0,0,6,0,0,0,0,0
bar,0,0,0,0,0,0,7,0,0,0,1,0
pure,2,0,0,0,0,0,0,0,0,0,0,0
gold,6,0,0,0,0,0,7,0,0,0,0,0
gateway,0,0,0,0,0,0,3,0,0,0,0,0
build,0,0,0,0,0,0,0,0,0,0,6,0
tower,0,0,0,0,0,0,3,0,0,0,0,0
float,0,0,0,0,0,0,0,0,0,0,11,0
gay,3,0,0,0,0,0,0,0,0,0,0,0
banner,0,0,0,0,0,0,2,0,0,0,0,0
distance,0,0,0,0,0,0,11,0,0,0,0,0
broad,5,0,0,0,0,0,0,0,0,0,0,0
abreast,0,0,2,0,0,0,0,0,0,0,0,0
enclosure,0,0,0,0,0,0,1,0,0,0,0,0
glitter,0,0,0,0,0,0,1,0,0,0,3,0
precious,2,0,0,0,0,0,0,0,0,0,0,0
gem,0,0,0,0,0,0,2,0,0,0,0,0
wonderful,9,0,0,0,0,0,0,0,0,0,0,0
greet,0,0,0,0,0,0,0,0,0,0,5,0
hill,0,0,0,0,0,0,4,0,0,0,0,0
vast,4,0,0,0,0,0,0,0,0,0,0,0
hundred,0,0,0,0,0,0,2,0,0,0,0,0
jeweled,4,0,0,0,0,0,0,0,0,0,0,0
spire,0,0,0,0,0,0,3,0,0,0,0,0
dome,0,0,0,0,0,0,3,0,0,0,0,0
minaret,0,0,0,0,0,0,1,0,0,0,0,0
flaunt,0,0,0,0,0,0,0,0,0,0,1,0
flag,0,0,0,0,0,0,1,0,0,0,0,0
rear,0,0,0,0,0,0,0,0,0,0,1,0
crest,0,0,0,0,0,0,1,0,0,0,0,0
far,0,0,15,0,0,0,0,0,0,0,0,0
top,0,0,0,0,0,0,5,0,0,0,0,0
magnificent,5,0,0,0,0,0,0,0,0,0,0,0
tree,0,0,0,0,0,0,16,0,0,0,0,0
nearly,0,0,9,0,0,0,0,0,0,0,0,0
tall,10,0,0,0,0,0,0,0,0,0,0,0
building,0,0,0,0,0,0,1,0,0,0,0,0
royal,9,0,0,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,0,51,0,0,0,0,0
hilltop,0,0,0,0,0,0,1,0,0,0,0,0
feast,0,0,0,0,0,0,0,0,0,0,1,0
splendor,0,0,0,0,0,0,3,0,0,0,0,0
whee,0,0,0,0,0,1,0,0,0,0,0,0
clasp,0,0,0,0,0,0,0,0,0,0,2,0
padded,1,0,0,0,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,18,0,0,0,3,0
ecstacy,0,0,0,0,0,0,1,0,0,0,0,0
patch,0,0,0,0,0,0,8,0,0,0,0,0
belong,0,0,0,0,0,0,0,0,0,0,4,0
