word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,PRON,SCONJ,VERB,X
food,0,0,0,0,239,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,8,0
energy,0,0,0,0,1,0,0,0,0,0
need,0,0,0,0,2,0,0,0,18,0
chemical,5,0,0,0,57,0,0,0,0,0
body,0,0,0,0,4,0,0,0,0,0
grow,0,0,0,0,0,0,0,0,23,0
repair,0,0,0,0,0,0,0,0,1,0
damage,0,0,0,0,5,0,0,0,4,0
stay,0,0,0,0,0,0,0,0,2,0
healthy,5,0,0,0,0,0,0,0,0,0
mouthful,0,0,0,0,2,0,0,0,0,0
probably,0,0,1,0,0,0,0,0,0,0
enjoy,0,0,0,0,0,0,0,0,2,0
taste,0,0,0,0,4,0,0,0,1,0
depend,0,0,0,0,0,0,0,0,1,0
eat,0,0,0,0,0,0,0,0,26,0
expect,0,0,0,0,0,0,0,0,1,0
good,9,0,0,0,1,0,0,0,0,0
actually,0,0,4,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,0,9,0
sick,4,0,0,0,0,0,0,0,0,0
look,0,0,0,0,1,0,0,0,7,0
smell,0,0,0,0,0,0,0,0,1,0
bad,4,0,0,0,0,0,0,0,0,0
chance,0,0,0,0,2,0,0,0,0,0
hide,0,0,0,0,0,0,0,0,3,0
danger,0,0,0,0,6,0,0,0,0,0
detect,0,0,0,0,0,0,0,0,6,0
generally,0,0,2,0,0,0,0,0,0,0
grant,0,0,0,0,0,0,0,0,1,0
safe,20,0,0,0,0,0,0,0,0,0
million,0,0,0,0,0,6,0,0,0,0
people,0,0,0,0,35,0,0,0,0,0
suffer,0,0,0,0,0,0,0,0,3,0
chronic,1,0,0,0,0,0,0,0,0,0
hunger,0,0,0,0,3,0,0,0,0,0
accord,0,0,0,0,0,0,0,0,1,0
child,0,0,0,0,7,0,0,0,0,0
die,0,0,0,0,0,0,0,0,4,0
day,0,0,0,0,3,0,0,0,0,0
relate,0,0,0,0,0,0,0,0,2,0
cause,0,0,0,0,3,0,0,0,14,0
develop,0,0,0,0,0,0,0,0,12,0
country,0,0,0,0,15,0,0,0,0,0
plenty,0,0,0,0,1,0,0,0,0,0
worry,0,0,0,0,0,0,0,0,3,0
anxious,2,0,0,0,0,0,0,0,0,0
problem,0,0,0,0,11,0,0,0,0,0
happy,1,0,0,0,0,0,0,0,0,0
accept,0,0,0,0,0,0,0,0,1,0
assurance,0,0,0,0,1,0,0,0,0,0
government,0,0,0,0,6,0,0,0,0,0
producer,0,0,0,0,4,0,0,0,0,0
perfectly,0,0,1,0,0,0,0,0,0,0
strict,5,0,0,0,0,0,0,0,0,0
