word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
story,0,0,0,0,0,0,8,0,0,0,0,0
business,0,0,0,0,0,0,4,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,19,0
credit,0,0,0,0,0,0,1,0,0,0,2,0
seductive,1,0,0,0,0,0,0,0,0,0,0,0
influence,0,0,0,0,0,0,2,0,0,0,2,0
old,73,0,0,0,0,0,0,0,0,0,0,0
vintage,0,0,0,0,0,0,2,0,0,0,0,0
narrator,0,0,0,0,0,0,1,0,0,0,0,0
beginning,0,0,0,0,0,0,4,0,0,0,0,0
skeptical,2,0,0,0,0,0,0,0,0,0,0,0
incredulity,0,0,0,0,0,0,1,0,0,0,0,0
day,0,0,0,0,0,0,68,0,0,0,0,0
follow,0,0,0,0,0,0,0,0,0,0,46,0
balance,0,0,0,0,0,0,6,0,0,0,2,0
strange,76,0,0,0,0,0,0,0,0,0,0,0
tale,0,0,0,0,0,0,2,0,0,0,0,0
convivial,2,0,0,0,0,0,0,0,0,0,0,0
host,0,0,0,0,0,0,3,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,19,0
prone,3,0,0,0,0,0,0,0,0,0,0,0
doubtfulness,0,0,0,0,0,0,1,0,0,0,0,0
foolish,3,0,0,0,0,0,0,0,0,0,0,0
pride,0,0,0,0,0,0,3,0,0,0,0,0
assume,0,0,0,0,0,0,0,0,0,0,2,0
task,0,0,0,0,0,0,10,0,0,0,0,0
commence,0,0,0,0,0,0,0,0,0,0,15,0
unearth,0,0,0,0,0,0,0,0,0,0,1,0
write,0,0,0,0,0,0,0,0,0,0,10,0
evidence,0,0,0,0,0,0,5,0,0,0,4,0
form,0,0,0,0,0,0,21,0,0,0,10,0
musty,1,0,0,0,0,0,0,0,0,0,0,0
manuscript,0,0,0,0,0,0,1,0,0,0,0,0
dry,5,0,1,0,0,0,0,0,0,0,6,0
official,1,0,0,0,0,0,2,0,0,0,0,0
record,0,0,0,0,0,0,3,0,0,0,2,0
support,0,0,0,0,0,0,2,0,0,0,5,0
salient,1,0,0,0,0,0,0,0,0,0,0,0
feature,0,0,0,0,0,0,7,0,0,0,0,0
remarkable,16,0,0,0,0,0,0,0,0,0,0,0
narrative,0,0,0,0,0,0,3,0,0,0,0,0
true,8,0,0,0,0,0,0,0,0,0,0,0
witness,0,0,0,0,0,0,0,0,0,0,10,0
happening,0,0,0,0,0,0,3,0,0,0,0,0
portray,0,0,0,0,0,0,0,0,0,0,2,0
fact,0,0,0,0,0,0,18,0,0,0,0,0
telling,0,0,0,0,0,0,2,0,0,0,0,0
take,0,0,0,0,0,0,0,0,0,0,47,0
fictitious,1,0,0,0,0,0,0,0,0,0,0,0
name,0,0,0,0,0,0,2,0,0,0,0,0
principal,1,0,0,0,0,0,0,0,0,0,0,0
character,0,0,0,0,0,0,2,0,0,0,0,0
sufficiently,0,0,3,0,0,0,0,0,0,0,0,0
sincerity,0,0,0,0,0,0,1,0,0,0,0,0
belief,0,0,0,0,0,0,1,0,0,0,0,0
yellow,11,0,0,0,0,0,0,0,0,0,0,0
mildewed,2,0,0,0,0,0,0,0,0,0,0,0
page,0,0,0,0,0,0,5,0,0,0,0,0
diary,0,0,0,0,0,0,5,0,0,0,0,0
man,0,0,0,0,0,0,209,0,0,0,0,0
long,42,0,30,0,0,0,0,0,0,0,2,0
dead,43,0,0,0,0,0,1,0,0,0,0,0
dovetail,0,0,0,0,0,0,0,0,0,0,1,0
perfectly,0,0,3,0,0,0,0,0,0,0,0,0
painstakingly,0,0,1,0,0,0,0,0,0,0,0,0
piece,0,0,0,0,0,0,18,0,0,0,1,0
agency,0,0,0,0,0,0,2,0,0,0,0,0
find,0,0,0,0,0,0,1,0,0,0,74,0
credible,1,0,0,0,0,0,0,0,0,0,0,0
acknowledge,0,0,0,0,0,0,0,0,0,0,1,0
unique,2,0,0,0,0,0,0,0,0,0,0,0
interesting,1,0,0,0,0,0,0,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,0,36,0
certain,4,0,0,0,0,0,0,0,0,0,0,0
young,73,0,0,0,0,0,0,0,0,0,0,0
english,14,0,0,0,0,0,0,0,0,0,0,0
nobleman,0,0,0,0,0,0,1,0,0,0,0,0
shall,0,0,0,8,0,0,0,0,0,0,0,0
commission,0,0,0,0,0,0,1,0,0,0,1,0
peculiarly,0,0,1,0,0,0,0,0,0,0,0,0
delicate,3,0,0,0,0,0,0,0,0,0,0,0
investigation,0,0,0,0,0,0,9,0,0,0,0,0
condition,0,0,0,0,0,0,5,0,0,0,0,0
british,10,0,0,0,0,0,0,0,0,0,0,0
simple,4,0,0,0,0,0,0,0,0,0,0,0
native,3,0,0,0,0,0,5,0,0,0,0,0
inhabitant,0,0,0,0,0,0,1,0,0,0,0,0
european,3,0,0,0,0,0,0,0,0,0,0,0
power,0,0,0,0,0,0,14,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,81,0
recruit,0,0,0,0,0,0,0,0,0,0,1,0
soldier,0,0,0,0,0,0,4,0,0,0,0,0
army,0,0,0,0,0,0,3,0,0,0,0,0
solely,0,0,2,0,0,0,0,0,0,0,0,0
forcible,1,0,0,0,0,0,0,0,0,0,0,0
collection,0,0,0,0,0,0,1,0,0,0,0,0
rubber,0,0,0,0,0,0,3,0,0,0,0,0
ivory,0,0,0,0,0,0,4,0,0,0,0,0
savage,33,0,0,0,0,0,5,0,0,0,0,0
tribe,0,0,0,0,0,0,69,0,0,0,0,0
complain,0,0,0,0,0,0,0,0,0,0,2,0
entice,0,0,0,0,0,0,0,0,0,0,1,0
away,0,2,35,0,0,0,0,0,0,0,0,0
medium,0,0,0,0,0,0,4,0,0,0,0,0
