word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB,X
introduction,0,0,0,2,0,0,0,0
grocery,0,0,0,1,0,0,0,0
store,0,0,0,1,0,0,0,0
shopper,0,0,0,2,0,0,0,0
try,0,0,0,0,0,0,3,0
figure,0,0,0,9,0,0,3,0
cheap,1,0,0,0,0,0,0,0
way,0,0,0,8,0,0,0,0
purchase,0,0,0,0,0,0,3,0
corn,0,0,0,1,0,0,0,0
chip,0,0,0,1,0,0,0,0
ounce,0,0,0,4,0,0,0,0
bag,0,0,0,4,0,0,0,0
cost,0,0,0,0,0,0,2,0
buy,0,0,0,0,0,0,1,0
baseball,0,0,0,1,0,0,0,0
field,0,0,0,5,0,0,0,0
batter,0,0,0,1,0,0,0,0
calculate,0,0,0,0,0,0,2,0
batting,0,0,0,1,0,0,0,0
average,0,0,0,1,0,0,0,0
pitch,0,0,0,2,0,0,0,0
architect,0,0,0,2,0,0,0,0
volume,0,0,0,3,0,0,0,0
water,0,0,0,1,0,0,0,0
fit,0,0,0,0,0,0,1,0
inside,0,1,0,0,0,0,0,0
bathtub,0,0,0,1,0,0,0,0
design,0,0,0,1,0,0,1,0
support,0,0,0,2,0,0,0,0
caterer,0,0,0,1,0,0,0,0
estimate,0,0,0,1,0,0,2,0
people,0,0,0,7,0,0,0,0
party,0,0,0,1,0,0,0,0
prefer,0,0,0,0,0,0,1,0
chicken,0,0,0,1,0,0,0,0
dish,0,0,0,1,0,0,0,0
vegetable,0,0,0,1,0,0,0,0
welcome,0,0,0,0,0,0,1,0
study,0,0,0,25,0,0,6,0
number,0,0,0,63,0,0,0,0
quantity,0,0,0,6,0,0,0,0
space,0,0,0,10,0,0,0,0
know,0,0,0,0,0,0,13,0
mathematics,0,0,0,10,0,0,0,0
class,0,0,0,2,0,0,0,0
school,0,0,0,6,0,0,0,0
math,0,0,0,19,0,0,0,0
dozen,0,0,0,2,0,0,0,0
time,0,0,0,16,0,0,0,0
day,0,0,0,2,0,0,0,0
use,0,0,0,7,0,0,7,0
morning,0,0,0,1,0,0,0,0
work,0,0,0,15,0,0,10,0
product,0,0,0,1,0,0,0,0
home,0,0,0,1,0,0,0,0
repair,0,0,0,1,0,0,0,0
cook,0,0,0,0,0,0,1,0
dinner,0,0,0,1,0,0,0,0
help,0,0,0,0,0,0,3,0
recognize,0,0,0,0,0,0,1,0
pattern,0,0,0,2,0,0,0,0
understand,0,0,0,0,0,0,2,0
world,0,0,0,6,0,0,0,0
major,5,0,0,0,0,0,1,0
college,0,0,0,1,0,0,0,0
teacher,0,0,0,1,0,0,0,0
mathematician,0,0,0,45,0,0,0,0
area,0,0,0,21,0,0,0,0
society,0,0,0,4,0,0,0,0
big,1,0,0,0,0,0,0,0
