word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,VERB,X
chance,0,0,0,0,0,2,0,0,0
weather,0,0,0,0,0,114,0,0,0
affect,0,0,0,0,0,0,0,10,0
day,0,0,0,0,0,23,0,0,0
wear,0,0,0,0,0,0,0,1,0
short,3,0,1,0,0,1,0,0,0
winter,0,0,0,0,0,9,0,0,0
coat,0,0,0,0,0,1,0,0,0
enjoy,0,0,0,0,0,0,0,1,0
picnic,0,0,0,0,0,1,0,0,0
ski,1,0,0,0,0,0,0,0,0
trip,0,0,0,0,0,1,0,0,0
school,0,0,0,0,0,1,0,0,0
try,0,0,0,0,0,0,0,2,0
insulate,0,0,0,0,0,0,0,1,0
air,0,0,0,0,0,90,0,0,0
conditioning,0,0,0,0,0,1,0,0,0
heater,0,0,0,0,0,1,0,0,0
ultimately,0,0,1,0,0,0,0,0,0
escape,0,0,0,0,0,0,0,1,0
quality,0,0,0,0,0,1,0,0,0
life,0,0,0,0,0,4,0,0,0
flash,0,0,0,0,0,3,0,0,0
flood,0,0,0,0,0,3,0,0,0
lightning,0,0,0,0,0,9,0,0,0
hurricane,0,0,0,0,0,10,0,0,0
blizzard,0,0,0,0,0,3,0,0,0
cause,0,0,0,0,0,1,0,20,0
danger,0,0,0,0,0,1,0,0,0
death,0,0,0,0,0,2,0,0,0
prolonged,1,0,0,0,0,0,0,0,0
heat,0,0,0,0,0,12,0,6,0
wave,0,0,0,0,0,17,0,0,0
cold,27,0,0,0,0,2,0,0,0
snap,0,0,0,0,0,1,0,0,0
fatal,1,0,0,0,0,0,0,0,0
people,0,0,0,0,0,11,0,0,0
crop,0,0,0,0,0,4,0,0,0
rely,0,0,0,0,0,0,0,2,0
wonder,0,0,0,0,0,1,0,0,0
ancient,2,0,0,0,0,0,0,0,0
time,0,0,0,0,0,25,0,0,0
sailor,0,0,0,0,0,3,0,0,0
farmer,0,0,0,0,0,6,0,0,0
eager,1,0,0,0,0,0,0,0,0
understand,0,0,0,0,0,0,0,2,0
snapshot,0,0,0,0,0,1,0,0,0
atmosphere,0,0,0,0,0,31,0,0,0
surround,0,0,0,0,0,0,0,3,0
give,0,0,0,0,0,0,0,10,0
place,0,0,0,0,0,4,0,0,0
look,0,0,0,0,0,0,0,3,0
window,0,0,0,0,0,1,0,0,0
sunny,1,0,0,0,0,0,0,0,0
cloudy,2,0,0,0,0,0,0,0,0
snowing,0,0,0,0,0,1,0,0,0
term,0,0,0,0,0,4,0,0,0
oppose,0,0,0,0,0,0,0,1,0
long,14,0,3,0,0,0,0,0,0
atmospheric,16,0,0,0,0,0,0,0,0
condition,0,0,0,0,0,18,0,0,0
