word,ADJ,ADP,ADV,NOUN,NUM,VERB
volcano,0,0,0,120,0,0
hill,0,0,0,3,0,0
mountain,0,0,0,13,0,0
molten,12,0,0,0,0,0
rock,0,0,0,31,0,0
spurt,0,0,0,0,0,1
surface,0,0,0,9,0,0
deep,2,0,3,0,0,0
underground,0,0,6,0,0,0
aboveground,0,0,1,0,0,0
magma,0,0,0,41,0,0
know,0,0,0,0,0,3
lava,0,0,0,59,0,0
cool,0,0,0,0,0,10
solidify,0,0,0,0,0,6
cinder,0,0,0,13,0,0
ash,0,0,0,62,0,0
volcanic,27,0,0,0,0,0
eruption,0,0,0,77,0,0
violent,9,0,0,0,0,0
spectacular,3,0,0,0,0,0
natural,1,0,0,0,0,0
event,0,0,0,1,0,0
earth,0,0,0,14,0,0
accompany,0,0,0,0,0,1
red,6,0,0,0,0,0
hot,20,0,0,0,0,0
river,0,0,0,7,0,0
tower,0,0,0,0,0,3
cloud,0,0,0,17,0,0
thick,13,0,0,0,0,0
flow,0,0,0,37,0,8
mud,0,0,0,9,0,0
devastate,0,0,0,0,0,2
landscape,0,0,0,8,0,0
people,0,0,0,27,0,0
life,0,0,0,4,0,0
erupt,0,0,0,0,0,31
form,0,0,0,0,0,34
billion,0,0,0,0,1,0
year,0,0,0,17,0,0
ago,0,0,3,0,0,0
today,0,0,0,1,0,0
world,0,0,0,7,0,0
land,0,0,0,5,0,1
active,8,0,0,0,0,0
time,0,0,0,3,0,0
giant,10,0,0,0,0,0
explosion,0,0,0,6,0,0
gently,0,0,2,0,0,0
produce,0,0,0,0,0,10
fizz,0,0,0,0,0,1
fountain,0,0,0,6,0,0
shoot,0,0,0,0,0,2
island,0,0,0,28,0,0
come,0,0,0,0,0,7
create,0,0,0,0,0,4
build,0,0,0,0,0,10
destructive,8,0,0,0,0,0
cover,0,0,0,0,0,9
burn,0,0,0,0,0,6
bury,0,0,0,0,0,10
plant,0,0,0,5,0,0
destroy,0,0,0,0,0,9
animal,0,0,0,2,0,0
habitat,0,0,0,1,0,0
house,0,0,0,4,0,0
village,0,0,0,4,0,0
town,0,0,0,8,0,0
past,1,0,0,4,0,0
kill,0,0,0,0,0,6
thousand,0,0,0,8,3,0
word,0,0,0,2,0,0
coast,0,0,0,5,0,0
ancient,1,0,0,0,0,0
believe,0,0,0,0,0,3
god,0,0,0,2,0,0
live,0,0,0,0,0,9
weapon,0,0,0,1,0,0
arrow,0,0,0,1,0,0
armor,0,0,0,1,0,0
lightning,0,0,0,1,0,0
bolt,0,0,0,1,0,0
fiery,2,0,0,0,0,0
spark,0,0,0,1,0,0
forge,0,0,0,1,0,0
new,7,0,0,0,0,0
school,0,0,0,2,0,0
bus,0,0,0,1,0,0
catch,0,0,0,0,0,2
trap,0,0,0,0,0,2
forever,0,0,2,0,0,0
big,5,0,0,0,0,0
record,0,0,0,0,0,1
happen,0,0,0,0,0,10
tiny,4,0,0,0,0,0
series,0,0,0,2,0,0
enormous,1,0,0,0,0,0
loud,1,0,0,0,0,0
hear,0,0,0,0,0,1
mile,0,0,0,27,0,0
kilometer,0,0,0,17,0,0
away,0,0,9,0,0,0
blast,0,0,0,0,0,2
piece,0,0,0,8,0,0
leave,0,0,0,0,0,9
massive,5,0,0,0,0,0
crater,0,0,0,6,0,0
foot,0,0,0,12,0,0
meter,0,0,0,7,0,0
effect,0,0,0,5,0,0
feel,0,0,0,0,0,2
far,0,0,2,0,0,0
wide,2,0,1,0,0,0
sea,0,0,0,8,0,0
wave,0,0,0,5,0,0
swamp,0,0,0,0,0,2
nearby,2,0,0,0,0,0
call,0,0,0,0,0,35
child,0,0,0,2,0,0
grow,0,0,0,0,0,11
place,0,0,0,5,0,1
force,0,0,0,1,0,3
way,0,0,0,6,0,0
upward,0,0,8,0,0,0
crack,0,0,0,3,0,1
layer,0,0,0,18,0,0
mantle,0,0,0,6,0,0
lie,0,0,0,0,0,2
beneath,0,2,1,0,0,0
solid,2,0,0,0,0,0
upper,2,0,0,0,0,0
crust,0,0,0,9,0,0
continent,0,0,0,1,0,0
ocean,0,0,0,4,0,0
move,0,0,0,0,0,8
plate,0,0,0,16,0,0
huge,3,0,0,0,0,0
tectonic,4,0,0,0,0,0
drift,0,0,0,0,0,1
inch,0,0,0,1,0,0
scientist,0,0,0,9,0,0
think,0,0,0,0,0,4
slow,1,0,1,0,0,1
swirl,0,0,0,0,0,1
current,0,0,0,1,0,0
meet,0,0,0,0,0,1
line,0,0,0,3,0,0
boundary,0,0,0,15,0,0
tear,0,0,0,0,0,1
apart,0,0,6,0,0,0
make,0,0,0,0,0,9
collide,0,0,0,0,0,2
dive,0,0,0,0,0,2
subduction,0,0,0,1,0,0
zone,0,0,0,2,0,0
melt,0,0,0,0,0,7
rise,0,0,0,0,0,10
constructive,3,0,0,0,0,0
fill,0,0,0,0,0,3
gap,0,0,0,1,0,0
submerged,1,0,0,0,0,0
hide,0,0,0,0,0,1
see,0,0,0,0,0,5
divergent,1,0,0,0,0,0
floor,0,0,0,1,0,0
leak,0,0,0,0,0,2
spread,0,0,0,0,0,10
ridge,0,0,0,3,0,0
center,0,0,0,3,0,0
undersea,3,0,0,0,0,0
spot,0,0,0,7,0,0
box,0,0,0,2,0,0
convergent,1,0,0,0,0,0
tip,0,0,0,2,0,0
feed,0,0,0,0,0,1
middle,0,0,0,3,0,0
seamount,0,0,0,4,0,0
summit,0,0,0,3,0,0
inside,0,4,1,0,0,0
dish,0,0,0,1,0,0
shape,0,0,0,0,0,2
hollow,0,0,0,1,0,0
hole,0,0,0,4,0,0
vent,0,0,0,13,0,0
stretch,0,0,0,0,0,1
chamber,0,0,0,6,0,0
air,0,0,0,8,0,0
composite,7,0,0,1,0,0
cone,0,0,0,16,0,0
tall,2,0,0,0,0,0
broken,1,0,0,0,0,0
hundred,0,0,0,7,0,0
million,0,0,0,3,1,0
main,1,0,0,0,0,0
lead,0,0,0,0,0,2
low,4,0,0,0,0,0
slope,0,0,0,7,0,1
type,0,0,0,6,0,0
stratovolcano,0,0,0,2,0,0
like,1,7,0,0,0,0
heap,0,0,0,4,0,0
loose,2,0,0,0,0,0
rubble,0,0,0,1,0,0
stable,1,0,0,0,0,0
consist,0,0,0,0,0,1
material,0,0,0,4,0,0
previous,1,0,0,0,0,0
ingredient,0,0,0,1,0,0
runny,4,0,0,0,0,0
easily,0,0,2,0,0,0
syrup,0,0,0,1,0,0
sticky,2,0,0,0,0,0
tar,0,0,0,1,0,0
temperature,0,0,0,3,0,0
degree,0,0,0,1,0,0
contain,0,0,0,0,0,3
gas,0,0,0,19,0,0
dissolve,0,0,0,0,0,3
high,9,0,0,0,0,0
pressure,0,0,0,4,0,0
keep,0,0,0,0,0,1
release,0,0,0,0,0,5
burst,0,0,0,0,0,1
exactly,0,0,1,0,0,0
open,1,0,0,0,0,3
fizzy,1,0,0,0,0,0
drink,0,0,0,1,0,0
liquid,0,0,0,1,0,0
bubble,0,0,0,1,0,3
bottle,0,0,0,1,0,0
erode,0,0,0,0,0,2
dormant,3,0,0,0,0,0
extinct,3,0,0,0,0,0
classify,0,0,0,0,0,1
moment,0,0,0,1,0,0
expect,0,0,0,0,0,1
mean,0,0,0,0,0,1
gentle,2,0,0,0,0,0
little,1,0,0,0,0,0
different,6,0,0,0,0,0
thin,2,0,0,0,0,0
ground,0,0,0,11,0,0
reach,0,0,0,0,0,4
blow,0,0,0,0,0,10
shield,0,0,0,5,0,0
side,0,0,0,6,0,0
upside,0,0,1,0,0,0
fire,0,0,0,1,0,2
blob,0,0,0,5,0,0
fall,0,0,0,1,0,4
glow,0,0,0,0,0,1
gradually,0,0,2,0,0,0
turn,0,0,0,0,0,4
powerful,2,0,0,0,0,0
throw,0,0,0,0,0,3
large,5,0,0,0,0,0
bomb,0,0,0,1,0,0
weigh,0,0,0,0,0,1
ton,0,0,0,1,0,0
pahoehoe,0,0,0,1,0,0
round,1,0,1,0,0,0
coil,0,0,0,0,0,1
rope,0,0,0,1,0,0
jagged,1,0,0,0,0,0
lump,0,0,0,1,0,0
hawaiian,2,0,0,0,0,0
hurtle,0,0,0,0,0,2
black,3,0,0,0,0,0
pile,0,0,0,0,0,2
steep,2,0,0,0,0,0
sided,2,0,0,0,0,0
group,0,0,0,1,0,0
regularly,0,0,1,0,0,0
constantly,0,0,1,0,0,0
yellow,1,0,0,0,0,0
explosive,4,0,0,0,0,0
violently,0,0,2,0,0,0
dramatic,1,0,0,0,0,0
dangerous,3,0,0,0,0,0
great,2,0,0,0,0,0
history,0,0,0,1,0,0
block,0,0,0,1,0,6
underneath,0,1,2,0,0,0
caribbean,1,0,0,0,0,0
plinian,3,0,0,0,0,0
instead,0,0,2,0,0,0
explode,0,0,0,0,0,4
stratovolcanoe,0,0,0,1,0,0
page,0,0,0,2,0,0
die,0,0,0,0,0,1
speed,0,0,0,3,0,0
jet,0,0,0,3,0,0
small,7,0,0,0,0,0
grain,0,0,0,1,0,0
sand,0,0,0,1,0,0
quickly,0,0,2,0,0,0
eventually,0,0,7,0,0,0
continue,0,0,0,0,0,3
float,0,0,0,0,0,1
atmosphere,0,0,0,4,0,0
carry,0,0,0,0,0,6
column,0,0,0,3,0,0
hurricane,0,0,0,3,0,0
drop,0,0,0,1,0,0
collapse,0,0,0,2,0,6
surge,0,0,0,0,0,1
billow,0,0,0,0,0,2
avalanche,0,0,0,3,0,0
pyroclastic,17,0,0,0,0,0
travel,0,0,0,0,0,4
hour,0,0,0,3,0,0
pour,0,0,0,0,0,6
journalist,0,0,0,1,0,0
try,0,0,0,0,0,1
photograph,0,0,0,1,0,2
witness,0,0,0,0,0,1
begin,0,0,0,0,0,10
rumble,0,0,0,0,0,1
noise,0,0,0,1,0,0
end,0,0,0,0,0,1
sky,0,0,0,1,0,0
week,0,0,0,2,0,0
spew,0,0,0,0,0,1
start,0,0,0,0,0,3
soon,0,0,2,0,0,0
single,1,0,0,0,0,0
range,0,0,0,1,0,0
perfect,1,0,0,0,0,0
seafloor,0,0,0,1,0,0
break,0,0,0,0,0,2
long,2,0,1,0,0,0
curve,0,0,0,0,0,1
chain,0,0,0,1,0,0
arc,0,0,0,1,0,0
seabed,0,0,0,2,0,0
igneous,3,0,0,0,0,0
example,0,0,0,5,0,0
basalt,0,0,0,2,0,0
squeeze,0,0,0,0,0,1
tuff,0,0,0,2,0,0
north,0,0,0,2,0,0
case,0,0,0,4,0,0
study,0,0,0,5,0,1
mexican,1,0,0,0,0,0
farmer,0,0,0,4,0,0
name,0,0,0,0,0,1
earthquake,0,0,0,5,0,0
notice,0,0,0,0,0,1
warm,1,0,0,0,0,0
field,0,0,0,5,0,0
eye,0,0,0,1,0,0
stop,0,0,0,1,0,3
destruction,0,0,0,1,0,0
vast,2,0,0,0,0,0
cascade,0,0,0,1,0,0
mountainside,0,0,0,2,0,0
unstable,1,0,0,0,0,0
bulge,0,0,0,1,0,2
send,0,0,0,0,0,2
sideways,0,0,1,0,0,0
gape,0,0,0,0,0,2
stand,0,0,0,0,0,1
gigantic,3,0,0,0,0,0
caldera,0,0,0,5,0,0
space,0,0,0,2,0,0
one,0,0,0,2,0,0
find,0,0,0,0,0,3
distant,1,0,0,0,0,0
incredibly,0,0,1,0,0,0
heat,0,0,0,7,0,1
spring,0,0,0,1,0,0
geyser,0,0,0,1,0,0
tourist,0,0,0,1,0,0
flock,0,0,0,0,0,1
park,0,0,0,1,0,0
half,0,0,0,1,0,0
sign,0,0,0,1,0,0
activity,0,0,0,1,0,0
cause,0,0,0,0,0,11
face,0,0,0,1,0,1
outward,0,0,1,0,0,0
slide,0,0,0,0,0,1
downwards,0,0,1,0,0,0
mountaintop,0,0,0,1,0,0
environmental,1,0,0,0,0,0
affect,0,0,0,0,0,3
countryside,0,0,0,2,0,0
tree,0,0,0,2,0,0
couple,0,0,0,1,0,0
estimate,0,0,0,0,0,1
staggering,1,0,0,0,0,0
cubic,2,0,0,0,0,0
olympic,1,0,0,0,0,0
stadium,0,0,0,1,0,0
wind,0,0,0,4,0,0
dusting,0,0,0,1,0,0
deposit,0,0,0,1,0,0
impossible,3,0,0,0,0,0
green,1,0,0,0,0,0
gray,2,0,0,0,0,0
desert,0,0,0,1,0,0
devastating,2,0,0,0,0,0
sweep,0,0,0,0,0,7
downhill,0,0,1,0,0,0
scorch,0,0,0,0,0,1
knock,0,0,0,0,0,4
instantly,0,0,1,0,0,0
satellite,0,0,0,2,0,0
show,0,0,0,0,0,3
plume,0,0,0,1,0,0
global,2,0,0,0,0,0
stay,0,0,0,0,0,1
month,0,0,0,2,0,0
right,0,0,1,0,0,0
sunlight,0,0,0,1,0,0
weather,0,0,0,2,0,0
slightly,0,0,1,0,0,0
cold,2,0,0,0,0,0
problem,0,0,0,3,0,0
sulfur,0,0,0,3,0,0
dioxide,0,0,0,3,0,0
mix,0,0,0,0,0,5
rain,0,0,0,4,0,0
acid,1,0,0,0,0,0
slowly,0,0,3,0,0,0
wildlife,0,0,0,1,0,0
lake,0,0,0,1,0,0
strip,0,0,0,0,0,1
vegetation,0,0,0,1,0,0
alter,0,0,0,0,0,1
coastline,0,0,0,1,0,0
summer,0,0,0,2,0,0
indonesian,1,0,0,0,0,0
sun,0,0,0,1,0,0
damp,1,0,0,0,0,0
crop,0,0,0,3,0,0
food,0,0,0,4,0,0
shortage,0,0,0,1,0,0
riot,0,0,0,1,0,0
water,0,0,0,10,0,0
glacier,0,0,0,1,0,0
mudflow,0,0,0,18,0,0
flood,0,0,0,7,0,0
snow,0,0,0,3,0,0
ice,0,0,0,12,0,0
lahar,0,0,0,1,0,0
area,0,0,0,9,0,0
remain,0,0,0,3,0,0
valley,0,0,0,3,0,0
path,0,0,0,3,0,0
set,0,0,0,0,0,4
hard,3,0,1,0,0,0
concrete,0,0,0,2,0,0
heavy,2,0,0,0,0,0
fresh,1,0,0,0,0,0
thunderstorm,0,0,0,1,0,0
monster,0,0,0,1,0,0
tsunami,0,0,0,3,0,0
race,0,0,0,0,0,1
yard,0,0,0,1,0,0
rear,0,0,0,0,0,1
inland,0,0,1,0,0,0
coastal,1,0,0,0,0,0
loss,0,0,0,1,0,0
trigger,0,0,0,0,0,1
underwater,1,0,0,0,0,0
iceland,0,0,0,1,0,0
cap,0,0,0,5,0,0
south,1,0,0,0,0,0
sheet,0,0,0,1,0,0
occasionally,0,0,1,0,0,0
sized,1,0,0,0,0,0
swimming,0,0,0,1,0,0
pool,0,0,0,1,0,0
second,0,0,0,1,0,0
