word,ADJ,ADP,ADV,CCONJ,NOUN,NUM,PRON,SCONJ,VERB
introduction,0,0,0,0,1,0,0,0,0
spring,0,0,0,0,3,0,0,0,1
grant,0,0,0,0,0,0,0,0,2
charter,0,0,0,0,2,0,0,0,2
company,0,0,0,0,2,0,0,0,0
right,0,0,1,0,1,0,0,0,0
settle,0,0,0,0,0,0,0,0,3
explore,0,0,0,0,0,0,0,0,2
govern,0,0,0,0,0,0,0,0,2
limited,2,0,0,0,0,0,0,0,0
part,0,0,0,0,2,0,0,0,0
year,0,0,0,0,10,0,0,0,0
expedition,0,0,0,0,1,0,0,0,0
man,0,0,0,0,9,0,0,0,0
sail,0,0,0,0,1,0,0,0,7
month,0,0,0,0,2,0,0,0,0
later,0,0,9,0,0,0,0,0,0
anchor,0,0,0,0,0,0,0,0,2
small,3,0,0,0,0,0,0,0,0
ship,0,0,0,0,11,0,0,0,0
coast,0,0,0,0,2,0,0,0,0
marshy,1,0,0,0,0,0,0,0,0
peninsula,0,0,0,0,2,0,0,0,0
mile,0,0,0,0,1,0,0,0,0
kilometer,0,0,0,0,1,0,0,0,0
state,0,0,0,0,2,0,0,0,1
establish,0,0,0,0,0,0,0,0,2
permanent,1,0,0,0,0,0,0,0,0
english,18,0,0,0,0,0,0,0,0
settlement,0,0,0,0,5,0,0,0,0
name,0,0,0,0,0,0,0,0,6
location,0,0,0,0,1,0,0,0,0
choose,0,0,0,0,0,0,0,0,3
appear,0,0,0,0,0,0,0,0,5
advantage,0,0,0,0,2,0,0,0,0
instance,0,0,0,0,4,0,0,0,0
pull,0,0,0,0,0,0,0,0,2
close,1,0,1,0,0,0,0,0,0
deep,1,0,0,0,0,0,0,0,0
water,0,0,0,0,2,0,0,0,0
easy,4,0,0,0,0,0,0,0,0
loading,0,0,0,0,1,0,0,0,0
unloading,0,0,0,0,1,0,0,0,0
defend,0,0,0,0,0,0,0,0,1
unfortunately,0,0,2,0,0,0,0,0,0
site,0,0,0,0,4,0,0,0,0
low,3,0,0,0,0,0,0,0,0
damp,1,0,0,0,0,0,0,0,0
swampy,1,0,0,0,0,0,0,0,0
unhealthful,1,0,0,0,0,0,0,0,0
combination,0,0,0,0,1,0,0,0,0
bad,2,0,0,0,0,0,0,0,0
river,0,0,0,0,3,0,0,0,0
disease,0,0,0,0,2,0,0,0,0
bear,0,0,0,0,0,0,0,0,5
mosquito,0,0,0,0,1,0,0,0,0
sicken,0,0,0,0,0,0,0,0,1
settler,0,0,0,0,9,0,0,0,0
soon,0,0,3,0,0,0,0,0,0
die,0,0,0,0,0,0,0,0,6
famine,0,0,0,0,1,0,0,0,0
