word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,SCONJ,VERB,X
time,0,0,0,0,0,191,0,0,0,0
huge,20,0,0,0,0,0,0,0,0,0
thunder,0,0,0,0,0,1,0,0,0,0
lizard,0,0,0,0,0,36,0,0,0,0
roam,0,0,0,0,0,0,0,0,3,0
steamy,1,0,0,0,0,0,0,0,0,0
fern,0,0,0,0,0,14,0,0,0,0
jungle,0,0,0,0,0,1,0,0,0,0
mammal,0,0,0,0,0,99,0,0,0,0
reptile,2,0,0,0,0,115,0,0,0,0
walk,0,0,0,0,0,0,0,0,20,0
land,0,0,0,0,0,57,0,0,0,0
continental,46,0,0,0,0,0,0,0,0,0
movement,0,0,0,0,0,14,0,0,0,0
mountain,0,0,0,0,0,32,0,0,0,0
building,0,0,0,0,0,17,0,0,0,0
massive,34,0,0,0,0,0,0,0,0,0
volcano,0,0,0,0,0,4,0,0,0,0
horrific,1,0,0,0,0,0,0,0,0,0
earth,0,0,0,0,0,2,0,0,0,0
shatter,0,0,0,0,0,0,0,0,1,0
extinction,0,0,0,0,0,95,0,0,0,0
occur,0,0,0,0,0,0,0,0,91,0
planet,0,0,0,0,0,3,0,0,0,0
middle,33,0,0,0,0,9,0,0,0,0
call,0,0,0,0,0,0,0,0,45,0
geologic,36,0,0,0,0,0,0,0,0,0
interval,0,0,0,0,0,28,0,0,0,0
last,0,0,0,0,0,0,0,0,2,0
half,0,0,1,0,3,15,2,0,0,0
billion,0,0,0,0,0,0,3,0,0,0
year,0,0,0,0,0,181,0,0,0,0
dinosaur,0,0,0,0,0,448,0,0,0,0
word,0,0,0,0,0,8,0,0,0,0
immediately,0,0,5,0,0,0,0,0,0,0
mind,0,0,0,0,0,5,0,0,0,0
large,290,0,0,0,0,0,0,0,0,0
predatory,16,0,0,0,0,0,0,0,0,0
stalk,0,0,0,0,0,0,0,0,2,0
young,16,0,0,0,0,1,0,0,0,0
old,26,0,0,0,0,0,0,0,0,0
alike,0,0,1,0,0,0,0,0,0,0
experience,0,0,0,0,0,0,0,0,11,0
visual,1,0,0,0,0,0,0,0,0,0
visceral,1,0,0,0,0,0,0,0,0,0
response,0,0,0,0,0,2,0,0,0,0
difficult,17,0,0,0,0,0,0,0,0,0
believe,0,0,0,0,0,0,0,0,9,0
mere,2,0,0,0,0,0,0,0,0,0
ago,0,0,119,0,0,0,0,0,0,0
idea,0,0,0,0,0,9,0,0,0,0
creature,0,0,0,0,0,10,0,0,0,0
exist,0,0,0,0,0,0,0,0,39,0
book,0,0,0,0,0,3,0,0,0,0
take,0,0,0,0,0,0,0,0,27,0
reader,0,0,0,0,0,4,0,0,0,0
point,0,0,0,0,0,8,0,0,6,0
discovery,0,0,0,0,0,34,0,0,0,0
classification,0,0,0,0,0,9,0,0,0,0
english,8,0,0,0,0,0,0,0,0,0
anatomist,0,0,0,0,0,2,0,0,0,0
attempt,0,0,0,0,0,3,0,0,2,0
classify,0,0,0,0,0,0,0,0,9,0
strange,5,0,0,0,0,0,0,0,0,0
bone,0,0,0,0,0,172,0,0,0,0
find,0,0,0,0,0,8,0,0,197,0
country,0,0,0,0,0,2,0,0,0,0
continue,0,0,0,0,0,0,0,0,19,0
learn,0,0,0,0,0,0,0,0,4,0
new,45,0,0,0,0,0,0,0,0,0
contradictory,1,0,0,0,0,0,0,0,0,0
cold,14,0,0,0,0,0,0,0,0,0
blooded,10,0,0,0,0,0,0,0,0,0
vanish,0,0,0,0,0,0,0,0,2,0
answer,0,0,0,0,0,1,0,0,1,0
surprise,0,0,0,0,0,1,0,0,1,0
dominant,27,0,0,0,0,0,0,0,0,0
life,0,0,0,0,0,57,0,0,0,0
form,0,0,0,0,0,126,0,0,65,0
period,0,0,0,0,0,116,0,0,0,0
era,0,0,0,0,0,15,0,0,0,0
different,55,0,0,0,0,0,0,0,0,0
variety,0,0,0,0,0,23,0,0,0,0
amazing,2,0,0,0,0,0,0,0,0,0
generally,0,0,36,0,0,0,0,0,0,0
assign,0,0,0,0,0,0,0,0,5,0
major,41,0,0,0,0,0,0,0,0,0
group,0,0,0,0,0,211,0,0,6,0
hip,0,0,0,0,0,24,0,0,0,0
bird,0,0,0,0,0,132,0,0,0,0
belong,0,0,0,0,0,0,0,0,23,0
subgroup,0,0,0,0,0,13,0,0,0,0
consist,0,0,0,0,0,0,0,0,43,0
herbivore,0,0,0,0,0,15,0,0,0,0
carnivore,0,0,0,0,0,13,0,0,0,0
example,0,0,0,0,0,60,0,0,0,0
include,0,0,0,0,0,0,0,0,152,0
date,0,0,0,0,0,7,0,0,43,0
term,0,0,0,0,0,19,0,0,1,0
people,0,0,0,0,0,3,0,0,0,0
identify,0,0,0,0,0,0,0,0,10,0
long,217,0,25,0,0,0,0,0,0,0
necked,8,0,0,0,0,0,0,0,0,0
leaf,0,0,0,0,0,13,0,0,0,0
eater,0,0,0,0,0,10,0,0,0,0
cartoon,0,0,0,0,0,1,0,0,0,0
animal,0,0,0,0,0,166,0,0,0,0
reach,0,0,0,0,0,1,0,0,31,0
metre,0,0,0,0,0,137,0,0,0,0
foot,0,0,0,0,0,182,0,0,0,0
length,0,0,0,0,0,52,0,0,0,0
weigh,0,0,0,0,0,0,0,0,22,0
excess,1,0,0,0,0,1,0,0,0,0
metric,5,0,0,0,0,0,0,0,0,0
ton,0,0,0,0,0,28,0,0,0,0
probably,0,0,79,0,0,0,0,0,0,0
recognizable,6,0,0,0,0,0,0,0,0,0
theropod,3,0,0,0,0,85,0,0,0,0
mighty,1,0,0,0,0,0,0,0,0,0
rex,0,0,0,0,0,12,0,0,0,0
mean,1,0,0,0,0,1,0,0,14,0
hungry,1,0,0,0,0,0,0,0,0,0
machine,0,0,0,0,0,3,0,0,0,0
ornithischia,0,0,0,0,0,1,0,0,0,0
flora,0,0,0,0,0,12,0,0,0,0
geology,0,0,0,0,0,2,0,0,0,0
imagine,0,0,0,0,0,0,0,0,1,0
event,0,0,0,0,0,30,0,0,0,0
place,0,0,0,0,0,21,0,0,7,0
course,0,0,1,0,0,7,0,0,0,0
million,0,0,0,0,0,2,237,0,0,0
have,0,0,0,0,0,0,0,0,23,0
luxury,0,0,0,0,0,1,0,0,0,0
peer,0,0,0,0,0,0,0,0,1,0
read,0,0,0,0,0,0,0,0,1,0
condensed,2,0,0,0,0,0,0,0,0,0
thorough,1,0,0,0,0,0,0,0,0,0
distillation,0,0,0,0,0,1,0,0,0,0
easily,0,0,16,0,0,0,0,0,0,0
decipherable,1,0,0,0,0,0,0,0,0,0
segment,0,0,0,0,0,5,0,0,0,0
provide,0,0,0,0,0,0,0,0,36,0
opportunity,0,0,0,0,0,2,0,0,0,0
review,0,0,0,0,0,0,0,0,1,0
sequence,0,0,0,0,0,26,0,0,1,0
overlay,0,0,0,0,0,1,0,0,1,0
sense,0,0,0,0,0,4,0,0,0,0
modern,67,0,0,0,0,0,0,0,0,0
greek,8,0,0,0,0,0,0,0,0,0
fact,0,0,0,0,0,18,0,0,0,0
come,0,0,0,0,0,0,0,0,23,0
ancient,14,0,0,0,0,0,0,0,0,0
recent,15,0,0,0,0,0,0,0,0,0
comprise,0,0,0,0,0,0,0,0,4,0
great,54,0,1,0,0,0,0,0,0,0
mass,1,0,0,0,0,44,0,0,0,0
permian,19,0,0,0,0,0,0,0,0,0
approximately,0,0,15,0,0,0,0,0,0,0
percent,0,0,0,0,0,28,0,0,0,0
marine,144,0,0,0,0,0,0,0,0,0
invertebrate,10,0,0,0,0,20,0,0,0,0
vertebrate,10,0,0,0,0,21,0,0,0,0
inexplicably,0,0,1,0,0,0,0,0,0,0
disappear,0,0,0,0,0,0,0,0,15,0
change,0,0,0,0,0,38,0,0,19,0
result,0,0,0,0,0,17,0,0,41,0
diversification,0,0,0,0,0,13,0,0,0,0
tremendous,2,0,0,0,0,0,0,0,0,0
cause,0,0,0,0,0,12,0,0,20,0
start,0,0,0,0,0,6,0,0,6,0
ecosystem,0,0,0,0,0,14,0,0,0,0
resemble,0,0,0,0,0,0,0,0,23,0
like,27,81,0,0,0,0,0,0,0,0
realize,0,0,0,0,0,0,0,0,3,0
speak,0,0,0,0,0,0,0,0,1,0
circumstance,0,0,0,0,0,3,0,0,0,0
thousand,0,0,0,0,0,6,1,0,0,0
pass,0,0,0,0,0,0,0,0,4,0
blink,0,0,0,0,0,1,0,0,0,0
eye,0,0,0,0,0,34,0,0,0,0
know,0,0,0,0,0,0,0,0,187,0
important,43,0,0,0,0,0,0,0,0,0
actually,0,0,13,0,0,0,0,0,0,0
timeframe,0,0,0,0,0,1,0,0,0,0
scientist,0,0,0,0,0,12,0,0,0,0
subdivide,0,0,0,0,0,0,0,0,15,0
small,161,0,0,0,0,0,0,0,0,0
perspective,0,0,0,0,0,1,0,0,0,0
focus,0,0,0,0,0,1,0,0,5,0
specific,2,0,0,0,0,0,0,0,0,0
development,0,0,0,0,0,11,0,0,0,0
case,0,0,0,0,0,10,0,0,0,0
split,0,0,0,0,0,0,0,0,11,0
cretaceous,197,0,0,0,0,3,0,0,0,0
refine,0,0,0,0,0,0,0,0,1,0
upper,43,0,0,0,0,0,0,0,0,0
low,65,0,4,0,0,0,0,0,0,0
big,2,0,0,0,0,0,0,0,0,0
picture,0,0,0,0,0,5,0,0,1,0
begin,0,0,0,0,0,0,0,0,48,0
appear,0,0,0,0,0,0,0,0,75,0
far,1,0,25,0,0,0,0,0,0,0
today,0,0,0,0,0,62,0,0,0,0
look,0,0,0,0,0,1,0,0,5,0
world,0,0,0,0,0,36,0,0,0,0
outer,14,0,0,0,0,0,0,0,0,0
space,0,0,0,0,0,5,0,0,2,0
surface,0,0,0,0,0,32,0,0,0,0
blue,2,0,0,0,0,0,0,0,0,0
liquid,0,0,0,0,0,1,0,0,0,0
fast,2,0,5,0,0,0,0,0,0,0
forward,1,1,6,0,0,0,0,0,1,0
break,0,0,0,0,0,0,0,0,7,0
equator,0,0,0,0,0,1,0,0,0,0
separate,8,0,0,0,0,0,0,0,28,0
continent,0,0,0,0,0,62,0,0,0,0
north,20,0,2,0,0,9,0,0,0,0
south,2,0,4,0,0,9,0,0,0,0
rift,0,0,0,0,0,4,0,0,1,0
numerous,22,0,0,0,0,0,0,0,0,0
force,0,0,0,0,0,14,0,0,3,0
importantly,0,0,1,0,0,0,0,0,0,0
shifting,0,0,0,0,0,2,0,0,0,0
subsurface,1,0,0,0,0,0,0,0,0,0
rock,0,0,0,0,0,209,0,0,0,0
plate,2,0,0,0,0,62,0,0,0,0
expand,0,0,0,0,0,0,0,0,13,0
water,0,0,0,0,0,61,0,0,0,0
eventually,0,0,9,0,0,0,0,0,0,0
salt,0,0,0,0,0,12,0,0,0,0
ocean,0,0,0,0,0,52,0,0,0,0
flow,0,0,0,0,0,3,0,0,6,0
east,5,0,2,0,0,7,0,0,0,0
west,6,0,0,0,0,5,0,0,0,0
plant,0,0,0,0,0,93,0,0,1,0
dominate,0,0,0,0,0,0,0,0,21,0
seed,0,0,0,0,0,15,0,0,0,0
level,0,0,0,0,0,51,0,0,0,0
forest,0,0,0,0,0,14,0,0,0,0
gymnosperm,0,0,0,0,0,11,0,0,0,0
conifer,0,0,0,0,0,12,0,0,0,0
higher,0,0,1,0,0,0,0,0,0,0
present,73,0,0,0,0,5,0,0,2,0
day,0,0,0,0,0,34,0,0,0,0
warm,41,0,1,0,0,0,0,0,3,0
relatively,0,0,50,0,0,0,0,0,0,0
dry,3,0,0,0,0,0,0,0,0,0
climate,0,0,0,0,0,26,0,0,0,0
allow,0,0,0,0,0,0,0,0,25,0
growth,0,0,0,0,0,24,0,0,0,0
triassic,70,0,0,0,0,1,0,0,0,0
swim,0,0,0,0,0,0,0,0,16,0
crawl,0,0,0,0,0,0,0,0,1,0
previously,0,0,6,0,0,0,0,0,0,0
mention,0,0,0,0,0,0,0,0,10,0
extinct,78,0,0,0,0,0,0,0,0,0
ammonoid,1,0,0,0,0,18,0,0,0,0
early,133,0,13,0,0,0,0,0,0,0
mollusk,0,0,0,0,0,12,0,0,0,0
predecessor,0,0,0,0,0,3,0,0,0,0
octopus,0,0,0,0,0,4,0,0,0,0
squid,0,0,0,0,0,6,0,0,0,0
die,0,0,0,0,0,0,0,0,17,0
revitalize,0,0,0,0,0,0,0,0,1,0
later,15,0,22,0,0,0,0,0,0,0
specie,0,0,0,0,0,54,0,0,0,0
fish,0,0,0,0,0,52,0,0,0,0
fade,0,0,0,0,0,0,0,0,2,0
away,0,0,9,0,0,0,0,0,0,0
replace,0,0,0,0,0,0,0,0,11,0
thrive,0,0,0,0,0,0,0,0,4,0
fill,0,0,0,0,0,0,0,0,5,0
sea,0,0,0,0,0,97,0,0,0,0
shellfish,0,0,0,0,0,2,0,0,0,0
eat,0,0,0,0,0,0,0,0,22,0
hybodont,0,0,0,0,0,2,0,0,0,0
shark,0,0,0,0,0,8,0,0,0,0
ray,0,0,0,0,0,8,0,0,0,0
finned,5,0,0,0,0,0,0,0,0,0
represent,0,0,0,0,0,0,0,0,67,0
nothosaur,0,0,0,0,0,5,0,0,0,0
plesiosaur,0,0,0,0,0,17,0,0,0,0
ichthyosaur,0,0,0,0,0,23,0,0,0,0
streamlined,5,0,0,0,0,0,0,0,0,0
dolphin,0,0,0,0,0,2,0,0,0,0
prey,0,0,0,0,0,27,0,0,7,0
