word,ADJ,ADP,ADV,AUX,INTJ,NOUN,NUM,PRON,VERB
story,0,0,0,0,0,5,0,0,0
time,0,0,0,0,0,8,0,0,0
live,0,0,0,0,0,0,0,0,10
friend,0,0,0,0,0,16,0,0,0
flat,0,0,0,0,0,1,0,0,0
early,0,0,2,0,0,0,0,0,0
morning,0,0,0,0,0,8,0,0,0
young,16,0,0,0,0,0,0,0,0
woman,0,0,0,0,0,16,0,0,0
dress,0,0,0,0,0,0,0,0,2
black,5,0,0,0,0,0,0,0,0
come,0,0,0,0,0,0,0,0,37
look,0,0,0,0,0,0,0,0,27
tired,3,0,0,0,0,0,0,0,0
unhappy,3,0,0,0,0,0,0,0,0
face,0,0,0,0,0,9,0,0,0
white,5,0,0,0,0,0,0,0,0
afraid,18,0,0,0,0,0,0,0,0
death,0,0,0,0,0,10,0,0,0
cry,0,0,0,0,0,1,0,0,20
help,0,0,0,0,0,7,0,0,14
thirty,0,0,0,0,0,0,2,0,0
grey,2,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,4,0,0,0
sit,0,0,0,0,0,0,0,0,6
tell,0,0,0,0,0,0,0,0,14
say,0,0,0,0,0,0,0,0,78
kindly,0,0,1,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,7
stepfather,0,0,0,0,0,16,0,0,0
near,0,7,0,0,0,0,0,0,0
village,0,0,0,0,0,4,0,0,0
country,0,0,0,0,0,7,0,0,0
family,0,0,0,0,0,8,0,0,0
rich,2,0,0,0,0,0,0,0,0
money,0,0,0,0,0,11,0,0,0
bear,0,0,0,0,0,0,0,0,2
study,0,0,0,0,0,0,0,0,1
doctor,0,0,0,0,0,3,0,0,0
go,0,0,0,0,0,0,0,0,30
meet,0,0,0,0,0,0,0,0,5
marry,0,0,0,0,0,0,0,0,13
mother,0,0,0,0,0,4,0,0,0
sister,0,0,0,0,0,14,0,0,0
father,0,0,0,0,0,11,0,0,0
dead,7,0,0,0,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,35
yes,0,0,0,0,9,0,0,0,0
lot,0,0,0,0,0,7,0,0,0
poor,5,0,0,0,0,0,0,0,0
violent,3,0,0,0,0,0,0,0,0
man,0,0,0,0,0,37,0,0,0
get,0,0,0,0,0,0,0,0,8
angry,5,0,0,0,0,0,0,0,0
indian,5,0,0,0,0,0,0,0,0
servant,0,0,0,0,0,9,0,0,0
kill,0,0,0,0,0,0,0,0,12
prison,0,0,0,0,0,1,0,0,0
die,0,0,0,0,0,0,0,0,19
accident,0,0,0,0,0,3,0,0,0
year,0,0,0,0,0,10,0,0,0
ago,0,0,7,0,0,0,0,0,0
pay,0,0,0,0,0,0,0,0,2
stay,0,0,0,0,0,0,0,0,5
home,0,0,5,0,0,4,0,0,0
see,0,0,0,0,0,0,0,0,13
anybody,0,0,0,0,0,0,0,4,0
answer,0,0,0,0,0,2,0,0,11
fight,0,0,0,0,0,3,0,0,1
people,0,0,0,0,0,13,0,0,0
everybody,0,0,0,0,0,0,0,1,0
run,0,0,0,0,0,0,0,0,14
away,0,0,3,0,0,0,0,0,0
wild,5,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,4,0,0,0
freely,0,0,1,0,0,0,0,0,0
garden,0,0,0,0,0,6,0,0,0
send,0,0,0,0,0,0,0,0,12
thing,0,0,0,0,0,7,0,0,0
gipsy,0,0,0,0,0,5,0,0,0
like,0,5,0,0,0,0,0,0,7
life,0,0,0,0,0,3,0,0,0
leave,0,0,0,0,0,0,0,0,17
work,0,0,0,0,0,1,0,0,3
house,0,0,0,0,0,31,0,0,0
visit,0,0,0,0,0,0,0,0,8
agree,0,0,0,0,0,0,0,0,5
soon,0,0,7,0,0,0,0,0,0
hand,0,0,0,0,0,6,0,0,0
eye,0,0,0,0,0,4,0,0,0
minute,0,0,0,0,0,6,0,0,0
listen,0,0,0,0,0,0,0,0,2
close,0,0,0,0,0,0,0,0,2
open,2,0,0,0,0,0,0,0,11
remember,0,0,0,0,0,0,0,0,3
terrible,7,0,0,0,0,0,0,0,0
bedroom,0,0,0,0,0,7,0,0,0
downstairs,0,0,1,0,0,0,0,0,0
room,0,0,0,0,0,40,0,0,0
window,0,0,0,0,0,8,0,0,0
door,0,0,0,0,0,15,0,0,0
corridor,0,0,0,0,0,2,0,0,0
evening,0,0,0,0,0,4,0,0,0
smoke,0,0,0,0,0,4,0,0,3
strong,2,0,0,0,0,0,0,0,0
cigarette,0,0,0,0,0,3,0,0,0
sleep,0,0,0,0,0,0,0,0,4
smell,0,0,0,0,0,0,0,0,2
talk,0,0,0,0,0,0,0,0,7
bed,0,0,0,0,0,6,0,0,0
hear,0,0,0,0,0,0,0,0,14
whistle,0,0,0,0,0,8,0,0,1
middle,1,0,0,0,0,2,0,0,0
night,0,0,0,0,0,18,0,0,0
surprised,2,0,0,0,0,0,0,0,0
strange,7,0,0,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,29
laugh,0,0,0,0,0,0,0,0,7
well,3,0,1,0,0,0,0,0,0
lock,0,0,0,0,0,0,0,0,8
stormy,3,0,0,0,0,0,0,0,0
wind,0,0,0,0,0,2,0,0,0
rain,0,0,0,0,0,3,0,0,0
suddenly,0,0,7,0,0,0,0,0,0
scream,0,0,0,0,0,1,0,0,0
voice,0,0,0,0,0,5,0,0,0
later,0,0,9,0,0,0,0,0,0
sound,0,0,0,0,0,7,0,0,0
fall,0,0,0,0,0,0,0,0,9
metal,1,0,0,0,0,7,0,0,0
ground,0,0,0,0,0,3,0,0,0
ill,1,0,0,0,0,0,0,0,0
arm,0,0,0,0,0,2,0,0,0
god,0,0,0,0,2,0,0,0,0
band,0,0,0,0,0,9,0,0,0
