word,ADJ,ADP,ADV,DET,NOUN,NUM,PRON,SCONJ,VERB
introduction,0,0,0,0,1,0,0,0,0
massive,7,0,0,0,0,0,0,0,0
pyramid,0,0,0,0,16,0,0,0,0
famous,9,0,0,0,0,0,0,0,0
mummy,0,0,0,0,7,0,0,0,0
mysterious,1,0,0,0,0,0,0,0,0
tomb,0,0,0,0,11,0,0,0,0
fascinating,1,0,0,0,0,0,0,0,0
element,0,0,0,0,2,0,0,0,0
celebrated,2,0,0,0,0,0,0,0,0
civilization,0,0,0,0,17,0,0,0,0
history,0,0,0,0,10,0,0,0,0
ancient,65,0,0,0,0,0,0,0,0
establish,0,0,0,0,0,0,0,0,9
bank,0,0,0,0,3,0,0,0,0
year,0,0,0,0,15,0,0,0,0
ago,0,0,1,0,0,0,0,0,0
early,3,0,3,0,0,0,0,0,0
nomad,0,0,0,0,1,0,0,0,0
find,0,0,0,0,0,0,0,0,1
river,0,0,0,0,7,0,0,0,0
valley,0,0,0,0,8,0,0,0,0
offer,0,0,0,0,0,0,0,0,2
need,0,0,0,0,0,0,0,0,1
prosper,0,0,0,0,0,0,0,0,1
build,0,0,0,0,0,0,0,0,13
community,0,0,0,0,5,0,0,0,0
people,0,0,0,0,6,0,0,0,0
flourish,0,0,0,0,0,0,0,0,3
writing,0,0,0,0,7,0,0,0,0
religion,0,0,0,0,9,0,0,0,0
leave,0,0,0,0,0,0,0,0,5
legacy,0,0,0,0,5,0,0,0,0
future,1,0,0,0,1,0,0,0,0
admire,0,0,0,0,0,0,0,0,1
copy,0,0,0,0,0,0,0,0,1
credit,0,0,0,0,0,0,0,0,1
make,0,0,0,0,0,0,0,0,1
paper,0,0,0,0,2,0,0,0,0
create,0,0,0,0,0,0,0,0,4
know,0,0,0,0,0,0,0,0,13
solar,2,0,0,0,0,0,0,0,0
calendar,0,0,0,0,8,0,0,0,0
refine,0,0,0,0,0,0,0,0,1
scientific,1,0,0,0,0,0,0,0,0
mathematical,2,0,0,0,0,0,0,0,0
agricultural,3,0,0,0,0,0,0,0,0
technique,0,0,0,0,3,0,0,0,0
develop,0,0,0,0,0,0,0,0,8
irrigation,0,0,0,0,4,0,0,0,0
system,0,0,0,0,11,0,0,0,0
government,0,0,0,0,5,0,0,0,0
last,0,0,0,0,0,0,0,0,2
superpower,0,0,0,0,2,0,0,0,0
time,0,0,0,0,14,0,0,0,0
nonetheless,0,0,1,0,0,0,0,0,0
like,0,3,0,0,0,0,0,0,0
giant,0,0,0,0,1,0,0,0,0
world,0,0,0,0,8,0,0,0,0
eventually,0,0,9,0,0,0,0,0,0
perish,0,0,0,0,0,0,0,0,1
climate,0,0,0,0,4,0,0,0,0
corruption,0,0,0,0,2,0,0,0,0
foreign,9,0,0,0,0,0,0,0,0
invader,0,0,0,0,3,0,0,0,0
play,0,0,0,0,0,0,0,0,2
demise,0,0,0,0,1,0,0,0,0
notable,1,0,0,0,0,0,0,0,0
society,0,0,0,0,7,0,0,0,0
achievement,0,0,0,0,2,0,0,0,0
continue,0,0,0,0,0,0,0,0,6
capture,0,0,0,0,0,0,0,0,2
imagination,0,0,0,0,1,0,0,0,0
inspire,0,0,0,0,0,0,0,0,6
art,0,0,0,0,11,0,0,0,0
science,0,0,0,0,4,0,0,0,0
day,0,0,0,0,8,0,0,0,0
carve,0,0,0,0,0,0,0,0,6
bce,0,0,0,0,38,0,0,0,0
stand,0,0,0,0,0,0,0,0,9
complex,1,0,0,0,2,0,0,0,0
recognizable,1,0,0,0,0,0,0,0,0
symbol,0,0,0,0,3,0,0,0,0
measure,0,0,0,0,0,0,0,0,2
foot,0,0,0,0,5,0,0,0,0
meter,0,0,0,0,4,0,0,0,0
length,0,0,0,0,2,0,0,0,0
height,0,0,0,0,3,0,0,0,0
follow,0,0,0,0,0,0,0,0,6
explore,0,0,0,0,0,0,0,0,2
settlement,0,0,0,0,5,0,0,0,0
discover,0,0,0,0,0,0,0,0,4
set,0,0,0,0,0,0,0,0,4
standard,0,0,0,0,2,0,0,0,0
aspect,0,0,0,0,1,0,0,0,0
visit,0,0,0,0,0,0,0,0,1
exciting,1,0,0,0,0,0,0,0,0
moment,0,0,0,0,1,0,0,0,0
egyptian,44,0,0,0,0,0,0,0,0
touch,0,0,0,0,0,0,0,0,1
pharaoh,0,0,0,0,17,0,0,0,0
finally,0,0,2,0,0,0,0,0,0
look,0,0,0,0,0,0,0,0,4
immeasurable,1,0,0,0,0,0,0,0,0
mark,0,0,0,0,2,0,0,0,1
culture,0,0,0,0,11,0,0,0,0
today,0,0,0,0,12,0,0,0,0
chapter,0,0,0,0,6,0,0,0,0
hunter,0,0,0,0,2,0,0,0,0
gatherer,0,0,0,0,2,0,0,0,0
roam,0,0,0,0,0,0,0,0,1
northeastern,2,0,0,0,0,0,0,0,0
swampy,1,0,0,0,0,0,0,0,0
plateau,0,0,0,0,1,0,0,0,0
overgrow,0,0,0,0,0,0,0,0,1
tree,0,0,0,0,1,0,0,0,0
rush,0,0,0,0,1,0,0,0,0
papyrus,0,0,0,0,3,0,0,0,0
narrow,2,0,0,0,0,0,0,0,0
home,0,0,0,0,6,0,0,0,0
long,6,0,1,0,0,0,0,0,0
hot,1,0,0,0,0,0,0,0,0
dry,3,0,0,0,0,0,0,0,0
harsh,1,0,0,0,0,0,0,0,0
