word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
uncle,0,0,0,0,0,0,12,0,0,0,0,0
ghost,0,0,0,0,0,0,10,0,0,0,0,0
late,5,0,6,0,0,0,0,0,0,0,0,0
king,0,0,0,0,0,0,78,0,0,0,0,0
father,0,0,0,0,0,0,73,0,0,0,0,0
mother,0,0,0,0,0,0,46,0,0,0,0,0
wife,0,0,0,0,0,0,9,0,0,0,0,0
son,0,0,0,0,0,0,23,0,0,0,0,0
daughter,0,0,0,0,0,0,17,0,0,0,0,0
friend,0,0,0,0,0,0,34,0,0,0,0,0
courtier,0,0,0,0,0,0,8,0,0,0,0,0
officer,0,0,0,0,0,0,4,0,0,0,0,0
soldier,0,0,0,0,0,0,10,0,0,0,0,0
servant,0,0,0,0,0,0,6,0,0,0,0,0
player,0,0,0,0,0,0,29,0,0,0,0,0
gentleman,0,0,0,0,0,0,30,0,0,0,0,0
priest,0,0,0,0,0,0,3,0,0,0,0,0
clown,0,0,0,0,0,0,4,0,0,0,0,0
grave,1,0,0,0,0,0,19,0,0,0,0,0
digger,0,0,0,0,0,0,1,0,0,0,0,0
captain,0,0,0,0,0,0,7,0,0,0,0,0
ambassador,0,0,0,0,0,0,3,0,0,0,0,0
lord,0,0,0,0,0,0,203,0,0,0,0,0
lady,0,0,0,0,0,0,17,0,0,0,0,0
sailor,0,0,0,0,0,0,4,0,0,0,0,0
messenger,0,0,0,0,0,0,5,0,0,0,0,0
attendant,0,0,0,0,0,0,9,0,0,0,0,0
enter,0,0,0,0,0,0,0,0,0,0,73,0
sentinel,0,0,0,0,0,0,1,0,0,0,0,0
answer,0,0,0,0,0,0,7,0,0,0,7,0
stand,0,0,0,0,0,0,0,0,0,0,27,0
unfold,0,0,0,0,0,0,0,0,0,0,3,0
long,7,0,15,0,0,0,0,0,0,0,2,0
live,0,0,0,0,0,0,0,0,0,0,21,0
come,0,0,0,0,0,0,0,0,0,0,144,0
carefully,0,0,1,0,0,0,0,0,0,0,0,0
hour,0,0,0,0,0,0,10,0,0,0,0,0
tis,0,0,0,0,0,0,0,0,3,0,1,1
strike,0,0,0,0,0,0,0,0,0,0,10,0
thee,0,0,0,0,0,0,0,0,58,0,0,0
bed,0,0,0,0,0,0,14,0,0,0,2,0
relief,0,0,0,0,0,0,1,0,0,0,0,0
thank,0,0,0,0,0,0,10,0,0,0,9,0
ti,0,0,0,0,0,0,0,0,0,0,69,0
bitter,3,0,0,0,0,0,0,0,0,0,0,0
cold,5,0,0,0,0,0,1,0,0,0,0,0
sick,5,0,0,0,0,0,0,0,0,0,0,0
heart,0,0,0,0,0,0,33,0,0,0,0,0
quiet,4,0,0,0,0,0,1,0,0,0,0,0
guard,0,0,0,0,0,0,3,0,0,0,2,0
mouse,0,0,0,0,0,0,2,0,0,0,0,0
stir,0,0,0,0,0,0,0,0,0,0,6,0
good,116,0,0,0,0,1,1,0,0,0,0,0
night,0,0,0,0,0,0,40,0,0,0,0,0
meet,1,0,0,0,0,0,0,0,0,0,9,0
rival,0,0,0,0,0,0,1,0,0,0,0,0
watch,0,0,0,0,0,0,12,0,0,0,4,0
bid,0,0,0,0,0,0,1,0,0,0,5,0
haste,0,0,0,0,0,0,11,0,0,0,3,0
think,0,0,0,0,0,0,0,0,0,0,54,0
hear,0,0,0,0,0,0,0,0,0,0,51,0
ground,0,0,0,0,0,0,11,0,0,0,0,0
liegeman,0,0,0,0,0,0,1,0,0,0,0,0
farewell,0,0,0,0,0,10,4,0,0,0,1,0
honest,11,0,0,0,0,0,0,0,0,0,0,0
hath,0,0,0,0,0,0,0,0,1,0,57,5
place,0,0,0,0,0,0,10,0,0,0,1,0
exit,0,0,0,0,0,0,0,0,0,0,39,0
holla,0,0,0,0,0,1,0,0,0,0,0,0
piece,0,0,0,0,0,0,6,0,0,0,0,0
welcome,9,0,0,0,0,5,2,0,0,0,1,0
thing,0,0,0,0,0,0,30,0,0,0,0,0
tonight,0,0,0,0,0,0,11,0,0,0,0,0
see,0,0,0,0,0,0,0,0,0,0,39,0
say,0,0,0,0,0,0,0,0,0,0,23,0
fantasy,0,0,0,0,0,0,3,0,0,0,0,0
let,0,0,0,0,0,0,0,0,0,0,109,0
belief,0,0,0,0,0,0,1,0,0,0,0,0
hold,0,0,0,0,0,0,1,0,0,0,34,0
touch,0,0,0,0,0,0,3,0,0,0,7,0
dread,1,0,0,0,0,0,3,0,0,0,2,0
sight,0,0,0,0,0,0,9,0,0,0,0,0
twice,0,0,3,0,1,0,0,0,0,0,0,0
entreat,0,0,0,0,0,0,0,0,0,0,4,0
minute,0,0,0,0,0,0,2,0,0,0,0,0
apparition,0,0,0,0,0,0,2,0,0,0,0,0
approve,0,0,0,0,0,0,0,0,0,0,2,0
eye,0,0,0,0,0,0,38,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,0,0,74,0
tush,2,0,0,0,0,0,0,0,0,0,0,0
twill,0,0,0,3,0,0,0,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,0,0,6,0
sit,0,0,0,0,0,0,0,0,0,0,15,0
awhile,0,0,10,0,0,0,0,0,0,0,0,0
assail,0,0,0,0,0,0,0,0,0,0,1,0
ear,0,0,0,0,0,0,27,0,0,0,0,0
fortified,1,0,0,0,0,0,0,0,0,0,0,0
story,0,0,0,0,0,0,3,0,0,0,0,0
yond,0,0,0,0,0,0,0,0,1,0,0,0
star,0,0,0,0,0,0,10,0,0,0,0,0
westward,0,0,1,0,0,0,0,0,0,0,0,0
pole,0,0,0,0,0,0,1,0,0,0,0,0
course,0,0,0,0,0,0,5,0,0,0,1,0
burn,0,0,0,0,0,0,0,0,0,0,6,0
bell,0,0,0,0,0,0,3,0,0,0,0,0
beat,0,0,0,0,0,0,0,0,0,0,3,0
peace,0,0,0,0,0,0,10,0,0,0,0,0
break,0,0,0,0,0,0,0,0,0,0,13,0
look,0,0,0,0,0,0,4,0,0,0,43,0
figure,0,0,0,0,0,0,5,0,0,0,0,0
like,8,70,0,0,0,0,0,0,0,0,9,0
dead,31,0,0,0,0,0,1,0,0,0,0,0
thou,0,0,0,0,0,0,0,0,104,0,0,1
art,0,0,0,0,0,0,5,0,0,0,12,0
scholar,0,0,0,0,0,0,3,0,0,0,0,0
mark,0,0,0,0,0,0,3,0,0,0,10,0
harrow,0,0,0,0,0,0,0,0,0,0,2,0
fear,0,0,0,0,0,0,13,0,0,0,11,0
wonder,0,0,0,0,0,0,4,0,0,0,0,0
question,0,0,0,0,0,0,13,0,0,0,3,0
time,0,0,0,0,0,0,53,0,0,0,0,0
fair,20,0,1,0,0,0,0,0,0,0,0,0
warlike,5,0,0,0,0,0,0,0,0,0,0,0
form,0,0,0,0,0,0,15,0,0,0,1,0
majesty,0,0,0,0,0,0,12,0,0,0,0,0
bury,0,0,0,0,0,0,0,0,0,0,6,0
march,0,0,0,0,0,0,4,0,0,0,3,0
charge,0,0,0,0,0,0,4,0,0,0,4,0
offend,0,0,0,0,0,0,0,0,0,0,5,0
stalk,0,0,0,0,0,0,1,0,0,0,1,0
away,0,2,23,0,0,0,0,0,0,0,0,1
stay,0,0,0,0,0,0,0,0,0,0,12,0
go,0,0,0,0,0,0,0,0,0,0,35,0
tremble,0,0,0,0,0,0,0,0,0,0,2,0
pale,7,0,0,0,0,0,1,0,0,0,1,0
believe,0,0,0,0,0,0,0,0,0,0,20,0
sensible,1,0,0,0,0,0,0,0,0,0,0,0
true,24,0,0,0,0,0,0,0,0,0,0,0
avouch,0,0,0,0,0,0,0,0,0,0,0,1
thyself,0,0,0,0,0,0,0,0,5,0,0,0
armour,0,0,0,0,0,0,3,0,0,0,0,0
combat,0,0,0,0,0,0,1,0,0,0,1,0
angry,1,0,0,0,0,0,0,0,0,0,0,0
parle,0,0,0,0,0,0,1,0,0,0,0,0
smite,0,0,0,0,0,0,0,0,0,0,1,0
sledde,0,0,0,0,0,0,0,0,0,0,1,0
ice,0,0,0,0,0,0,2,0,0,0,0,0
strange,9,0,0,0,0,0,0,0,0,0,0,0
jump,0,0,0,0,0,0,0,0,0,0,2,0
martial,1,0,0,0,0,0,0,0,0,0,0,0
particular,8,0,0,0,0,0,0,0,0,0,0,0
thought,0,0,0,0,0,0,25,0,0,0,0,0
work,0,0,0,0,0,0,6,0,0,0,8,0
know,0,0,0,0,0,0,0,0,0,0,89,0
gross,4,0,0,0,0,0,0,0,0,0,0,0
scope,0,0,0,0,0,0,3,0,0,0,1,0
opinion,0,0,0,0,0,0,3,0,0,0,0,0
bode,0,0,0,0,0,0,0,0,0,0,1,0
eruption,0,0,0,0,0,0,1,0,0,0,0,0
state,0,0,0,0,0,0,14,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,49,0
strict,2,0,0,0,0,0,0,0,0,0,0,0
observant,1,0,0,0,0,0,0,0,0,0,0,0
nightly,0,0,1,0,0,0,0,0,0,0,0,0
toil,0,0,0,0,0,0,1,0,0,0,1,0
subject,1,0,0,0,0,0,2,0,0,0,0,0
land,0,0,0,0,0,0,9,0,0,0,0,0
daily,1,0,0,0,0,0,0,0,0,0,0,0
cast,0,0,0,0,0,0,2,0,0,0,4,0
brazen,1,0,0,0,0,0,0,0,0,0,0,0
cannon,0,0,0,0,0,0,6,0,0,0,0,0
foreign,1,0,0,0,0,0,0,0,0,0,0,0
