word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PART,PRON,SCONJ,VERB,X
dull,8,0,0,0,0,0,0,0,0,0,0,0,0
autumn,0,0,0,0,0,0,5,0,0,0,0,0,0
day,0,0,0,0,0,0,43,0,0,0,0,0,0
cry,0,0,0,0,0,0,8,0,0,0,0,38,0
gym,0,0,0,0,0,0,6,0,0,0,0,0,0
bully,0,0,0,0,0,0,1,0,0,0,0,2,0
go,0,0,0,0,0,0,0,0,0,0,0,135,0
school,0,0,0,0,0,0,16,0,0,0,0,0,0
story,0,0,0,0,0,0,14,0,0,0,0,0,0
shall,0,0,0,38,0,0,0,0,0,0,0,1,0
little,96,0,4,0,0,0,0,0,0,0,0,0,0
possible,6,0,0,0,0,0,0,0,0,0,0,0,0
pleasant,4,0,0,0,0,0,0,0,0,0,0,0,0
subject,0,0,0,0,0,0,1,0,0,0,0,0,0
boy,0,0,0,0,0,0,19,0,0,0,0,0,0
girl,0,0,0,0,0,0,18,0,0,0,0,0,0
call,0,0,0,0,0,0,1,0,0,0,0,30,0
mixed,2,0,0,0,0,0,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,0,664,0
nearly,0,0,30,0,0,0,0,0,0,0,0,0,0
mind,0,0,0,0,0,0,22,0,0,0,0,11,0
people,0,0,0,0,0,0,44,0,0,0,0,0,0
run,0,0,0,0,0,0,1,0,0,0,0,40,0
idea,0,0,0,0,0,0,21,0,0,0,0,0,0
allow,0,0,0,0,0,0,0,0,0,0,0,6,0
like,5,155,0,0,0,0,0,0,0,0,0,38,0
unfortunately,0,0,2,0,0,0,0,0,0,0,0,0,0
big,44,0,0,0,0,0,0,0,0,0,0,0,0
well,12,0,26,0,0,0,0,0,0,0,0,0,0
sort,0,0,0,0,0,0,46,0,0,0,0,0,0
thing,0,0,0,0,0,0,135,0,0,0,0,0,0
horrid,8,0,0,0,0,0,0,0,0,0,0,0,0
ordinary,4,0,0,0,0,0,0,0,0,0,0,0,0
find,0,0,0,0,0,0,0,0,0,0,0,75,0
stop,0,0,0,0,0,0,0,0,0,0,0,26,0
half,5,0,6,0,10,0,2,0,0,0,0,0,0
term,0,0,0,0,0,0,7,0,0,0,0,0,0
expel,0,0,0,0,0,0,0,0,0,0,0,2,0
punish,0,0,0,0,0,0,0,0,0,0,0,1,0
head,0,0,0,0,0,0,71,0,0,0,0,0,0
interesting,1,0,0,0,0,0,0,0,0,0,0,0,0
psychological,1,0,0,0,0,0,0,0,0,0,0,0,0
case,0,0,0,0,0,0,2,0,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,0,20,0
talk,0,0,0,0,0,0,2,0,0,0,0,39,0
hour,0,0,0,0,0,0,32,0,0,0,0,0,0
know,0,0,0,0,0,0,0,0,0,0,0,163,0
right,50,0,25,0,0,0,11,0,0,0,0,0,0
main,6,0,0,0,0,0,0,0,0,0,0,0,0
result,0,0,0,0,0,0,3,0,0,0,0,0,0
