word,ADJ,ADP,ADV,AUX,INTJ,NOUN,SCONJ,VERB,X
live,0,0,0,0,0,0,0,12,0
middle,0,0,0,0,0,6,0,0,0
prairie,0,0,0,0,0,3,0,0,0
farmer,0,0,0,0,0,5,0,0,0
wife,0,0,0,0,0,2,0,0,0
small,11,0,0,0,0,0,0,0,0
house,0,0,0,0,0,27,0,0,0
wall,0,0,0,0,0,5,0,0,0
floor,0,0,0,0,0,8,0,0,0
roof,0,0,0,0,0,2,0,0,0
cellar,0,0,0,0,0,3,0,0,0
hole,0,0,0,0,0,7,0,0,0
dig,0,0,0,0,0,0,0,1,0
ground,0,0,0,0,0,6,0,0,0
call,0,0,0,0,0,0,0,11,0
cyclone,0,0,0,0,0,7,0,0,0
stand,0,0,0,0,0,0,0,21,0
door,0,0,0,0,0,10,0,0,0
look,0,0,0,0,0,0,0,34,0
outside,0,0,1,0,0,0,0,0,0
see,0,0,0,0,0,0,0,33,0
gray,5,0,0,0,0,0,0,0,0
tree,0,0,0,0,0,28,0,0,0
land,0,0,0,0,0,12,0,1,0
bake,0,0,0,0,0,0,0,1,0
sun,0,0,0,0,0,8,0,0,0
little,32,0,0,0,0,0,0,0,0
crack,0,0,0,0,0,1,0,1,0
grass,0,0,0,0,0,12,0,0,0
burn,0,0,0,0,0,0,0,4,0
orphan,0,0,0,0,0,1,0,0,0
come,0,0,0,0,0,0,0,89,0
laugh,0,0,0,0,0,0,0,6,0
black,1,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,9,0,0,0
silky,1,0,0,0,0,0,0,0,0
hair,0,0,0,0,0,9,0,0,0
twinkle,0,0,0,0,0,0,0,1,0
eye,0,0,0,0,0,22,0,0,0
play,0,0,0,0,0,0,0,2,0
day,0,0,0,0,0,31,0,0,0
love,0,0,0,0,0,4,0,6,0
today,0,0,0,0,0,1,0,0,0
sit,0,0,0,0,0,0,0,14,0
doorstep,0,0,0,0,0,1,0,0,0
sky,0,0,0,0,0,5,0,0,0
usual,1,0,0,0,0,0,0,0,0
arm,0,0,0,0,0,16,0,0,0
wash,0,0,0,0,0,0,0,3,0
dish,0,0,0,0,0,2,0,0,0
far,1,0,8,0,0,0,0,0,0
north,0,0,0,0,0,1,0,0,0
hear,0,0,0,0,0,0,0,16,0
low,2,0,2,0,0,0,0,0,0
wail,0,0,0,0,0,1,0,0,0
wind,0,0,0,0,0,7,0,0,0
long,18,0,7,0,0,0,0,0,0
bow,0,0,0,0,0,0,0,11,0
wave,0,0,0,0,0,1,0,1,0
storm,0,0,0,0,0,1,0,0,0
sharp,5,0,0,0,0,0,0,0,0
whistling,0,0,0,0,0,1,0,0,0
south,0,0,0,0,0,1,0,0,0
turn,0,0,0,0,0,0,0,6,0
way,0,0,0,0,0,19,0,0,0
ripple,0,0,0,0,0,1,0,0,0
direction,0,0,0,0,0,5,0,0,0
suddenly,0,0,7,0,0,0,0,0,0
shout,0,0,0,0,0,1,0,15,0
run,0,0,0,0,0,0,0,31,0
cow,0,0,0,0,0,2,0,0,0
horse,0,0,0,0,0,3,0,0,0
quick,1,0,2,0,0,0,0,0,0
jump,0,0,0,0,0,1,0,10,0
bed,0,0,0,0,0,8,0,0,0
throw,0,0,0,0,0,0,0,7,0
open,3,1,1,0,0,0,0,8,0
trapdoor,0,0,0,0,0,1,0,0,0
climb,0,0,0,0,0,0,0,4,0
dark,5,0,1,0,0,2,0,0,0
grab,0,0,0,0,0,0,0,4,0
great,38,0,0,0,0,0,0,0,0
shriek,0,0,0,0,0,1,0,0,0
shake,0,0,0,0,0,0,0,6,0
strange,8,0,0,0,0,0,0,0,0
thing,0,0,0,0,0,11,0,0,0
happen,0,0,0,0,0,0,0,4,0
whirl,0,0,0,0,0,0,0,3,0
rise,0,0,0,0,0,0,0,3,0
air,0,0,0,0,0,13,0,0,0
exact,1,0,0,0,0,0,0,0,0
center,0,0,0,0,0,3,0,0,0
take,0,0,0,0,0,0,0,30,0
higher,0,0,2,0,0,0,0,0,0
carry,0,0,0,0,0,0,0,25,0
mile,0,0,0,0,0,3,0,0,0
away,0,2,26,0,0,0,0,0,0
howl,0,0,0,0,0,0,0,2,0
horribly,0,0,1,0,0,0,0,0,0
settle,0,0,0,0,0,0,0,1,0
tornado,0,0,0,0,0,1,0,0,0
feel,0,0,0,0,0,0,0,11,0
rock,0,0,0,0,0,2,0,1,0
gently,0,0,5,0,0,0,0,0,0
room,0,0,0,0,0,20,0,0,0
bark,0,0,0,0,0,0,0,6,0
wait,0,0,0,0,0,0,0,10,0
hour,0,0,0,0,0,4,0,0,0
pass,0,0,0,0,0,0,0,6,0
lonely,3,0,0,0,0,0,0,0,0
loud,1,0,2,0,0,0,0,0,0
hurt,0,0,0,0,0,0,0,11,0
ear,0,0,0,0,0,4,0,0,0
crawl,0,0,0,0,0,0,0,1,0
lie,0,0,0,0,0,0,0,13,0
sway,0,0,0,0,0,0,0,1,0
close,0,0,5,0,0,0,0,2,0
fall,0,0,0,0,0,1,0,23,0
asleep,10,0,1,0,0,0,0,0,0
strong,5,0,0,0,0,0,0,0,0
shock,0,0,0,0,0,1,0,0,0
wake,0,0,0,0,0,0,0,9,0
instead,0,0,4,0,0,0,0,0,0
catch,0,0,0,0,0,0,0,7,0
breath,0,0,0,0,0,2,0,0,0
whine,0,0,0,0,0,0,0,1,0
stop,0,0,0,0,0,0,0,9,0
move,0,0,0,0,0,0,0,4,0
bright,7,0,1,0,0,0,0,0,0
sunshine,0,0,0,0,0,4,0,0,0
window,0,0,0,0,0,3,0,0,0
cry,0,0,0,0,0,0,0,25,0
wonderful,9,0,0,0,0,0,0,0,0
sight,0,0,0,0,0,4,0,0,0
set,0,0,0,0,0,0,0,5,0
beautiful,21,0,0,0,0,0,0,0,0
country,0,0,0,0,0,15,0,0,0
green,57,0,0,0,0,1,0,0,0
tall,5,0,0,0,0,0,0,0,0
fruit,0,0,0,0,0,7,0,0,0
surround,0,0,0,0,0,0,0,4,0
flower,0,0,0,0,0,12,0,0,0
bird,0,0,0,0,0,2,0,0,0
sing,0,0,0,0,0,0,0,1,0
stream,0,0,0,0,0,3,0,0,0
rush,0,0,0,0,0,1,0,3,0
bank,0,0,0,0,0,3,0,0,0
group,0,0,0,0,0,5,0,0,0
people,0,0,0,0,0,18,0,0,0
year,0,0,0,0,0,4,0,0,0
old,18,0,0,0,0,0,0,0,0
man,0,0,0,0,0,45,0,0,0
woman,0,0,0,0,0,19,0,0,0
oddly,0,0,1,0,0,0,0,0,0
dress,0,0,0,0,0,7,0,6,0
round,2,0,0,0,0,0,0,0,0
hat,0,0,0,0,0,3,0,0,0
pointed,3,0,0,0,0,0,0,0,0
bell,0,0,0,0,0,5,0,0,0
ring,0,0,0,0,0,0,0,3,0
sweetly,0,0,1,0,0,0,0,0,0
wear,0,0,0,0,0,0,0,11,0
white,7,0,0,0,0,0,0,0,0
gown,0,0,0,0,0,3,0,0,0
star,0,0,0,0,0,1,0,0,0
glisten,0,0,0,0,0,0,0,1,0
decide,0,0,0,0,0,0,0,8,0
face,0,0,0,0,0,11,0,1,0
cover,0,0,0,0,0,0,0,6,0
wrinkle,0,0,0,0,0,1,0,0,0
walk,0,0,0,0,0,0,0,40,0
welcome,2,0,0,0,0,0,0,0,0
thank,0,0,0,0,0,0,0,13,0
kill,0,0,0,0,0,0,0,28,0
free,3,0,0,0,0,0,0,1,0
slavery,0,0,0,0,0,1,0,0,0
understand,0,0,0,0,0,0,0,4,0
talk,0,0,0,0,0,1,0,3,0
sorceress,0,0,0,0,0,1,0,0,0
say,0,0,0,0,0,0,0,250,0
mistake,0,0,0,0,0,1,0,0,0
point,0,0,0,0,0,0,0,3,0
scream,0,0,0,0,0,0,0,4,0
corner,0,0,0,0,0,4,0,0,0
foot,0,0,0,0,0,10,0,0,0
stick,0,0,0,0,0,1,0,3,0
silver,16,0,0,0,0,0,0,0,0
shoe,0,0,0,0,0,24,0,0,0
toe,0,0,0,0,0,1,0,0,0
dear,0,0,0,0,0,1,0,0,0
make,0,0,0,0,0,0,0,5,0
slave,0,0,0,0,0,4,0,0,0
night,0,0,0,0,0,9,0,0,0
ask,0,0,0,0,0,0,0,88,0
friend,0,0,0,0,0,29,0,0,0
real,3,0,0,0,0,0,0,0,0
witch,0,0,0,0,0,16,0,0,0
yes,0,0,0,0,10,0,0,0,0
good,32,0,0,0,9,0,0,0,0
explain,0,0,0,0,0,0,0,7,0
one,0,0,0,0,0,1,0,0,0
wicked,6,0,0,0,0,0,0,0,0
evil,1,0,0,0,0,0,0,0,0
dead,9,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,27,0
moment,0,0,0,0,0,3,0,0,0
know,0,0,0,0,0,0,0,37,0
civilized,2,0,0,0,0,0,0,0,0
reply,0,0,0,0,0,0,0,1,0
cut,0,0,0,0,0,0,0,8,0
rest,0,0,0,0,0,2,0,6,0
world,0,0,0,0,0,7,0,0,0
wizard,0,0,0,0,0,8,0,0,0
powerful,8,0,0,0,0,0,0,0,0
disappear,0,0,0,0,0,0,0,2,0
leave,0,0,0,0,0,2,0,23,0
end,0,0,0,0,0,7,0,2,0
shall,0,0,0,2,0,0,0,0,0
dust,0,0,0,0,0,1,0,1,0
give,0,0,0,0,0,0,0,12,0
charm,0,0,0,0,0,4,0,0,0
tell,0,0,0,0,0,0,0,54,0
want,0,0,0,0,0,0,0,26,0
aunt,0,0,0,0,0,1,0,0,0
uncle,0,0,0,0,0,1,0,0,0
help,0,0,0,0,0,7,0,18,0
find,0,0,0,0,0,0,0,39,0
desert,0,0,0,0,0,10,0,0,0
afraid,16,0,0,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,13,0
tear,0,0,0,0,0,6,0,2,0
upset,0,0,0,0,0,0,0,1,0
kind,6,0,0,0,0,2,0,0,0
cap,0,0,0,0,0,3,0,0,0
balance,0,0,0,0,0,0,0,1,0
nose,0,0,0,0,0,4,0,0,0
count,0,0,0,0,0,0,0,1,0
change,0,0,0,0,0,0,0,2,0
board,0,0,0,0,0,1,0,0,0
write,0,0,0,0,0,0,0,1,0
