word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,VERB,X
caption,0,0,0,0,0,0,52,0,0,3
black,51,0,0,0,0,0,15,0,0,0
tailed,86,0,0,0,0,0,0,0,0,0
prairie,2,0,0,0,0,0,27,0,0,0
dog,0,0,0,0,0,0,24,0,0,0
sit,0,0,0,0,0,0,0,0,7,0
spell,0,0,0,0,0,0,2,0,2,0
sociable,1,0,0,0,0,0,0,0,0,0
member,0,0,0,0,0,0,63,0,0,0
squirrel,0,0,0,0,0,0,121,0,0,0
family,0,0,0,0,0,0,247,0,0,0
approach,0,0,0,0,0,0,5,0,4,0
predator,0,0,0,0,0,0,23,0,0,0
warn,0,0,0,0,0,0,0,0,3,0
group,0,0,0,0,0,0,101,0,7,0
chirp,0,0,0,0,0,0,1,0,0,0
like,9,28,0,0,0,0,1,0,0,0
bark,0,0,0,0,0,0,23,0,0,0
rodent,1,0,0,0,0,0,187,0,0,0
bat,0,0,0,0,0,0,536,0,0,0
familiar,3,0,0,0,0,0,0,0,0,0
good,14,0,0,0,0,0,0,0,0,0
reason,0,0,0,0,0,0,2,0,0,0
third,0,0,0,0,0,0,2,0,0,0
mammal,0,0,0,0,0,0,58,0,0,0
specie,0,0,0,0,0,0,461,0,0,0
planet,0,0,0,0,0,0,4,0,0,0
look,0,0,0,0,0,0,0,0,5,0
closely,0,0,23,0,0,0,0,0,0,0
enormous,1,0,0,0,0,0,0,0,0,0
diversity,0,0,0,0,0,0,7,0,0,0
shape,0,0,0,0,0,0,6,0,6,0
size,0,0,0,0,0,0,58,0,0,0
order,0,0,0,0,0,0,78,0,0,0
develop,0,0,0,0,0,0,0,0,20,0
consider,0,0,0,0,0,0,0,0,24,0
range,0,0,0,0,0,0,59,0,94,0
habitat,0,0,0,0,0,0,89,0,0,0
survive,0,0,0,0,0,0,0,0,14,0
clear,6,0,1,0,0,0,0,0,1,0
ubiquity,0,0,0,0,0,0,1,0,0,0
result,0,0,0,0,0,0,9,0,13,0
adaptability,0,0,0,0,0,0,2,0,0,0
resiliency,0,0,0,0,0,0,1,0,0,0
inherent,1,0,0,0,0,0,0,0,0,0
genetic,7,0,0,0,0,0,1,0,0,0
makeup,0,0,0,0,0,0,1,0,0,0
frankly,0,0,1,0,0,0,0,0,0,0
incredible,2,0,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,13,0,0,0
xenarthran,1,0,0,0,0,0,18,0,0,0
armadillo,0,0,0,0,0,0,59,0,0,0
sloth,0,0,0,0,0,0,93,0,0,0
anteater,0,0,0,0,0,0,57,0,0,0
diverse,15,0,0,0,0,0,0,0,0,0
widespread,12,0,0,0,0,0,0,0,0,0
represent,0,0,0,0,0,0,0,0,28,0
know,0,0,0,0,0,0,0,0,81,0
narrowly,0,0,1,0,0,0,0,0,0,0
specialized,17,0,0,0,0,0,0,0,0,0
traditional,1,0,0,0,0,0,0,0,0,0
adaptive,2,0,0,0,0,0,0,0,0,0
consequently,0,0,1,0,0,0,0,0,0,0
rare,9,0,0,0,0,0,0,0,0,0
danger,0,0,0,0,0,0,4,0,0,0
extinction,0,0,0,0,0,0,6,0,0,0
outstanding,1,0,0,0,0,0,0,0,0,0
exception,0,0,0,0,0,0,8,0,0,0
plucky,1,0,0,0,0,0,0,0,0,0
banded,15,0,0,0,0,0,0,0,0,0
stretch,0,0,0,0,0,0,0,0,6,0
southern,88,0,0,0,0,0,0,0,0,0
book,0,0,0,0,0,0,3,0,0,0
examine,0,0,0,0,0,0,0,0,1,0
far,1,0,12,0,0,0,0,0,0,0
great,28,0,0,0,0,0,0,0,0,0
form,0,0,0,0,0,0,26,0,29,0
behaviour,0,0,0,0,0,0,10,0,0,0
fascinating,1,0,0,0,0,0,0,0,0,0
different,42,0,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,0,94,0,0,0
mammalian,13,0,0,0,0,0,0,0,0,0
number,0,0,0,0,0,0,17,0,8,0
fully,0,0,5,0,0,0,0,0,0,0
percent,0,0,0,0,0,0,6,0,0,0
variety,0,0,0,0,0,0,33,0,0,0
astounding,1,0,0,0,0,0,0,0,0,0
native,45,0,0,0,0,0,0,0,0,0
land,0,0,0,0,0,0,12,0,4,0
area,0,0,0,0,0,0,50,0,0,0
earth,0,0,0,0,0,0,5,0,0,0
oceanic,4,0,0,0,0,0,0,0,0,0
island,0,0,0,0,0,0,35,0,0,0
subsequently,0,0,3,0,0,0,0,0,0,0
reach,0,0,0,0,0,0,0,0,13,0
hitch,0,0,0,0,0,0,0,0,1,0
ride,0,0,0,0,0,0,1,0,1,0
human,20,0,0,0,0,0,37,0,0,0
certain,17,0,0,0,0,0,0,0,0,0
feature,0,0,0,0,0,0,15,0,0,0
common,46,0,0,0,0,0,0,0,0,0
chisel,0,0,0,0,0,0,6,0,0,0
incisor,1,0,0,0,0,0,24,0,0,0
tooth,0,0,0,0,0,0,33,0,0,0
sharp,24,0,0,0,0,0,0,0,0,0
claw,0,0,0,0,0,0,69,0,1,0
dig,0,0,0,0,0,0,0,0,33,0
climb,0,0,0,0,0,0,0,0,22,0
vary,0,0,0,0,0,0,0,0,42,0
widely,0,0,18,0,0,0,0,0,0,0
instance,0,0,0,0,0,0,3,0,0,0
swamp,0,0,0,0,0,0,9,0,0,0
mouse,0,0,0,0,0,0,295,0,0,0
small,195,0,0,0,0,0,0,0,0,0
measure,0,0,0,0,0,0,1,0,26,0
inch,0,0,0,0,0,0,242,0,0,0
long,313,0,12,0,0,0,0,0,0,0
capybara,0,0,0,0,0,0,10,0,0,0
large,227,0,0,0,0,0,0,0,0,0
live,0,0,0,0,0,0,0,0,223,0
today,0,0,0,0,0,0,7,0,0,0
grow,0,0,0,0,0,0,0,0,17,0
foot,0,0,0,0,0,0,135,0,0,0
tall,10,0,0,0,0,0,0,0,0,0
shoulder,0,0,0,0,0,0,11,0,0,0
metre,0,0,0,0,0,0,50,0,0,0
adaptable,4,0,0,0,0,0,0,0,0,0
nocturnal,64,0,0,0,0,0,0,0,0,0
diurnal,14,0,0,0,0,0,0,0,0,0
active,61,0,0,0,0,0,0,0,0,0
day,0,0,0,0,0,0,91,0,0,0
night,0,0,0,0,0,0,50,0,0,0
swim,0,0,0,0,0,0,0,0,18,0
burrow,0,0,0,0,0,0,125,0,17,0
soar,0,0,0,0,0,0,0,0,1,0
jump,0,0,0,0,0,0,0,0,17,0
create,0,0,0,0,0,0,0,0,6,0
huge,9,0,0,0,0,0,0,0,0,0
colony,0,0,0,0,0,0,32,0,0,0
cover,0,0,0,0,0,0,6,0,49,0
ten,0,0,0,0,0,0,1,0,0,0
thousand,0,0,0,0,0,0,5,1,0,0
square,3,0,0,0,0,0,0,0,0,0
acre,0,0,0,0,0,0,6,0,0,0
strictly,0,0,4,0,0,0,0,0,0,0
beaver,0,0,0,0,0,0,40,0,0,0
fell,0,0,0,0,0,0,0,0,2,0
tree,0,0,0,0,0,0,166,0,0,0
construct,0,0,0,0,0,0,0,0,33,0
elaborate,12,0,0,0,0,0,0,0,0,0
dam,0,0,0,0,0,0,4,0,0,0
creek,0,0,0,0,0,0,1,0,0,0
canal,0,0,0,0,0,0,4,0,0,0
water,0,0,0,0,0,0,77,0,0,0
source,0,0,0,0,0,0,18,0,0,0
herbivore,0,0,0,0,0,0,1,0,0,0
opportunistic,3,0,0,0,0,0,0,0,0,0
generalist,0,0,0,0,0,0,2,0,0,0
eat,0,0,0,0,0,0,0,0,123,0
convenient,1,0,0,0,0,0,0,0,0,0
time,0,0,0,0,0,0,35,0,1,0
arthropod,0,0,0,0,0,0,8,0,0,0
grasshopper,0,0,0,0,0,0,11,0,0,0
spider,0,0,0,0,0,0,6,0,0,0
ant,0,0,0,0,0,0,16,0,0,0
etc,0,0,0,0,0,0,0,0,0,3
vertebrate,0,0,0,0,0,0,9,0,0,0
bird,0,0,0,0,0,0,20,0,0,0
nestling,0,0,0,0,0,0,3,0,0,0
lizard,0,0,0,0,0,0,4,0,0,0
snake,0,0,0,0,0,0,2,0,0,0
food,0,0,0,0,0,0,97,0,0,0
find,0,0,0,0,0,0,0,0,158,0
gather,0,0,0,0,0,0,0,0,5,0
store,0,0,0,0,0,0,0,0,21,0
pile,0,0,0,0,0,0,13,0,2,0
underground,6,0,5,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,52,0,12,0
basement,0,0,0,0,0,0,1,0,0,0
attic,0,0,0,0,0,0,2,0,0,0
need,0,0,0,1,0,0,1,0,4,0
kangaroo,0,0,0,0,0,0,37,0,0,0
rat,0,0,0,0,0,0,350,0,0,0
efficient,4,0,0,0,0,0,0,0,0,0
obtain,0,0,0,0,0,0,0,0,10,0
home,0,0,0,0,0,0,9,0,0,0
dry,28,0,1,0,0,0,0,0,1,0
desert,0,0,0,0,0,0,43,0,0,0
simply,0,0,3,0,0,0,0,0,0,0
compare,0,0,0,0,0,0,0,0,5,0
life,0,0,0,0,0,0,15,0,0,0
certainly,0,0,3,0,0,0,0,0,0,0
successful,4,0,0,0,0,0,0,0,0,0
appear,0,0,0,0,0,0,0,0,20,0
especially,0,0,32,0,0,0,0,0,0,0
adept,8,0,0,0,0,0,0,0,0,0
adapt,0,0,0,0,0,0,0,0,12,0
environment,0,0,0,0,0,0,17,0,0,0
dawn,0,0,0,0,0,0,3,0,0,0
town,0,0,0,0,0,0,5,0,0,0
city,0,0,0,0,0,0,3,0,0,0
settle,0,0,0,0,0,0,0,0,2,0
move,0,0,0,0,0,0,0,0,17,0
frequently,0,0,4,0,0,0,0,0,0,0
urban,6,0,0,0,0,0,0,0,0,0
living,0,0,0,0,0,0,2,0,0,0
inadvertently,0,0,1,0,0,0,0,0,0,0
provide,0,0,0,0,0,0,0,0,20,0
reliable,3,0,0,0,0,0,0,0,0,0
shelter,0,0,0,0,0,0,16,0,11,0
opportunity,0,0,0,0,0,0,1,0,0,0
ability,0,0,0,0,0,0,10,0,0,0
quickly,0,0,4,0,0,0,0,0,0,0
reproduce,0,0,0,0,0,0,0,0,2,0
couple,0,0,0,0,0,0,0,0,2,0
tenacity,0,0,0,0,0,0,1,0,0,0
face,0,0,0,0,0,0,19,0,2,0
obstacle,0,0,0,0,0,0,10,0,0,0
force,0,0,0,0,0,0,0,0,3,0
view,0,0,0,0,0,0,0,0,2,0
pest,0,0,0,0,0,0,19,0,0,0
capable,9,0,0,0,0,0,0,0,0,0
ruin,0,0,0,0,0,0,0,0,1,0
crop,0,0,0,0,0,0,14,0,0,0
harvest,0,0,0,0,0,0,18,0,2,0
spoil,0,0,0,0,0,0,0,0,1,0
foodstuff,0,0,0,0,0,0,1,0,0,0
gnaw,0,0,0,0,0,0,0,0,9,0
container,0,0,0,0,0,0,1,0,0,0
infest,0,0,0,0,0,0,0,0,1,0
structure,0,0,0,0,0,0,18,0,0,0
fence,0,0,0,0,0,0,1,0,0,0
spread,0,0,0,0,0,0,1,0,5,0
disease,0,0,0,0,0,0,22,0,0,0
suffer,0,0,0,0,0,0,0,0,1,0
disconnect,0,0,0,0,0,0,1,0,0,0
name,0,0,0,0,0,0,1,0,11,0
taxonomic,2,0,0,0,0,0,0,0,0,0
placement,0,0,0,0,0,0,1,0,0,0
commonly,0,0,11,0,0,0,0,0,0,0
call,0,0,0,0,0,0,11,0,55,0
true,29,0,0,0,0,0,0,0,0,0
example,0,0,0,0,0,0,28,0,0,0
birch,0,0,0,0,0,0,12,0,0,0
course,0,0,1,0,0,0,4,0,1,0
ago,0,0,61,0,0,0,0,0,0,0
modern,9,0,0,0,0,0,0,0,0,0
science,0,0,0,0,0,0,1,0,0,0
fly,0,0,0,0,0,0,4,0,44,0
fact,0,0,0,0,0,0,4,0,0,0
language,0,0,0,0,0,0,3,0,0,0
flutter,0,0,0,0,0,0,1,0,2,0
blind,25,0,0,0,0,0,0,0,0,0
speak,0,0,0,0,0,0,0,0,1,0
country,0,0,0,0,0,0,9,0,0,0
connect,0,0,0,0,0,0,0,0,8,0
belong,0,0,0,0,0,0,0,0,63,0
ancient,4,0,0,0,0,0,0,0,0,0
mean,0,0,0,0,0,0,1,0,9,0
wing,0,0,0,0,0,0,40,0,0,0
apt,1,0,0,0,0,0,0,0,0,0
description,0,0,0,0,0,0,2,0,0,0
skeleton,0,0,0,0,0,0,3,0,0,0
