word,ADJ,ADP,ADV,DET,NOUN,NUM,SCONJ,VERB,X
plant,1,0,0,0,36,0,0,0,0
animal,0,0,0,0,36,0,0,0,0
fungus,0,0,0,0,10,0,0,0,0
protozoan,0,0,0,0,9,0,0,0,0
algae,0,0,0,0,11,0,0,0,0
bacteria,0,0,0,0,19,0,0,0,0
virus,0,0,0,0,13,0,0,0,0
inhabit,0,0,0,0,0,0,0,1,0
natural,16,0,0,0,0,0,0,0,0
world,0,0,0,0,12,0,0,0,0
biology,0,0,0,0,27,0,0,0,0
study,0,0,0,0,37,0,0,25,0
live,0,0,0,0,0,0,0,30,0
thing,0,0,0,0,12,0,0,0,0
today,0,0,0,0,9,0,0,0,0
constantly,0,0,2,0,0,0,0,0,0
advance,0,0,0,0,7,0,0,1,0
technology,0,0,0,0,8,0,0,0,0
allow,0,0,0,0,0,0,0,12,0
researcher,0,0,0,0,4,0,0,0,0
investigate,0,0,0,0,0,0,0,6,0
nature,0,0,0,0,8,0,0,0,0
tiny,7,0,0,0,0,0,0,0,0
organism,0,0,0,0,51,0,0,0,0
field,0,0,0,0,15,0,0,0,0
know,0,0,0,0,0,0,0,11,0
microbiology,0,0,0,0,19,0,0,0,0
volume,1,0,0,0,2,0,0,0,0
learn,0,0,0,0,0,0,0,4,0
branch,0,0,0,0,2,0,0,0,0
sheer,1,0,0,0,0,0,0,0,0
scientific,17,0,0,0,0,0,0,0,0
information,0,0,0,0,5,0,0,0,0
available,4,0,0,0,0,0,0,0,0
mind,0,0,0,0,1,0,0,0,0
boggle,0,0,0,0,0,0,0,1,0
area,0,0,0,0,17,0,0,0,0
specialization,0,0,0,0,3,0,0,0,0
scientist,0,0,0,0,23,0,0,0,0
focus,0,0,0,0,0,0,0,7,0
certain,13,0,0,0,0,0,0,0,0
like,2,5,0,0,0,0,0,0,0
zoology,0,0,0,0,3,0,0,0,0
botany,0,0,0,0,4,0,0,0,0
biologist,0,0,0,0,19,0,0,0,0
specific,10,0,0,0,0,0,0,0,0
