word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB
highway,0,0,0,0,0,0,1,0,0,0,0
run,0,0,0,0,0,0,0,0,0,0,21
east,1,0,1,0,0,0,3,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,105
west,0,0,1,0,0,0,0,0,0,0,0
border,0,0,0,0,0,0,9,0,0,0,0
small,25,0,0,0,0,0,0,0,0,0,0
town,0,0,0,0,0,0,53,0,0,0,0
hill,0,0,0,0,0,0,40,0,0,0,0
nearby,0,0,4,0,0,0,0,0,0,0,0
stream,0,0,0,0,0,0,33,0,0,0,1
flow,0,0,0,0,0,0,0,0,0,0,4
past,3,4,3,0,0,0,0,0,0,0,0
pagoda,0,0,0,0,0,0,18,0,0,0,0
foot,0,0,0,0,0,0,18,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,14
solitary,3,0,0,0,0,0,0,0,0,0,0
household,0,0,0,0,0,0,4,0,0,0,0
old,153,0,0,0,0,0,0,0,0,0,0
man,0,0,0,0,0,0,200,0,0,0,0
girl,0,0,0,0,0,0,80,0,0,0,0
dog,0,0,0,0,0,0,13,0,0,0,0
wind,0,0,0,0,0,0,5,0,0,0,1
rock,0,0,0,0,0,0,18,0,0,0,0
join,0,0,0,0,0,0,0,0,0,0,3
big,33,0,0,0,0,0,0,0,0,0,0
river,0,0,0,0,0,0,52,0,0,0,0
cross,1,0,0,0,0,0,0,0,0,0,22
water,0,0,0,0,0,0,48,0,0,0,0
channel,0,0,0,0,0,0,2,0,0,0,0
curve,0,0,0,0,0,0,0,0,0,0,1
like,1,47,0,0,0,0,0,0,0,0,20
bow,0,0,0,0,0,0,8,0,0,0,0
path,0,0,0,0,0,0,5,0,0,0,0
string,0,0,0,0,0,0,3,0,0,0,0
slightly,0,0,2,0,0,0,0,0,0,0,0
short,5,0,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,0,12,0,0,0,0
wide,3,0,0,0,0,0,0,0,0,0,0
boulder,0,0,0,0,0,0,3,0,0,0,0
place,0,0,0,0,0,0,17,0,0,0,1
quiet,6,0,0,0,0,0,0,0,0,0,2
deep,4,0,0,0,0,0,0,0,0,0,0
pole,0,0,0,0,0,0,4,0,0,0,0
