word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
little,168,0,4,0,0,0,0,0,0,0,0,0
old,188,0,0,0,0,0,0,0,0,0,0,0
town,0,0,0,0,0,0,6,0,0,0,0,0
charmingly,0,0,1,0,0,0,0,0,0,0,0,0
situate,0,0,0,0,0,0,0,0,0,0,3,0
footpath,0,0,0,0,0,0,3,0,0,0,0,0
lead,0,0,0,0,0,0,0,0,0,0,14,0
green,9,0,0,0,0,0,0,0,0,0,0,0
woode,0,0,0,0,0,0,0,0,0,0,1,0
stretch,0,0,0,0,0,0,1,0,0,0,2,0
foot,0,0,0,0,0,0,17,0,0,0,0,0
height,0,0,0,0,0,0,6,0,0,0,0,0
look,0,0,0,0,0,0,5,0,0,0,184,0
imposingly,0,0,1,0,0,0,0,0,0,0,0,0
valley,0,0,0,0,0,0,14,0,0,0,0,0
begin,0,0,0,0,0,0,0,0,0,0,50,0
steeply,0,0,1,0,0,0,0,0,0,0,0,0
abruptly,0,0,1,0,0,0,0,0,0,0,0,0
heath,0,0,0,0,0,0,1,0,0,0,0,0
short,17,0,0,0,0,0,0,0,0,0,0,0
grass,0,0,0,0,0,0,12,0,0,0,0,0
pungent,2,0,0,0,0,0,0,0,0,0,0,0
herbage,0,0,0,0,0,0,1,0,0,0,0,0
send,0,0,0,0,0,0,0,0,0,0,48,0
soft,14,0,0,0,0,0,0,0,0,0,0,0
perfume,0,0,0,0,0,0,6,0,0,0,0,0
meet,0,0,0,0,0,0,0,0,0,0,12,0
wayfarer,0,0,0,0,0,0,1,0,0,0,0,0
bright,18,0,0,0,0,0,0,0,0,0,0,0
sunny,7,0,0,0,0,0,0,0,0,0,0,0
morning,0,0,0,0,0,0,60,0,0,0,0,0
tall,4,0,0,0,0,0,0,0,0,0,0,0
vigorous,2,0,0,0,0,0,0,0,0,0,0,0
maiden,0,0,0,0,0,0,2,0,0,0,0,0
mountain,0,0,0,0,0,0,59,0,0,0,0,0
region,0,0,0,0,0,0,1,0,0,0,0,0
climb,0,0,0,0,0,0,1,0,0,0,39,0
narrow,5,0,0,0,0,0,0,0,0,0,0,0
path,0,0,0,0,0,0,12,0,0,0,0,0
girl,0,0,0,0,0,0,43,0,0,0,0,0
hand,0,0,0,0,0,0,90,0,0,0,5,0
youngster,0,0,0,0,0,0,1,0,0,0,0,0
cheek,0,0,0,0,0,0,17,0,0,0,0,0
glow,0,0,0,0,0,0,3,0,0,0,9,0
show,0,0,0,0,0,0,0,0,0,0,13,0
sun,0,0,0,0,0,0,33,0,0,0,0,0
brown,5,0,0,0,0,0,0,0,0,0,1,0
skin,0,0,0,0,0,0,1,0,0,0,0,0
small,13,0,0,0,0,0,0,0,0,0,0,0
wonder,0,0,0,0,0,0,6,0,0,0,12,0
spite,0,0,0,0,0,0,2,0,0,0,0,0
heat,0,0,0,0,0,0,2,0,0,0,0,0
scarcely,0,0,2,0,0,0,0,0,0,0,0,0
year,0,0,0,0,0,0,40,0,0,0,0,0
bundle,0,0,0,0,0,0,5,0,0,0,1,0
brave,2,0,0,0,0,0,0,0,0,0,1,0
