word,ADJ,ADP,ADV,AUX,DET,NOUN,NUM,VERB,X
knowledge,0,0,0,0,0,3,0,0,0
ocean,1,0,0,0,0,146,0,0,0
matter,0,0,0,0,0,3,0,0,0
curiosity,0,0,0,0,0,1,0,0,0
tell,0,0,0,0,0,0,0,1,0
survival,0,0,0,0,0,1,0,0,0
hinge,0,0,0,0,0,0,0,1,0
half,1,0,0,0,3,2,0,0,0
century,0,0,0,0,0,6,0,0,0
later,0,0,2,0,0,0,0,0,0
word,0,0,0,0,0,2,0,0,0
ring,0,0,0,0,0,1,0,1,0
true,1,0,0,0,0,0,0,0,0
scientist,0,0,0,0,0,9,0,0,0
understand,0,0,0,0,0,0,0,2,0
play,0,0,0,0,0,0,0,1,0
major,12,0,0,0,0,0,0,0,0
role,0,0,0,0,0,2,0,0,0
life,0,0,0,0,0,18,0,0,0
planet,0,0,0,0,0,4,0,0,0
live,0,0,0,0,0,0,0,22,0
regulate,0,0,0,0,0,0,0,1,0
climate,0,0,0,0,0,6,0,0,0
move,0,0,0,0,0,0,0,8,0
store,0,0,0,0,0,0,0,3,0
heat,0,0,0,0,0,15,0,0,0
integral,1,0,0,0,0,0,0,0,0
make,0,0,0,0,0,0,0,3,0
today,0,0,0,0,0,7,0,0,0
exploration,0,0,0,0,0,6,0,0,0
officially,0,0,1,0,0,0,0,0,0
begin,0,0,0,0,0,0,0,5,0
create,0,0,0,0,0,0,0,2,0
government,0,0,0,0,0,2,0,0,0
agency,0,0,0,0,0,2,0,0,0
call,0,0,0,0,0,0,0,38,0
study,0,0,0,0,0,7,0,8,0
country,0,0,0,0,0,2,0,0,0
coastline,0,0,0,0,0,1,0,0,0
early,5,0,0,0,0,0,0,0,0
concentrate,0,0,0,0,0,0,0,1,0
map,0,0,0,0,0,0,0,1,0
edge,0,0,0,0,0,5,0,0,0
sea,0,0,0,0,0,65,0,0,0
character,0,0,0,0,0,1,0,0,0
seafloor,0,0,0,0,0,11,0,0,0
take,0,0,0,0,0,0,0,7,0
temperature,0,0,0,0,0,18,0,0,0
world,0,0,0,0,0,19,0,0,0
determine,0,0,0,0,0,0,0,5,0
direction,0,0,0,0,0,4,0,0,0
water,0,0,0,0,0,124,0,0,0
current,0,0,0,0,0,14,0,0,0
catalog,0,0,0,0,0,0,0,1,0
form,0,0,0,0,0,9,0,24,0
year,0,0,0,0,0,12,0,0,0
development,0,0,0,0,0,2,0,0,0
new,11,0,0,0,0,0,0,0,0
technology,0,0,0,0,0,1,0,0,0
govern,0,0,0,0,0,0,0,1,0
get,0,0,0,0,0,0,0,2,0
remote,2,0,0,0,0,0,0,0,0
part,0,0,0,0,0,7,0,0,0
difficult,1,0,0,0,0,0,0,0,0
invent,0,0,0,0,0,0,0,1,0
way,0,0,0,0,0,9,0,0,0
reach,0,0,0,0,0,0,0,5,0
place,0,0,0,0,0,9,0,0,0
dredge,0,0,0,0,0,1,0,0,0
