word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
story,0,0,0,0,0,0,15,0,0,0,0,0
happen,0,0,0,0,0,0,0,0,0,0,53,0
long,38,0,37,0,0,0,0,0,0,0,2,0
ago,0,0,13,0,0,0,0,0,0,0,0,0
grandfather,0,0,0,0,0,0,2,0,0,0,0,0
child,0,0,0,0,0,0,72,0,0,0,0,0
important,8,0,0,0,0,0,0,0,0,0,0,0
show,0,0,0,0,0,0,0,0,0,0,11,0
coming,0,0,0,0,0,0,2,0,0,0,0,0
going,0,0,0,0,0,0,3,0,0,0,0,0
world,0,0,0,0,0,0,118,0,0,0,0,0
land,0,0,0,0,0,0,22,0,0,0,2,0
begin,0,0,0,0,0,0,0,0,0,0,52,0
day,0,0,0,0,0,0,37,0,0,0,0,0
live,0,0,0,0,0,0,0,0,0,0,35,0
look,0,0,0,0,0,0,14,0,0,0,173,0
treasure,0,0,0,0,0,0,2,0,0,0,0,0
boy,0,0,0,0,0,0,47,0,0,0,0,0
wear,0,0,0,0,0,0,0,0,0,0,11,0
stiff,4,0,0,0,0,0,0,0,0,0,0,0
collar,0,0,0,0,0,0,2,0,0,0,0,0
school,0,0,0,0,0,0,2,0,0,0,0,0
usually,0,0,4,0,0,0,0,0,0,0,0,0
nasty,5,0,0,0,0,0,0,0,0,0,0,0
meal,0,0,0,0,0,0,6,0,0,0,0,0
nice,20,0,0,0,0,0,0,0,0,0,0,0
sweet,8,0,0,0,0,0,1,0,0,0,0,0
tell,0,0,0,0,0,0,0,0,0,0,48,0
cheap,1,0,0,0,0,0,0,0,0,0,0,0
good,77,0,0,0,0,0,4,0,0,0,0,0
mouth,0,0,0,0,0,0,34,0,0,0,0,0
water,0,0,0,0,0,0,21,0,0,0,2,0
vain,1,0,0,0,0,0,2,0,0,0,0,0
girl,0,0,0,0,0,0,24,0,0,0,0,0
call,0,0,0,0,0,0,1,0,0,0,20,0
row,0,0,0,0,0,0,8,0,0,0,0,0
house,0,0,0,0,0,0,49,0,0,0,0,0
join,0,0,0,0,0,0,0,0,0,0,8,0
morning,0,0,0,0,0,0,9,0,0,0,0,0
garden,0,0,0,0,0,0,15,0,0,0,0,0
scramble,0,0,0,0,0,0,0,0,0,0,5,0
door,0,0,0,0,0,0,34,0,0,0,0,0
face,0,0,0,0,0,0,72,0,0,0,5,0
wall,0,0,0,0,0,0,24,0,0,0,1,0
surprised,7,0,0,0,0,0,0,0,0,0,0,0
till,0,0,0,0,0,0,0,0,0,32,0,0
brother,0,0,0,0,0,0,1,0,0,0,0,0
sister,0,0,0,0,0,0,6,0,0,0,0,0
old,77,0,0,0,0,0,0,0,0,0,0,0
bachelor,0,0,0,0,0,0,1,0,0,0,0,0
maid,0,0,0,0,0,0,2,0,0,0,0,0
curiosity,0,0,0,0,0,0,3,0,0,0,0,0
strange,11,0,0,0,0,0,0,0,0,0,0,0
grubby,2,0,0,0,0,0,0,0,0,0,0,0
hardly,0,0,17,0,0,0,0,0,0,0,0,0
rub,0,0,0,0,0,0,1,0,0,0,10,0
hand,0,0,0,0,0,0,66,0,0,0,2,0
earth,0,0,0,0,0,0,25,0,0,0,0,0
cry,0,0,0,0,0,0,1,0,0,0,12,0
dry,10,0,0,0,0,0,0,0,0,0,3,0
matter,0,0,0,0,0,0,7,0,0,0,2,0
fact,0,0,0,0,0,0,6,0,0,0,0,0
nearly,0,0,13,0,0,0,0,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,556,0
funny,5,0,0,0,0,0,0,0,0,0,0,0
half,5,0,4,0,1,0,0,0,0,0,0,0
yes,0,0,0,0,0,30,0,0,0,0,0,0
rate,0,0,0,0,0,0,7,0,0,0,0,0
wash,0,0,0,0,0,0,1,0,0,0,4,0
need,0,0,0,12,0,0,1,0,0,0,14,0
especially,0,0,5,0,0,0,0,0,0,0,0,0
stop,0,0,0,0,0,0,0,0,0,0,15,0
go,0,0,0,0,0,0,0,0,0,0,117,0
blub,0,0,0,0,0,0,0,0,0,0,2,0
think,0,0,0,0,0,0,0,0,0,0,163,0
polite,2,0,0,0,0,0,0,0,0,0,0,0
right,22,0,10,0,0,1,5,0,0,0,0,0
loud,13,0,4,0,0,0,0,0,0,0,0,0
voice,0,0,0,0,0,0,73,0,0,0,0,0
like,3,127,0,0,0,0,1,0,0,0,40,0
miserable,4,0,0,0,0,0,0,0,0,0,0,0
care,0,0,0,0,0,0,3,0,0,0,8,0
