word,ADJ,ADP,ADV,NOUN,NUM,SCONJ,VERB,X
seafaring,1,0,0,0,0,0,0,0
warrior,0,0,0,28,0,0,0,0
raid,0,0,0,14,0,0,8,0
colonize,0,0,0,0,0,0,1,0
wide,1,0,0,0,0,0,0,0
area,0,0,0,3,0,0,0,0
ninth,2,0,0,0,0,0,0,0
eleventh,3,0,0,0,0,0,0,0
century,0,0,0,16,0,0,0,0
burn,0,0,0,0,0,0,2,0
plunder,0,0,0,3,0,0,3,0
kill,0,0,0,0,0,0,3,0
go,0,0,0,0,0,0,4,0
marauder,0,0,0,2,0,0,0,0
come,0,0,0,0,0,0,7,0
landowne,0,0,0,0,0,0,1,0
chieftain,0,0,0,10,0,0,0,0
clan,0,0,0,6,0,0,0,0
head,0,0,0,1,0,0,0,0
follower,0,0,0,3,0,0,0,0
freeman,0,0,0,3,0,0,0,0
energetic,1,0,0,0,0,0,0,0
young,3,0,0,0,0,0,0,0
member,0,0,0,4,0,0,0,0
seek,0,0,0,0,0,0,2,0
adventure,0,0,0,2,0,0,0,0
booty,0,0,0,1,0,0,0,0
overseas,2,0,1,0,0,0,0,0
time,0,0,0,15,0,0,0,0
raider,0,0,0,3,0,0,0,0
pillager,0,0,0,1,0,0,0,0
spend,0,0,0,0,0,0,1,0
year,0,0,0,2,0,0,0,0
farm,0,0,0,1,0,0,1,0
fish,0,0,0,1,0,0,1,0
home,0,0,1,3,0,0,0,0
unify,0,0,0,0,0,0,2,0
group,0,0,0,4,0,0,0,0
trait,0,0,0,1,0,0,0,0
rich,0,0,0,3,0,0,0,0
outside,0,1,0,0,0,0,0,0
homeland,0,0,0,2,0,0,0,0
share,0,0,0,0,0,0,1,0
people,0,0,0,21,0,0,0,0
dwell,0,0,0,0,0,0,1,0
exact,1,0,0,0,0,0,0,0
ethnic,1,0,0,0,0,0,0,0
composition,0,0,0,1,0,0,0,0
army,0,0,0,13,0,0,0,0
unknown,1,0,0,0,0,0,0,0
particular,2,0,0,0,0,0,0,0
case,0,0,0,1,0,0,0,0
expansion,0,0,0,3,0,0,0,0
baltic,1,0,0,0,0,0,0,0
land,0,0,0,7,0,0,0,0
probably,0,0,5,0,0,0,0,0
attribute,0,0,0,1,0,0,1,0
nonmilitary,1,0,0,0,0,0,0,0
colonization,0,0,0,1,0,0,0,0
clearly,0,0,1,0,0,0,0,0
accomplish,0,0,0,0,0,0,2,0
disruptive,1,0,0,0,0,0,0,0
influence,0,0,0,2,0,0,0,0
profoundly,0,0,1,0,0,0,0,0
affect,0,0,0,0,0,0,1,0
european,3,0,0,0,0,0,0,0
history,0,0,0,3,0,0,0,0
give,0,0,0,0,0,0,8,0
era,0,0,0,1,0,0,0,0
date,0,0,0,0,0,0,3,0
scandinavian,6,0,0,0,0,0,0,0
country,0,0,0,3,0,0,0,0
possess,0,0,0,0,0,0,1,0
practically,0,0,3,0,0,0,0,0
inexhaustible,1,0,0,0,0,0,0,0
surplus,0,0,0,1,0,0,0,0
manpower,0,0,0,1,0,0,0,0
leader,0,0,0,1,0,0,0,0
ability,0,0,0,1,0,0,0,0
organize,0,0,0,0,0,0,3,0
conquer,0,0,0,0,0,0,5,0
band,0,0,0,3,0,0,0,0
seldom,0,0,1,0,0,0,0,0
lack,0,0,0,0,0,0,2,0
negotiate,0,0,0,0,0,0,1,0
sea,0,0,0,5,0,0,0,0
longship,0,0,0,6,0,0,0,0
mount,0,0,0,0,0,0,1,0
hit,0,0,0,0,0,0,1,0
run,0,0,0,0,0,0,2,0
city,0,0,0,5,0,0,0,0
town,0,0,0,4,0,0,0,0
coast,0,0,0,4,0,0,0,0
burning,0,0,0,1,0,0,0,0
plundering,0,0,0,1,0,0,0,0
killing,0,0,0,1,0,0,0,0
earn,0,0,0,0,0,0,1,0
vikingr,0,0,0,0,0,0,0,1
mean,0,0,0,0,0,0,4,0
pirate,0,0,0,1,0,0,0,0
early,7,0,0,0,0,0,0,0
language,0,0,0,2,0,0,0,0
expression,0,0,0,1,0,0,0,0
campaign,0,0,0,1,0,0,0,0
swift,1,0,0,0,0,0,0,0
cruel,1,0,0,0,0,0,0,0
attack,0,0,0,2,0,0,3,0
viking,2,0,0,2,0,0,0,0
tenth,5,0,0,0,0,0,0,0
illustration,0,0,0,5,0,0,0,0
depict,0,0,0,0,0,0,3,0
leave,0,0,0,0,0,0,7,0
ship,0,0,0,13,0,0,0,0
explore,0,0,0,0,0,0,1,0
fortune,0,0,0,1,0,0,0,0
image,0,0,0,2,0,0,0,0
create,0,0,0,0,0,0,4,0
vellum,0,0,0,1,0,0,0,0
