word,ADJ,ADP,ADV,CCONJ,DET,NOUN,NUM,PUNCT,SCONJ,VERB,X
introduction,0,0,0,0,0,2,0,0,0,0,0
chapter,0,0,0,0,0,7,0,0,0,0,0
ice,0,0,0,0,0,1282,0,1,0,1,0
planet,0,0,0,0,0,1,0,0,0,0,0
water,0,0,0,0,0,345,0,0,0,0,0
molecule,0,0,0,0,0,20,0,0,0,0,0
crystal,0,0,0,0,0,59,0,0,0,0,0
hoarfrost,0,0,0,0,0,11,0,0,0,0,0
rime,1,0,0,0,0,10,0,0,0,0,0
mechanical,6,0,0,0,0,0,0,0,0,0,0
property,0,0,0,0,0,14,0,0,0,0,0
thermal,33,0,0,0,0,0,0,0,0,0,0
optical,2,0,0,0,0,0,0,0,0,0,0
electromagnetic,3,0,0,0,0,0,0,0,0,0,0
age,0,0,0,0,0,17,0,0,0,0,0
permafrost,11,0,0,0,0,187,0,0,0,0,0
origin,0,0,0,0,0,25,0,0,0,0,0
stability,0,0,0,0,0,7,0,0,0,0,0
temperature,0,0,0,0,0,242,0,0,0,0,0
ground,0,0,0,0,0,98,0,0,0,9,0
climatic,25,0,0,0,0,0,0,0,0,0,0
change,0,0,0,0,0,67,0,0,0,20,0
distribution,0,0,0,0,0,19,0,0,0,0,0
northern,68,0,0,0,0,0,0,0,0,0,0
hemisphere,0,0,0,0,0,3,0,0,0,0,0
local,16,0,0,0,0,0,0,0,0,0,0
thickness,0,0,0,0,0,56,0,0,0,0,0
effect,0,0,0,0,0,42,0,0,0,0,0
climate,0,0,0,0,0,96,0,0,0,0,0
body,0,0,0,0,0,19,0,0,0,0,0
solar,29,0,0,0,0,0,0,0,0,0,0
radiation,0,0,0,0,0,43,0,0,0,0,0
vegetation,0,0,0,0,0,17,0,0,0,0,0
snow,0,0,0,0,0,138,0,0,0,0,0
cover,0,0,0,0,0,71,0,0,0,55,0
type,0,0,0,0,0,46,0,0,0,0,0
wedge,0,0,0,0,0,53,0,0,0,3,0
active,28,0,0,0,0,0,0,0,0,0,0
inactive,6,0,0,0,0,0,0,0,0,0,0
cast,0,0,0,0,0,4,0,0,0,0,0
surface,2,0,0,0,0,233,0,0,0,0,0
manifestation,0,0,0,0,0,3,0,0,0,0,0
seasonally,0,0,8,0,0,0,0,0,0,0,0
freeze,0,0,0,0,0,8,0,0,0,77,0
polygonal,10,0,0,0,0,0,0,0,0,0,0
thermokarst,0,0,0,0,0,4,0,0,0,0,0
formation,0,0,0,0,0,40,0,0,0,0,0
pattern,0,0,0,0,0,35,0,0,0,3,0
soil,0,0,0,0,0,28,0,0,0,0,0
flow,0,0,0,0,0,104,0,0,0,64,0
study,0,0,0,0,0,26,0,0,0,9,0
problem,0,0,0,0,0,12,0,0,0,0,0
pose,0,0,0,0,0,0,0,0,0,4,0
engineering,0,0,0,0,0,7,0,0,0,0,0
development,0,0,0,0,0,13,0,0,0,0,0
area,0,0,0,0,0,189,0,0,0,0,0
river,0,0,0,0,0,67,0,0,0,0,0
seasonal,16,0,0,0,0,0,0,0,0,0,0
cycle,0,0,0,0,0,7,0,0,0,0,0
lake,0,0,0,0,0,113,0,0,0,0,0
nucleation,0,0,0,0,0,6,0,0,0,0,0
wind,0,0,0,0,0,63,0,0,0,2,0
mixing,0,0,0,0,0,10,0,0,0,0,0
rate,0,0,0,0,0,68,0,0,0,0,0
growth,0,0,0,0,0,20,0,0,0,0,0
variation,0,0,0,0,0,23,0,0,0,0,0
structure,0,0,0,0,0,53,0,0,0,0,0
decay,0,0,0,0,0,7,0,0,0,5,0
thinning,0,0,0,0,0,10,0,0,0,0,0
rotting,0,0,0,0,0,4,0,0,0,0,0
melting,0,0,0,0,0,76,0,0,0,0,0
geographic,6,0,0,0,0,0,0,0,0,0,0
accumulate,0,0,0,0,0,0,0,0,0,12,0
fix,0,0,0,0,0,0,0,0,0,5,0
buildup,0,0,0,0,0,4,0,0,0,0,0
jam,0,0,0,0,0,12,0,0,0,1,0
modification,0,0,0,0,0,2,0,0,0,0,0
glacier,0,0,1,0,0,486,0,0,0,0,0
sheet,0,0,0,0,0,140,0,0,0,0,0
characteristic,11,0,0,0,0,12,0,0,0,0,0
mass,0,0,0,0,0,73,0,0,0,0,0
balance,0,0,0,0,0,41,0,0,0,2,0
heat,0,0,0,0,0,73,0,0,0,2,0
energy,0,0,0,0,0,29,0,0,0,0,0
glaci,13,0,0,0,0,0,0,0,0,0,0
mountain,0,0,0,0,0,82,0,0,0,0,0
small,112,0,0,0,0,0,0,0,0,0,0
masse,0,0,0,0,0,33,0,0,0,0,0
classification,0,0,0,0,0,3,0,0,0,0,0
feature,0,0,0,0,0,45,0,0,0,1,0
hydrology,0,0,0,0,0,1,0,0,0,0,0
flood,0,0,0,0,0,7,0,0,0,2,0
surge,0,0,0,0,0,4,0,0,0,7,0
accumulation,0,0,0,0,0,58,0,0,0,0,0
