word,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,VERB,X
introduction,0,0,0,0,0,0,2,0,0,0
book,0,0,0,0,0,0,18,0,0,0
cover,0,0,0,0,0,0,0,0,3,0
broad,2,0,0,0,0,0,0,0,0,0
collection,0,0,0,0,0,0,2,0,0,0
principle,0,0,0,0,0,0,14,0,0,0
geometry,0,0,0,0,0,0,53,0,0,0
trigonometry,0,0,0,0,0,0,20,0,0,0
inside,1,4,0,0,0,0,0,0,0,0
nice,2,0,0,0,0,0,0,0,0,0
compact,1,0,0,0,0,0,0,0,0,0
format,0,0,0,0,0,0,1,0,0,0
middle,1,0,0,0,0,0,1,0,0,0
school,0,0,0,0,0,0,6,0,0,0
early,4,0,0,0,0,0,0,0,0,0
high,2,0,0,0,0,0,0,0,0,0
student,0,0,0,0,0,0,8,0,0,0
colorful,2,0,0,0,0,0,0,0,0,0
diagram,0,0,0,0,0,0,26,0,0,0
bring,0,0,0,0,0,0,0,0,3,0
life,0,0,0,0,0,0,4,0,0,0
topic,0,0,0,0,0,0,4,0,0,0
enrich,0,0,0,0,0,0,0,0,1,0
reference,0,0,0,0,0,0,1,0,0,0
famous,2,0,0,0,0,0,0,0,0,0
mathematician,0,0,0,0,0,0,18,0,0,0
discover,0,0,0,0,0,0,0,0,11,0
snapshot,0,0,0,0,0,0,1,0,0,0
work,0,0,0,0,0,0,16,0,3,0
real,1,0,0,0,0,0,0,0,0,0
world,0,0,0,0,0,0,9,0,0,0
seldom,0,0,1,0,0,0,0,0,0,0
math,0,0,0,0,0,0,10,0,0,0
story,0,0,0,0,0,0,3,0,0,0
comprehensible,1,0,0,0,0,0,0,0,0,0
way,0,0,0,0,0,0,9,0,0,0
find,0,0,0,0,0,0,0,0,15,0
wonderful,3,0,0,0,0,0,0,0,0,0
resource,0,0,0,0,0,0,1,0,0,0
consult,0,0,0,0,0,0,0,0,1,0
quick,1,0,0,0,0,0,0,0,0,0
help,0,0,0,0,0,0,1,0,4,0
location,0,0,0,0,0,0,1,0,0,0
idea,0,0,0,0,0,0,6,0,0,0
arise,0,0,0,0,0,0,0,0,1,0
year,0,0,0,0,0,0,13,0,0,0
later,0,0,2,0,0,0,0,0,0,0
formal,2,0,0,0,0,0,0,0,0,0
study,0,0,0,0,0,0,6,0,7,0
course,0,0,2,0,0,0,3,0,0,0
discovery,0,0,0,0,0,0,12,0,0,0
fascinating,3,0,0,0,0,0,0,0,0,0
lead,0,0,0,0,0,0,0,0,4,0
useful,2,0,0,0,0,0,0,0,0,0
invention,0,0,0,0,0,0,3,0,0,0
see,0,0,0,0,0,0,0,0,7,0
people,0,0,0,0,0,0,10,0,0,0
place,0,0,0,0,0,0,5,0,0,0
instance,0,0,0,0,0,0,3,0,0,0
basic,7,0,0,0,0,0,3,0,0,0
geometric,9,0,0,0,0,0,0,0,0,0
shape,0,0,0,0,0,0,20,0,1,0
stop,0,0,0,0,0,0,0,0,1,0
excruciating,1,0,0,0,0,0,0,0,0,0
pain,0,0,0,0,0,0,3,0,0,0
disease,0,0,0,0,0,0,1,0,0,0
mind,0,0,0,0,0,0,2,0,0,0
begin,0,0,0,0,0,0,0,0,9,0
organize,0,0,0,0,0,0,0,0,2,0
simple,6,0,0,0,0,0,0,0,0,0
figure,0,0,0,0,0,0,23,0,0,0
point,0,0,0,0,0,0,34,0,1,0
line,0,0,0,0,0,0,53,0,0,0
curve,0,0,0,0,0,0,13,0,0,0
take,0,0,0,0,0,0,0,0,6,0
prove,0,0,0,0,0,0,0,0,8,0
certain,7,0,0,0,0,0,0,0,0,0
property,0,0,0,0,0,0,8,0,0,0
quality,0,0,0,0,0,0,2,0,0,0
today,0,0,0,0,0,0,5,0,0,0
feel,0,0,0,0,0,0,0,0,1,0
well,0,0,3,0,0,0,0,0,0,0
individual,0,0,0,0,0,0,3,0,0,0
happen,0,0,0,0,0,0,0,0,2,0
double,1,0,0,0,0,0,0,0,1,0
call,0,0,0,0,0,0,0,0,22,0
kidney,0,0,0,0,0,0,5,0,0,0
stone,0,0,0,0,0,0,4,0,0,0
particular,3,0,0,0,0,0,0,0,0,0
geometrical,1,0,0,0,0,0,0,0,0,0
require,0,0,0,0,0,0,0,0,3,0
medical,2,0,0,0,0,0,0,0,0,0
healing,0,0,0,0,0,0,1,0,0,0
case,0,0,0,0,0,0,4,0,0,0
ellipse,0,0,0,0,0,0,9,0,0,0
feature,0,0,0,0,0,0,0,0,1,0
dimensional,6,0,0,0,0,0,0,0,0,0
relative,2,0,0,0,0,0,1,0,0,0
egg,0,0,0,0,0,0,2,0,0,0
ellipsoid,0,0,0,0,0,0,4,0,0,0
focus,0,0,0,0,0,0,11,0,0,0
near,0,3,0,0,0,0,0,0,0,0
end,0,0,0,0,0,0,8,0,0,0
appear,0,0,0,0,0,0,0,0,6,0
scientist,0,0,0,0,0,0,3,0,0,0
shoot,0,0,0,0,0,0,0,0,1,0
sonar,1,0,0,0,0,0,0,0,0,0
wave,0,0,0,0,0,0,7,0,0,0
make,0,0,0,0,0,0,0,0,5,0
sound,0,0,0,0,0,0,6,0,0,0
bounce,0,0,0,0,0,0,0,0,1,0
wall,0,0,0,0,0,0,2,0,0,0
strike,0,0,0,0,0,0,0,0,1,0
like,1,12,0,0,0,0,0,0,0,0
gentle,2,0,0,0,0,0,0,0,0,0
hammer,0,0,0,0,0,0,1,0,0,0
lithotripsy,0,0,0,0,0,0,1,0,0,0
lithotripter,0,0,0,0,0,0,2,0,0,0
use,0,0,0,0,0,0,4,0,8,0
send,0,0,0,0,0,0,0,0,1,0
shatter,0,0,0,0,0,0,0,0,2,0
patient,0,0,0,0,0,0,4,0,0,0
gallstone,0,0,0,0,0,0,1,0,0,0
miniscule,1,0,0,0,0,0,0,0,0,0
piece,0,0,0,0,0,0,1,0,0,0
doctor,0,0,0,0,0,0,1,0,0,0
special,10,0,0,0,0,0,0,0,0,0
instrument,0,0,0,0,0,0,3,0,0,0
machine,0,0,0,0,0,0,3,0,0,0
break,0,0,0,0,0,0,0,0,5,0
surgery,0,0,0,0,0,0,2,0,0,0
need,0,0,0,1,0,0,0,0,2,0
fast,1,0,0,0,0,0,0,0,0,0
recovery,0,0,0,0,0,0,1,0,0,0
painlessly,0,0,1,0,0,0,0,0,0,0
harm,0,0,0,0,0,0,1,0,0,0
day,0,0,0,0,0,0,6,0,0,0
reader,0,0,0,0,0,0,5,0,0,0
enter,0,0,0,0,0,0,0,0,2,0
page,0,0,0,0,0,0,16,0,0,0
pay,0,0,0,0,0,0,0,0,1,0
ask,0,0,0,0,0,0,0,0,3,0
great,10,0,0,0,0,0,0,0,0,0
save,0,0,0,0,0,0,0,0,1,0
ease,0,0,0,0,0,0,0,0,1,0
create,0,0,0,0,0,0,0,0,3,0
new,7,0,0,0,0,0,0,0,0,0
problem,0,0,0,0,0,0,2,0,0,0
solve,0,0,0,0,0,0,0,0,1,0
unfold,0,0,0,0,0,0,0,0,1,0
strangely,0,0,1,0,0,0,0,0,0,0
bit,0,0,0,0,0,0,1,0,0,0
aware,1,0,0,0,0,0,0,0,0,0
embed,0,0,0,0,0,0,0,0,1,0
software,0,0,0,0,0,0,2,0,0,0
computer,0,0,0,0,0,0,10,0,0,0
play,0,0,0,0,0,0,0,0,1,0
game,0,0,0,0,0,0,1,0,0,0
car,0,0,0,0,0,0,2,0,0,0
spin,0,0,0,0,0,0,0,0,1,0
miss,0,0,0,0,0,0,0,0,1,0
trouble,0,0,0,0,0,0,1,0,0,0
road,0,0,0,0,0,0,2,0,0,0
joystick,0,0,0,0,0,0,1,0,0,0
tell,0,0,0,0,0,0,0,0,3,0
formula,0,0,0,0,0,0,2,0,0,0
player,0,0,0,0,0,0,1,0,0,0
want,0,0,0,0,0,0,0,0,1,0
come,0,0,0,0,0,0,0,0,6,0
alive,1,0,0,0,0,0,0,0,0,0
encounter,0,0,0,0,0,0,0,0,1,0
fondly,0,0,1,0,0,0,0,0,0,0
trig,0,0,0,0,0,0,1,0,0,0
finally,0,0,1,0,0,0,0,0,0,0
information,0,0,0,0,0,0,1,0,0,0
apply,0,0,0,0,0,0,0,0,6,0
change,0,0,0,0,0,0,0,0,6,0
live,0,0,0,0,0,0,0,0,3,0
chapter,0,0,0,0,0,0,7,0,0,0
ancient,4,0,0,0,0,0,0,0,0,0
branch,0,0,0,0,0,0,6,0,0,0
mathematic,0,0,0,0,0,0,13,0,0,0
know,0,0,0,0,0,0,0,0,17,0
deal,0,0,0,0,0,0,0,0,4,0
surface,0,0,0,0,0,0,10,0,0,0
solid,6,0,0,0,0,0,4,0,0,0
relationship,0,0,0,0,0,0,2,0,0,0
think,0,0,0,0,0,0,0,0,4,0
offer,0,0,0,0,0,0,0,0,2,0
precise,1,0,0,0,0,0,0,0,0,0
definition,0,0,0,0,0,0,4,0,0,0
different,13,0,0,0,0,0,0,0,0,0
construction,0,0,0,0,0,0,2,0,0,0
method,0,0,0,0,0,0,4,0,0,0
draw,0,0,0,0,0,0,0,0,8,0
wealth,0,0,0,0,0,0,1,0,0,0
fact,0,0,0,0,0,0,11,0,0,0
important,7,0,0,0,0,0,0,0,0,0
thoroughly,0,0,1,0,0,0,0,0,0,0
bce,0,0,0,0,0,0,8,0,0,0
greek,13,0,0,0,0,0,0,0,0,0
gather,0,0,0,0,0,0,0,0,1,0
time,0,0,0,0,0,0,11,0,0,0
add,0,0,0,0,0,0,0,0,2,0
original,2,0,0,0,0,0,0,0,0,0
arrange,0,0,0,0,0,0,0,0,1,0
proposition,0,0,0,0,0,0,2,0,0,0
collectively,0,0,1,0,0,0,0,0,0,0
element,0,0,0,0,0,0,10,0,0,0
plane,0,0,0,0,0,0,9,0,0,0
algebra,0,0,0,0,0,0,1,0,0,0
advanced,1,0,0,0,0,0,0,0,0,0
arithmetic,0,0,0,0,0,0,2,0,0,0
age,0,0,0,0,0,0,1,0,0,0
rearrange,0,0,0,0,0,0,0,0,1,0
proof,0,0,0,0,0,0,6,0,0,0
present,1,0,0,0,0,0,0,0,3,0
catalog,0,0,0,0,0,0,0,0,1,0
develop,0,0,0,0,0,0,0,0,4,0
orderly,2,0,0,0,0,0,0,0,0,0
start,0,0,0,0,0,0,0,0,3,0
statement,0,0,0,0,0,0,1,0,0,0
common,3,0,0,0,0,0,1,0,0,0
notion,0,0,0,0,0,0,1,0,0,0
postulate,0,0,0,0,0,0,5,0,0,0
perfectly,0,0,2,0,0,0,0,0,0,0
self,0,0,0,0,0,0,5,0,0,0
evident,2,0,0,0,0,0,0,0,0,0
successive,1,0,0,0,0,0,0,0,0,0
theorem,0,0,0,0,0,0,1,0,0,0
previously,0,0,1,0,0,0,0,0,0,0
show,0,0,0,0,0,0,0,0,24,0
mode,0,0,0,0,0,0,1,0,0,0
reasoning,0,0,0,0,0,0,4,0,0,0
axiomatic,2,0,0,0,0,0,0,0,0,0
profoundly,0,0,1,0,0,0,0,0,0,0
influence,0,0,0,0,0,0,0,0,2,0
epistemology,0,0,0,0,0,0,1,0,0,0
nature,0,0,0,0,0,0,2,0,0,0
origin,0,0,0,0,0,0,1,0,0,0
limit,0,0,0,0,0,0,1,0,0,0
human,1,0,0,0,0,0,1,0,0,0
knowledge,0,0,0,0,0,0,2,0,0,0
education,0,0,0,0,0,0,3,0,0,0
recognize,0,0,0,0,0,0,0,0,4,0
benefit,0,0,0,0,0,0,0,0,1,0
teaching,0,0,0,0,0,0,1,0,0,0
follow,0,0,0,0,0,0,0,0,5,0
precisely,0,0,2,0,0,0,0,0,0,0
intend,0,0,0,0,0,0,0,0,1,0
especially,0,0,1,0,0,0,0,0,0,0
concept,0,0,0,0,0,0,1,0,0,0
beneficial,1,0,0,0,0,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,6,0
reason,0,0,0,0,0,0,3,0,3,0
convincingly,0,0,1,0,0,0,0,0,0,0
necessary,2,0,0,0,0,0,0,0,0,0
profession,0,0,0,0,0,0,1,0,0,0
true,6,0,0,0,0,0,0,0,0,0
