word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,PUNCT,SCONJ,VERB,X
rouse,0,0,0,0,0,0,0,0,0,0,0,13,0
painfully,0,0,2,0,0,0,0,0,0,0,0,0,0
ground,0,0,0,0,0,0,23,0,0,0,0,0,0
moment,0,0,0,0,0,0,36,0,0,0,0,0,0
wonder,0,0,0,0,0,0,29,0,0,0,0,26,0
misery,0,0,0,0,0,0,3,0,0,0,0,0,0
despair,0,0,0,0,0,0,10,0,0,0,0,2,0
return,0,0,0,0,0,0,14,0,0,0,0,79,0
deep,35,0,14,0,0,0,4,0,0,0,0,0,0
dark,80,0,0,0,0,0,19,0,0,0,0,0,0
outside,0,9,4,0,0,0,1,0,0,0,0,0,0
gate,0,0,0,0,0,0,72,0,0,0,0,0,0
orc,0,0,0,0,0,0,115,0,0,0,0,0,0
stronghold,0,0,0,0,0,0,12,0,0,0,0,0,0
brazen,2,0,0,0,0,0,0,0,0,0,0,0,0
door,0,0,0,0,0,0,54,0,0,0,0,0,0
shut,0,0,0,0,0,0,0,0,0,0,0,7,0
fall,0,0,0,0,0,0,18,0,0,0,0,129,0
stunned,2,0,0,0,0,0,0,0,0,0,0,0,0
hurl,0,0,0,0,0,0,0,0,0,0,0,2,0
long,136,0,154,0,0,0,0,0,0,0,0,3,0
lie,0,0,0,0,0,0,0,0,0,0,0,106,0
know,0,0,0,0,0,0,0,0,0,0,0,171,0
fire,0,0,0,0,0,0,55,0,0,0,0,0,0
desperate,12,0,0,0,0,0,0,0,0,0,0,0,0
furious,1,0,0,0,0,0,0,0,0,0,0,0,0
shiver,0,0,0,0,0,0,0,0,0,0,0,6,0
cold,27,0,0,0,0,0,2,0,0,0,0,0,0
creep,0,0,0,0,0,0,0,0,0,0,0,20,0
press,0,0,0,0,0,0,2,0,0,0,0,8,0
ear,0,0,0,0,0,0,10,0,0,0,0,0,0
far,13,0,155,0,0,0,0,0,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,0,138,0
