word,ADJ,ADP,ADV,AUX,DET,INTJ,NOUN,NUM,PRON,SCONJ,VERB,X
year,0,0,0,0,0,0,76,0,0,0,0,0
ago,0,0,6,0,0,0,0,0,0,0,0,0
excessively,0,0,2,0,0,0,0,0,0,0,0,0
fond,11,0,0,0,0,0,0,0,0,0,0,0
new,57,0,0,0,0,0,0,0,0,0,0,0
clothe,0,0,0,0,0,0,37,0,0,0,2,0
spend,0,0,0,0,0,0,0,0,0,0,4,0
money,0,0,0,0,0,0,19,0,0,0,0,0
dress,0,0,0,0,0,0,18,0,0,0,27,0
trouble,0,0,0,0,0,0,3,0,0,0,5,0
soldier,0,0,0,0,0,0,75,0,0,0,0,0
care,0,0,0,0,0,0,20,0,0,0,15,0
theatre,0,0,0,0,0,0,5,0,0,0,0,0
chase,0,0,0,0,0,0,2,0,0,0,0,0
opportunity,0,0,0,0,0,0,3,0,0,0,0,0
afford,0,0,0,0,0,0,0,0,0,0,3,0
display,0,0,0,0,0,0,1,0,0,0,5,0
different,15,0,0,0,0,0,0,0,0,0,0,0
suit,0,0,0,0,0,0,8,0,0,0,2,0
hour,0,0,0,0,0,0,16,0,0,0,0,0
day,0,0,0,0,0,0,118,0,0,0,0,0
king,0,0,0,0,0,0,71,0,0,0,0,0
emperor,0,0,0,0,0,0,4,0,0,0,0,0
accustom,0,0,0,0,0,0,0,0,0,0,6,0
sit,0,0,0,0,0,0,0,0,0,0,171,0
council,0,0,0,0,0,0,2,0,0,0,0,0
say,0,0,0,0,0,0,0,0,0,0,703,0
wardrobe,0,0,0,0,0,0,2,0,0,0,0,0
time,0,0,0,0,0,0,123,0,0,0,0,0
pass,0,0,0,0,0,0,0,0,0,0,81,0
merrily,0,0,3,0,0,0,0,0,0,0,0,0
large,208,0,0,0,0,0,0,0,0,0,0,0
town,0,0,0,0,0,0,51,0,0,0,0,0
capital,1,0,0,0,0,0,5,0,0,0,0,0
stranger,0,0,0,0,0,0,12,0,0,0,0,0
arrive,0,0,0,0,0,0,0,0,0,0,10,0
court,0,0,0,0,0,0,34,0,0,0,0,0
rogue,0,0,0,0,0,0,4,0,0,0,0,0
call,0,0,0,0,0,0,0,0,0,0,36,0
weaver,0,0,0,0,0,0,9,0,0,0,0,0
appearance,0,0,0,0,0,0,15,0,0,0,0,0
give,0,0,0,0,0,0,0,0,0,0,73,0
know,0,0,0,0,0,0,0,0,0,0,250,0
weave,0,0,0,0,0,0,0,0,0,0,10,0
stuff,0,0,0,0,0,0,13,0,0,0,0,0
beautiful,160,0,0,0,0,0,0,0,0,0,0,0
color,0,0,0,0,0,0,29,0,0,0,4,0
elaborate,1,0,0,0,0,0,0,0,0,0,0,0
pattern,0,0,0,0,0,0,4,0,0,0,0,0
manufacture,0,0,0,0,0,0,3,0,0,0,1,0
wonderful,19,0,0,0,0,0,0,0,0,0,0,0
property,0,0,0,0,0,0,4,0,0,0,0,0
remain,0,0,0,0,0,0,2,0,0,0,47,0
invisible,3,0,0,0,0,0,0,0,0,0,0,0
unfit,6,0,0,0,0,0,0,0,0,0,0,0
office,0,0,0,0,0,0,17,0,0,0,0,0
hold,0,0,0,0,0,0,14,0,0,0,50,0
extraordinarily,0,0,4,0,0,0,0,0,0,0,0,0
simple,3,0,0,0,0,0,0,0,0,0,0,0
character,0,0,0,0,0,0,5,0,0,0,0,0
splendid,38,0,0,0,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0,0,0,204,0
find,0,0,0,0,0,0,0,0,0,0,102,0
man,0,0,0,0,0,0,210,0,0,0,0,0
realm,0,0,0,0,0,0,2,0,0,0,0,0
able,30,0,0,0,0,0,0,0,0,0,0,0
distinguish,0,0,0,0,0,0,0,0,0,0,2,0
wise,15,0,0,0,0,0,0,0,0,0,0,0
foolish,3,0,0,0,0,0,0,0,0,0,0,0
immediately,0,0,20,0,0,0,0,0,0,0,0,0
cause,0,0,0,0,0,0,2,0,0,0,10,0
sum,0,0,0,0,0,0,1,0,0,0,0,0
order,0,0,0,0,0,0,21,0,0,0,4,0
begin,0,0,0,0,0,0,0,0,0,0,52,0
work,0,0,0,0,0,0,17,0,0,0,15,0
directly,0,0,15,0,0,0,0,0,0,0,0,0
pretend,0,0,0,0,0,0,0,0,0,0,8,0
set,0,0,0,0,0,0,0,0,0,0,31,0
loom,0,0,0,0,0,0,14,0,0,0,0,0
affect,0,0,0,0,0,0,0,0,0,0,2,0
busily,0,0,1,0,0,0,0,0,0,0,0,0
reality,0,0,0,0,0,0,15,0,0,0,0,0
ask,0,0,0,0,0,0,0,0,0,0,99,0
delicate,20,0,0,0,0,0,0,0,0,0,0,0
silk,0,0,0,0,0,0,14,0,0,0,0,0
pure,13,0,0,0,0,0,0,0,0,0,0,0
gold,8,0,0,0,0,0,55,0,0,0,0,0
thread,0,0,0,0,0,0,5,0,0,0,1,0
knapsack,0,0,0,0,0,0,9,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,0,29,0
pretended,1,0,0,0,0,0,0,0,0,0,0,0
late,5,0,4,0,0,0,0,0,0,0,0,0
night,0,0,0,0,0,0,79,0,0,0,0,0
like,7,235,0,0,0,0,1,0,0,0,53,0
get,0,0,0,0,0,0,0,0,0,0,63,0
cloth,0,0,0,0,0,0,17,0,0,0,0,0
little,512,0,2,0,0,0,0,0,0,0,0,0
elapse,0,0,0,0,0,0,0,0,0,0,2,0
embarrassed,1,0,0,0,0,0,0,0,0,0,0,0
remember,0,0,0,0,0,0,0,0,0,0,30,0
simpleton,0,0,0,0,0,0,4,0,0,0,0,0
unable,6,0,0,0,0,0,0,0,0,0,0,0
sure,18,0,6,0,0,0,0,0,0,0,0,0
risk,0,0,0,0,0,0,0,0,0,0,1,0
person,0,0,0,0,0,0,45,0,0,0,0,0
prefer,0,0,0,0,0,0,0,0,0,0,2,0
send,0,0,0,0,0,0,0,0,0,0,17,0
somebody,0,0,0,0,0,0,0,0,7,0,0,0
bring,0,0,0,0,0,0,0,0,0,0,53,0
intelligence,0,0,0,0,0,0,3,0,0,0,0,0
affair,0,0,0,0,0,0,5,0,0,0,0,0
people,0,0,0,0,0,0,91,0,0,0,0,0
city,0,0,0,0,0,0,14,0,0,0,0,0
hear,0,0,0,0,0,0,0,0,0,0,115,0
possess,0,0,0,0,0,0,0,0,0,0,17,0
anxious,4,0,0,0,0,0,0,0,0,0,0,0
learn,0,0,0,0,0,0,0,0,0,0,24,0
ignorant,3,0,0,0,0,0,0,0,0,0,0,0
neighbor,0,0,0,0,0,0,16,0,0,0,7,0
prove,0,0,0,0,0,0,0,0,0,0,3,0
faithful,3,0,0,0,0,0,0,0,0,0,0,0
old,332,0,0,0,0,0,0,0,0,0,0,0
minister,0,0,0,0,0,0,7,0,0,0,0,0
deliberation,0,0,0,0,0,0,1,0,0,0,0,0
well,18,0,28,0,0,0,0,0,0,0,0,0
look,0,0,0,0,0,0,6,0,0,0,261,0
sense,0,0,0,0,0,0,7,0,0,0,0,0
suitable,1,0,0,0,0,0,0,0,0,0,0,0
go,0,0,0,0,0,0,0,0,0,0,224,0
hall,0,0,0,0,0,0,29,0,0,0,0,0
knave,0,0,0,0,0,0,4,0,0,0,0,0
meaning,0,0,0,0,0,0,6,0,0,0,0,0
open,30,0,0,0,0,0,0,0,0,0,39,0
eye,0,0,0,0,0,0,129,0,0,0,1,0
wide,12,0,7,0,0,0,0,0,0,0,0,0
discover,0,0,0,0,0,0,0,0,0,0,14,0
bit,0,0,0,0,0,0,7,0,0,0,0,0
express,0,0,0,0,0,0,0,0,0,0,11,0
thought,0,0,0,0,0,0,36,0,0,0,0,0
aloud,0,0,9,0,0,0,0,0,0,0,0,0
impostor,0,0,0,0,0,0,5,0,0,0,0,0
request,0,0,0,0,0,0,2,0,0,0,1,0
courteously,0,0,1,0,0,0,0,0,0,0,0,0
good,125,0,1,0,0,2,7,0,0,0,0,0
come,0,0,0,0,0,0,0,0,0,0,341,0
nearer,0,2,0,0,0,0,0,0,0,0,0,0
design,0,0,0,0,0,0,4,0,0,0,0,0
please,0,0,0,0,0,0,0,0,0,0,12,0
point,0,0,0,0,0,0,2,0,0,0,8,0
frame,0,0,0,0,0,0,6,0,0,0,0,0
