word,ADJ,ADP,ADV,NOUN,NUM,VERB,X
introduction,0,0,0,1,0,0,0
exist,0,0,0,0,0,3,0
peculiar,1,0,0,0,0,0,0
political,13,0,0,0,0,0,0
institution,0,0,0,4,0,0,0
call,0,0,0,0,0,8,0
bit,0,0,0,1,0,0,0
misnomer,0,0,0,1,0,0,0
empire,0,0,0,43,0,0,0
know,0,0,0,0,0,3,0
today,0,0,0,2,0,0,0
come,0,0,0,0,0,6,0
general,1,0,0,0,0,0,0
use,0,0,0,4,0,0,0
say,0,0,0,0,0,3,0
arrangement,0,0,0,2,0,0,0
holy,2,0,0,0,0,0,0
roman,15,0,0,0,0,0,0
holiness,0,0,0,1,0,0,0
attach,0,0,0,0,0,2,0
claim,0,0,0,7,0,2,0
pope,0,0,0,37,0,0,0
attempt,0,0,0,1,0,0,0
assert,0,0,0,0,0,5,0
religious,10,0,0,0,0,0,0
control,0,0,0,8,0,2,0
extent,0,0,0,2,0,0,0
try,0,0,0,0,0,5,0
revive,0,0,0,0,0,5,0
success,0,0,0,1,0,0,0
authority,0,0,0,6,0,0,0
counterweight,0,0,0,1,0,0,0
loose,2,0,0,0,0,0,0
sense,0,0,0,3,0,0,0
word,0,0,0,4,0,0,0
time,0,0,0,10,0,0,0
able,2,0,0,0,0,0,0
establish,0,0,0,0,0,7,0
unchallenged,1,0,0,0,0,0,0
vast,1,0,0,0,0,0,0
territory,0,0,0,5,0,0,0
pretend,0,0,0,0,0,1,0
rule,0,0,0,6,0,3,0
fact,0,0,0,4,0,0,0
central,3,0,0,0,0,0,0
government,0,0,0,3,0,0,0
unity,0,0,0,3,0,0,0
language,0,0,0,1,0,0,0
common,2,0,0,0,0,0,0
system,0,0,0,1,0,0,0
law,0,0,0,2,0,0,0
loyalty,0,0,0,2,0,0,0
state,0,0,0,12,0,1,0
century,0,0,0,20,0,0,0
boundary,0,0,0,2,0,0,0
shift,0,0,0,1,0,2,0
shrink,0,0,0,0,0,1,0
drastically,0,0,1,0,0,0,0
oddly,0,0,1,0,0,0,0
name,0,0,0,0,0,3,0
thousand,0,0,0,0,3,0,0
year,0,0,0,10,0,0,0
original,1,0,0,0,0,0,0
